Language_ID,Feature_ID,IPA,Value
Belarusian,COLD,xaɫˈodnɨ,1
Polish,COLD,xwˈɔdnɨ,1
Russian,COLD,xɐɫˈodnɨɪ̯,1
Slovenian,COLD,xlàːdɛn,1
Ukrainian,COLD,xɔɫˈɔdnɪi̯,1
Čakavian_(Cres),COLD,xlǎːdni,1
Čakavian_(Istria),COLD,xlâːdan,1
Štokavian,COLD,xlǎːdan,1
Bulgarian,COLD,studˈɛn,2
Czech,COLD,stˈudɛniː,2
Kajkavian,COLD,zdæn,2
Macedonian,COLD,studen,2
Slovak,COLD,stˈuɟɛniː,2
Burgenland_Čakavian,COLD,mˈr̩zal,3
Slovenian,COLD,mə̀rzɛu̯,3
Latvian,COLD,āwksts,4
Lithuanian,COLD,ʃɐ̂ɫtɐs,5
Belarusian,WIDE,ʂɨrˈokʲi,6
Bulgarian,WIDE,ʃirˈɔk,6
Czech,WIDE,ʃˈɪrokiː,6
Polish,WIDE,ʂɛɾˈɔkʲi,6
Russian,WIDE,ʂɨrˈokʲɪɪ̯,6
Slovak,WIDE,ʃˈirɔkiː,6
Slovenian,WIDE,ʃirɔ́k,6
Ukrainian,WIDE,ʃɪrˈɔkɪi̯,6
Štokavian,WIDE,ʃǐrok,6
Belarusian,DOG,sabˈaka,7
Russian,DOG,sɐbˈakə,7
Ukrainian,DOG,sɔbˈɑkɐ,7
Bulgarian,DOG,kˈuʧɛ,8
Kajkavian,DOG,ʦˈuʦːæk,8
Kajkavian,DOG,ʦˈuːʦæk,8
Macedonian,DOG,kuʧe,8
Burgenland_Čakavian,DOG,pas,9
Czech,DOG,pɛs,9
Polish,DOG,pʲjɛs,9
Slovak,DOG,pɛs,9
Slovenian,DOG,pɛ́s,9
Čakavian_(Cres),DOG,pɛs,9
Štokavian,DOG,pâs,9
Latvian,DOG,sǔns,10
Lithuanian,DOG,ʃuə̌,10
Čakavian_(Istria),DOG,brɛk,11
Belarusian,CLOUD,vˈobɫaka,12
Bulgarian,CLOUD,ˈɔbɫɐk,12
Burgenland_Čakavian,CLOUD,u̯ɔ̌blak,12
Burgenland_Čakavian,CLOUD,ʔˈɔblak,12
Czech,CLOUD,ˈoblak,12
Kajkavian,CLOUD,ˈu̯oblɒk,12
Macedonian,CLOUD,oblak,12
Polish,CLOUD,ˈɔbwɔk,12
Russian,CLOUD,ˈobɫəkə,12
Slovak,CLOUD,ˈɔbɫak,12
Slovenian,CLOUD,ɔblàːk,12
Čakavian_(Cres),CLOUD,ɔ̌ːblak,12
Čakavian_(Istria),CLOUD,ˈɔblak,12
Štokavian,CLOUD,ôblaːk,12
Czech,CLOUD,mrak,13
Slovak,CLOUD,mrak,13
Latvian,CLOUD,māːkuɔ̯̂nis,14
Lithuanian,CLOUD,dʲɛbʲɛsʲˈɪs,15
Polish,CLOUD,xmˈuɾa,16
Ukrainian,CLOUD,xmˈɑrɐ,16
Belarusian,FOOT,naʁˈa,17
Burgenland_Čakavian,FOOT,nu̯ɔ̌ɡa,17
Czech,FOOT,nˈoɦa,17
Kajkavian,FOOT,nˈu̯oɡɒ,17
Macedonian,FOOT,noɡa,17
Slovak,FOOT,nˈɔɦa,17
Slovenian,FOOT,nóːɡa,17
Ukrainian,FOOT,nɔɦˈɑ,17
Čakavian_(Cres),FOOT,nɔɡˈa,17
Čakavian_(Istria),FOOT,nɔɡˈa,17
Štokavian,FOOT,nǒɡa,17
Bulgarian,FOOT,krak,18
Latvian,FOOT,kāːja,19
Lithuanian,FOOT,kôːjɛ,19
Polish,FOOT,stˈɔpa,20
Russian,FOOT,stʊpnʲˈa,20
Štokavian,FOOT,stǒpalo,20
Belarusian,BURN,ʁarˈɛʦʲ,21
Bulgarian,BURN,ɡorʲˈɤ,21
Czech,BURN,ɦˈor̝ɛt,21
Macedonian,BURN,ɡori,21
Russian,BURN,ɡɐrʲˈetʲ,21
Slovak,BURN,ɦˈɔrɪ̯ɛc,21
Slovenian,BURN,ɡɔrɛ̀ːti,21
Ukrainian,BURN,ɦɔɾʲˈitɪ,21
Čakavian_(Cres),BURN,ɡɔrˈɛt,21
Štokavian,BURN,ɡǒrjeti,21
Belarusian,BURN,palʲˈiʦʲ,22
Czech,BURN,pˈaːlɪt,22
Polish,BURN,pˈalʲiʨ ɕɛ,22
Slovak,BURN,pˈaːɫic,22
Ukrainian,BURN,pɐɫˈɪtɪ,22
Čakavian_(Istria),BURN,paːlˈit,22
Kajkavian,BURN,ʒɡɒt,23
Russian,BURN,zʐɛʨ,23
Slovenian,BURN,sɛʒɡàːti,23
Latvian,BURN,dɛʣinâːt,24
Lithuanian,BURN,dʲæ̌ɡʲɪntʲɪ,24
Belarusian,NECK,ʂˈɨjæ,25
Macedonian,NECK,ʃija,25
