ID	Language_ID	Glottocode	ISO 639-3	Parameter_ID	Value	Form	Segments	Source_Form	Cognate_ID	Comment	Source
Beijing_VOMIT_1	Beijing	beij1234	cmn	VOMIT	吐	tʰu⁵¹	tʰ u ⁵ ¹	tʰu⁵¹	VOMIT_1		Liu2007
Haerbin_VOMIT_1	Ha'erbin	haer1234	cmn	VOMIT	吐	tʰu⁵³	tʰ u ⁵ ³	tʰu⁵³	VOMIT_1		Liu2007
Jinan_VOMIT_1	Jinan	jina1245	cmn	VOMIT	吐	tʰu³¹	tʰ u ³ ¹	tʰu³¹	VOMIT_1		Liu2007
Rongcheng_VOMIT_1	Rongcheng	rong1271	cmn	VOMIT	嘔吐	ou²¹³⁻³⁵ tʰu²¹⁴	o u ² ¹ ³ ⁻ ³ ⁵   tʰ u ² ¹ ⁴	ou²¹³⁻³⁵ tʰu²¹⁴	VOMIT_1		Liu2007
Taiyuan_VOMIT_4	Taiyuan	taiy1243	cjy	VOMIT	嘔嘞	tʰu⁵³ lə⁰	tʰ u ⁵ ³   l ə ⁰	tʰu⁵³ lə⁰	VOMIT_4		Liu2007
XiAn_VOMIT_1	Xi'an	xian1253	cmn	VOMIT	嘔吐	ŋou²¹ tʰu⁵³	ŋ o u ² ¹   tʰ u ⁵ ³	ŋou²¹ tʰu⁵³	VOMIT_1		Liu2007
Chengdu_VOMIT_4	Chengdu	chen1267	cmn	VOMIT	發吐了	fa²¹⁻⁵⁵ tʰu⁵³ lo²¹	f a ² ¹ ⁻ ⁵ ⁵   tʰ u ⁵ ³   l o ² ¹	fa²¹⁻⁵⁵ tʰu⁵³ lo²¹	VOMIT_4		Liu2007
Chengdu_VOMIT_4	Chengdu	chen1267	cmn	VOMIT	吐了	tʰu⁵³⁻⁵⁵ lo²¹	tʰ u ⁵ ³ ⁻ ⁵ ⁵   l o ² ¹	tʰu⁵³⁻⁵⁵ lo²¹	VOMIT_4		Liu2007
Chengdu_VOMIT_4	Chengdu	chen1267	cmn	VOMIT	嘔了	ŋəu⁵³⁻⁴⁵ lo²¹	ŋ ə u ⁵ ³ ⁻ ⁴ ⁵   l o ² ¹	ŋəu⁵³⁻⁴⁵ lo²¹	VOMIT_4		Liu2007
Nanjing_VOMIT_1	Nanjing	nanj1234	cmn	VOMIT	吐	tʰu⁴⁴	tʰ u ⁴ ⁴	tʰu⁴⁴	VOMIT_1		Liu2007
Nanjing_VOMIT_1	Nanjing	nanj1234	cmn	VOMIT	嘔吐	əɯ¹¹⁻²² tʰu⁴⁴⁻²²	ə ɯ ¹ ¹ ⁻ ² ²   tʰ u ⁴ ⁴ ⁻ ² ²	əɯ¹¹⁻²² tʰu⁴⁴⁻²²	VOMIT_1		Liu2007
Jixi_VOMIT_5	Jixi	jixi1238	czh	VOMIT	㽹惡	fɔ⁵⁵⁻⁴⁵ ŋoʔ³²*	f ɔ ⁵ ⁵ ⁻ ⁴ ⁵   ŋ o ʔ ³ ² *	fɔ⁵⁵⁻⁴⁵ ŋoʔ³²*	VOMIT_5		Liu2007
Suzhou_VOMIT_3	Suzhou	suzh1234	wuu	VOMIT	嘔	ʏ⁵²	ʏ ⁵ ²	ʏ⁵²	VOMIT_3		Liu2007
Wenzhou_VOMIT_1	Wenzhou	ouji1238	wuu	VOMIT	吐	tʰøy⁵¹	tʰ ø y ⁵ ¹	tʰøy⁵¹	VOMIT_1		Liu2007
Changsha_VOMIT_1	Changsha	chan1326	hsn	VOMIT	吐	tʰu⁵⁵	tʰ u ⁵ ⁵	tʰu⁵⁵	VOMIT_1		Liu2007
