Gloss		Beijing	Changsha	Chengdu	Fuzhou	Guangzhou	Guilin	Ha'erbin	Jinan	Jixi	Loudi	Meixian	Nanchang	Nanjing	Rongcheng	Suzhou	Taiyuan	Wenzhou	Xi'an	Xiamen
																				
ALL_1		tɕʰyɛn³⁵ pu⁵¹	tɕʰyẽ¹³ pu¹¹	tɕʰyan²¹⁻⁵⁵ pu²¹³⁻²¹		tsʰyn²¹ pou²²	tɕyã²² pu²¹	tɕʰyan²⁴ pu⁵³	tɕʰyæ̃⁵³ pu³¹	tɕʰyẽ⁴⁴⁻³⁵ pʰu³¹	dzuĩ¹³ bu¹¹	tɕʰien¹¹ pʰu⁵³	tɕʰyon²⁴ pu⁰	tɕʰyen¹³ pu⁴⁴	tsʰiɐn³⁵ pur³³⁴	ziɪ¹³ bu²³¹⁻²¹	tɕʰye²¹ pu⁴⁵	jy³⁴¹⁻²⁴ bu²⁴⁻²²	tsʰuæ̃²⁴ pu⁴⁴	tsuan²⁴⁻²² pɔ²²
ALL_2					ko²¹²⁻²¹ louŋ⁵³⁻²¹ ŋa²⁴²															
AND_1																taʔ⁴				
AND_2		xɤ³⁵		xo²¹		uɔ²¹		xɤ²¹	xɤ⁵³	xɵ⁴⁴	ɣo¹³		fo⁴⁵	xo¹³	xɔ³⁵		xɤ²¹		xuo²⁴	kaʔ³²*
AND_3					kɔyŋ²⁴²															
AND_4																		kʰuɔ⁵¹		
AND_5			kən³³				kɤn⁴²													
AND_6												tʰuŋ¹¹								
ANIMAL_1		tuŋ⁵¹⁻⁵³ u⁵¹⁻³¹	toŋ¹¹ u²⁴	toŋ²¹³ u²¹		toŋ³³ mɐt²	tɤn²⁵ u²²	tuŋ⁵³ u⁰	tuŋ³¹ u⁰	tʰɑ̃²¹³⁻³¹ vɤʔ³²*	dɤn¹¹ u³⁵⁻⁵	tʰuŋ⁵³ vut⁵	tʰuŋ²¹ u⁰	toŋ⁴⁴⁻⁴² uʔ⁵	toŋ³³⁴⁻³ u³³⁴		tuŋ⁴⁵ və⁰	doŋ²⁴ vai²²⁻²¹	tuŋ⁴⁴ vo²¹	tɔŋ²²⁻²¹ but⁵
ANIMAL_2																tsoŋ⁴⁴ sã⁴⁴⁻²¹				
ANIMAL_3					si²¹²⁻²¹ kʰa⁵⁵ βa⁵³															
ASH_1		xuei⁵⁵	fei³³	xuei⁴⁵	huoi⁵⁵	fui⁵³	fei⁴²	xuei⁴⁴	xuei²¹³	fa⁵⁵	xue⁴⁴	foi³³	fɨi⁴²	xuei³¹	xuei⁵²	huᴇ⁴⁴	xuei²¹	fai⁴⁴	xuei²¹	he⁵⁵
ASH_2					huoi⁵⁵⁻⁴⁴ huoi⁵⁵															
BACK_1		pei⁵¹	pei⁵⁵	pei²¹³	pʰiaŋ⁵⁵	pui³³	pei²⁵	pei⁵³	pei³¹	pa³⁵	pe³⁵	poi⁵³		pei⁴⁴	pei⁵²	pᴇ⁴¹²	pei⁴⁵		tɕi²¹ pei²⁴,pei²⁴	
BACK_2													pei⁴⁵ tɕiaʔ⁰							ka⁵⁵⁻²² tsiaʔ³²*
BACK_3																		pai⁴²⁻³ dʑi²⁴⁻⁴⁴ saŋ⁴⁴⁻²¹		
BAD_1																				pʰai⁵³
BAD_2					ŋai⁵³															
BAD_3		xai⁵¹	fai¹¹	xuai²¹³		uai²²	fai²¹	xuai⁵³	xuɛ³¹	vɔ³¹	ɣua¹¹	fai⁵³	fai²¹	xuɛ⁴⁴	xuai³³⁴	uɑ⁴¹²	xuai⁴⁵		xuɛ⁴⁴	
BAD_4																tɕʰiʏ⁴⁴				
BAD_5			kuai⁴¹																	
BAD_6												pe³¹								
BAD_7					pʰai³²															
BAD_8																		mə³⁴¹		
BARK_1		ʂu⁵¹⁻⁵³ pʰiər³⁵	ɕy¹¹ pi¹³	su²¹³ pʰi²¹	tsʰieu²¹²⁻⁵⁵ pʰuoi⁵³	sy²² pʰei²¹	ɕy²¹ pi²²	ʂu⁵³ pʰi²⁴	ʂu³¹ pʰi⁵³	ɕy³¹⁻⁵³ pʰz̩⁴⁴	ʑy¹¹ bi¹³	su⁵³⁻⁵⁵ pʰi¹¹	su²¹ pʰi²⁴	su⁴⁴⁻⁴² pʰi¹³	ʃy³³⁴⁻³ pʰi³⁵	zʯ²³¹⁻²² bi¹³⁻³¹	su⁴⁵ pʰi²¹	zz̩²²⁻⁴² bei³⁴¹⁻²¹	fu⁴⁴ pʰi²⁴	tsʰiu²²⁻²¹ pʰe²⁴
BE ALIVE_1		xuo³⁵ tɤ⁰		xo²¹⁻⁵⁵ li⁵⁵				xuo²⁴ ty⁰	xuɤ⁵³⁻⁴⁵ ti⁰					xoʔ⁵ ti⁰	xuɔ³⁵ tə⁰		xuəʔ⁵⁴* təʔ⁰		xuo²⁴ ti⁰	
BE ALIVE_2			xo²⁴ ti⁰								xue³⁵ kɤ⁰									uaʔ⁵⁻³²* e⁰
BE ALIVE_3					uaʔ⁵ ki⁵³															
BE ALIVE_4												saŋ³³⁻³⁵ ŋe⁵³	uot²¹* ko⁴²					dʑi²²⁻³³ ɡi⁰		
BE ALIVE_5										voʔ³²* noʔ³²*										
BE ALIVE_6																ɦuə²³* kəʔ⁴				
BE ALIVE_7						saŋ⁵³ kɛ³³														
BE ALIVE_8							xuo²² kɤ⁰ te³³													
BECAUSE_1		in⁵⁵ uei⁰	in³³ uei¹¹	in⁴⁵ uei²¹³⁻²¹	iŋ⁵⁵⁻⁵³ ŋuoi²⁴²	iɐn⁵³ uɐi²²	iŋ⁴² uei²²	in⁴⁴ ʋei⁰	iẽ²¹⁴⁻²⁴ vei³¹	iɑ̃⁵⁵ vi⁵⁵	in⁴⁴ ui¹¹	in³³⁻³⁵ vi¹¹	in⁴² ui²¹	in³¹ ʋei¹³	in⁵² uei³⁵	in⁴⁴ ɦuᴇ²³¹⁻²¹	iŋ²¹ vei⁴⁵	iaŋ⁴⁴ vu³⁴¹⁻²¹	iẽ²¹ uei²⁴	iŋ⁵⁵⁻²² ui²²
BECAUSE_2								yŋ⁴⁴ xu⁰												
BELLY_1				tu²¹³ pʰi²¹												dəu²³¹⁻²² bi¹³⁻⁴⁴				
BELLY_2		tu⁵¹ tsʰz̩⁰	təu⁵⁵ tsz̩⁰	tu²¹³ tsz̩⁵³			tu²³ tse²³⁻³³	tu⁵³ tsuz̩⁰	tu³¹⁻⁴⁴ tsz̩⁰	tʰu²¹³ tsz̩⁰	tɤu⁴² tsz̩⁰		tu²¹³ tsz̩⁰	tu⁴⁴ tsz̩⁰	tu³³⁴ tsz̩⁰		tu⁴⁵ tsəʔ⁰		tou⁴⁴ tsz̩⁰	
BELLY_3					puʔ²⁴*⁻³⁵ lo³²															
BELLY_4						tʰou²³						tu³¹						døy²⁴		pak³²*⁻⁵ tɔ⁵³
