Gloss	Ancient Attic Greek	Ancient Ionic Greek	Modern Demotic Greek	Pharasa Greek	Southern Tsakonian	Western Cappadocian Greek
ALL_1	pant	pant				
ALL_2			olo		ole	ullo
ALL_3				pituni		
ASH_1	tepʰraː					
ASH_2		spodos				
ASH_3			staxti	staxti		staxʧi
ASH_4					spoia	
BARK_1	pʰlojos	pʰlojos	flios			
BARK_2				fliði		
BARK_3					frua	
BARK_4						ɣabɨx
BELLY_1	ɡasteːr	ɡasteːr				
BELLY_2			ciʎa	ʤilia		
BELLY_3					fukʰa	
BELLY_4						karja
BIG_1	meɡas	meɡas	meɣalo	meɣo		meɣa
BIG_2					aʧe	
BIRD_1	ornis	ornis				
BIRD_2			puli	puli	puʎi	puli
BITE_1	daknoː	daknoː	ðaɡono	ðakno		ðakno
BITE_2					kaʦinu	
BLACK_1	melan	melan				
BLACK_2			mavros	mavro		mavro
BLACK_3					kuvane	
BLOOD_1	hajma	ajma	ema	aima	ema	oima
BONE_1	osteon	osteon				
BONE_2			kokalo		kokale	
BONE_3				sto		sʧas
BREAST_1	steːtʰos	steːtʰea	stiθos		stiθi	
BREAST_2				kardia		
BREAST_3						korfos~kolfos
BURN (SOMETHING)_1	kaoː	kajoː	ceo			
BURN (SOMETHING)_2				kafto		kafto
BURN (SOMETHING)_3					ðesu	
CIRCULAR (ROUND IN TWO DIMENSIONS)_1	peripʰereː					
CIRCULAR (ROUND IN TWO DIMENSIONS)_2		kyklotereː				
CLOUD_1	nepʰos	nepʰos	sinefo	sinefa	siɣnefo~sinefo	ʃinefo
COLD (OF WEATHER)_1	psyːkʰros	psyːkʰro			psuxre	
COLD (OF WEATHER)_2			krio			
COME_1	heːkoː					
COME_2	ʌltʰ	eltʰ				
COME_3		erkʰomaj	erxome	erxume		erxume
COME_4			irθa	irta		irta
COME_5					par̝iu	
COME_6					ekan	
DIE_1	apotʰneːjskoː	apotʰneːjskoː			penakʰu	peraniʃko
DIE_2			peθeno			
DIE_3				xan		
DOG_1	kyːoːn	kyːoːn			kue	
DOG_2			scilos	sʧili		ʃcili
DRINK_1	piːnoː	piːnoː	pino	pino	cinu	
DRINK_2						pjiniʃko
DRY_1	kseːro			ksero	ʦere	ksero
DRY_2		awo				
DRY_3			steɣno			
EAR_1	oːt	oːt		ti		
EAR_2			afti			afʧi
EAR_3					avotana~avutana	
EAR_4						fʧi
EARTH (SOIL)_1	ɡeː	ɡeː				
EARTH (SOIL)_2			xoma	xoma	xoma~xuma	xoma
EAT_1	estʰioː					
EAT_2	pʰaɡ					
EAT_3		siteomaj				
EAT_4			troo	troɣo		troɣo
EAT_5			efaɣa	efaɣa	efaika	efaɣa
EAT_6					ʧu	
EGG_1	oːjon	oːjon				
EGG_2			avɣo		avuɣo	ovɣo
EGG_3				vo		
EYE_1	opʰtʰalmos	opʰtʰalmos				
EYE_2	omma					
EYE_3			mati			maʃ
EYE_4				ftalmi		
EYE_5					psile	
FAR_1	porroː					
FAR_2		prosoː				
FAR_3			makria	makra		makra
FAR_4					alarɣa	
FAT (ORGANIC SUBSTANCE)_1	piːmeleː	piːmeleː				
FAT (ORGANIC SUBSTANCE)_2			lipos			
FAT (ORGANIC SUBSTANCE)_3				alima		alima
FAT (ORGANIC SUBSTANCE)_4					ksinʒi	
FEATHER_1	pteron	pteron	ftero	fteru	ftere	ftero
FINGERNAIL_1	onykʰ	onykʰ				
FINGERNAIL_2			niçi	niʃi	ɲiçi	niç
FIRE_1	pyːr	pyːr				
FIRE_2			fotça			
FIRE_3				nistia		niʃʧa
FIRE_4					kʰara	
FISH_1	ikʰtʰyːs	ikʰtʰyːs				
FISH_2			psari	psari	psar̝i	psar
FLESH OR MEAT_1	kreas	kreas	kreas	kræs	krie	
FLESH OR MEAT_2						cirjas
FLY (MOVE THROUGH AIR)_1	petomaj	petomaj	peto		petu	petano
FLY (MOVE THROUGH AIR)_2				pettao		
FOOT_1	pod	pod				
FOOT_2			poði	poraði		
FOOT_3					pua	
FOOT_4						prej
FULL_1	pleːreː	pleo				
FULL_2	mesto					
FULL_3			ʝemato		ʝomate	
FULL_4				emo		
FULL_5						ɣomomeno
GIVE_1	didoːmi	didoːmi				
GIVE_2			ðino			dino
GIVE_3				ðito	ðiu	
GOOD_1	aɡatʰo					
GOOD_2		kʰreːstos				
GOOD_3			kalo	kao	kale	kalo
GREEN_1	ɡlawko					
GREEN_2			prasino		prasine	praʃino
HAIR_1	trikʰes	trikʰes				
HAIR_2			maʎa	malia		malja
HAIR_3					ʧiçe	
HAND_1	kʰejr	kʰejr				
HAND_2			çeri	ʃeri	çera	çer
HEAD_1	kepʰaleː	kepʰaleː	cefali	ʧufali	ʨufa	cifal
HEAR_1	akuːoː	akuːoː	akuo	ku		akuo
HEAR_2					ɲiu	
HEART_1	kardiaː	kardieː	karðʝa	kardia	karðia	
HEART_2						karja
HEAVY_1	bary		vari		var̝u	vari
HEAVY_2		embriːtʰeː				
HORN (ANATOMY)_1	keras	keras	cerato	ʦeroto	ʨerate~ʨera	cerato
I_1	eɡoː	eɡoː	eɣo	eɣo	ezu	eɣo
I_2	em	em				
I_3			emena	emena	eɲi	emena
I_4				o		
KILL_1	apoktejnoː	ktejnoː				
KILL_2			skotono	skotono	skotunu	skotono
KILL_3				fsaɣno		faxno
KNEE_1	ɡony	ɡony	ɣonato	ɣonoto	ɣuna	ɣonato
KNOW (SOMETHING)_1	ojda	ojda				
KNOW (SOMETHING)_2		epistamaj				
KNOW (SOMETHING)_3			ksero		kseru	ksevro
KNOW (SOMETHING)_4				katexo		
LEAF_1	pʰyllon	pʰyllon				
LEAF_2			filo	fio	fili	filo
LIE (REST)_1	katakejmaj	kejmaj				
LIE (REST)_2			ksaplono			xalano
LIE (REST)_3					ʦaprukʰu	
LIVER_1	heːpar					
LIVER_2			sikoti	siɡoti	ʃkoci	ʃkot
LONG_1	makro	makro	makri		makr̝u	makri
LOUSE_1	pʰtʰejr	pʰtʰejr		fθiri		fʧir
LOUSE_2			psira		psira	
MALE PERSON_1	aneːr	aneːr				
