# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
#
1	Ancient Attic Greek	ALL	p a n t	1 7 4 1	AXLN	PANT	1	1.P.C 1.A.V 1.N.c 1.T.c	2.0 1.5 1.1 0.8	pant	0	1
120	Ancient Ionic Greek	ALL	p a n t	1 7 4 1	AXLN	PANT	2	2.P.C 2.A.V 2.N.c 2.T.c	2.0 1.5 1.1 0.8	pant	0	1
233	Modern Demotic Greek	ALL	o l o	7 5 7	XBZ	ULU	3	3.U.V 3.L.C 3.U.V	1.5 1.75 0.8	olo	0	3
352	Pharasa Greek	ALL	p i t u n i	1 7 1 7 4 7	AXBYBZ	PITYNI	4	4.P.C 4.I.V 4.T.C 4.Y.V 4.N.C 4.I.V	2.0 1.5 1.75 1.3 1.75 0.8	pituni	0	4
464	Southern Tsakonian	ALL	o l e	7 5 7	XBZ	ULE	5	5.U.V 5.L.C 5.E.V	1.5 1.75 0.8	ole	0	3
595	Western Cappadocian Greek	ALL	u l l o	7 5 5 7	XMBZ	YLLU	6	6.Y.V 6.L.c 6.L.C 6.U.V	1.5 1.1 1.75 0.8	ullo	0	3
#
2	Ancient Attic Greek	ASH	t e pʰ r aː	1 7 1 5 7	AXBCZ	TEPRA	1	1.T.C 1.E.V 1.P.C 1.R.C 1.A.V	2.0 1.5 1.75 1.5 0.8	tepʰraː	0	5
121	Ancient Ionic Greek	ASH	s p o d o s	3 1 7 1 7 3	ACYBYN	SPUTUS	2	2.S.C 2.P.C 2.U.V 2.T.C 2.U.V 2.S.c	2.0 1.5 1.3 1.75 1.3 0.8	spodos	0	6
234	Modern Demotic Greek	ASH	s t a x t i	3 1 7 3 1 7	ACYMBZ	STAGTI	3	3.S.C 3.T.C 3.A.V 3.G.c 3.T.C 3.I.V	2.0 1.5 1.3 1.1 1.75 0.8	staxti	0	7
353	Pharasa Greek	ASH	s t a x t i	3 1 7 3 1 7	ACYMBZ	STAGTI	4	4.S.C 4.T.C 4.A.V 4.G.c 4.T.C 4.I.V	2.0 1.5 1.3 1.1 1.75 0.8	staxti	0	7
465	Southern Tsakonian	ASH	s p o i a	3 1 7 7 7	ACYYZ	SPUIA	5	5.S.C 5.P.C 5.U.V 5.I.V 5.A.V	2.0 1.5 1.3 1.3 0.8	spoia	0	9
596	Western Cappadocian Greek	ASH	s t a x ʧ i	3 1 7 3 2 7	ACYMBZ	STAGCI	6	6.S.C 6.T.C 6.A.V 6.G.c 6.C.C 6.I.V	2.0 1.5 1.3 1.1 1.75 0.8	staxʧi	0	7
#
3	Ancient Attic Greek	BARK	pʰ l o j o s	1 5 7 6 7 3	ACXBYN	PLUJUS	1	1.P.C 1.L.C 1.U.V 1.J.C 1.U.V 1.S.c	2.0 1.5 1.5 1.75 1.3 0.8	pʰlojos	0	10
122	Ancient Ionic Greek	BARK	pʰ l o j o s	1 5 7 6 7 3	ACXBYN	PLUJUS	2	2.P.C 2.L.C 2.U.V 2.J.C 2.U.V 2.S.c	2.0 1.5 1.5 1.75 1.3 0.8	pʰlojos	0	10
235	Modern Demotic Greek	BARK	f l i o s	3 5 7 7 3	ACXYN	BLIUS	3	3.B.C 3.L.C 3.I.V 3.U.V 3.S.c	2.0 1.5 1.5 1.3 0.8	flios	0	10
354	Pharasa Greek	BARK	f l i ð i	3 5 7 3 7	ACXBZ	BLIDI	4	4.B.C 4.L.C 4.I.V 4.D.C 4.I.V	2.0 1.5 1.5 1.75 0.8	fliði	0	13
466	Southern Tsakonian	BARK	f r u a	3 5 7 7	ACXZ	BRYA	5	5.B.C 5.R.C 5.Y.V 5.A.V	2.0 1.5 1.5 0.8	frua	0	14
597	Western Cappadocian Greek	BARK	ɣ a b ɨ x	3 7 1 7 3	AXBYN	GAPIG	6	6.G.C 6.A.V 6.P.C 6.I.V 6.G.c	2.0 1.5 1.75 1.3 0.8	ɣabɨx	0	15
#
4	Ancient Attic Greek	BELLY	ɡ a s t eː r	1 7 3 1 7 5	AXMBYN	KASTER	1	1.K.C 1.A.V 1.S.c 1.T.C 1.E.V 1.R.c	2.0 1.5 1.1 1.75 1.3 0.8	ɡasteːr	0	16
123	Ancient Ionic Greek	BELLY	ɡ a s t eː r	1 7 3 1 7 5	AXMBYN	KASTER	2	2.K.C 2.A.V 2.S.c 2.T.C 2.E.V 2.R.c	2.0 1.5 1.1 1.75 1.3 0.8	ɡasteːr	0	16
236	Modern Demotic Greek	BELLY	c i ʎ a	1 7 5 7	AXBZ	CILA	3	3.C.C 3.I.V 3.L.C 3.A.V	2.0 1.5 1.75 0.8	ciʎa	0	18
355	Pharasa Greek	BELLY	ʤ i l i a	2 7 5 7 7	AXBYZ	CILIA	4	4.C.C 4.I.V 4.L.C 4.I.V 4.A.V	2.0 1.5 1.75 1.3 0.8	ʤilia	0	18
467	Southern Tsakonian	BELLY	f u kʰ a	3 7 1 7	AXBZ	BYKA	5	5.B.C 5.Y.V 5.K.C 5.A.V	2.0 1.5 1.75 0.8	fukʰa	0	20
598	Western Cappadocian Greek	BELLY	k a r j a	1 7 5 6 7	AXBCZ	KARJA	6	6.K.C 6.A.V 6.R.C 6.J.C 6.A.V	2.0 1.5 1.75 1.5 0.8	karja	0	21
#
5	Ancient Attic Greek	BIG	m e ɡ a s	4 7 1 7 3	AXBYN	MEKAS	1	1.M.C 1.E.V 1.K.C 1.A.V 1.S.c	2.0 1.5 1.75 1.3 0.8	meɡas	0	24
124	Ancient Ionic Greek	BIG	m e ɡ a s	4 7 1 7 3	AXBYN	MEKAS	2	2.M.C 2.E.V 2.K.C 2.A.V 2.S.c	2.0 1.5 1.75 1.3 0.8	meɡas	0	24
237	Modern Demotic Greek	BIG	m e ɣ a l o	4 7 3 7 5 7	AXBYBZ	MEGALU	3	3.M.C 3.E.V 3.G.C 3.A.V 3.L.C 3.U.V	2.0 1.5 1.75 1.3 1.75 0.8	meɣalo	0	24
356	Pharasa Greek	BIG	m e ɣ o	4 7 3 7	AXBZ	MEGU	4	4.M.C 4.E.V 4.G.C 4.U.V	2.0 1.5 1.75 0.8	meɣo	0	24
468	Southern Tsakonian	BIG	a ʧ e	7 2 7	XBZ	ACE	5	5.A.V 5.C.C 5.E.V	1.5 1.75 0.8	aʧe	0	26
599	Western Cappadocian Greek	BIG	m e ɣ a	4 7 3 7	AXBZ	MEGA	6	6.M.C 6.E.V 6.G.C 6.A.V	2.0 1.5 1.75 0.8	meɣa	0	24
#
6	Ancient Attic Greek	BIRD	o r n i s	7 5 4 7 3	XMBYN	URNIS	1	1.U.V 1.R.c 1.N.C 1.I.V 1.S.c	1.5 1.1 1.75 1.3 0.8	ornis	0	27
125	Ancient Ionic Greek	BIRD	o r n i s	7 5 4 7 3	XMBYN	URNIS	2	2.U.V 2.R.c 2.N.C 2.I.V 2.S.c	1.5 1.1 1.75 1.3 0.8	ornis	0	27
238	Modern Demotic Greek	BIRD	p u l i	1 7 5 7	AXBZ	PYLI	3	3.P.C 3.Y.V 3.L.C 3.I.V	2.0 1.5 1.75 0.8	puli	0	29
357	Pharasa Greek	BIRD	p u l i	1 7 5 7	AXBZ	PYLI	4	4.P.C 4.Y.V 4.L.C 4.I.V	2.0 1.5 1.75 0.8	puli	0	29
469	Southern Tsakonian	BIRD	p u ʎ i	1 7 5 7	AXBZ	PYLI	5	5.P.C 5.Y.V 5.L.C 5.I.V	2.0 1.5 1.75 0.8	puʎi	0	29
600	Western Cappadocian Greek	BIRD	p u l i	1 7 5 7	AXBZ	PYLI	6	6.P.C 6.Y.V 6.L.C 6.I.V	2.0 1.5 1.75 0.8	puli	0	29
#
7	Ancient Attic Greek	BITE	d a k n oː	1 7 1 4 7	AXBCZ	TAKNU	1	1.T.C 1.A.V 1.K.C 1.N.C 1.U.V	2.0 1.5 1.75 1.5 0.8	daknoː	0	30
126	Ancient Ionic Greek	BITE	d a k n oː	1 7 1 4 7	AXBCZ	TAKNU	2	2.T.C 2.A.V 2.K.C 2.N.C 2.U.V	2.0 1.5 1.75 1.5 0.8	daknoː	0	30
239	Modern Demotic Greek	BITE	ð a ɡ o n o	3 7 1 7 4 7	AXBYBZ	DAKUNU	3	3.D.C 3.A.V 3.K.C 3.U.V 3.N.C 3.U.V	2.0 1.5 1.75 1.3 1.75 0.8	ðaɡono	0	30
358	Pharasa Greek	BITE	ð a k n o	3 7 1 4 7	AXBCZ	DAKNU	4	4.D.C 4.A.V 4.K.C 4.N.C 4.U.V	2.0 1.5 1.75 1.5 0.8	ðakno	0	30
470	Southern Tsakonian	BITE	k a ʦ i n u	1 7 2 7 4 7	AXBYBZ	KACINY	5	5.K.C 5.A.V 5.C.C 5.I.V 5.N.C 5.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	kaʦinu	0	34
601	Western Cappadocian Greek	BITE	ð a k n o	3 7 1 4 7	AXBCZ	DAKNU	6	6.D.C 6.A.V 6.K.C 6.N.C 6.U.V	2.0 1.5 1.75 1.5 0.8	ðakno	0	30
#
8	Ancient Attic Greek	BLACK	m e l a n	4 7 5 7 4	AXBYN	MELAN	1	1.M.C 1.E.V 1.L.C 1.A.V 1.N.c	2.0 1.5 1.75 1.3 0.8	melan	0	35
127	Ancient Ionic Greek	BLACK	m e l a n	4 7 5 7 4	AXBYN	MELAN	2	2.M.C 2.E.V 2.L.C 2.A.V 2.N.c	2.0 1.5 1.75 1.3 0.8	melan	0	35
240	Modern Demotic Greek	BLACK	m a v r o s	4 7 3 5 7 3	AXBCYN	MABRUS	3	3.M.C 3.A.V 3.B.C 3.R.C 3.U.V 3.S.c	2.0 1.5 1.75 1.5 1.3 0.8	mavros	0	37
359	Pharasa Greek	BLACK	m a v r o	4 7 3 5 7	AXBCZ	MABRU	4	4.M.C 4.A.V 4.B.C 4.R.C 4.U.V	2.0 1.5 1.75 1.5 0.8	mavro	0	37
471	Southern Tsakonian	BLACK	k u v a n e	1 7 3 7 4 7	AXBYBZ	KYBANE	5	5.K.C 5.Y.V 5.B.C 5.A.V 5.N.C 5.E.V	2.0 1.5 1.75 1.3 1.75 0.8	kuvane	0	39
602	Western Cappadocian Greek	BLACK	m a v r o	4 7 3 5 7	AXBCZ	MABRU	6	6.M.C 6.A.V 6.B.C 6.R.C 6.U.V	2.0 1.5 1.75 1.5 0.8	mavro	0	37
#
9	Ancient Attic Greek	BLOOD	h a j m a	3 7 6 4 7	AXMBZ	HAJMA	1	1.H.C 1.A.V 1.J.c 1.M.C 1.A.V	2.0 1.5 1.1 1.75 0.8	hajma	0	42
128	Ancient Ionic Greek	BLOOD	a j m a	7 6 4 7	XMBZ	AJMA	2	2.A.V 2.J.c 2.M.C 2.A.V	1.5 1.1 1.75 0.8	ajma	0	42
241	Modern Demotic Greek	BLOOD	e m a	7 4 7	XBZ	EMA	3	3.E.V 3.M.C 3.A.V	1.5 1.75 0.8	ema	0	42
360	Pharasa Greek	BLOOD	a i m a	7 7 4 7	XYBZ	AIMA	4	4.A.V 4.I.V 4.M.C 4.A.V	1.5 1.3 1.75 0.8	aima	0	42
472	Southern Tsakonian	BLOOD	e m a	7 4 7	XBZ	EMA	5	5.E.V 5.M.C 5.A.V	1.5 1.75 0.8	ema	0	42
603	Western Cappadocian Greek	BLOOD	o i m a	7 7 4 7	XYBZ	UIMA	6	6.U.V 6.I.V 6.M.C 6.A.V	1.5 1.3 1.75 0.8	oima	0	42
#
