Language1,Phone1,Language2,Phone2,PMI
Arem,ʔ,Chứt (Mày),³,2.3095537623101388
Arem,ʔ,Chứt (Mày),⁴,0.9492348875935086
Arem,ʔ,Chứt (Mày),h,1.6964492894237297
Arem,ʔ,Chứt (Mày),ʔ,0.9492348875935086
Arem,oː,Chứt (Mày),ɔ,3.652511809943061
Arem,ɲ,Chứt (Mày),ŋ,2.266217448823171
Arem,ɲ,Chứt (Mày),m,1.9608357992719891
Arem,ɲ,Chứt (Mày),k,1.2943568657942048
Arem,m,Chứt (Mày),¹,0.40546510810816466
Arem,m,Chứt (Mày),ɓ,2.1972245773362196
Arem,m,Chứt (Mày),m,3.12398660907767
Arem,ʑ,Chứt (Mày),m,1.9608357992719887
Arem,ʑ,Chứt (Mày),ʑ,4.212127597878484
Arem,ʑ,Chứt (Mày),ŋ,1.5730702682632254
Arem,ŋˀ,Chứt (Mày),ŋ,2.5538995212749516
Arem,ŋˀ,Chứt (Mày),l,1.8607523407150062
Arem,nˀ,Chứt (Mày),n,2.8903717578961645
Arem,nˀ,Chứt (Mày),m,2.653982979831934
Arem,sʰ,Chứt (Mày),p,4.212127597878484
Arem,a̯,Chứt (Mày),a,2.1149864790992474
Arem,a̯,Chứt (Mày),i̯,1.7272209480904839
Arem,ɓ,Chứt (Mày),m,2.6539829798319348
Arem,ɓ,Chứt (Mày),ɓ,3.80666248977032
Arem,ʥ,Chứt (Mày),ʄ,6.2915691395583195
Arem,t,Chứt (Mày),ʂ,3.458355795502104
Arem,t,Chứt (Mày),³,-0.20520585062754232
Arem,t,Chứt (Mày),k,1.2337322439777703
Arem,t,Chứt (Mày),t,2.5420650636279487
Arem,t,Chứt (Mày),⁰,2.7652086149421584
Arem,e̯,Chứt (Mày),i,2.6539829798319348
Arem,e̯,Chứt (Mày),ɛ̤,5.598421958998375
Arem,n,Chứt (Mày),ɓ,2.7080502011022105
Arem,n,Chứt (Mày),k,0.888891757686041
Arem,n,Chứt (Mày),n,3.178053830347946
Arem,i,Chứt (Mày),i,2.01212909365954
Arem,i,Chứt (Mày),l̥,2.6539829798319348
Arem,i,Chứt (Mày),a̤,2.366300907380154
Arem,i,Chứt (Mày),ɽ,1.401220011336567
Arem,i,Chứt (Mày),a,1.2499890416126431
Arem,i,Chứt (Mày),ɤ̤,2.24851787172377
Arem,i,Chứt (Mày),i̯,0.8622235106038796
Arem,u,Chứt (Mày),i,0.4567584024957142
Arem,u,Chứt (Mày),u,2.7821581732559313
Arem,u,Chứt (Mày),o̤,2.302585092994045
Arem,u,Chứt (Mày),a,0.05129329438754984
Arem,ɛ,Chứt (Mày),ɤ,3.4011973816621555
Arem,ɛ,Chứt (Mày),e,4.499809670330265
Arem,ɕ,Chứt (Mày),ɕ,3.8066624897703196
Arem,i̯,Chứt (Mày),i,1.737692247957779
Arem,i̯,Chứt (Mày),i̯,3.2958368660043282
Arem,i̯,Chứt (Mày),¹,0.40546510810816394
Arem,i̯,Chứt (Mày),ŋ,0.6567795363890702
Arem,ɒ,Chứt (Mày),ɔ,3.429368258628852
Arem,ɒ,Chứt (Mày),o,2.7362210780689065
Arem,ɔː,Chứt (Mày),ɔ,3.6525118099430616
Arem,ɯː,Chứt (Mày),ɤ,4.0943445622221
Arem,lː,Chứt (Mày),k,2.680651226914095
Arem,e,Chứt (Mày),ɤ,2.7080502011022105
Arem,e,Chứt (Mày),l,1.5730702682632258
Arem,e,Chứt (Mày),ɽ,2.9593646293831166
Arem,e,Chứt (Mày),ɔ,2.266217448823171
Arem,ə,Chứt (Mày),a,1.5553706911638243
Arem,ə,Chứt (Mày),ɲ,4.212127597878484
Arem,ɯ,Chứt (Mày),ɤ,2.148434413166787
Arem,ɯ,Chứt (Mày),ɯ,3.4983611301158026
Arem,ɯ,Chứt (Mày),i,2.4998323000046754
Arem,ʨ,Chứt (Mày),c,3.5347287742866778
Arem,ʨ,Chứt (Mày),k,0.4834266495778756
Arem,r,Chứt (Mày),ɲ,3.518980417318539
Arem,r,Chứt (Mày),n,2.1972245773362196
Arem,r,Chứt (Mày),c,2.266217448823171
Arem,r,Chứt (Mày),ɛ,3.295836866004329
Arem,p,Chứt (Mày),p,2.420368128650429
Arem,p,Chứt (Mày),ʔ,1.5553706911638243
Arem,p,Chứt (Mày),ɓ,3.401197381662155
Arem,p,Chứt (Mày),ɲ,3.806662489770319
Arem,lˀ,Chứt (Mày),⁴,2.24851787172377
Arem,lˀ,Chứt (Mày),l,2.553899521274952
Arem,ʈ,Chứt (Mày),p,4.212127597878484
Arem,ʌ,Chứt (Mày),a,0.8622235106038796
Arem,ʌ,Chứt (Mày),i̯,2.4203681286504293
Arem,ʌ,Chứt (Mày),ɛ,3.9889840465642745
Arem,c,Chứt (Mày),t,1.6863989535702286
Arem,c,Chứt (Mày),ŋ,1.5730702682632254
Arem,c,Chứt (Mày),c,2.9593646293831157
Arem,kʰ,Chứt (Mày),ɽ,4.345658990503007
Arem,ɤ̯,Chứt (Mày),o,4.345658990503007
Arem,ɒː,Chứt (Mày),ɤ,2.70805020110221
Arem,ɒː,Chứt (Mày),ɔ,3.3648297374912803
Arem,ʊ,Chứt (Mày),u,3.033472601536838
Arem,l,Chứt (Mày),l,2.8258332367585934
Arem,l,Chứt (Mày),ʑ,2.132686056198648
Arem,l,Chứt (Mày),t,0.3001045924503378
Arem,mˀ,Chứt (Mày),l,1.3499267169490163
Arem,mˀ,Chứt (Mày),m,3.12398660907767
Arem,h,Chứt (Mày),⁴,1.401220011336566
Arem,h,Chứt (Mày),h,3.247046701834897
Arem,h,Chứt (Mày),³,1.7807096330414698
Arem,uː,Chứt (Mày),u,3.033472601536838
Arem,o,Chứt (Mày),u,0.9540310598570017
Arem,o,Chứt (Mày),o,2.2662174488231703
Arem,o,Chứt (Mày),¹,0.6286086594223738
Arem,o,Chứt (Mày),o̤,3.806662489770319
Arem,o,Chứt (Mày),ɯ,2.2662174488231703
Arem,o,Chứt (Mày),ɔ̤,4.212127597878483
Arem,tʰ,Chứt (Mày),t,0.770108221696074
Arem,tʰ,Chứt (Mày),ɕ,3.5835189384561104
Arem,tʰ,Chứt (Mày),tʰ,3.9889840465642745
Arem,ɤː,Chứt (Mày),ɛ,3.988984046564274
Arem,ɤː,Chứt (Mày),a̤,3.518980417318539
Arem,ŋ,Chứt (Mày),l,0.32030729976785777
Arem,ŋ,Chứt (Mày),ŋ,2.7182025725662284
Arem,ŋ,Chứt (Mày),³,-0.011049836186584823
Arem,ŋ,Chứt (Mày),²,0.6567795363890706
Arem,aː,Chứt (Mày),a,1.3322271398496144
Arem,aː,Chứt (Mày),ɯ,2.736221078068906
Arem,aː,Chứt (Mày),a̤,2.6026896854443833
Arem,aː,Chứt (Mày),ɔ,2.0430738975089606
Arem,u̯,Chứt (Mày),o,3.2470467018348974
Arem,u̯,Chứt (Mày),¹,1.6094379124341005
Arem,u̯,Chứt (Mày),n,2.484906649788001
Arem,w,Chứt (Mày),ɽ,4.345658990503007
Arem,iː,Chứt (Mày),i,3.1648086035979253
Arem,iː,Chứt (Mày),ɛ,2.890371757896165
Arem,ɗ,Chứt (Mày),ɗ,3.9889840465642745
Arem,ɗ,Chứt (Mày),k,1.294356865794205
Arem,ɗ,Chứt (Mày),c,2.266217448823171
Arem,ɲˀ,Chứt (Mày),ŋ,2.9593646293831157
Arem,a,Chứt (Mày),o,1.349926716949016
Arem,a,Chứt (Mày),ɤ,1.09861228866811
Arem,a,Chứt (Mày),u,1.1363526166509568
Arem,a,Chứt (Mày),²,0.3001045924503383
Arem,a,Chứt (Mày),ɤ̤,2.1972245773362196
Arem,a,Chứt (Mày),a,1.8177349556313156
Arem,k,Chứt (Mày),ɗ,2.430839428517725
Arem,k,Chứt (Mày),t,0.12825433552367962
Arem,k,Chứt (Mày),n,0.6390799592896702
Arem,k,Chứt (Mày),ʔ,1.095838361785385
Arem,k,Chứt (Mày),k,2.2211188975356557
Arem,k,Chứt (Mày),ɽ,1.401220011336567
Arem,aˀ,Chứt (Mày),u,3.033472601536838
Arem,t,Chứt (Rục),k,1.2855527913183584
Arem,t,Chứt (Rục),t,2.2663820443300846
Arem,u̯,Chứt (Rục),ɛ,4.28128506487235
Arem,ŋˀ,Chứt (Rục),o,2.288854900182143
Arem,ŋˀ,Chứt (Rục),ŋ,2.6498682457194738
Arem,uː,Chứt (Rục),u,2.70574870411393
Arem,ʑ,Chứt (Rục),m,1.6910178994265228
Arem,ʑ,Chứt (Rục),j,2.2444031376113096
Arem,ʑ,Chứt (Rục),ŋ,1.5512559570513642
Arem,ɕ,Chứt (Rục),s,3.7704594411063588
Arem,e̯,Chứt (Rục),j,1.8389380295031454
Arem,e̯,Chứt (Rục),a,1.062409240004149
Arem,e̯,Chứt (Rục),e,3.875819956764185
Arem,nˀ,Chứt (Rục),n,2.546684009484243
Arem,nˀ,Chứt (Rục),m,2.384165079986468
Arem,sʰ,Chứt (Rục),h,3.875819956764185
Arem,ɯː,Chứt (Rục),ə,2.8149479960789225
Arem,u,Chứt (Rục),e,1.7963784150843494
Arem,u,Chứt (Rục),u,2.3609082178222014
Arem,u,Chứt (Rục),o,0.49709543095408876
Arem,u,Chứt (Rục),w,2.8949907037524594
Arem,u,Chứt (Rục),ə,0.7355064543990871
Arem,u,Chứt (Rục),ɨ,0.5924056107584136
Arem,ɓ,Chứt (Rục),m,1.9786999718783036
Arem,ɓ,Chứt (Rục),b,3.364994332998194
Arem,ɓ,Chứt (Rục),t,1.5732348637701394
Arem,o,Chứt (Rục),u,1.3194543429940404
