Language1,Phone1,Language2,Phone2,PMI
Arem,ɤ̯,Arem,ɤ̯,6.059123195581797
Arem,ɲ,Arem,ɲ,4.449685283147697
Arem,a,Arem,a,2.5626156341153155
Arem,i̯,Arem,i̯,3.4200658659665373
Arem,ŋ,Arem,ŋ,3.2259098515255795
Arem,c,Arem,c,4.672828834461906
Arem,r,Arem,r,3.574216545793797
Arem,sʰ,Arem,sʰ,6.059123195581797
Arem,ɒː,Arem,ɒː,4.672828834461906
Arem,ŋˀ,Arem,ŋˀ,4.672828834461906
Arem,o,Arem,o,3.661227922783427
Arem,l,Arem,l,3.0146007578583736
Arem,ɯː,Arem,ɯː,6.059123195581797
Arem,iː,Arem,iː,4.267363726353743
Arem,ɤː,Arem,ɤː,5.365976015021851
Arem,aː,Arem,aː,4.113213046526482
Arem,n,Arem,n,3.574216545793797
Arem,oː,Arem,oː,6.059123195581797
Arem,lː,Arem,lː,6.059123195581797
Arem,³³,Arem,³³,6.059123195581797
Arem,e,Arem,e,4.267363726353743
Arem,lˀ,Arem,lˀ,4.449685283147697
Arem,ʥ,Arem,ʥ,6.059123195581797
Arem,i,Arem,i,2.8810693652338517
Arem,ə,Arem,ə,5.365976015021851
Arem,aˀ,Arem,aˀ,6.059123195581797
Arem,p,Arem,p,4.113213046526482
Arem,uː,Arem,uː,6.059123195581797
Arem,ɗ,Arem,ɗ,4.267363726353743
Arem,kʰ,Arem,kʰ,6.059123195581797
Arem,k,Arem,k,2.801026657560314
Arem,mˀ,Arem,mˀ,4.267363726353743
Arem,s,Arem,s,6.059123195581797
Arem,ʌ,Arem,ʌ,4.267363726353743
Arem,nˀ,Arem,nˀ,5.365976015021851
Arem,ɯ,Arem,ɯ,3.661227922783427
Arem,tʰ,Arem,tʰ,3.756538102587752
Arem,ɛ,Arem,ɛ,3.574216545793797
Arem,e̯,Arem,e̯,4.9605109069136875
Arem,a̯,Arem,a̯,3.756538102587752
Arem,ʑ,Arem,ʑ,4.672828834461906
Arem,ʈ,Arem,ʈ,6.059123195581797
Arem,w,Arem,w,6.059123195581797
Arem,ɒ,Arem,ɒ,4.449685283147697
Arem,m,Arem,m,3.494173838120259
Arem,ɓ,Arem,ɓ,4.9605109069136875
Arem,t,Arem,t,2.8402473707135965
Arem,u,Arem,u,2.625135991096651
Arem,³²,Arem,³²,6.059123195581797
Arem,a̤,Arem,a̤,6.059123195581797
Arem,u̯,Arem,u̯,4.9605109069136875
Arem,ʨ,Arem,ʨ,3.661227922783427
Arem,ɔː,Arem,ɔː,4.9605109069136875
Arem,ɲˀ,Arem,ɲˀ,6.059123195581797
Arem,ʔ,Arem,ʔ,3.351072994479588
Arem,h,Arem,h,3.9796816539019604
Arem,ʊ,Arem,ʊ,6.059123195581797
Arem,ɕ,Arem,ɕ,5.365976015021851
Arem,m,Chứt (Mày),¹,0.40546510810816483
Arem,m,Chứt (Mày),m,2.9904552164531477
Arem,m,Chứt (Mày),ɓ,2.19722457733622
Arem,m,Chứt (Mày),i̯,1.5040773967762746
Arem,c,Chứt (Mày),c,2.9593646293831157
Arem,c,Chứt (Mày),t,1.6863989535702286
Arem,c,Chứt (Mày),ŋ,1.5730702682632254
Arem,ʨ,Chứt (Mày),c,3.5347287742866778
Arem,ʨ,Chứt (Mày),k,0.4834266495778756
Arem,ʌ,Chứt (Mày),a,0.8622235106038796
Arem,ʌ,Chứt (Mày),i̯,2.4203681286504293
Arem,ʌ,Chứt (Mày),ɛ,3.9889840465642745
Arem,ɲˀ,Chứt (Mày),ŋ,2.9593646293831157
Arem,t,Chứt (Mày),k,1.2337322439777703
Arem,t,Chứt (Mày),³,-0.20520585062754232
Arem,t,Chứt (Mày),ʂ,3.458355795502104
Arem,t,Chứt (Mày),⁰,2.7652086149421584
Arem,t,Chứt (Mày),t,2.5420650636279487
Arem,ʊ,Chứt (Mày),l,2.9593646293831157
Arem,ʔ,Chứt (Mày),h,2.302585092994045
Arem,ʔ,Chứt (Mày),⁴,0.8622235106038788
Arem,ʔ,Chứt (Mày),ʔ,0.8622235106038788
Arem,ʔ,Chứt (Mày),³,2.2225423853205086
Arem,ɯː,Chứt (Mày),ɤ,4.0943445622221
Arem,ɒ,Chứt (Mày),o,2.7362210780689065
Arem,ɒ,Chứt (Mày),ɔ,3.429368258628852
Arem,a,Chứt (Mày),²,0.3001045924503383
