Gloss	Arem	Chứt (Mày)	Chứt (Rục)	Chứt (Sách)	Hung (Liha)	Hung (Phong)	Hung (Toum)	Maleng	Mương (Hòa Bình)	Mương (Sơn La)	Nguồn	Thavưng	Thổ	Vietnamese
ANT_25	kie̯nˀ	kɛ̤m⁴	kiem	keɛm⁴	kɛːn	kɛːn	kɛːn	kḛn³⁴³	kjɛn³	kjɛn³	kjen⁴	kɛːn²	kɛːn³	kiːŋ⁴⁵
ARM OR HAND_259	tʰiː	ɕi¹	si	siː¹	səi	siː	sei	sɪ³	tʰaj¹	saj¹	tăj¹	siː	siː¹	tai̯³³
ASH_30	ʈɤː												plɒː¹	ʈɔː³³
ASH_31					buːɲ	buːn	buːɲ	buɳ³	puːɲ¹	buːɲ¹	vun¹	buːɲ³		
ASH_32		tapɛh¹	tăpɛh											
BACK_36					lɔŋ	kʰlɨŋ	lʌŋ		lɨŋ¹	ləŋ¹	lɨŋ¹			lɨŋ³³
BACK_37	roŋˀ													
BACK_38		nul⁴	nuol	nuːl⁴										
BACK_39								takɒŋ³				kɔːŋ¹		
BARK_42									pɔː⁵	pɔː⁵	pɔ⁵¹	kʰabɔh¹	pɒː⁵	vɔː²¹⁴
BARK_43						kdoːk								
BARK_45		kupɔk³						kʰalɒk³⁴						
BARK_46			kăduhkəʌj											
BARK_47	aɗaˀsʰelːʔ													
BELLY OR STOMACH_49	puŋ				poŋ		poŋ				puŋ⁴			ɓuŋ͡m²¹²
BELLY OR STOMACH_50						kluŋ			kloːŋ⁴	ploːŋ⁴⁵				
BELLY OR STOMACH_51		kuɗɤ̆l¹	kdəl	kudəl¹									duːl³	
BELLY OR STOMACH_52												kʰaʔal		
BELLY OR STOMACH_53								ɬɔ̰c³⁴						
BIG_56														ləːŋ⁴⁵
BIG_57					neː	neː	niː				nə̆j⁴			
BIG_58		mɤ̤̆m²	mə̯am											
BIG_59	katɛ̆h													
BIG_60												ʔih		
BIG_61								kḛ³⁴³						
BIRD_64	iʨiːm	ʔacim¹	ĭcim	ciːm¹	ciːm	ciːm	ciːm		ciːm¹	ciːm¹	sɨm¹	ciːm¹	ciːm¹	cim³³
BIRD_66								ʔɔ̰³⁴³						
BITE_69								kĭɳ³⁴³	kaɲ³	kaɲ³	kăn³			kăŋ⁴⁵
BITE_70	kămˀ	kɤ̤̆m⁴	kəʌm	kɐm⁴									kam⁴	
BITE_71					kaːt	kaːt	kaːt							
BITE_72												tuh³		
BITTER_75		tăŋ³	ətaŋ	taŋ³	taŋ	taŋ	taŋ	tă̰ŋ³⁴³	taŋ³	taŋ³	tăŋ³	taŋ⁴	taŋ³	ɗaŋ⁴⁵
BITTER_76	nɯmˀ													
BLACK_79		tɛn¹	tɛntɛn	tɛn							tɛn¹			ɗɛːŋ³³
BLACK_80									jəm¹	jəm¹				
BLACK_82	tʰiːu̯													
BLACK_83								ɳɯ̆m³⁴				ɲum²		
BLOOD_87									maw³	maw³	maw³	tamuː¹		mau̯⁴⁵
BLOOD_89	atʰɛa̯mˀ	ʔaɕam³	asam	asaːm³		saːm	saːm							
BLOW (WITH MOUTH)_91		tʰul¹	tʰuːl	tʰuːlʰ¹	tuːc	tuːt	tuːc		tʰoːj⁵	hoːl⁵	ton⁵	tʰuːl¹	tʰuːl⁵	tʰoːi̯²¹⁴
BLOW (WITH MOUTH)_92	tʰlʊmˀ													
BLUE OR GREEN_254	ɕɛi̯ɲ	ɕeŋ¹	sĭŋ	seŋ							sɛɲ¹			san³³
BLUE OR GREEN_255								salɛːw³²⁴				salɛːw¹		
BODY LOUSE_345	n̩rei̯ɲˀ	ɓlĭŋ³	briɲ	briɲ³	pʰlʌɲ	pʰliŋ	pʰlɛɲ	ma³hriɳ³⁴³	kʰiɲ³	fəɲ⁴⁵	reɲ⁴	hahiŋ³	pʰriɲ³	ɹəŋ²¹²
BONE_96	ɕie̯ŋ	ɕaŋ²	saŋ	saːŋ²				sɤŋ³	sɨaŋ¹	sɨaŋ¹	sɨəŋ¹		sɨəŋ¹	sɨːŋ³³
BONE_97												tkoːk²		
BREAST_100											ʔu³		ʔuː³	
BREAST_101	nɒːi̯	nɔi̯⁴	nɔj	nɔːj³										
BREAST_99					now	nuː	now	panṵ³⁴³	puː³	puː³		panuː		vu⁴⁵
BURNING_117	ʨaːlˀ											cal¹		cai̯⁴⁵
BURNING_118											pɔŋ²			
BURNING_119					plaot	ploːk	plaot							
BURNING_123								kĭɳ³						
CHEST_105									ŋək⁵³	ŋək⁵³	ŋɨk⁵³			ŋɨk²¹²
CHEST_106	kətieŋ													
CHEST_107				toŋ										
CHEST_108		ʔaɽɤŋ¹												
CHEST_109			pakəaŋ											
CHEST_110								ʔɤ̆k³⁴				ʔək¹		
CHILD_114	kɒn	kɔn¹	kɔn		kɔːn	kɔːn	kɔːn				kɔn¹	kɔːn¹		kɔːŋ³³
CHILD_115								kadɛ³⁴³	dɛːt⁵²				dɛːt⁵²	
CLAW OR NAIL_127											mɔŋ³			mɔŋ͡m⁴⁵
CLAW OR NAIL_129					sam	ksam	sam	kasăm³⁴³				ksam¹	sam¹	
CLAW OR NAIL_130	n̩tɒŋ	kutoŋ¹	kə̆ntoŋ	katoːŋ¹										
CLOUD_132		mɤ̆l¹	mə̆l	məl¹	mun	kmil	mʌl		maə¹	məl¹	mə̆n¹		mʌl¹	məi̯³³
CLOUD_133	ʑɯːl													
CLOUD_136								mek³				meːk		
CRY_641														xɔk͡p⁴⁵
CRY_642	aʑiemˀ	ʑam⁴	jam	jəam⁴	jaːm	ɲaːm	jaːm	zɤ̰m³⁴³	ɲaːm⁴	ɲaːm⁴	ɲam⁴	ʔahiːm³	ɲɐːm⁴	
DIE_141	ʨiːt	kɯcit³	kacit	ciːt⁵²	ceːt	ceːt	ceːt	kacɛt³⁴	ceːt⁵²	ceːt⁵²		cəːt¹	ceːt⁵²	cəːt⁴⁵
DO OR MAKE_348														laːm²¹
DO OR MAKE_350		mɯ̆n²	mənvik		mɔn	min	mʌn							
DO OR MAKE_351	ɓŏk													
DO OR MAKE_352								mɛ³⁴				mɛː¹		
DOG_145	aʨɒʔ	ʔacɔ³	acɔ	acɔː³	cɔː	cɔː	cɔː	cɔ̰³⁴³	cɔː³	cɔː³		cɔː¹	cɒː³	cɔː⁴⁵
DOG_146											xwjen⁵			
DRINK_148									ʔɔːŋ³	ʔɔːŋ³	ʔɔːŋ³			ʔuːŋ⁴⁵
DRINK_149	ɲəu̯ʔ	ɲo⁴	ɲu	ɲuː⁴	ɲoː⁴⁵	ɲoː⁴⁵	ɲuː⁴⁵	ɳõ³⁴³				ɲuː²	ɲoː⁴	
DRY_154	kʰoː		kʰo	kʰo	kʰaw						xo¹		kʰɔː¹	xoː³³
DRY_155		ɽɔh¹						ɬɔh³						
EARTH (SOIL)_164					tɔt	tit	tʌt		tʌt⁵²	tʌt⁵²	tə̆t⁵²		tʌt⁵²	ɗək⁴⁵
EARTH (SOIL)_165		ɓɤn³	bən	bɤnʔ										
EARTH (SOIL)_166	atăk							atăk⁴				ʔataːk³		
EAR_160	tʰaːi̯	ɕai̯¹	saj	saːj¹	saːj	patsaːj	batsaːj	saj³	tʰaːj¹	saːj¹	taj¹	saːj¹	saːj¹	taːi̯³³
EAT_169	ʔăn	ʔăn¹	ʔăn	ʔan	ʔan	ʔan	ʔan	ʔan³			ăn¹	ʔan¹		ʔăŋ³³
EGG_173					klaəŋ	kləːŋ	klaəŋ		kləŋ³	kləŋ³	ʈəŋ³			ʈɨŋ⁴⁵
EGG_174													lɨən¹	
EGG_175	uluːlˀ	talul³	təlul	tuluːl³				talṵl³⁴³				tulun³		
EYE_179	mʌat	mat⁴	mə̯ʌt	mə̆at⁵³	mat	mat	mat	măt³⁴	mat²	mat²	măt⁵²	mat¹	mat⁵³	măk⁴⁵
FALL_180														ɹəːi̯³³
FALL_181											po⁵			
FALL_183	ru	ɽa̤h²		ruh²	ɣaəc		ʰlaəc	ɬuj³⁴³						
FALL_184			tlɔ											
FALL_185												tʰaloːj⁴		
FAR_188											sa¹			saː³³
FAR_189	ŋaːi̯	ɕiŋai̯³	cə̆ŋaj	təŋaːj³	ŋaːj	ŋaːj	ŋaːj	saŋa̤j³⁴³				sŋaːj²	ŋaːj³	
