ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Concept_Count,Word_Count
Arem,Arem,arem1240,Arem,aem,Eurasia,17.7672,105.928,Austroasiatic,113,113
Chứt (Mày),Chứt (Mày),mayy1239,May,scb,Eurasia,17.98149,105.62218,Austroasiatic,114,114
Chứt (Rục),Chứt (Rục),rucc1239,Ruc,scb,Eurasia,17.62995,105.9592,Austroasiatic,114,114
Chứt (Sách),Chứt (Sách),sach1240,Sach,scb,Eurasia,17.31585,105.7112,Austroasiatic,104,104
Hung (Liha),Hung (Liha),lyha1238,Ly Ha,hnu,Eurasia,18.78,104.77,Austroasiatic,97,97
Hung (Phong),Hung (Phong),phon1243,Phong,hnu,Eurasia,18.61,104.92,Austroasiatic,89,89
Hung (Toum),Hung (Toum),toum1239,Toum,hnu,Eurasia,18.78,104.77,Austroasiatic,96,96
Maleng,Maleng,male1282,Maleng,pkt,Eurasia,17.91,105.53,Austroasiatic,104,104
Mương (Hòa Bình),Mương (Hòa Bình),muon1246,Muong,mtq,Eurasia,20.6609177,105.3924747,Austroasiatic,83,83
Mương (Sơn La),Mương (Sơn La),muon1246,Muong,mtq,Eurasia,21.1508502,103.8884294,Austroasiatic,83,83
Nguồn,Nguồn,nguo1239,Nguôn,nuo,Eurasia,17.78594,106.02045,Austroasiatic,108,108
Thavưng,Thavưng,aheu1239,Thavung,thm,Eurasia,17.7655,104.229,Austroasiatic,104,104
Thổ,Thổ,thoo1240,Tho,tou,Eurasia,19.3563,105.363,Austroasiatic,78,78
Vietnamese,Vietnamese,viet1252,Vietnamese,vie,Eurasia,21.0294498,105.8544441,Austroasiatic,116,116
