Language_ID,Feature_ID,IPA,Value
Anuta,COLD,makariri,1
East_Futuna,COLD,makalili,1
Emae,COLD,makariri,1
Futuna-Aniwa,COLD,makaliɡi,1
Kapingamarangi,COLD,makariri,1
Luangiua,COLD,maalili,1
Mangareva,COLD,makariri,1
Maori,COLD,makariri,1
Mele-Fila,COLD,makariri,1
Niuean,COLD,makalili,1
North_Marquesan,COLD,kamariri,1
North_Marquesan,COLD,makarere,1
Nukuria,COLD,makariri,1
Penrhyn,COLD,makariri,1
Pukapuka,COLD,makalili,1
RakahangaManihiki,COLD,makalili,1
RennellBellona,COLD,makaɡiɡi,1
Samoan,COLD,maʔalili,1
Sikaiana,COLD,makalili,1
Tikopia,COLD,makariri,1
Tuamotuan,COLD,makariri,1
Tuvalu,COLD,makalili,1
Vaeakau-Taumako,COLD,maliki,1
Wallisian,COLD,makalili,1
Austral_(Ra'ivavae),COLD,haumaaɢuaːɢu,2
Samoan,COLD,maluuluuːlu,2
Tuvalu,COLD,maaluaːluluaːluːlu,2
Austral_(Rurutuan),COLD,toʔetoʔe,3
RakahangaManihiki,COLD,toketoke,3
Rapanui,COLD,takeo,3
Tahitian,COLD,toʔetoʔe,3
Tuamotuan,COLD,toketoke,3
East_Futuna,COLD,momoko,4
Tongan,COLD,momoko,4
Hawaiian,COLD,anu,5
Mangareva,COLD,anu,5
North_Marquesan,COLD,anu,5
Penrhyn,COLD,anu,5
Pukapuka,COLD,ano,5
Rarotongan,COLD,anutoketoke,5
Rarotongan,COLD,anu,5
Tuamotuan,COLD,anu,5
Austral_(Ra'ivavae),WIDE,ɢaɢahi,6
Austral_(Rurutuan),WIDE,ʔaʔano,7
Rarotongan,WIDE,ʔaʔano,7
Tahitian,WIDE,ʔaʔano,7
East_Futuna,WIDE,laulasi,8
Niuean,WIDE,laulahi,8
Samoan,WIDE,lautele,8
Tongan,WIDE,laulahi,8
Vaeakau-Taumako,WIDE,laueha,8
Wallisian,WIDE,laulahi,8
Futuna-Aniwa,WIDE,ʰlafa,9
Kapingamarangi,WIDE,balaha,9
Luangiua,WIDE,laha,9
Penrhyn,WIDE,raharaha,9
Pukapuka,WIDE,lapalapa,9
Sikaiana,WIDE,llaha,9
Tikopia,WIDE,lafalafa,9
Tuamotuan,WIDE,raha,9
Hawaiian,WIDE,aakea,10
North_Marquesan,WIDE,fatea,10
RakahangaManihiki,WIDE,atea,10
Rarotongan,WIDE,aatea,10
Samoan,WIDE,aateatea,10
Mangareva,WIDE,ʔataʔata,11
Maori,WIDE,faanui,12
Nukuria,WIDE,raharaha,13
RakahangaManihiki,WIDE,patapata,14
Rapanui,WIDE,kau,15
Tuvalu,WIDE,lauefa,16
Anuta,DOG,korii,17
Austral_(Ra'ivavae),DOG,ʔuɢi,17
Austral_(Rurutuan),DOG,ʔuuriuːri,17
East_Futuna,DOG,kulii,17
Emae,DOG,kuri,17
Futuna-Aniwa,DOG,kuli,17
Hawaiian,DOG,ʔiilio,17
Mangareva,DOG,kurii,17
Maori,DOG,kurii,17
Mele-Fila,DOG,kori,17
Niuean,DOG,kulii,17
North_Marquesan,DOG,kuʔi,17
Penrhyn,DOG,kurii,17
Pukapuka,DOG,kulii,17
RakahangaManihiki,DOG,kurii,17
Rapanui,DOG,kuri,17
Rarotongan,DOG,kurii,17
RennellBellona,DOG,kuɡi,17
Samoan,DOG,ʔulii,17
Sikaiana,DOG,kulii,17
Tahitian,DOG,ʔurii,17
Tikopia,DOG,kuri,17
Tongan,DOG,kulii,17
Tuamotuan,DOG,kurio,17
Tuvalu,DOG,kulii,17
Vaeakau-Taumako,DOG,kulii,17
Wallisian,DOG,kulii,17
Kapingamarangi,DOG,pana,18
Luangiua,DOG,poi,19
North_Marquesan,DOG,nuhe,20
Nukuria,DOG,manukaitama,21
Pukapuka,DOG,puakaoa,22
Rapanui,DOG,paiheɡa,23
Samoan,DOG,maile,24
Anuta,KNOW (SOMETHING),poto,25
East_Futuna,KNOW (SOMETHING),poto,25
Tikopia,KNOW (SOMETHING),poto,25
Anuta,KNOW (SOMETHING),iroa,26
Emae,KNOW (SOMETHING),iroa,26
Futuna-Aniwa,KNOW (SOMETHING),iroa,26
Kapingamarangi,KNOW (SOMETHING),iloo,26
Luangiua,KNOW (SOMETHING),ailoa,26
Niuean,KNOW (SOMETHING),iloa,26
Nukuria,KNOW (SOMETHING),iloa,26
Pukapuka,KNOW (SOMETHING),iiloloa,26
Samoan,KNOW (SOMETHING),iloa,26
Sikaiana,KNOW (SOMETHING),iloa,26
Tikopia,KNOW (SOMETHING),iloa,26
Tongan,KNOW (SOMETHING),ʔilo,26
Tuvalu,KNOW (SOMETHING),iloa,26
Vaeakau-Taumako,KNOW (SOMETHING),iloa,26
Austral_(Ra'ivavae),KNOW (SOMETHING),ʔite,27
Austral_(Rurutuan),KNOW (SOMETHING),ʔite,27
Hawaiian,KNOW (SOMETHING),ʔike,27
Mangareva,KNOW (SOMETHING),kite,27
Penrhyn,KNOW (SOMETHING),kite,27
RakahangaManihiki,KNOW (SOMETHING),kite,27
Rarotongan,KNOW (SOMETHING),kite,27
Tahitian,KNOW (SOMETHING),ʔite,27
Tuamotuan,KNOW (SOMETHING),kite,27
East_Futuna,KNOW (SOMETHING),masani,28
Wallisian,KNOW (SOMETHING),ʔiloʔi,28
East_Futuna,KNOW (SOMETHING),maatino,29
RennellBellona,KNOW (SOMETHING),maatino,29
Maori,KNOW (SOMETHING),moohio,30
Mele-Fila,KNOW (SOMETHING),taea,31
North_Marquesan,KNOW (SOMETHING),hani,32
Pukapuka,KNOW (SOMETHING),wanewane,33
Pukapuka,KNOW (SOMETHING),maawutu,34
RakahangaManihiki,KNOW (SOMETHING),maarama,35
Rapanui,KNOW (SOMETHING),aɡi,36
Rarotongan,KNOW (SOMETHING),maatau,37
Tuamotuan,KNOW (SOMETHING),maatau,37
Sikaiana,KNOW (SOMETHING),atamai,38
Anuta,CLOUD,ao,39
East_Futuna,CLOUD,ʔao,39
Emae,CLOUD,ᵐboroa,39
Futuna-Aniwa,CLOUD,boa,39
Hawaiian,CLOUD,ao,39
Mangareva,CLOUD,ao,39
Maori,CLOUD,kapua,39
Niuean,CLOUD,laɡi,39
North_Marquesan,CLOUD,ao,39
Penrhyn,CLOUD,oo,39
Pukapuka,CLOUD,kaapuao,39
RakahangaManihiki,CLOUD,kapua,39
RakahangaManihiki,CLOUD,ao,39
Rarotongan,CLOUD,tiao,39
RennellBellona,CLOUD,ʔao,39
Samoan,CLOUD,ao,39
Tikopia,CLOUD,ao,39
Tongan,CLOUD,ʔao,39
Tuamotuan,CLOUD,ao,39
Vaeakau-Taumako,CLOUD,meluao,39
Wallisian,CLOUD,ʔao,39
