Gloss	Arem	Chứt (Mày)	Chứt (Rục)	Chứt (Sách)	Hung (Liha)	Hung (Phong)	Hung (Toum)	Maleng	Mương (Hòa Bình)	Mương (Sơn La)	Mương (Thanh Hóa)	Nguồn (Cổ Liêm)	Nguồn (Yên Thọ)	Thavưng	Thổ (Cuối Chăm)	Thổ (Làng Lỡ)	Vietnamese
ANT_1	kie̯nˀ				kɛːn	kɛːn	kɛːn	kḛn³⁴³	kjɛn³	kjɛn³	kjɛn³	kjen⁴	kjen⁴	kɛːn²	kɛːn³	ɣɛːn⁴	kiːŋ⁴⁵
ANT_2		kɛ̤m⁴	kiem	keɛm⁴													
ARM OR HAND_1	tʰiː	ɕi¹	si	siː¹	səi	siː	sei	sɪ³						siː	siː¹	siː¹	
ARM OR HAND_2									tʰaj¹	saj¹	saj¹	taj¹	taj¹				
ARM OR HAND_3																	tai̯³³
ASH_1	ʈɤː															ʈɔː¹	ʈɔː³³
ASH_2		tapɛh¹	tapɛh														
ASH_3					buːɲ	buːn	buːɲ	buɳ³	puːɲ¹	buːɲ¹	vuːɲ¹	vun¹		buːɲ³			
ASH_4															plɒː¹		
BACK_1	roŋˀ																
BACK_2		nul⁴	nuol	nuːl⁴													
BACK_3					lɔŋ	kʰlɨŋ	lʌŋ		lɨŋ¹	ləŋ¹		lɨŋ¹				lʌŋ¹	lɨŋ³³
BACK_4								takɒŋ³						kɔːŋ¹			
BARK_1	aɗaˀsʰelːʔ																
BARK_2		kupɔk³												kʰabɔh¹			
BARK_3			kaduhkəʌj														
BARK_4						kdoːk		kʰalɒk³⁴									
BARK_5									pɔː⁵	pɔː⁵	bɔː⁴⁵	pɔ⁵¹	bɔ⁵¹		pɒː⁵		
BARK_6																voa⁵⁵	
BARK_7																	vɔː²¹⁴
BELLY OR STOMACH_1	puŋ				poŋ		poŋ					puŋ⁴	buŋ⁴				ɓuŋ͡m²¹²
BELLY OR STOMACH_2		kuɗɤl¹	kdəl	kudəl¹										kʰaʔal			
BELLY OR STOMACH_3						kluŋ			kloːŋ⁴	ploːŋ⁴⁵	ʈoːŋ⁴⁵						
BELLY OR STOMACH_4								ɬɔ̰c³⁴									
BELLY OR STOMACH_5															duːl³	duːn³	
BIG_1	katɛh																
BIG_2		mɤ̤m²	mə̯am														
BIG_3					neː	neː	niː					nəj⁴					
BIG_4								kḛ³⁴³									
BIG_5														ʔih			
BIG_6																	ləːŋ⁴⁵
BIRD_1	iʨiːm	ʔacim¹	icim	ciːm¹	ciːm	ciːm	ciːm		ciːm¹	ciːm¹	ciːm¹	sɨm¹	cɨm¹	ciːm¹	ciːm¹	ciːm¹	cim³³
BIRD_2								ʔɔ̰³⁴³									
BITE_1	kamˀ	kɤ̤m⁴	kəʌm	kɐm⁴											kam⁴	kam⁴	
BITE_2					kaːt	kaːt	kaːt										
BITE_3								kiɳ³⁴³	kaɲ³	kaɲ³		kan³	kaɲ³				kaŋ⁴⁵
BITE_4														tuh³			
BITTER_1	nɯmˀ																
BITTER_2		taŋ³	ətaŋ	taŋ³	taŋ	taŋ	taŋ	ta̰ŋ³⁴³	taŋ³	taŋ³	taŋ³	taŋ³	ʔaŋ³	taŋ⁴	taŋ³	taŋ³	ɗaŋ⁴⁵
BLACK_1	tʰiːu̯																
BLACK_2		tɛn¹		tɛn								tɛn¹	ʔɛn¹				ɗɛːŋ³³
BLACK_3			tɛntɛn														
BLACK_4								ɳɯm³⁴						ɲum²			
BLACK_5									jəm¹	jəm¹	jəm¹						
BLOOD_1	atʰɛa̯mˀ	ʔaɕam³	asam	asaːm³		saːm	saːm										
BLOOD_2									maw³	maw³	maw³	maw³					
BLOOD_3														tamuː¹			
BLOOD_4																	mau̯⁴⁵
BLOW (WITH MOUTH)_1	tʰlʊmˀ																
BLOW (WITH MOUTH)_2		tʰul¹	tʰuːl	tʰuːlʰ¹	tuːc	tuːt	tuːc						tun⁵	tʰuːl¹	tʰuːl⁵	tʰuːn⁵⁵	
BLOW (WITH MOUTH)_3									tʰoːj⁵			ton⁵					tʰoːi̯²¹⁴
BLOW (WITH MOUTH)_4										hoːl⁵							
BLUE OR GREEN_1	ɕɛi̯ɲ	ɕeŋ¹	siŋ	seŋ								sɛɲ¹	sɛɲ¹				san³³
BLUE OR GREEN_2								salɛːw³²⁴									
BLUE OR GREEN_3														salɛːw¹			
BODY LOUSE_1	nrei̯ɲˀ											reɲ⁴					ɹəŋ²¹²
BODY LOUSE_2		ɓliŋ³	briɲ	briɲ³	pʰlʌɲ	pʰliŋ	pʰlɛɲ								pʰriɲ³		
BODY LOUSE_3								ma³hriɳ³⁴³									
BODY LOUSE_4									kʰiɲ³					hahiŋ³		siɲ³	
BODY LOUSE_5										fəɲ⁴⁵							
BONE_1	ɕie̯ŋ	ɕaŋ²	saŋ	saːŋ²				sɤŋ³	sɨaŋ¹	sɨaŋ¹	sɨaŋ¹	sɨəŋ¹	sɨəŋ¹		sɨəŋ¹	sɨaŋ¹	sɨːŋ³³
BONE_2														tkoːk²			
BREAST_1	nɒːi̯	nɔi̯⁴	nɔj	nɔːj³													
BREAST_2					now	nuː	now										
BREAST_3								panṵ³⁴³						panuː			
BREAST_4									puː³	puː³							vu⁴⁵
BREAST_5												ʔu³			ʔuː³	ʔuː³	
BURNING_1	ʨaːlˀ													cal¹			cai̯⁴⁵
BURNING_2					plaot	ploːk	plaot										
BURNING_3								kiɳ³									
BURNING_4												pɔŋ²	bɔŋ⁵¹				
CHEST_1	kətieŋ																
CHEST_2		ʔaɽɤŋ¹															
CHEST_3			pakəaŋ														
CHEST_4				toŋ													
CHEST_5								ʔɤk³⁴	ŋək⁵³	ŋək⁵³		ŋɨk⁵³		ʔək¹		ŋɨk⁵³	ŋɨk²¹²
CHILD_1	kɒn	kɔn¹	kɔn		kɔːn	kɔːn	kɔːn					kɔn¹	kɔn¹	kɔːn¹			kɔːŋ³³
CHILD_2								kadɛ³⁴³									
CHILD_3									dɛːt⁵²		dɛːt⁵²				dɛːt⁵²	dɛːt⁵²	
CLAW OR NAIL_1	ntɒŋ	kutoŋ¹	kəntoŋ	katoːŋ¹													
CLAW OR NAIL_2					sam	ksam	sam	kasam³⁴³						ksam¹	sam¹		
CLAW OR NAIL_3												mɔŋ³					mɔŋ͡m⁴⁵
CLOUD_1	ʑɯːl																
CLOUD_2		mɤl¹	məl	məl¹	mun	kmil	mʌl			məl¹	mən¹	mən¹			mʌl¹	mʌn¹	
CLOUD_3								mek³						meːk			
CLOUD_4									maə¹								məi̯³³
CRY_1	aʑiemˀ	ʑam⁴	jam	jəam⁴	jaːm		jaːm	zɤ̰m³⁴³									
CRY_2						ɲaːm			ɲaːm⁴	ɲaːm⁴	ɲaːm⁴	ɲam⁴			ɲɐːm⁴	ɲɐːm⁴	
CRY_3														ʔahiːm³			
CRY_4																	xɔk͡p⁴⁵
DIE_1	ʨiːt	kɯcit³	kacit	ciːt⁵²	ceːt	ceːt	ceːt	kacɛt³⁴	ceːt⁵²	ceːt⁵²	ceːt⁵²			cəːt¹	ceːt⁵²	ceːt⁵²	cəːt⁴⁵
DO OR MAKE_1	ɓok																
DO OR MAKE_2		mɯn²			mɔn	min	mʌn	mɛ³⁴						mɛː¹			
DO OR MAKE_3			mənvik														
DO OR MAKE_4																	laːm²¹
DOG_1	aʨɒʔ	ʔacɔ³	acɔ	acɔː³	cɔː	cɔː	cɔː	cɔ̰³⁴³	cɔː³	cɔː³	cɔː³			cɔː¹	cɒː³	cɔː³	cɔː⁴⁵
DOG_2												xwjen⁵					
DRINK_1	ɲəu̯ʔ																
DRINK_2		ɲo⁴	ɲu	ɲuː⁴			ɲuː⁴⁵	ɳõ³⁴³						ɲuː²	ɲoː⁴	ɲɔː³	
DRINK_3					ɲoː⁴⁵												
DRINK_4						ɲoː⁴⁵											
DRINK_5									ʔɔːŋ³	ʔɔːŋ³	ʔɔːŋ³	ʔɔːŋ³					ʔuːŋ⁴⁵
DRY_1	kʰoː		kʰo	kʰo								xo¹			kʰɔː¹	kʰoː¹	xoː³³
DRY_2		ɽɔh¹															
DRY_3					kʰaw												
DRY_4								ɬɔh³									
EAR_1	tʰaːi̯																taːi̯³³
EAR_2		ɕai̯¹	saj	saːj¹	saːj	patsaːj	batsaːj	saj³	tʰaːj¹	saːj¹	saːj¹	taj¹	taj¹	saːj¹	saːj¹	saːj¹	
EARTH (SOIL)_1	atak							atak⁴						ʔataːk³			
EARTH (SOIL)_2		ɓɤn³	bən	bɤnʔ													
EARTH (SOIL)_3					tɔt	tit	tʌt		tʌt⁵²	tʌt⁵²	dʌt⁵²	tət⁵²	ʔət⁵²		tʌt⁵²	tʌt⁵²	ɗək⁴⁵
EAT_1	ʔan	ʔan¹	ʔan	ʔan	ʔan	ʔan	ʔan	ʔan³				an¹	an¹	ʔan¹			ʔaŋ³³
EGG_1	uluːlˀ	talul³	təlul	tuluːl³				talṵl³⁴³						tulun³			
EGG_2					klaəŋ	kləːŋ	klaəŋ		kləŋ³	kləŋ³	kləŋ³		ʔləŋ³		lɨən¹	lɨən¹	
EGG_3												ʈəŋ³					ʈɨŋ⁴⁵
