Gloss	Badga	Betta Kurumba	Brahui	Gondi	Kannada	Kodava	Kolami	Kota	Koya	Kurukh	Kuwi	Malayalam	Malto	Ollari Gadba	Parji	Tamil	Telugu	Toda	Tulu	Yeruva
I-B	na	naːʋə	iː	nanna	naːnu	naːnə	neːnu	aːn	nanna	aeːn	naːnu~mu	ɲaːn	heːnu	aːn	aːn	naːn	neːnu	oːn	jaːnu	naːn
all-A	ella				ella	ella		ellaːm				ella				ellaːm				
all-B									antaː								anta			
all-C									mottam								mottamu			
all-D																		oʋʋoɖimo		
all-E																	anni			
all-F																				nanɡaːɭə
all-G																			maːta	
all-H		oːʈəja																		
all-I											haɾa									
all-J			kull																	
all-K													ɡoːʈahiː							
all-L													ɡiːʈeniː							
all-M										majin										
all-N							maːk													
all-O				bottiɡ																
ashes-A												ʧaːmbal~ʧaːɾam				saːmbal				
ashes-B	kolabuːdi	piːdi			buːdi	buːdi		poːdu atukə	buːɖida								buːɖida	puːdi		buːdi
ashes-C																			ʧuːnja~ʧoːnja	
ashes-D				niːɾ										niɖ	nĩd					
ashes-F			his																	
ashes-G							buɡɡi													
ashes-H										ʧind										
bark-A	paʈʈe					aʈʈe						paʈʈa				paʈʈe	paʈʈa			
bark-B					naːɾu															
bark-C										oːɖak										
bark-D									beɾaɖu								beɾaɖu			
bark-E						ʧekke														
bark-F									danʈi											
bark-G					toɡaʈi															
bark-H																		puʈkoɾi		
bark-I																			ketta	
bark-J				toːl																toːlu
bark-K		meɾtoːlə										maɾattoli								
bark-L			bund																	
bark-M							ɖanɖi maɖɖa													
bark-N								kolluʧo												
belly-A												ʋajaɾə				vayiru		piɾ	banʤi	baiɾu~baːɾə
belly-B	oʈʈe	poʈʈi			hoʈʈe~hoʈʈa	poʈʈe							puɖaː		poʈʈa		poʈʈa			
belly-C																	kaɖupu			
belly-D									ɖokka											
belly-E																tonti				
belly-F																toppai				
belly-G										kuːl										
belly-H			peɖʰ	piːɾ										puduɡ						
belly-I											banɖi									
belly-J							ʈeʈʈe													
belly-K								naɖpeːʈɡu												
big-A				pedda					beɾɾa		beːɾ		beːɖo		beɾto	peɾija~peɾəsə	pedda			
big-B						baljadə						ʋaludə								baleji
big-C	doɖɖadə				doɖɖadu															
big-D																			malla	
big-E																		ittuːɖə		
big-F		dappu																		
big-G			ballun																	
big-H										koha										
big-I														muɾe						
big-J								toɖut												
bird-A																paɾaʋai		paɾaʋai		
bird-B		(pikki)			(hakki)~(pakʂi)	(pakʂi)		(pakkiɡaɭ)				(pakʂi)					(pakʂi)		(pakki)	(pakʧi)
bird-C				piʈʈə			piʈʈa		piʈʈeːku								pitta			
bird-D												kili								
bird-E											minu									
bird-F													puʤudu							
bird-G			ʧok																	
bird-H										oɖa										
bird-I														titə						
bite-A		kaɖi~kajɾi	kaat kanninɡ		kaɖi	kaɖi		kaɖə				kadikkuɡa				kaɖi				kaɖi
bite-B																		paɾʧiʈʧi		
bite-C							atekaʂin													
bite-D									koɾaka						koɾk		koɾuku			
bite-F	kaʧʧə			kask	kaʧʧu				kaʧʧaː	kʰaʧʧna	kaʧine									
bite-G																			tinaːɾa	
bite-H													koːhi							
