Language1,Phone1,Language2,Phone2,PMI
Badga,iː,Badga,iː,4.420846626523464
Badga,ɖ,Badga,ɖ,3.6476567382899825
Badga,ɖ,Badga,ɡ,1.3450716452959368
Badga,ʤ,Badga,ʤ,5.519458915191573
Badga,a,Badga,a,2.169554827916968
Badga,ʈ,Badga,ʈ,3.8147108229531477
Badga,ɡ,Badga,ɡ,3.804660487099646
Badga,ɡ,Badga,ɖ,1.4251143529694723
Badga,h,Badga,h,5.11399380708341
Badga,ə,Badga,ə,2.069471369359986
Badga,e,Badga,e,2.8114087140893633
Badga,oː,Badga,oː,5.519458915191573
Badga,ɭ,Badga,ɭ,4.420846626523464
Badga,l,Badga,l,3.216873822197527
Badga,o,Badga,o,3.322234337855354
Badga,ɾ,Badga,ɾ,3.2681671165850776
Badga,tʰ,Badga,tʰ,6.212606095751519
Badga,eː,Badga,eː,5.11399380708341
Badga,d,Badga,d,3.5045558946493087
Badga,ʧ,Badga,ʧ,4.0153815184153
Badga,t,Badga,t,3.2681671165850776
Badga,ʋ,Badga,ʋ,3.9100210027574724
Badga,aː,Badga,aː,3.8147108229531477
Badga,b,Badga,b,4.826311734631628
Badga,u,Badga,u,3.322234337855354
Badga,i,Badga,i,3.0345522654035735
Badga,j,Badga,j,5.519458915191573
Badga,k,Badga,k,2.6862455711353572
Badga,n,Badga,n,2.8453102657650446
Badga,uː,Badga,uː,5.519458915191573
Badga,s,Badga,s,5.11399380708341
Badga,ɳ,Badga,ɳ,5.11399380708341
Badga,p,Badga,p,2.6862455711353572
Badga,m,Badga,m,3.2681671165850776
Badga,iː,Betta Kurumba,iː,3.6407708757939057
Badga,iː,Betta Kurumba,e,2.57293024579255
Badga,iː,Betta Kurumba,i,0.7011280688909584
Badga,d,Betta Kurumba,t,1.972492463336872
Badga,d,Betta Kurumba,d,2.793473015406702
Badga,d,Betta Kurumba,ʒ,4.4982211076451275
Badga,ɖ,Betta Kurumba,d,0.8681821535541244
Badga,ɖ,Betta Kurumba,ʈ,1.8797830652326042
Badga,ɖ,Betta Kurumba,ɖ,3.1860347186789584
Badga,ɖ,Betta Kurumba,ɭ,2.167465137684385
Badga,ɖ,Betta Kurumba,p,1.6566395139183947
Badga,ʤ,Betta Kurumba,ɖ,3.186034718678958
Badga,ʤ,Betta Kurumba,ʤ,5.750984076140495
Badga,ʈ,Betta Kurumba,ɾ,2.12664314316413
Badga,ʈ,Betta Kurumba,ɡ,1.6158175193981392
Badga,ʈ,Betta Kurumba,ʈ,3.448398983146449
Badga,a,Betta Kurumba,ə,-0.10694907834296415
