ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Concept_Count,Word_Count
Badga,Badga,bada1257,Badaga,bfq,Eurasia,11.3094,76.5974,Dravidian,95,101
Betta,Betta Kurumba,bett1235,Betta Kurumba,xub,Eurasia,11.6385,76.6064,Dravidian,100,121
Brahui,Brahui,brah1256,Brahui,brh,Eurasia,29.04,66.56,Dravidian,100,107
Gondi,Gondi,nort2702,Northern Gondi,gno,Eurasia,18.1632,81.3842,Dravidian,100,108
Kannada,Kannada,nucl1305,Kannada,kan,Eurasia,13.5878,76.1198,Dravidian,100,131
Kodava,Kodava,koda1255,Kodava,kfa,Eurasia,12.2443,75.9161,Dravidian,100,103
Kolami,Kolami,nort2699,Northwestern Kolami,kfb,Eurasia,20.1022,78.4934,Dravidian,96,99
Kota,Kota,kota1263,Kota (India),kfe,Eurasia,11.4978,76.9387,Dravidian,91,94
Koya,Koya,koya1251,Koya,kff,Eurasia,17.6772,81.2096,Dravidian,100,121
Kurukh,Kurukh,kuru1302,Indian Kurux,kru,Eurasia,24.4644,86.4657,Dravidian,100,104
Kuwi,Kuwi,kuvi1243,Kuvi,kxv,Eurasia,18.8832,83.7552,Dravidian,56,69
Malayalam,Malayalam,mala1464,Malayalam,mal,Eurasia,9.59208,76.7651,Dravidian,100,134
Malto,Malto,saur1249,Sauria Paharia,mjt,Eurasia,24.8124,87.6432,Dravidian,95,115
Ollari,Ollari Gadba,pott1240,Pottangi Ollar Gadaba,gdb,Eurasia,18.5968,82.7586,Dravidian,59,60
Parji,Parji,duru1236,Duruwa,pci,Eurasia,19.0534,82.4881,Dravidian,64,64
Tamil,Tamil,tami1289,Tamil,tam,Eurasia,10.520219,78.825989,Dravidian,100,145
Telugu,Telugu,telu1262,Telugu,tel,Eurasia,16.4529,78.7024,Dravidian,100,148
Toda,Toda,toda1252,Toda,tcx,Eurasia,11.4184,77.0168,Dravidian,100,102
Tulu,Tulu,tulu1258,Tulu,tcy,Eurasia,12.8114,75.2651,Dravidian,98,99
Yeruva,Yeruva,ravu1237,Ravula,yea,Eurasia,12.3231,75.6265,Dravidian,99,100
