# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
#
7	Beijing	ALL	ʨʰ ɥ ɛ n ³⁵ p u ⁵¹	2 6 7 4 8 1 7 8	ACXLTBYT	CJEN2PY3	1	1.C.C 1.J.C 1.E.V 1.N.c 1.2.T 1.P.C 1.Y.V 1.3.T	1.6 1.2 3.0 1.1 1.0 1.3 3.0 1.0	ʨʰɥɛn³⁵pu⁵¹	0	10
216	Changsha	ALL	ʨʰ ɥ ẽ ¹³ p u ¹¹	2 6 7 8 1 7 8	ACXTBYT	CJE2PY1	2	2.C.C 2.J.C 2.E.V 2.2.T 2.P.C 2.Y.V 2.1.T	1.6 1.2 3.0 1.0 1.3 3.0 1.0	ʨʰɥẽ¹³pu¹¹	0	10
484	Chengdu	ALL	ʨʰ ɥ a n ²¹ p u ²¹³	2 6 7 4 8 1 7 8	ACXLTBYT	CJAN3PY6	3	3.C.C 3.J.C 3.A.V 3.N.c 3.3.T 3.P.C 3.Y.V 3.6.T	1.6 1.2 3.0 1.1 1.0 1.3 3.0 1.0	ʨʰɥan²¹pu²¹³	0	10
742	Fuzhou	ALL	k o ²¹² l o u ŋ ⁵³ ŋ a ²⁴²	1 7 8 5 7 7 4 8 4 7 8	AXTBYYLTBYT	KU6LUYN3NA6	4	4.K.C 4.U.V 4.6.T 4.L.C 4.U.V 4.Y.V 4.N.c 4.3.T 4.N.C 4.A.V 4.6.T	1.6 3.0 1.0 1.3 3.0 3.0 1.1 1.0 1.3 3.0 1.0	ko²¹²louŋ⁵³ŋa²⁴²	0	4
1007	Guangzhou	ALL	ʦʰ y n ²¹ p o u ²²	2 7 4 8 1 7 7 8	AXLTBYYT	CYN3PUY1	5	5.C.C 5.Y.V 5.N.c 5.3.T 5.P.C 5.U.V 5.Y.V 5.1.T	1.6 3.0 1.1 1.0 1.3 3.0 3.0 1.0	ʦʰyn²¹pou²²	0	10
1215	Guilin	ALL	ʨ ɥ ã ²² p u ²¹	2 6 7 8 1 7 8	ACXTBYT	CJA1PY3	6	6.C.C 6.J.C 6.A.V 6.1.T 6.P.C 6.Y.V 6.3.T	1.6 1.2 3.0 1.0 1.3 3.0 1.0	ʨɥã²²pu²¹	0	10
1420	Ha'erbin	ALL	ʨʰ ɥ a n ²⁴ p u ⁵³	2 6 7 4 8 1 7 8	ACXLTBYT	CJAN2PY3	7	7.C.C 7.J.C 7.A.V 7.N.c 7.2.T 7.P.C 7.Y.V 7.3.T	1.6 1.2 3.0 1.1 1.0 1.3 3.0 1.0	ʨʰɥan²⁴pu⁵³	0	10
1663	Jinan	ALL	ʨʰ ɥ æ̃ ⁵³ p u ³¹	2 6 7 8 1 7 8	ACXTBYT	CJE3PY3	8	8.C.C 8.J.C 8.E.V 8.3.T 8.P.C 8.Y.V 8.3.T	1.6 1.2 3.0 1.0 1.3 3.0 1.0	ʨʰɥæ̃⁵³pu³¹	0	10
1872	Jixi	ALL	ʨʰ ɥ ẽ ⁴⁴ pʰ u ³¹	2 6 7 8 1 7 8	ACXTBYT	CJE5PY3	9	9.C.C 9.J.C 9.E.V 9.5.T 9.P.C 9.Y.V 9.3.T	1.6 1.2 3.0 1.0 1.3 3.0 1.0	ʨʰɥẽ⁴⁴pʰu³¹	0	10
