Gloss	Beijing	Changsha	Chengdu	Fuzhou	Guangzhou	Guilin	Ha'erbin	Jinan	Jixi	Loudi	Meixian	Nanchang	Nanjing	Rongcheng	Suzhou	Taiyuan	Wenzhou	Xi'an	Xiamen
BAD_7																	mə³⁴¹		
BARK_1	ʂu⁵¹pʰjə³⁵	ɕy¹¹pi¹³	su²¹³pʰi²¹		sy²²pʰei²¹	ɕy²¹pi²²	ʂu⁵³pʰi²⁴	ʂu³¹pʰi⁵³	ɕy³¹pʰɹ⁴⁴	ʑy¹¹bi¹³	su⁵³pʰi¹¹	su²¹pʰi²⁴	su⁴⁴pʰi¹³	ʃy³³⁴pʰi³⁵	zɻʷ²³¹bi¹³	su⁴⁵pʰi²¹	zɹ²²bei³⁴¹	fu⁴⁴pʰi²⁴	ʦʰju²²pʰe²⁴
BARK_2				ʦʰjeu²¹²pʰwoi⁵³															
BE ALIVE_1	xwo³⁵tɤ⁰	xo²⁴ti⁰					xwo²⁴ty⁰	xwɤ⁵³ti⁰					xoʔ⁵ti⁰	xwɔ³⁵tə⁰		xwəʔ⁵⁴təʔ⁰		xwo²⁴ti⁰	
BE ALIVE_2			xo²¹li⁵⁵																
BE ALIVE_3				waʔ⁵ki⁵³															waʔ⁵e⁰
BE ALIVE_4					saŋ⁵³kɛ³³						saŋ³³ŋe⁵³								
BE ALIVE_5						xwo²²kɤ⁰te³³				xwe³⁵kɤ⁰					ɦwə²³kəʔ⁴				
BE ALIVE_6									voʔ³²noʔ³²										
BE ALIVE_7												wot²¹ko⁴²							
BE ALIVE_8																	ʥi²²ɡi⁰		
BECAUSE_1	in⁵⁵wei⁰	in³³wei¹¹	in⁴⁵wei²¹³	iŋ⁵⁵ŋwoi²⁴²	jɐn⁵³wɐi²²	iŋ⁴²wei²²	in⁴⁴ʋei⁰			in⁴⁴wi¹¹		in⁴²wi²¹	in³¹ʋei¹³	in⁵²wei³⁵	in⁴⁴ɦwe̞²³¹	iŋ²¹vei⁴⁵			iŋ⁵⁵wi²²
BECAUSE_2							yŋ⁴⁴xu⁰												
BECAUSE_3								jẽ²¹⁴vei³¹										jẽ²¹wei²⁴	
BECAUSE_4									jɑ̃⁵⁵vi⁵⁵		in³³vi¹¹						jaŋ⁴⁴vu³⁴¹		
BELLY_1	tu⁵¹ʦʰɹ⁰	təu⁵⁵ʦɹ⁰	tu²¹³ʦɹ⁵³			tu²³ʦe²³	tu⁵³ʦwɹ⁰	tu³¹ʦɹ⁰	tʰu²¹³ʦɹ⁰	tɤu⁴²ʦɹ⁰		tu²¹³ʦɹ⁰	tu⁴⁴ʦɹ⁰	tu³³⁴ʦɹ⁰		tu⁴⁵ʦəʔ⁰		tou⁴⁴ʦɹ⁰	
BELLY_2			tu²¹³pʰi²¹												dəu²³¹bi¹³				
BELLY_3				puʔ²⁴lo³²															
BELLY_4					tʰou²³						tu³¹						døy²⁴		
BELLY_5																			pak³²tɔ⁵³
BIG_1	tɑ⁵¹	tai¹¹	ta²¹³	twai²⁴²	tai²²	tai²¹	ta⁵³	ta³¹	tʰɵ³¹	da¹¹	tʰai⁵³	tʰai²¹	tɑ⁴⁴	ta³³⁴	dəu²³¹	ta⁴⁵	dɤu²²	tɑ⁴⁴	twa²²
BIRD_1	njɑu²¹³	ɲjau⁴¹			nju²³		njau²¹³	ɲjɔ⁴⁵	ɲje²¹³			ɲjɛu²¹³	ljɔ¹¹			njau⁵³			
BIRD_2			ʨʰɥo²¹ə⁵⁵										ʨʰjoʔ⁵ʦɹ⁰	ʦʰɥɔ³⁵					
BIRD_3			ʨʰo²¹ʨʰo²¹																
BIRD_4				ʦɛu³²			ʨʰjau²¹³											ʨʰjɑu⁵³	ʦjau⁵³
BIRD_5						tjɑu²³				tjɤ⁴²ʨi³⁵	tjau³³ve⁰				tjæ⁵²				
BIRD_6																	tjɛ²⁴²ŋ⁰		
BITE_1	jɑu²¹³		ŋau⁵³		ŋau²³	ŋɑu²³	jau²¹³					ŋau²¹³		jau²¹⁴		jau⁵³		ɲjɑu⁵³	
BITE_2		ŋa⁴¹						jɔ⁴⁵					jɔ¹¹						
BITE_3				ka²⁴²															ka²²
BITE_4									ŋɤ²¹³						ŋæ²³¹				
BITE_5										ŋa³⁵	ŋat¹						ŋwɔ²⁴²		
BLACK_1	xei⁵⁵	xə²⁴	xe²¹			xei⁵⁵	xei⁴⁴	xei²¹⁴	xɤʔ³²	xe¹³			xeʔ⁵	xɛ²¹⁴		xəʔ²		xei²¹	
BLACK_2				u⁵⁵															ɔ⁵⁵
BLACK_3					hɐk³						het¹	hɛt⁵			həʔ⁴		he⁴¹		
BLOOD_1	ɕɥɛ²¹³	ɕje²⁴	ɕɥe²¹			ɕɥe⁵⁵	ɕɥɛ²¹³	ɕjə²¹⁴	ɕɥaʔ³²		çjat¹	ɕɥet⁵	ɕɥeʔ⁵	sjɛ²¹⁴	ɕɥəʔ⁴	ɕɥəʔ²	ɕy⁴¹	ɕjɛ²¹	
BLOOD_2				haiʔ²⁴															hwiʔ³²
BLOOD_3					hyt³														
BLOOD_4										swe¹³									
BLOW (OF WIND)_1	ʈ͡ʂʰwei⁵⁵	ʨʰwei³³	ʦʰwei⁴⁵	ʦʰwoi⁵⁵		ʦʰwei⁴²	ʦʰwei⁴⁴	ʈ͡ʂʰwei²¹⁴					ʦʰwei³¹	ʈ͡ʂʰwei⁵²		ʦʰwei²¹			
BLOW (OF WIND)_2				puŋ⁵³							pʰaŋ³³								pun²⁴
BLOW (OF WIND)_3					ʦʰøy⁵⁵				ʨʰy⁵⁵	ʨʰy⁴⁴									
BLOW (OF WIND)_4												ʦʰwi⁴²			ʦʰɻʷ⁴⁴		ʦʰɹ⁴⁴		
BLOW (OF WIND)_5																		p͡fʰei²¹	
BLUNT_1	tɛ⁵⁵					tai⁴²		tɛ²¹⁴				tai⁴²	tɛ³¹			tai²¹		tɛ²¹	
BLUNT_2		ŋai¹³								ŋe¹³					ŋe̞¹³		ŋe³⁴¹		
BLUNT_3		pən¹¹	pən²¹³		pɐn²²		pən⁵³		pʰõ³¹		pun⁵³		pən⁴⁴			pəŋ⁴⁵	baŋ²²		
BLUNT_4			kwa⁴⁵																
BLUNT_5				ʦu⁵³															
BLUNT_6				kʰy⁵³															kʰam⁵³
BLUNT_7												muʔ⁵							
BLUNT_8														pjau⁵²					
BONE_1	ku²¹⁴	ku²⁴təu⁰	ku²¹tʰəu²¹			ku⁵⁵tai²²	ku²¹³tʰou⁰	ku²¹⁴tʰou⁰		ku¹³djɤ¹³	kut¹tʰeu¹¹	kuʔ⁵tʰəu⁰	kuʔ⁵tʰəɯ¹³	ku²¹⁴tʰə⁰			ky⁴²dɤu³⁴¹~ky⁴¹	ku²¹tʰou⁰~ku²¹tou⁰	kut³²tʰau²⁴
BONE_2				kɔuʔ²¹~kɔuʔ²⁴kɔuʔ²⁴															
BONE_3					kwɐt⁵				kwɤʔ³²						kwəʔ⁴dʏ¹³	kwəʔ²təu⁰			
BREAST_1	ʐu²¹⁴fɑŋ³⁵	y⁴¹fan¹³			y²³fɔŋ²¹	lai²³fɑŋ²²							lu¹¹fɑ̃¹³					vu⁵³fɑŋ²¹	
BREAST_2		lai⁴¹ʦɹ⁰					nai²¹³ʦɹ⁰	nɛ⁴⁵ʦɹ⁰				lai²¹³		nai²¹⁴ʦɹ⁰		nai⁵³			
BREAST_3			lai⁴⁵lai⁵⁵																
BREAST_4				nɛiŋ⁵³							nen⁵³ku³³								
BREAST_5							ʦa⁴⁴												
BREAST_6								ma²¹³ma⁰											
BREAST_7									lɔ³⁵ʦɹ⁰										
BREAST_8										la³⁵bu¹³									
BREAST_9															nɑ¹³nɑ¹³				
BREAST_10																	na²⁴		
BREAST_11																			njæ⁵³jã⁵³
BREATHE_1	xu⁵⁵ɕi⁵⁵	fu³³ʨi²⁴	fu⁴⁵ɕi²¹		fu⁵⁵kʰɐp⁵		xu⁴⁴ɕi⁴⁴	xu²¹⁴ɕi²¹⁴				fu⁴²ɕit⁵	xu³¹ɕiʔ⁵				fu⁴⁴ɕjai⁴¹	xu²¹ɕi²¹	
BREATHE_2		ʨʰy²⁴ʨʰi⁵⁵				ʦʰwã²³ʨʰi²⁵				ʨʰy¹³ʨʰi³⁵			ʈ͡ʂʰwɑ̃¹¹ʨʰi⁴⁴			ʦʰwəʔ²ʨʰi⁴⁵			
BREATHE_3				hu⁵⁵hɛiʔ²⁴															
BREATHE_4									tʰi²¹³ʦʰɹ³⁵								tʰau²⁴²ʦʰɹ⁵¹		
BREATHE_5											tʰeu⁵³çi⁵³				tʰʏ⁵²ʨʰi⁴¹²				
BREATHE_6												ɕit⁵ʨʰi²⁴							
BREATHE_7														ʈ͡ʂʰɐn²¹⁴cʰjə³³⁴					
BREATHE_8																			hɔ⁵⁵kʰi⁵³
BURN_1	ʂɑu⁵⁵	sau³³	sau⁴⁵	sjeu⁵⁵	sju⁵³	sɑu⁴²	ʂau⁴⁴	ʂɔ²¹⁴	ɕjo⁵⁵	ɕjɤ⁴⁴	sau³³	sɛu⁴²	sɔ³¹	ʂau⁵²	sæ⁴⁴	sau²¹	ɕjɛ⁴⁴	ʂɑu²¹	sjo⁵⁵
CHILD (YOUNG HUMAN)_1	xɛ³⁵							xa⁵³											
CHILD (YOUNG HUMAN)_2		xai¹³ʦɹ⁰			hai²¹			xɛ⁵³ʦɹ⁰				hai²⁴	xɛ¹³ʦɹ⁰	xai³⁵ʦɹ⁰		xai²¹~xai²¹ʦəʔ⁰			
CHILD (YOUNG HUMAN)_3		ŋa¹³sɹ⁵⁵ʦɹ⁰																	
CHILD (YOUNG HUMAN)_4			wa²¹wa²¹													va²¹va²¹			
CHILD (YOUNG HUMAN)_5			ʦai⁵³ʦai⁵³																
CHILD (YOUNG HUMAN)_6				ha⁵³i⁵³															
CHILD (YOUNG HUMAN)_7				nje⁵³jaŋ³²ŋo⁵⁵															
CHILD (YOUNG HUMAN)_8						ɕi²⁵kwo⁰ʦe²³				ɕi³⁵ko⁰ʣe⁰									
CHILD (YOUNG HUMAN)_9							ɕjau²¹³xa²⁴~ɕjau²¹³ka⁴⁴									ɕjau⁵³va²¹va²¹			
CHILD (YOUNG HUMAN)_10									sɹ³⁵jɑ̃⁴⁴ko⁵³										
CHILD (YOUNG HUMAN)_11											se⁵³ŋin¹¹ne⁰				sjæ⁵²ɲin¹³				
CHILD (YOUNG HUMAN)_12												ɕi⁴⁵ŋa⁰ʦɹ⁰							
CHILD (YOUNG HUMAN)_13													wɑ¹³ə⁰						
CHILD (YOUNG HUMAN)_14																	mai⁴⁴mai⁴⁴		
CHILD (YOUNG HUMAN)_15																	sei⁵¹ŋ⁰		
CHILD (YOUNG HUMAN)_16																		wɑ⁴⁴	
CHILD (YOUNG HUMAN)_17																			in⁵³na⁵³
CLAW_1	ʈ͡ʂwa²¹³	ʦau⁴¹ʦɹ⁰	ʦwa⁵³ʦwa²¹				ʈ͡ʂwa²¹³ʦɹ⁰	ʈ͡ʂwa⁴⁵ʦɹ⁰	ʦɤ²¹³ʦɹ⁰	ʦɤ⁴²ʦɹ⁰		ʦwa²¹³ʦɹ⁰	ʦwɑ¹¹ʦɹ⁰	ʈ͡ʂwa²¹⁴ʦɹ⁰		ʦwa⁵³		p͡fɑ⁵³ʦɹ⁰	
CLAW_2		ʦau⁴¹		ʦau³²	ʦau³⁵	ʦɑu²³ʦe²³					ʦau³¹								
CLAW_3				kʰa⁵⁵ʦau³²															
CLAW_4															ʨjɑʔ⁴ʦæ⁵²		ʨja⁴¹ʦwɔ²⁴²		
CLAW_5																			ɡɔ²²njãu⁵³liŋ²⁴
CLOUD_1	yn³⁵	yn¹³	yn²¹	huŋ⁵³	wɐn²¹	yŋ²²	yn²⁴ʦʰai⁰			un¹³	jun¹¹	yn²⁴	in¹³	yn⁵²	ɦɥən¹³	yŋ²¹	ɥoŋ³⁴¹		hun²⁴
CLOUD_2								ɥẽ⁵³	ɥɑ̃⁴⁴									ɥẽ²⁴	
COLD_1	ləŋ²¹⁴	lən⁴¹	nən⁵³		laŋ²³		ləŋ²¹³	ləŋ⁴⁵	nẽ²¹³		laŋ³³	laŋ²¹³	lən¹¹	ləŋ²¹⁴		ləŋ⁵³		ləŋ⁵³	liŋ⁵³
COLD_2				kaŋ⁵³															kwã²⁴
COLD_3				tɔyŋ²¹²															
COLD_4				ʦʰiŋ²¹²															ʦʰin²¹
COLD_5						lei²³													
COLD_6										njɔ̃⁴²							ljɛ²⁴²		
COLD_7															la²³¹				
COME_1	lɛ³⁵	lai¹³	lai²¹	li³²	lɔi²¹	lai²²	lai²⁴	lɛ⁵³	na⁴⁴	le¹³	loi¹¹	lai⁴⁵	nɛ¹³	lai³⁵	le̞¹³	lai²¹		lɛ²⁴	lai²⁴
COME_2																	ʦau²⁴²lo⁰		
CORRECT (RIGHT)_1	twei⁵¹	tei⁵⁵	twei²¹³		tøy³³	tei²⁵	twei⁵³	twei³¹	ta³⁵	twe³⁵	twi⁵³	twi⁴⁵	twei⁴⁴	tei³³⁴	te̞⁴¹²	twei⁴⁵	tai⁵¹	twei⁴⁴	twi²¹
CORRECT (RIGHT)_2				mo⁵³laŋ²⁴²															
COUNT_1	ʂu²¹³	səu⁴¹	su⁵³	sou²¹²	sou³⁵	su²⁵	ʂu²¹³	ʂu⁴⁵	su²¹³	sɤu⁴²		su²¹³	su¹¹	ʃu³³⁴	səu⁵²	su⁵³		sou⁵³	sɔ²¹
COUNT_2											sɹ⁵³								
COUNT_3																	ti²⁴		
CUT_1	kʰan²¹⁴	kʰan⁴¹	kʰan⁵³	kʰaŋ³²		kʰã²³	kʰan²¹³	kʰæ̃⁴⁵				kʰan²¹³	kʰɑ̃¹¹	kʰɐn²¹⁴		kʰæ̃⁵³		kʰæ̃⁵³	
CUT_2			ʦai⁵³							ʨjo³⁵									
CUT_3				ʦʰɔy²¹²															
CUT_4					hɐm³⁵														kʰam⁵³
CUT_5									ʦoʔ³²										
CUT_6											sat¹								
CUT_7															ʦe̞⁴⁴				
CUT_8																	tɤu⁵¹		
DAY (NOT NIGHT)_1	tʰjɛn⁵⁵	tʰjẽ³³	tʰjɛn⁴⁵	tʰjeŋ⁵⁵	tʰin⁵³	tʰjã⁴²	tʰjan⁴⁴	tʰjæ̃²¹⁴	tʰẽ⁵⁵	tʰjæ⁴⁴	tʰjen³³	tʰjɛn⁴²	tʰjen³¹	tʰjɐn⁵²	tʰjɪ⁴⁴	tʰje²¹		tʰjæ̃²¹	tʰjæ⁵⁵
DAY (NOT NIGHT)_2																	ne²¹		
DIE_1	sɹ²¹³	sɹ⁴¹	sɹ⁵³			sɹ²³	sɹ²¹³	sɹ⁴⁵	sɹ²¹³	sɹ⁴²	sɹ³¹	sɹ²¹³	sɹ¹¹	sɹ²¹⁴		sɹ⁵³	sɹ²⁴²	sɹ⁵³	
DIE_2		kwa³³																	
DIE_3		tan¹³sɹ⁵⁵lan¹³																	
DIE_4				si³²	sei³⁵										si⁵²				si⁵³
DIG_1	wa⁵⁵	wa²⁴	wa⁴⁵			wa⁵⁵	wa⁴⁴	va²¹⁴		wa¹³		wa⁴²	wɑ³¹	wa²¹³		va²¹		wɑ²¹	
DIG_2			pʰau²¹																
DIG_3			ʦwa²¹																
DIG_4				waʔ²⁴	wat³				vaʔ³²		vat¹				waʔ⁴				
DIG_5																	lau⁴⁴		
DIG_6																			ɔ⁵³
DIRTY_1	ʦɑŋ⁵⁵	ʦan³³	ʦaŋ⁴⁵				ʦaŋ⁴⁴	ʦɑŋ²¹⁴				ʦɔŋ⁴²	ʦɑ̃³¹	ʦaŋ⁵²		ʦɒ̃²¹		ʦɑŋ²¹	
DIRTY_2		la²⁴tʰa²⁴	la²¹tʰa²¹			la⁵⁵tʰa²¹													
DIRTY_3			nəu²¹səu⁵⁵																
DIRTY_4				la⁵⁵ʦʰa⁵⁵	u⁵⁵ʦou⁵³												ə⁴⁴ʦə⁴⁴		
DIRTY_5				ouʔ⁵ʦʰwoʔ²⁴											oʔ⁴ʦʰoʔ⁴				
DIRTY_6							mai²⁴tʰai⁰												
DIRTY_7									voʔ³²lo³¹	pʰa³⁵la¹¹									
DIRTY_8											me⁵³								
DIRTY_9												ŋa⁴²ʦa⁰							
DIRTY_10																			lau²⁴sjɔŋ²⁴
DOG_1	kou²¹⁴	kəu⁴¹	kəu⁵³		kɐu³⁵	kai²³	kou²¹³	kou⁴⁵	ki²¹³		keu³¹	kjɛu²¹³	kəɯ¹¹	kou²¹³	kʏ⁵²	kəu⁵³	kau²⁴²	kou⁵³	kau⁵³
DOG_2				kʰɛiŋ³²~kʰɛiŋ³²ŋjaŋ³²															
DOG_3										tjɤ⁴²									
DRINK_1	xɤ⁵⁵	xo²⁴	xo⁴⁵			xwo⁵⁵	xɤ⁴⁴	xɤ²¹⁴	xɤ⁵⁵				xoʔ⁵			xəʔ²		xwo²¹	
DRINK_2		ʨʰja²⁴		sjøʔ⁵						ʨʰjɔ¹³					ʨʰjəʔ⁴				
DRINK_3				ʦʰwoʔ²⁴															
DRINK_4					jɐm³⁵														lim⁵⁵
DRINK_5											sət⁵								
DRINK_6												hot²		xa²¹⁴	haʔ⁴				
DRINK_7																	ha⁴¹		
DRY_1	kan⁵⁵	kan³³	kan⁴⁵	kaŋ⁵⁵	kɔn⁵³	kã²³	kan⁴⁴	kæ̃²¹⁴	kɔ⁵⁵	kã⁴⁴	kon³³	kon⁴²	kɑ̃³¹	kɐn³³⁴	kø⁴⁴	kæ̃²¹	ky⁴⁴	kæ̃²¹	
DRY_2				ta⁵⁵															ta⁵⁵
DRY_3																	sə⁵¹		
DUST_1	ʈ͡ʂʰən³⁵tʰu²¹⁴						ʈ͡ʂʰən²⁴tʰu²¹³		ʨʰjɑ̃⁴⁴tʰu²¹³		ʦʰən¹¹	ʦʰɛn²⁴tʰu²¹³				ʦʰəŋ²¹tʰu⁵³			
DUST_2		fei³³ʦən¹³			fwi⁵³ʦʰɐn²¹	fei⁴²ʦɤn²²			fa⁵⁵ʨʰjɑ̃⁴⁴			fɨi⁴²ʦʰɛn⁰			hwe̞⁴⁴zən¹³				
DUST_3			ʦa⁴⁵ʦa⁵⁵~ʦa⁴⁵ʦɹ⁵³																
DUST_4				uŋ⁵⁵niŋ⁵³															
DUST_5								tʰu⁴⁵la⁰											
DUST_6										xwe⁴⁴			xwei³¹~xwei³¹ʦʰən¹³	xwei⁵²		xwei²¹ʦʰəŋ²¹		xwei²¹ʈ͡ʂʰẽ²⁴	
DUST_7																	baŋ³⁴¹ʣaŋ³⁴¹		
DUST_8																		ʈ͡ʂʰẽ²⁴~ʈ͡ʂʰẽ²⁴tʰou⁵³	
DUST_9																			tʰɔ²⁴hun⁵³
EAR_1	ə²¹⁴	ə⁴¹	ə⁵³													ə⁵³		ə⁵³	
EAR_2		ə⁴¹to⁰	ə⁵³to⁵⁵				ə²¹³two⁰	ə⁴⁵twɤ⁰	ẽ²¹³tɵ²¹³	ɤ⁴²tɤ⁰		ɵ²¹³tɔ⁰	ə¹¹to⁴⁴	ə²¹⁴tə⁰		ə⁵³twɤ⁰		ə⁵³two⁰	
EAR_3				ŋɛi²⁴²															
EAR_4					i²³ʦɐi³⁵														
EAR_5						y²³tu²³													
EAR_6											ŋi³¹kuŋ³³								
EAR_7															ɲ²³¹təu⁵²		ŋ²⁴to²⁴²		
EAR_8																			hi²²ja⁵³
EARTH (SOIL)_1	tʰu²¹³ti⁵¹	tʰəu⁴¹ti¹¹	tʰu⁵³ti²¹³		tʰou³⁵tei²²	tʰu²³ti²¹	tʰu²¹³ti⁵³	tʰu⁴⁵ti³¹		tʰɤu⁴²di¹¹	tʰu³¹tʰi⁵³	tʰu²¹³tʰi⁴²	tʰu¹¹ti⁴⁴	tʰu²¹³ti³³⁴	tʰəu⁵²di²³¹	tʰu⁵³ti⁴⁵	tʰøy²⁴²dei²²	tʰou⁵³ti⁴⁴	tʰɔ⁵³twe²²
EARTH (SOIL)_2			ti²¹³							di¹¹			ti⁴⁴		di²³¹bi¹³	ti⁴⁵		ti⁴⁴	
EARTH (SOIL)_3				tʰu⁵³lɛi²⁴²															
EARTH (SOIL)_4									ʦʰɹ³¹										
EARTH (SOIL)_5									tʰu²¹³ʦʰɹ³¹										
EAT_1	ʈ͡ʂʰɻ⁵⁵		ʦʰɹ²¹				ʈ͡ʂʰɻ⁴⁴	ʈ͡ʂʰɻ²¹⁴					ʈ͡ʂʰɻʔ⁵				ʦʰɹ⁴¹	ʈ͡ʂʰɻ²¹	
EAT_2		ʨʰja²⁴		sjeʔ⁵					ʨʰjeʔ³²	ʨʰjɔ¹³		ʨʰjaʔ⁵			ʨʰjəʔ⁴	ʦʰəʔ²			ʦjaʔ⁵
EAT_3					sek²						sət⁵								
EAT_4						ʨʰi⁵⁵													
EAT_5														tai²¹⁴					
EGG_1	ʨi⁵⁵tan⁵¹	ʨi³³tan¹¹	ʨi⁴⁵tan²¹³		kɐi⁵³tan²²	ʨi⁴²tã²¹	ʨi⁴⁴tan⁵³	ʨi²¹⁴tæ̃⁴¹		ʨi⁴⁴dã¹¹		ʨʰi⁴²tʰan²¹	ʨi³¹tɑ̃⁴⁴	ci⁵²tɐn²¹⁴	ʨi⁴⁴de̞²³¹	ʨi²¹tæ̃⁴⁵		ʨi²¹tæ̃⁰	
EGG_2				kje⁵⁵lɔuŋ²⁴²							ke³³lon³¹								
EGG_3									ʦɹ⁵⁵ʦɹ²¹³										
EGG_4																	ʦɹ⁴⁴laŋ²⁴		
EGG_5																			kwe⁵⁵nŋ²²
EYE_1	jɛn²¹³ʨiŋ⁵⁵	ŋan⁴¹ʨin⁰	jɛn⁵³ʨin⁵⁵		ŋan²³ʦɛŋ⁵⁵		jan²¹³ʨiŋ⁰	jæ̃⁴⁵ʨiŋ⁰				ŋan²¹³ʨjaŋ⁰	jen¹¹ʨin⁰	jɐn²¹⁴ʦiŋ⁵²		je⁵³ʨiŋ⁰			
EYE_2				mɛiʔ⁵ʦjeu⁵⁵															
EYE_3						ŋã²³ʦei⁴²			ŋo²¹³ʨjɑ̃⁵⁵	ŋã⁴²ʨy⁴⁴	ŋjan³¹ʦu³³								
EYE_4							jan²¹³									je⁵³			
EYE_5															ŋe̞²³¹u⁴⁴ʦɻʷ⁴⁴				
EYE_6																	ŋa²⁴leŋ³⁴¹ʦɹ⁴⁴		
EYE_7																		njæ̃⁵³wo⁰	
EYE_8																			bak⁵ʦju⁵⁵
FALL_1	tjɑu⁵¹	tjau¹¹	tjau²¹³			tjɑu²⁵	tjau⁵³	tjɔ³¹					tjɔ⁴⁴	tjau³³⁴		tjau⁴⁵		tjɑu⁴⁴	
FALL_2			lo²¹		lɔk²						lok⁵							lwo²¹	lak³²
FALL_3				tɔuŋ²⁴²													daŋ²²		
FALL_4									noʔ³²							laʔ²			
FALL_5									tjaʔ³²			tjɛt⁵			dəʔ²³	tjəʔ²			
FALL_6										swa¹³									
FAR_1	ɥɛn²¹³	ɥẽ⁴¹	ɥan⁵³		yn²³	ɥã²³	ɥan²¹³	ɥæ̃⁴⁵	ɥẽ²¹³		jan³¹	ɥon²¹³	ɥen¹¹	ɥɐn²¹⁴		ɥe⁵³	ju²⁴	ɥæ̃⁵³	
FAR_2				hwoŋ²⁴²															
FAR_3										wĩ⁴²									
FAR_4															ɦjø²³¹				
FAR_5																			wan⁵³
FAT (ORGANIC SUBSTANCE)_1	ʈ͡ʂɻ²¹³fɑŋ³⁵	ʦɹ³³fan¹³					ʈ͡ʂɻ²¹³faŋ²⁴	ʈ͡ʂɻ²¹⁴fɑŋ⁴⁵				ʦɹ²¹³faŋ²¹	ʈ͡ʂɻ¹¹fɑ̃¹³	ʈ͡ʂɻ²¹⁴faŋ³⁵		ʦɹ⁵³fɒ̃⁰		ʦɹ²¹fɑŋ²⁴	
FAT (ORGANIC SUBSTANCE)_2			jəu²¹								ju¹¹	ju⁴⁵	jəɯ¹³			jəu²¹		jou²⁴	
FAT (ORGANIC SUBSTANCE)_3				jeu⁵³ʒje⁵⁵															
FAT (ORGANIC SUBSTANCE)_4					kou⁵³														
FAT (ORGANIC SUBSTANCE)_5						pã²³jou²²													
FAT (ORGANIC SUBSTANCE)_6									jɵ⁴⁴										
FAT (ORGANIC SUBSTANCE)_7									ʦɹ²¹³xõ⁴⁴								ʦɹ⁴⁴hwɔ⁴⁴		
