Gloss	Aichi	Akita	Aomori	Chiba	Ehime	Fukui	Fukuoka	Fukushima	Gifu	Gunma	Hachijō	Hateruma	Hirara	Hiroshima	Hokkaidō	Hyōgo	Ibaraki	Ikema	Irafu	Ishigaki	Ishikawa	Iwate	Kagawa	Kagoshima	Kanagawa	Kumamoto	Kyōto	Kōchi	Mie	Miyagi	Miyazaki	Nagano	Nagasaki	Nara	Naze	Niigata	Okayama	Okinawa	Old Japanese	Saga	Saitama	Shiga	Shimane	Shizuoka	Taketomi	Tarama	Tochigi	Tokushima	Tottori	Toyama	Tōkyō	Wakayama	Yamagata	Yamaguchi	Yamanashi	Yonaguni	Ōita	Ōsaka
ABOVE_1	ue	ue	ue		ue	ue	ue	ue		ue	ue	ʔui		ue	uje	ue	ue			ui	ue	ue	ue	ue	ue	uje	ue	ue	ue	ue	uje	ue	uje	ue	ʔuɨ		ue	ʔui	uhe		ue	ue	oe	ue	ui		ue	ue	ue	ue	ue	ue	ue	ue	ue		ue	ue
ABOVE_2				waʔka																																																						
ABOVE_3									ie																																																	
ABOVE_4													waːbi					aːbi	waːbi																																							
ABOVE_5																																				teɴjʤoː																						
ABOVE_6																																								ueɴhoː																		
ABOVE_7																																														waːbu										ʔijabi		
ALL_1	miɴna	miɴna	miɴna	miɴa	miɴna	miɴna		miɴna	miɴna	miɴna	meɴna		mːna	miɴna	miɴna	miɴna	miɴna	mːna	mːna		ɴna	miɴna	miɴna	miɴna	miɴna	mina	miɴna	miɴnaː	mina	miɴna	miɴna	miɴna	miɴna	miɴna		ɴna	miɴna		mɨna		miɴa	mina	meɴna	miɴna		mːna	mina	mina	miɴna	ɴna	miɴa	miɴna	miɴna	miɴna	miɴna		miɴna	mina
ALL_2							soːjo																																																			
ALL_3												muːruɴ								muːru																		muru							muːru											muru		
ALL_4																																			ɡoʔto																							
ALL_5																																								ʃiʔkja																		
AND_1												tu								tu																			tø																	tʔu		
ASH_1	βɛː																														fe																											
ASH_2		aɡu	aɡu					aɡu							aku							aɡu								aɡu						aku																	aɡu					
ASH_3				hɛː	hai	hai	hai			hai	heː			hai		hai	hae			hai	hai		hai	heː	heː		hai	hai	hai			heː	hai	hai	hə		hai	heː	haçi		hai	hae	hae	heː	pai		hai	hai	hai	hai	hai	hai		hɛː	heː		heː	hai
ASH_4									çɛː																	çaː														çaː																		
ASH_5												peː																																														
ASH_6													karapaɨ					karapai	karapaɨ																											karapaɨ												
ASH_7																																																								çiɡuɴ		
AT_1	de	de	de	de	de	de	de~ɡeː	de	de	de	de			de	de	de	de				de	de	de	de~ke	de~e	de	de	ɴde	de	de	ʤe	de	de	ɴde	ʧi	de	de	neːti	te	de	de~e	de	de	de			de	de		de	de	de	ɴde	de	de			de
AT_2	ni			ɴ	ni	ni			ni	ni	ni		ɴ		ni	ni		ɴ	ɴ		ni		ni			ni	ni	ni	ni		ni		ni			ni		neː	ni	ni		ni	ni		na~naː	ɴ	ni	ni	ni	ni	ni	ni		ni	ni		ʤi	ni
AT_3		sa	sa					sa									sa					sa																															sa					
AT_4												ʃi		i																				i																								
AT_5												naɡa								ɴɡa~ɡadu																																						
AT_6																																			naɴtɨ																							
AT_7																																																	kara									
BACK_1	senaka	henaɡa	henaɡa	senaka		ʃenaɡa	ʃenaka	ʃenaɡa	senaka	senaka		iʃinaɡa		sena	senaka	senaka	ʃenaɡa				senaka	senaɡa	senaka	senaka	senaka		senaka	senaka	senaka	ʃenaɡa	ʃenaka	senaka	ʃenaka	senaka		senaka	ʃena	naɡaːni	se	ʃena	senaka	senaka	ʃena	senaka	kuʃinaka		senaka	ʃenaka	senaka	senaka	senaka	senaka	henaɡa	sena	senaka		ʃenaka	senaka
BACK_2					seɴɡo																																																					
BACK_3											hedaka																																															
BACK_4													kusɨ							kusu															kusɨ																							
BACK_5																		kuːɴmi	kuːɴni																																							
BACK_6																										ɡotjaː																																
BACK_7																																														kusɨbuni										kuʧʔibuni		
BAD_1	warjuː	wari	wari	wariː	warui	warui	waruka	warui	warjuː	warui	warukja			wariː	warui	warui	warue				warui	waru	warui	wari	wariː	waruka	warui		warui	warue	wari	wariː	waruka	warui	waruʃaɴ	waːre	wariː			waːka	warue	warui	wari	wariː			warui	warui	warui	wariː	warui	wariː	wari	warwiː	warui		wariː	warui
BAD_2												waʔsahaɴ																										waʔʃeɴ							waʔsaɴ											barasaɴ		
BAD_3													baɨkaɨ					baikai	balkal																																							
BAD_4																				warusaɴ																																						
BAD_5																												beɴɡoʤa																														
BAD_6																																							aʃi																			
BAD_7																																														dami												
BE ALIVE_1	ikiru	eɡiru	eɡiru	iɡiru	ikiru	ikiru	ikiru	iɡiru	ikiru	ikiru	ikiru	iɡuɴ		ikiru	ikiru	ikiru	ekiru				ikiru	eɡiru	ikiru	iɡiʔ	ikiru	ikiru	ikiru	ikiru	ikiru	eɡiru	ikuru	ekiru	ikiʔ	ikiru	ʔikirjuɴ	ekiru	ikiru	ʔikiɴ	iku	ikiː	ikiru	ikiru	ekiː	ikiru	ʔikiruɴ	ikil	ikiru	ikiru	ikiru	ikiru	ikiru	ikiru	eɡiru	ikiru	ikiru	ʔiɡuɴ	ikuru	ikiru
BE ALIVE_2													iksɨdiɨɴnuʦɨaɨ					ikiːɴnuʔʧaːi																																								
BE ALIVE_3																			ɴnuʦɨmuʦɨ	nuʦɨmuiɴ																																						
BE DEAD OR DIE_1	ʃinu	ʃinu	sunu	ʃinu	ʃinuru	ʃinu	ʃinu	ʃinu	ʃinu	ʃinu			sɨɴ	ʃinuru	ʃinu	ʃinu	ʃinu	sɨɴ	sɨɴ		ʃiɴ	sunu	ʃinu	keʃiɴ	ʃinu	ʃinuru	ʃinu	ʃinuru	ʃinu		keʃinuru	ʃimu	ʃinu	ʃinu	sɨɲuɴ	ʃiɡu	ʃinuru		ʃinu	ʃiɴ	ʃinu	ʃinu	ʃinoː	ʃinu		sɨɴ	ʃinu	ʃinu	ʃinuru	ʃinu	ʃinu	ʃinu	ʃinu	ʃinuru	ʃinu		ʃinuru	ʃinu
BE DEAD OR DIE_2											marubu																																															
BE DEAD OR DIE_3												maːrasuɴ								maːrasuɴ																		maːsuɴ							maːrasuɴ											maisuɴ		
BELLY_1	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara			hara		hara	hara				hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara		hara	hara			hara	hara	hara	hara	hara			hara	hara	hara	hara	hara	hara	hara		hara		hara	hara
BELLY_2												bata	bata					bata	bata	bada															wata			wataː	wata						bata	bata										bata		
BELLY_3															onaka																																							onaka				
