# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
#
23	Aichi	ABOVE	u e	7 7	XZ	YE	1	1.Y.V 1.E.V	1.5 0.8	ue	0	12
218	Akita	ABOVE	u e	7 7	XZ	YE	2	2.Y.V 2.E.V	1.5 0.8	ue	0	12
412	Aomori	ABOVE	u e	7 7	XZ	YE	3	3.Y.V 3.E.V	1.5 0.8	ue	0	12
602	Chiba	ABOVE	w a ʔ k a	6 7 1 1 7	AXMBZ	WAHKA	4	4.W.C 4.A.V 4.H.c 4.K.C 4.A.V	2.0 1.5 1.1 1.75 0.8	waʔka	0	4
794	Ehime	ABOVE	u e	7 7	XZ	YE	5	5.Y.V 5.E.V	1.5 0.8	ue	0	12
989	Fukui	ABOVE	u e	7 7	XZ	YE	6	6.Y.V 6.E.V	1.5 0.8	ue	0	12
1183	Fukuoka	ABOVE	u e	7 7	XZ	YE	7	7.Y.V 7.E.V	1.5 0.8	ue	0	12
1378	Fukushima	ABOVE	u e	7 7	XZ	YE	8	8.Y.V 8.E.V	1.5 0.8	ue	0	12
1569	Gifu	ABOVE	i e	7 7	XZ	IE	9	9.I.V 9.E.V	1.5 0.8	ie	1	9
1762	Gunma	ABOVE	u e	7 7	XZ	YE	10	10.Y.V 10.E.V	1.5 0.8	ue	0	12
1955	Hachijō	ABOVE	u e	7 7	XZ	YE	11	11.Y.V 11.E.V	1.5 0.8	ue	0	12
2145	Hateruma	ABOVE	ʔ u i	1 7 7	AXZ	HYI	12	12.H.C 12.Y.V 12.I.V	2.0 1.5 0.8	ʔui	0	12
2332	Hirara	ABOVE	w aː b i	6 7 1 7	AXBZ	WAPI	13	13.W.C 13.A.V 13.P.C 13.I.V	2.0 1.5 1.75 0.8	waːbi	0	13
2525	Hiroshima	ABOVE	u e	7 7	XZ	YE	14	14.Y.V 14.E.V	1.5 0.8	ue	0	12
2720	Hokkaidō	ABOVE	u j e	7 6 7	XBZ	YJE	15	15.Y.V 15.J.C 15.E.V	1.5 1.75 0.8	uje	0	12
2913	Hyōgo	ABOVE	u e	7 7	XZ	YE	16	16.Y.V 16.E.V	1.5 0.8	ue	0	12
3105	Ibaraki	ABOVE	u e	7 7	XZ	YE	17	17.Y.V 17.E.V	1.5 0.8	ue	0	12
3297	Ikema	ABOVE	aː b i	7 1 7	XBZ	API	18	18.A.V 18.P.C 18.I.V	1.5 1.75 0.8	aːbi	0	13
3489	Irafu	ABOVE	w aː b i	6 7 1 7	AXBZ	WAPI	19	19.W.C 19.A.V 19.P.C 19.I.V	2.0 1.5 1.75 0.8	waːbi	0	13
3679	Ishigaki	ABOVE	u i	7 7	XZ	YI	20	20.Y.V 20.I.V	1.5 0.8	ui	0	12
3869	Ishikawa	ABOVE	u e	7 7	XZ	YE	21	21.Y.V 21.E.V	1.5 0.8	ue	0	12
4064	Iwate	ABOVE	u e	7 7	XZ	YE	22	22.Y.V 22.E.V	1.5 0.8	ue	0	12
4257	Kagawa	ABOVE	u e	7 7	XZ	YE	23	23.Y.V 23.E.V	1.5 0.8	ue	0	12
4450	Kagoshima	ABOVE	u e	7 7	XZ	YE	24	24.Y.V 24.E.V	1.5 0.8	ue	0	12
4643	Kanagawa	ABOVE	u e	7 7	XZ	YE	25	25.Y.V 25.E.V	1.5 0.8	ue	0	12
4835	Kumamoto	ABOVE	u j e	7 6 7	XBZ	YJE	26	26.Y.V 26.J.C 26.E.V	1.5 1.75 0.8	uje	0	12
5025	Kyōtō	ABOVE	u e	7 7	XZ	YE	27	27.Y.V 27.E.V	1.5 0.8	ue	0	12
5219	Kōchi	ABOVE	u e	7 7	XZ	YE	28	28.Y.V 28.E.V	1.5 0.8	ue	0	12
5412	Mie	ABOVE	u e	7 7	XZ	YE	29	29.Y.V 29.E.V	1.5 0.8	ue	0	12
5602	Miyagi	ABOVE	u e	7 7	XZ	YE	30	30.Y.V 30.E.V	1.5 0.8	ue	0	12
5790	Miyazaki	ABOVE	u j e	7 6 7	XBZ	YJE	31	31.Y.V 31.J.C 31.E.V	1.5 1.75 0.8	uje	0	12
5982	Nagano	ABOVE	u e	7 7	XZ	YE	32	32.Y.V 32.E.V	1.5 0.8	ue	0	12
6173	Nagasaki	ABOVE	u j e	7 6 7	XBZ	YJE	33	33.Y.V 33.J.C 33.E.V	1.5 1.75 0.8	uje	0	12
6366	Nara	ABOVE	u e	7 7	XZ	YE	34	34.Y.V 34.E.V	1.5 0.8	ue	0	12
6557	Naze	ABOVE	ʔ u ɨ	1 7 7	AXZ	HYI	35	35.H.C 35.Y.V 35.I.V	2.0 1.5 0.8	ʔuɨ	0	12
6749	Niigata	ABOVE	t e ɴ j ʤ oː	1 7 4 6 2 7	AXBYBZ	TENJCU	36	36.T.C 36.E.V 36.N.C 36.J.V 36.C.C 36.U.V	2.0 1.5 1.75 1.3 1.75 0.8	teɴjʤoː	0	36
6942	Okayama	ABOVE	u e	7 7	XZ	YE	37	37.Y.V 37.E.V	1.5 0.8	ue	0	12
7134	Okinawa	ABOVE	ʔ u i	1 7 7	AXZ	HYI	38	38.H.C 38.Y.V 38.I.V	2.0 1.5 0.8	ʔui	0	12
7326	Old Japanese	ABOVE	u h e	7 3 7	XBZ	YHE	39	39.Y.V 39.H.C 39.E.V	1.5 1.75 0.8	uhe	0	12
7531	Saga	ABOVE	u e ɴ h oː	7 7 4 3 7	XYMBZ	YENHU	40	40.Y.V 40.E.V 40.N.c 40.H.C 40.U.V	1.5 1.3 1.1 1.75 0.8	ueɴhoː	0	40
7723	Saitama	ABOVE	u e	7 7	XZ	YE	41	41.Y.V 41.E.V	1.5 0.8	ue	0	12
7917	Shiga	ABOVE	u e	7 7	XZ	YE	42	42.Y.V 42.E.V	1.5 0.8	ue	0	12
8108	Shimane	ABOVE	o e	7 7	XZ	UE	43	43.U.V 43.E.V	1.5 0.8	oe	0	12
8301	Shizuoka	ABOVE	u e	7 7	XZ	YE	44	44.Y.V 44.E.V	1.5 0.8	ue	0	12
8494	Taketomi	ABOVE	u i	7 7	XZ	YI	45	45.Y.V 45.I.V	1.5 0.8	ui	0	12
8686	Tarama	ABOVE	w aː b u	6 7 1 7	AXBZ	WAPY	46	46.W.C 46.A.V 46.P.C 46.Y.V	2.0 1.5 1.75 0.8	waːbu	0	46
8877	Tochigi	ABOVE	u e	7 7	XZ	YE	47	47.Y.V 47.E.V	1.5 0.8	ue	0	12
9069	Tokushima	ABOVE	u e	7 7	XZ	YE	48	48.Y.V 48.E.V	1.5 0.8	ue	0	12
