ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Concept_Count,Word_Count
Belarusian,Belarusian,bela1254,Belarusian,bel,Eurasia,53.2307,25.6038,Indo-European,1016,1081
Bulgarian,Bulgarian,bulg1262,Bulgarian,bul,Eurasia,43.3646,25.047,Indo-European,1013,1189
Croatian,Croatian,croa1245,Croatian Standard,hrv,Eurasia,45.555,15.982,Indo-European,1015,1283
Czech,Czech,czec1258,Czech,ces,Eurasia,49.873398,15.10437,Indo-European,1016,1130
Latvian,Latvian,latv1249,Latvian,lav,Eurasia,56.826108,24.309118,Indo-European,1016,1268
Lithuanian,Lithuanian,lith1251,Lithuanian,lit,Eurasia,55.1429,23.9601,Indo-European,1016,1310
Polish,Polish,poli1260,Polish,pol,Eurasia,51.8439,18.6255,Indo-European,1016,1124
Russian,Russian,russ1263,Russian,rus,Eurasia,59.0,50.0,Indo-European,1016,1037
Slovak,Slovak,slov1269,Slovak,slk,Eurasia,48.545705,18.78479,Indo-European,1016,1210
Slovene,Slovene,slov1268,Slovenian,slv,Eurasia,46.2543,14.7766,Indo-European,1015,1107
Ukrainian,Ukrainian,ukra1253,Ukrainian,ukr,Eurasia,49.796,29.945,Indo-European,1016,1082
