Gloss	Belarusian	Bulgarian	Burgenland Čakavian	Czech	Kajkavian	Latvian	Lithuanian	Macedonian	Polish	Russian	Slovak	Slovenian	Ukrainian	Čakavian (Cres)	Čakavian (Istria)	Štokavian
ALL	usʲˈɵ	fsˈiʧko		fʃˈɛxno		visː	ʋʲɪ̂sɐs		fʂˈɨstkɔ	fsʲe	fʃˈɛtkɔ	ʋsɛ́	ʍsɛ			sʋê
ALL_1			vas		vjes			sidef						vɛs	sva~sa	
AND	ji~dɨ	a~ta		ˈa		un	ɪr		i	i	i	in	i			i~tê
ANIMAL	ʐɨvʲˈɵla	ʒivˈɔtno		zvˈiːr̝ɛ		ʣiːvniɛ̯ks	ɡʲiːʋǔːnɐs		zvʲjˈɛʐɛ	ʐɨvˈotnəjə	zʋˈɪ̯ɛra	ʒiʋàːl	tʋɐrˈɪnɐ			ʒiʋǒtiɲa
ASH	pˈopʲel	pˈɛpɛɫ		pˈopɛl		pælni	pɛɫɛnɐʲɪ̯ˑ		pˈɔpʲjuw	zɐɫˈa~pʲˈepʲɪɫ	pˈɔpɔɫ	pɛpɛ̀ːl	zɔɫˈɑ~pˈɔpʲiɫ			pêpeo
ASH_1			pjěpɛl		pˈæpæl			pepel						pɔ̌ːpɛl	pˈɔpɛl	
BACK	sʲpʲˈina	ɡrɤp		zˈaːda~ɦr̝bˈɛt		muɡurɑ	nʊ̂ɡɐrɐ		plˈɛʦɨ~ɡʐbʲjɛt	spʲɪnˈa	xˈr̩baːt	xrbɛ́t	spˈɪnɐ			lěːʥa~xř̩bat
BAD	kʲˈepʲsʲkʲi	ɫɔʃ		ʃpˈatniː		zlikts	bɫǒːɡɐs~prǎstɐs		zwɨ	pɫɐxˈoɪ̯	zɫiː	malɔprìːdɛn	pɔɦˈɑnɪi̯~kˈɛpsʲkɪi̯			lôʃ~ř̩ʥaʋ
BARK	karˈa	korˈa		kˈuːra		mizɑ	ʒiəʋěː		kˈɔɾa	kɐrˈa	kˈʊ̯ɔra	lùːbjɛ~skɔ̀ːra	kɔrˈɑ			kôra
BARK_1			ku̯ɔ̌ra		kˈu̯orɒ			kora						kɔ̌ːra	kˈɔra	
BELLY	ʐɨvˈot	tɐrbˈux		br̝ˈɪxo		væːdærs	pʲɪ̂ɫˑʋɐs		bʐux	ʐɨvˈot	brˈuxɔ	trɛ̀ːbux	ʒɪʋʲˈit			tř̩bux
BELLY_1								mef								
BELLY_2			tˈr̩buːɦ		tˈɛrbuh									tɛrbˈux	tr̩bˈux	
BELLY_3					drowb											
BERRY	jˈæʁada	pɫɔt		bˈobulɛ		uɔ̯ɡɑ	ûəɡɐ		jaɡˈɔda	jˈaɡədə	bˈɔbuʎa	jàːɡɔda	jˈɑɦɔdɐ			bǒːba~bǒbiʦa
BE_ALIVE	ʐɨʦʲ	ʒivˈɛjɐ		ʒˈiːt		ʣiːvuɔ̯t	ɡʲiːʋêˑntʲɪ		ʐɨʨ	ʐɨtʲ	ʒic	ʒiʋɛ̀ːti	ʒˈɪtɪ			ʒǐːʋjeti
BIG	vʲælʲˈikʲi	ˈɛdɐr~ɡolʲˈam		vˈɛlkiː		diʃː~liɛ̯ls	dʲɪ̂dʲɪs~dʲɪ̂dɛlʲɪs		dˈuʐɨ~vʲjˈɛlkʲi	bɐlʲʂˈoɪ̯	ʋˈɛʎkiː	ʋéːlik	ʋɛɫˈɪkɪi̯			ʋêlik
BIG_1								ɡoʎem								
BIG_2			vˈɛliːk~vjělik		vˈæli~vˈælːi~vˈælik									věːli	vêːli	
BIRD	ptax~ptˈuʂka	ptˈiʦɐ		ptˈaːk		pudns	pɒʊ̯ˑkʃtʲɪs		ptak	ptʲˈiʦə	ftaːk	ptíʧ~ptìːʦa	ptɑx			ptîʦa
BIRD_1								piʎe								
BIRD_2			ptˈiʦa~tˈiʦa		tˈiʦːa									ftˈiʦa	tic	
BITE	kusˈaʦʲ	xˈapʲɐ~uxˈapʲɐ		kˈou̯sat		kuɔ̯st	kâˑndʒʲɪotʲɪ		kˈɔw̃saʨ	kʊsˈatʲ	kˈuːsac	ɡrìːsti	kʊsˈɑtɪ			ǔjesti~ɡrîsti
BITE_1								kəsa								
BITE_2			ɡrîːst		ɡris									ɡrǐːst	ɡris	
BLACK	ʧˈornɨ	ʧˈɛrɛn		ʧˈɛrniː		mælns	jûədɐs		t͡ʂˈaɾnɨ	ʨˈɵrnɨɪ̯	ʧˈɪ̯ɛrni	ʧə̀rn	ʧˈɔrnɪi̯			ʦr̩̂ːn
BLACK_1			ʧjêran~ʧjêraːn		ʧɛrn			ʦr̩n						ʧěːrni~ʧˈɛrni	ʧr̩̂n	
BLOOD	krow	krɤf		krˈɛf		ɑsːins	krɒʊ̯ˑjɐs		kɾɛf	krofʲ	kr̩ʋ	krìː	krɔu̯			kr̩̂ːʋ
BLOOD_1			kr̩v		kɛrv			kr̩f						krîːj	kr̩̂f	
BLOW_(OF_WIND)	ʣʲmuʦʲ	vˈɛjɐ~dˈuxɐm		vˈaːt~vˈanou̯t		puːst	pǔːstʲɪ		vʲjaʨ	dutʲ	ʋɪ̯ac	pìːxati	ʋʲˈijɐtɪ			dǔːxati
BONE	kosʲʦʲ	kɔst		kˈost		kau̯ls	kâˑʊ̯ɫɐs		kɔɕʨ	kosʲtʲ	kɔsc	kɔ̀ːst	kʲˈistkɐ			kôːst
BONE_1			ku̯ôst		kows			koska						kôːst	ku̯ôs	
BREAST	ʁrˈuʣʲi	ɡrɤt		ɲˈadra		ɡruːts	kruːtʲɪ̂neː		bʲjust	ɡrutʲ	pˈr̩sɪ̯a	nɛ̀ːdra	ɦrˈudɪ			ɡrûːdi~pr̩̂sa
BREAST_1			pˈr̩sa~pˈr̩si					ɡrada								
BREAST_2					pˈɛrsi									pˈɛrsɛ	pˈr̩sa	
BREATHE	dˈɨxaʦʲ	dˈiʃɐm		dˈiːxat		ælpuɔ̯t	ɐɫsûətʲɪ~kʋeːpûətʲɪ		ɔddˈɨxaʨ	dɨʂˈatʲ	dˈiːxac	dìːxati	dˈɪxɐtɪ			dǐːsati
BURN (SOMETHING)_1								ɡori						ɡɔrˈɛt		
BURN (SOMETHING)_2															paːlˈit	
BURN (SOMETHING)_3					ʒɡɒt											
BURNING	ʁarˈɛʦʲ	ɡorʲˈɤ		ɦˈor̝ɛt		dɛkt	dɛ̂ɡtʲɪ		pˈalʲiʨ ɕɛ	ɡɐrʲˈetʲ	pˈaːɫic~ɦˈɔrɪ̯ɛc	ɡɔrɛ̀ːti	ɦɔɾʲˈitɪ			ɡǒrjeti
BURN_(SOMETHING)	spalʲˈiʦʲ	izɡorʲˈɤ		spˈaːlɪt		dɛʣinɑːt~sɑdɛʣinɑːt	dɛ̌ɡʲɪntʲɪ~sʊdɛ̌ɡʲɪntʲɪ		spˈalʲiʨ	zʐɛʨ	spˈaːɫic	sɛʒɡàːti	spɐɫˈɪtɪ			spǎːliti~saɡǒrjeti
CLAW	kʲipʲʦʲˈʉr	nˈɔkɐt		drˈaːp~pˈaznɛxt		nɑks	kɐnôːpɐ		ʂpɔn	kˈoɡətʲ	pˈazɲɛxt	pàːrkɛl	kʲˈiɦɔtʲ			
CLAW OR NAIL_1			nu̯ɔ̌ɦat		nˈu̯ovæt			nokt						nɔ̌ːxɛt~nɔ̌ːfɛt	nˈɔxat	
CLOTHES	aʣʲˈenʲnʲe	drˈɛxi~oblɛkɫˈɔ		ʃˈatɪ		tæːrps~dreːbɛs	rǔːbɐʲɪ̯ˑ~drɐbʊ̂ʒʲɛʲɪ̯ˑ		ˈɔʥɛʂ	ɐdʲˈeʐdə	ʃˈati	ɔblɛ̀ːka	ˈɔdʲɐɦ~ʊbrˈɑnʲnʲɐ			ǒdjeʨa
CLOUD	vˈoblaka	ˈɔbɫɐk		mrˈak~ˈoblak		mɑːkuɔ̯nis	dɛbɛsʲɪ̂s		ˈɔbwɔk~xmˈuɾa	ˈobɫəkə	ˈɔbɫak~mrak	ɔblàːk	xmˈɑrɐ			ôblaːk
CLOUD_1			u̯ɔ̌blak~ʔˈɔblak		ˈu̯oblɒk			oblak						ɔ̌ːblak	ˈɔblak	
COLD	xalˈodnɨ	studˈɛn		stˈudɛniː		sɑlts~au̯ksts	ʃâˑɫtɐs		xwˈɔdnɨ	xɐɫˈodnɨɪ̯	stˈuɟɛniː	mə̀rzɛl~xlàːdɛn	xɔɫˈɔdnɪi̯			xlǎːdan
COLD_1					zdæn			studen								
COLD_2														xlǎːdni	xlâːdan	
COLD_3			mˈr̩zal													
COME	prɨjsʲʦʲˈi	ˈidɐ~dˈɔjdɐ		pr̝̊ˈɪjiːt		nɑːkt	ɐtɛʲɪ̯ˑtʲɪ		pʂɨjɕʨ	prʲɪjtʲˈi	priːsc	prìːti	prɪjtˈɪ			dǒːʨi
