Language,Gloss,Orthography,StressAnnotation
Bulgarian,EYE,око,око́
Bulgarian,EAR,ухо,ухо́
Bulgarian,NOSE,нос,нос
Bulgarian,MOUTH,уста,уста́
Bulgarian,TOOTH,зъб,зъб
Bulgarian,TONGUE,език,ези́к
Bulgarian,HAIR,коса,коса́
Bulgarian,HAIR,косъм,ко́съм
Bulgarian,NECK,врат,врат
Bulgarian,NAPE (OF NECK),тил,тил
Bulgarian,HEAD,глава,глава́
Bulgarian,BACK,гръб,гръб
Bulgarian,BELLY,корем,коре́м
Bulgarian,BREAST,бозка,
Bulgarian,HAND,ръка,ръка́
Bulgarian,HAND,китка,ки́тка
Bulgarian,FINGERNAIL,нокът,но́кът
Bulgarian,FOOT,крак,крак
Bulgarian,FOOT,нога,нога́
Bulgarian,KNEE,коляно,коля́но
Bulgarian,SKIN,кожа,ко́жа
Bulgarian,BLOOD,кръв,кръв
Bulgarian,BONE,кост,кост
Bulgarian,HEART,сърце,сърце́
Bulgarian,LIVER,черен дроб,че́рен дроб
Bulgarian,SKY,небе,небе́
Bulgarian,SUN,слънце,слъ́нце
Bulgarian,MOON,луна,луна́
Bulgarian,MOON,месец,ме́сец
Bulgarian,STAR,звезда,звезда́
Bulgarian,WIND,вятър,вя́тър
Bulgarian,WATER,вода,вода́ or во́да
Bulgarian,ROCK,камък,ка́мък
Bulgarian,EARTH (SOIL),земя,земя́
Bulgarian,EARTH (SOIL),почва,по́чва
Bulgarian,DUST,прах,прах
Bulgarian,SMOKE (EXHAUST),дим,дим
Bulgarian,SMOKE (EXHAUST),пушек,пу́шек
Bulgarian,FIRE,огън,о́гън
Bulgarian,FOG,мъгла,мъгла́
Bulgarian,CLOUD,облак,о́блак
Bulgarian,RAIN (PRECIPITATION),дъжд,дъжд
Bulgarian,SNOW,сняг,сняг
Bulgarian,ICE,лед,лед
Bulgarian,LAKE,езеро,е́зеро
Bulgarian,FOREST,гора,гора́
Bulgarian,MOUNTAIN,планина,планина́
Bulgarian,RIVER,река,река́
Bulgarian,SEA,море,море́
Bulgarian,FLOWER,цвете,цве́те
Bulgarian,GRASS,трева,трева́
Bulgarian,ROOT,корен,ко́рен
Bulgarian,TREE,дърво,дърво́
Bulgarian,BARK,кора,кора́
Bulgarian,LEAF,лист,лист
Bulgarian,HORN (ANATOMY),рог,рог
Bulgarian,FEATHER,перо,перо́
Bulgarian,WING,крило,крило́
Bulgarian,TAIL,опашка,опа́шка
Bulgarian,EGG,яйце,яйце́
Bulgarian,ANIMAL,животно,живо́тно
Bulgarian,DOG,куче,ку́че
Bulgarian,BIRD,птица,пти́ца
Bulgarian,FISH,риба,ри́ба
Bulgarian,SNAKE,змия,змия́
Bulgarian,WORM,червей,че́рвей
Bulgarian,LOUSE,въшка,въ́шка
Bulgarian,BERRY,плод,плод
Bulgarian,SEED,семе,се́ме
Bulgarian,ASH,пепел,пе́пел
Bulgarian,SAND,пясък,пя́сък
Bulgarian,PERSON,човек,чове́к
Bulgarian,MAN,мъж,мъж
Bulgarian,WOMAN,жена,жена́
Bulgarian,FATHER,баща,баща́
Bulgarian,MOTHER,майка,ма́йка
Bulgarian,HUSBAND,съпруг,съпру́г
Bulgarian,WIFE,съпруга,съпру́га
Bulgarian,NAME,име,и́ме
Bulgarian,STICK,прът,прът
Bulgarian,STICK,тояга,тоя́га
Bulgarian,MEAT,месо,месо́
Bulgarian,FAT (ORGANIC SUBSTANCE),мазнина,мазнина́
Bulgarian,SALT,сол,сол
Bulgarian,CLOTHES,дрехи,дре́хи
Bulgarian,CLOTHES,облекло,облекло́
Bulgarian,PATH,пътека,пъте́ка
Bulgarian,ROAD,шосе,
