Dataset	Classification	Name	Source Name	Glottolog Name	Glottocode	ISO 639-3	ISO 639-3 Name	Family	Macroarea	Latitude	Longitude	Reference	Notes
Arabic	Afro-Asiatic, Semitic, Arabic	Modern Standard Arabic	Arabic (MSA)	Standard Arabic	stan1318	arb	Standard Arabic	Afro-Asiatic	Eurasia	27.9625	43.8525	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabic, Arabian Peninsula Arabic	Dhofari Arabic	Dhofari (Oman)	Dhofari Arabic	dhof1235	adf	Dhofari Arabic	Afro-Asiatic	Eurasia	17.0796	54.4894	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabic, Arabian Peninsula Arabic	Gulf Arabic	Gulf (Emirati)	Gulf Arabic	gulf1241	afb	Gulf Arabic	Afro-Asiatic	Eurasia	30.17	47.5	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabic, Arabian Peninsula Arabic	Najdi Arabic	Najdi (Riyadh)	Najdi Arabic	najd1235	ars	Najdi Arabic	Afro-Asiatic	Eurasia	30.3371	42.1773	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabic, Arabian Peninsula Arabic	Sanaani Arabic	Sanaani (Sana'a)	Sanaani Arabic	sana1295	ayn	Sanaani Arabic	Afro-Asiatic	Eurasia	15.6552	44.8412	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabic, Eastern Arabic	Iraqi Arabic	Iraqi (Southern Iraq/Baghdad)	Gilit Mesopotamian Arabic	meso1252	acm	Mesopotamian Arabic	Afro-Asiatic	Eurasia	33.8178	43.1095	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabic, Eastern Arabic, Qeltu	North Mesopotamian Arabic	Moslawi (Northern Iraq)	Mosul Arabic	mosu1235	ayp	North Mesopotamian Arabic	Afro-Asiatic	Eurasia	36.566667	43.216667	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabic, Egyptic Arabic	Egyptian Arabic	Egyptian (Lower Egyptian)	Egyptian Arabic	egyp1253	arz	Egyptian Arabic	Afro-Asiatic	Africa	31.0	31.0	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabic, Egyptic Arabic, Sudanese-Chadian Arabic	Chadian Arabic	Chadian (Western Sudanic)	Chadian Arabic	chad1249	shu	Chadian Arabic	Afro-Asiatic	Africa	14.67	13.5	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabic, Egyptic Arabic, Sudanese-Chadian Arabic	Sudanese Arabic	Sudanese (Khartoum)	Sudanese Arabic	suda1236	apd	Sudanese Arabic	Afro-Asiatic	Africa	17.8021	33.3179	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabic, Levantine Arabic	Cypriot Arabic	Cypriot (Kormakitis)	Cypriot Arabic	cypr1248	acy	Cypriot Arabic	Afro-Asiatic	Eurasia	35.1674	33.0943	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabic, Levantine Arabic	Levantine Arabic	Levantine (Central/Syro-Lebanese)	North Levantine Arabic	nort3139	apc	North Levantine Arabic	Afro-Asiatic	Eurasia	34.1709	36.0468	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabic, North African Arabic	Hassaniya Arabic	Hassaniya (Mauritanian)	Hassaniyya	hass1238	mey	Hassaniyya	Afro-Asiatic	Africa	18.29	-14.11	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabic, North African Arabic	Maltese	Maltese	Maltese	malt1254	mlt	Maltese	Afro-Asiatic	Eurasia	35.8884	14.4508	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabic, North African Arabic	Moroccan Arabic	Moroccan (Casablanca)	Moroccan Arabic	moro1292	ary	Moroccan Arabic	Afro-Asiatic	Africa	32.5	-7.5	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabic, North African Arabic	Tunisian Arabic	Tunisian (Tunis)	Tunisian Arabic	tuni1259	aeb	Tunisian Arabic	Afro-Asiatic	Africa	33.7966	9.56156	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Baltic	Indo-European, Balto-Slavic, Baltic	Latvian	Standard Latvian	Latvian	latv1249	lav	Latvian	Indo-European	Eurasia	56.8261	24.309118	Saenko, 2017	
Baltic	Indo-European, Balto-Slavic, Baltic	Lithuanian	Standard Lithuanian	Lithuanian	lith1251	lit	Lithuanian	Indo-European	Eurasia	55.1429	23.9601	Saenko, 2017	
Dravidian	Dravidian, Central Dravidian	Kolami	Kolami	Northwestern Kolami	nort2699	kfb	Northwestern Kolami	Dravidian	Eurasia	20.1022	78.4934	Kolipakam et al., (2018)	
Dravidian	Dravidian, Central Dravidian	Ollari Gadba	Ollari_Gadba	Pottangi Ollar Gadaba	pott1240	gdb	Pottangi Ollar Gadaba	Dravidian	Eurasia	18.5968	82.7586	Kolipakam et al., (2018)	
Dravidian	Dravidian, Central Dravidian	Parji	Parji	Duruwa	duru1236	pci	Duruwa	Dravidian	Eurasia	19.0534	82.4881	Kolipakam et al., (2018)	
Dravidian	Dravidian, North Dravidian	Brahui	Brahui	Brahui	brah1256	brh	Brahui	Dravidian	Eurasia	29.04	66.56	Kolipakam et al., (2018)	
Dravidian	Dravidian, North Dravidian	Kurukh	Kurukh	Indian Kurux	kuru1302	kru	Kurukh	Dravidian	Eurasia	24.4644	86.4657	Kolipakam et al., (2018)	
Dravidian	Dravidian, North Dravidian	Malto	Malto	Sauria Paharia	saur1249	mjt	Sauria Paharia	Dravidian	Eurasia	24.8124	87.6432	Kolipakam et al., (2018)	
Dravidian	Dravidian, South Dravidian I	Badga	Badga	Badaga	bada1257	bfq	Badaga	Dravidian	Eurasia	11.3094	76.5974	Kolipakam et al., (2018)	
Dravidian	Dravidian, South Dravidian I	Betta Kurumba	Betta_Kurumba	Betta Kurumba	bett1235	xub	Betta Kurumba	Dravidian	Eurasia	11.6385	76.6064	Kolipakam et al., (2018)	
Dravidian	Dravidian, South Dravidian I	Kannada	Kannada	Kannada	nucl1305	kan	Kannada	Dravidian	Eurasia	13.5878	76.1198	Kolipakam et al., (2018)	
Dravidian	Dravidian, South Dravidian I	Kodava	Kodava	Kodava	koda1255	kfa	Kodava	Dravidian	Eurasia	12.2443	75.9161	Kolipakam et al., (2018)	
Dravidian	Dravidian, South Dravidian I	Kota	Kota	Kota (India)	kota1263	kfe	Kota (India)	Dravidian	Eurasia	11.4978	76.9387	Kolipakam et al., (2018)	
Dravidian	Dravidian, South Dravidian I	Malayalam	Malayalam	Malayalam	mala1464	mal	Malayalam	Dravidian	Eurasia	9.59208	76.7651	Kolipakam et al., (2018)	
Dravidian	Dravidian, South Dravidian I	Tamil	Tamil	Tamil	tami1289	tam	Tamil	Dravidian	Eurasia	10.520219	78.825989	Kolipakam et al., (2018)	
Dravidian	Dravidian, South Dravidian I	Toda	Toda	Toda	toda1252	tcx	Toda	Dravidian	Eurasia	11.4184	77.0168	Kolipakam et al., (2018)	
Dravidian	Dravidian, South Dravidian I	Tulu	Tulu	Tulu	tulu1258	tcy	Tulu	Dravidian	Eurasia	12.8114	75.2651	Kolipakam et al., (2018)	
Dravidian	Dravidian, South Dravidian I	Yeruva	Yeruva	Ravula	ravu1237	yea	Ravula	Dravidian	Eurasia	12.3231	75.6265	Kolipakam et al., (2018)	
Dravidian	Dravidian, South Dravidian II	Gondi	Gondi	Northern Gondi	nort2702	gno	Northern Gondi	Dravidian	Eurasia	18.1632	81.3842	Kolipakam et al., (2018)	
