Gloss	Belarusian	Bulgarian	Croatian	Czech	Latvian	Lithuanian	Polish	Russian	Slovak	Slovene	Ukrainian
ABOVE_1	uɣarɨ	ɡɔrɛ	ɡɔ̂rɛ	naɦor̝ɛ					ɦɔrɛ		wɦɔrʲi
ABOVE_2										ɡo˦ːri~zɡo˦ːraj	
ABOVE_3	navʲɛrsʲɛ			navrxu				nəvʲɪrxuˑ	navr̩xu		
ABOVE_4							vɡuʐɛ~naɡuʐɛ				
ABOVE_5					virsuː	ʋʲɪrʃʊ̂j					
ACHE_1	balʲɛʦʲ	bɔʎa	bɔ̌ʎɛti	bolɛt			bɔlɛʨ	bɐleˑtʲ	bɔɫi̯ec	bɔlɛ˨ːti	bɔlʲitɪ
ACHE_2					sɑːpeːt	sopêːtʲɪ					
ACHE_3						skɒʊ̯ˑdêːtʲɪ					
ACHE_4					zmɛlkt						
ADD_1		pribavʲa		br̝ɪpojɪt					pripɔjic		
ADD_2			dɔ̌dati				dɔdaʨ				dɔdɑtɪ
ADD_3			prǐdati			prʲɪdêːtʲɪ					
ADD_4										prista˨ːʋiti	
ADD_5	dabaviʦʲ							dɐbaˑvʲitʲ			
ADD_6					piɛ̯viɛ̯nuɔ̯t						
AFTERWARDS_1		pɔslɛ	pɔ̂sliɛ								
AFTERWARDS_2		slɛdtɔva									
AFTERWARDS_3			nakɔntɔ̂ɡa								
AFTERWARDS_4										pɔtɛ˦m	
AFTERWARDS_5	zatɨm							zɐtʲeˑm	pɔtɔm		zɦɔdɔm
AFTERWARDS_6				podlɛtoɦo					pɔdʎatɔɦɔ		
AFTERWARDS_7							nastɛmpniɛ				
AFTERWARDS_8						potǒː					
AFTERWARDS_9						pɐskʊʲɪ̯ˑ					
AFTERWARDS_10					peːʦtɑm						
AGAIN_1		pak									
AGAIN_2		ɔtnɔvɔ	pɔ̂nɔʋɔ								
AGAIN_3			ɔ̌pɛːt					ɐpʲaˑtʲ			
AGAIN_4										spɛ˨ːt	
AGAIN_5				zasɛ					zasa		
AGAIN_6	znɔw						znuv~znɔvu				znɔwu
AGAIN_7						ʋěːɫ					
AGAIN_8						ɪʃnɒʊ̯ˑjo					
AGAIN_9					ɑtkɑl						
AGE_1	uzrɔst	vɤzrast						vɔˑzrəst			
AGE_2			dɔ̂ːb								
AGE_3										do˦ːba	
AGE_4				vjɛk			viɛk		vɛk		vik
AGE_5											lʲitɑ
AGE_6						âˑmʒʲɪʊs					
AGE_7					væʦums						
AHEAD_1		napravɔ									
AHEAD_2			rǎːʋnɔ	rovɲɛ					rɔvnɔ		
AHEAD_3										ra˨ːʋnɔnaprɛ˨ːj	
AHEAD_4	prama							prʲaˑmə	pri̯amɔ		prʲɑmɔ
AHEAD_5							pɾɔstɔ				
AHEAD_6						tiəsʲɛʲɪ̯ˑ					
AHEAD_7					tai̯zniuzbriɛ̯kʃu						
AIR_1		vɤzdux		vzdux				vɔˑzdux	vzdux		
AIR_2			zrâːk							zra˦k	
AIR_3	pavʲɛtra						pɔviɛtʂɛ				pɔvitrʲɑ
AIR_4						ôːrɐs					
AIR_5					ɡai̯sː						
ALL_1		vsiʧkɔ					fʂɨstkɔ		fʃɛtkɔ		
ALL_2			sʋɛ̂								
ALL_3								vsʲo		ʋsɛ˦	wsɛ
ALL_4				fʃɛxno							
ALL_5	usʲɔ										
ALL_6					visː	ʋʲɪ̂sɐs					
ALL_AT_ONCE_1		sɤʃtɛvrɛmɛnnɔ									
ALL_AT_ONCE_2			istɔ̌dɔbnɔ								
ALL_AT_ONCE_3										ɔbe˦ːnɛm	
ALL_AT_ONCE_4									zaːrɔvɛɲ		
ALL_AT_ONCE_5				najɛdnoʊ̯							
ALL_AT_ONCE_6							naɾas				
ALL_AT_ONCE_7	adrazu							sraˑzu			vidrɑzu
ALL_AT_ONCE_8						ɪʃkɐ̂rˑto					
ALL_AT_ONCE_9					rɛi̯zeː						
ALONE_1	sam	samɔ	sâːm	saːm			sam		saːm		sɑm
ALONE_2										sa˨ːm	
ALONE_3	adzin							ɐdʲiˑn			ɔdɪn
ALONE_4						ʋîənɐs					
ALONE_5					viɛ̯nspɑts						
ALREADY_1		vɛʧɛ	ʋɛ̂ʨ								
ALREADY_2										ʒɛ˦	
ALREADY_3				uʃ~jɪʃ			juʂ		uʃ		
ALREADY_4											wʐɛ
ALREADY_5	uʐɔ							uʒɛˑ			
ALREADY_6					jau̯	jɒʊ̯ˑ					
ALWAYS_1		vinaɡi									
ALWAYS_2			ʋâzda	vʒdɪ					vʒdi		zɑwʐdɪ
ALWAYS_3			ûʋiɛk								
ALWAYS_4										ʋɛ˨ːdnɔ	
ALWAYS_5										zmɛ˨ːraj	
ALWAYS_6									ustaviʧnɛ		
ALWAYS_7				staːlɛ							
ALWAYS_8	zawsʲɔdɨ						zafʂɛ				
ALWAYS_9								vsʲɪɡdaˑ			
ALWAYS_10						ʋʲɪsɐdɑ̂					
ALWAYS_11						ʋʲɪsuəmɛ̂t					
ALWAYS_12					ɑlːɑʒ						
ALWAYS_13					viɛ̯nmˈæːr						
AMOUNT_1		kɔliʧɛstvɔ						kɐliˑʨɪstvə			
AMOUNT_2			mnɔ̌ʃtʋɔ	mnoʃzdviː					mnɔʒzdvɔ		
AMOUNT_3			kɔliʧǐna							kɔliʧi˨ːna	
AMOUNT_4							ilɔɕʨ				
AMOUNT_5	kɔlʲkasʦʲ										kilʲkistʲ
AMOUNT_6						kiəkʲɪs					
AMOUNT_7						dɒʊ̯ˑɡîːbeː					
AMOUNT_8					mɑsːɑ						
AMOUNT_9					dau̯ʣums						
AND_1		a		a							
AND_2	dɨ	ta									
AND_3	i		i				i		i		ji
AND_4			tɛ̂								
AND_5					un					in	
AND_6								jɨˑ			
AND_7						ɪr					
ANIMAL_1	ʐɨvʲɔla	ʒivɔtnɔ	ʒiʋɔ̌tiɲa					ʒɨvɔˑtnəjə			
ANIMAL_2										ʒiʋa˨ːl	
ANIMAL_3				zviːr̝ɛ			zviɛʐɛ̃		zvi̯era		
ANIMAL_4											twɑrɪnɑ
ANIMAL_5						ɡʲiːʋǔːnɐs					
ANIMAL_6					ʣiːvniɛ̯ks						
ANNOY_1		jadɔsam									
ANNOY_2			ʎǔːtiti								
ANNOY_3										jɛzi˨ːti	
ANNOY_4										razbu˨ːriti	
ANNOY_5							ɡniɛvaʨ		ɦnɛvac		
ANNOY_6	zlavaʦʲ			zlobɪt					zɫɔstic		
ANNOY_7				poɦorʃɪt							
ANNOY_8								sʲɪrdʲiˑtʲ			sɛrdɪtɪ
ANNOY_9						pǐːkʲɪntʲɪ					
ANNOY_10					sɑduzmuɔ̯t						
ANT_1	muraʂka	mravka					mɾufka				murɑʂkɑ
ANT_2			mrâːʋ	mravɛnɛʦ				murɐvʲeˑj	mravɛʦ		
ANT_3										mra˨ːʋla	
ANT_4						skrʊzděː					
ANT_5					skudrɑ						
APPEAR_1	zʼjavitʦa	javʲasɛ	pɔjǎːʋitisɛ	objɛvɪtsɛ			zjaviaʨɕɛ̃	pəjɐvʲiˑtʲsʲɪ	ɔbjavicsa		zjɑwɪtɪsʲɑ
APPEAR_2										pɔja˨ːʋitisɛ	
APPEAR_3					pɑrɑːdiːtiɛ̯s	pɐsʲɪrôːdʲiːtʲɪ					
APPLE_1	jablɨk	jabɤɫka	jâbuka	jablko			japwkɔ	jaˑbɫəkə	jabɫ̩kɔ		jɑblukɔ
APPLE_2										ja˨ːbɔlkɔ	
APPLE_3					ɑːbuɔ̯ls	obuəɫǐːs					
APRIL_1		apriɫ	ǎpriːl		ɑbriːlis			ɐprʲeˑl	apriːɫ		
APRIL_2			trâːʋaɲ								
APRIL_3										apri˨ːl	
APRIL_4				dubɛn							
