Gloss	Anuta	Austral (Ra'ivavae)	Austral (Rurutuan)	East Futuna	Emae	Futuna-Aniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	Mele-Fila	Niuean	North Marquesan	Nukuria	Penrhyn	Pukapuka	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	Vaeakau-Taumako	Wallisian
ABOVE_1	ruŋa	ɢuʔa		luɡa		weiʰluŋa	iluna		luŋa	ruŋa	iruŋa		luŋa	ʔuna	iaruna	ruŋa	luŋa	ruŋa	ruɡa	ruŋa	ɡuŋa	iluŋa				ʔiʔoluŋa	ruŋa	luɡa	luŋa	luɡa
ABOVE_2			nuʔa					nua																niʔa						
ABOVE_3																									luɡaruɡa					
ALL_1	katoa	ʔatoʔa		kaatoa				ɡodoo	aakoa		katoa		ɡotoa		katoo	katoa	katoa	kaatoatoa		katoa	kaatoa	ʔaatoa	katoa	atoʔa	katoa	kotoa	katoŋa	katoa	katoa	katoa
ALL_2			paaʔaaːʔatoʔa																											
ALL_3				fuli													wui				huɡi									
ALL_4					pini																									
ALL_5						oʃi																								
ALL_6							apau										pau	pauroa												
ALL_7										kouroa																				
ALL_8												eutʃi																		
ALL_9														tiatohu																
ALL_10																			tahi											
ALL_11																														fulifuli
AND_1	mo			mo									mo												mo	mo			o	mo
AND_2	maa				mare~ma	ma	ame	maaŋi	maa		me		ma	maa	ma	ma	ma		ma	maa	ma	ma	ma		ma				ma	
AND_3		e	ʔee							e								e	e					ʔee						
AND_4											hoki																			
AND_5												ŋo			noo															
AND_6															roo															
AND_7																			piri											
AND_8																			pe							pea				
AND_9																													ia	
AND_10																													ioko	
ASH_1	repu		reʔu		refu		lehu	lehu	lehu	ŋaraʔu~ʔeʔu	puŋarehu	arefu	efu	ʔehu	rehu	rehu		rehu		reʔu	ɡehu		lehu	rehu	refu		rehu	pefu	lehu	lefu
ASH_2		ɢehuauahi																												
ASH_3				lafu~muɡaalafu		maɡarafu																								
ASH_4						namuʰlaŋa																								
ASH_5																	malamala													
ASH_6																	lewulewu					lefulefu				efuefu				
ASH_7																			ʔeoʔeo											
AT_1	i	i	i	ki~i		i	i	i	i	ki	i		i	i	i	i	i	i	i	i	i	i	i	i	i	ʔi	i	i	i	ʔi
AT_2				teʔi																tei							tei			tei
AT_3							ma																							
AT_4											hei																			
BACK_1	muri																muli	muri												
BACK_2		tua	tautua	tuʔa			kua	dua		tua	tuaraa		tuʔa	tua			tua	tua			tuʔa	tua	tua	tua	tua	tuʔa		tua	tua	tuʔa
BACK_3					simatua																									
BACK_4						bua						pua																		
BACK_5									aŋa																					
BACK_6															kantua															
BACK_7																sope														
BACK_8																			tuʔaivi											
BACK_9																				mokotua										
BACK_10																											papatua			
BAD OR EVIL_1	kovi																									kovi				kovi
BAD OR EVIL_2		ʔino	ʔino	kino			ʔino		ʔiŋo	kino	kino			ʔino		kino	kino	kino	kino	kino	soŋo	ʔinoʔino	hakakinokino	ʔino						
BAD OR EVIL_3			manuenu																											
BAD OR EVIL_4					sati	saa						sa																		
BAD OR EVIL_5								huaaitu																						
BAD OR EVIL_6														hauhau																
BAD OR EVIL_7															takahara															
BAD OR EVIL_8																					maaseʔi							maahei		
BAD OR EVIL_9																						leaŋa								
BAD OR EVIL_10																									pariki					
BAD OR EVIL_11																											kiro			
BAD OR EVIL_12																													tʰapeo	
BE ALIVE_1	mauri			maʔuli	mauri	mouri						mouri								mauri	maʔuɡi	maui				moʔui			mauli	maʔuli
BE ALIVE_2	ora		ora				ola	ora	ola	ora	ora		ola		ora	ora	oola	ora	ora	ora		ola	ola	ora	ora		ora			ola
BE ALIVE_3		haʔaea																												
BE ALIVE_4														pohuʔe																
BE ALIVE_5																		maalohilohi												
BE DEAD OR DIE_1	mate	mate	mate	mate	mate	mate	make	made	make	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate		mate	mate	mate	mate	mate	mate
BE DEAD OR DIE_2														keʔo																
BE DEAD OR DIE_3																		hiti												
BE DEAD OR DIE_4																				poʔe				pohe			pohe			
BELLY_1	manava			manava		manava			maŋava	manava			manava		manava	manava	manava	manavanui	manava	manava	manaba	manava	manava		manava		manava		manava	manava
BELLY_2		ʔoopuoːpu	ʔoopuoːpu				ʔoopuoːpu			koopuoːpu				ʔopu		koopuoːpu		koopuoːpu	kopu	koopuoːpu				ʔoopuoːpu			koopuoːpu			
BELLY_3				tinaʔe		ʃinae						sinae																tinae		
BELLY_4				kona				kona		kona						kona				kona					kona		kona			kona
BELLY_5					nakau																								ŋapula	
BELLY_6						alo																								ʔalo
BELLY_7											puku																			
BELLY_8																										kete				
BELLY_9																											tia			
BELOW OR UNDER_1	raro	ɢaɢo	raro	lalo		raro	lalo	rara	lalo	raro	iraro		lalo	ʔaʔo	iraro		lalo	raro	raro	raro	ɡaɡo	ilalo	lalo	raro	raro	ʔilalo	raro	lalo	lalo	lalo
BIG_1	rai	ɢahi	raʔi	lasi	lasi				lahi				lahi			rahi		rahi	rahi			lasi		rahi	lasi	lahi		lahi		lahi
BIG_2						efa																								
BIG_3						sore																								
BIG_4							nui			nui	nui			nui		nue		nui	nui			nui	niu				nui			
BIG_5								tamana																						
BIG_6										ruʔaruʔa																				
BIG_7												motua																		
BIG_8														maaka																
BIG_9															hamataku					ʔakamatuu										
BIG_10																	toŋi													
BIG_11																	wowolo													
BIG_12																		koorereka												
BIG_13																				maʔatamaʔata										
BIG_14																				katakata										
BIG_15																					ɡauʔeha									
BIG_16																						tele								
BIG_17																										fuʔu				
BIG_18																													tʰuabe	
BIRD_1	manu	manu	manu	manu	manu	manu	manu	manu	manu	manu	manu	manu	manulele	manu	manu	manu	manu	manu	manu	manurere	manu	manulele		manu	manu	manu	manu	manulele	manumanu	manulele
BIRD_2																		maimua												
BIRD_3																							kivi							
BITE_1	kati		paʔati					kati	eki	eti			eti			kati	kati	kakati		eti		ʔati			kati		kati			
BITE_2			ʔooʔiniʔini																					hohoni						
BITE_3				ʔuu					uu												uʔu					uʔu				uʔu
BITE_4					utia							ketʃia										utia			uuti				usia~esia	
BITE_5						maŋuʃia																								
BITE_6							nahu				ŋau			nahu					ɡau						ŋau					
BITE_7															takiluu															
BITE_8																						u								
BITE_9																							nunu							
BITE_10																													ŋalia	
BLACK_1	uri			ʔuli	uri	uri		uli	ʔuli	uri			uli			uri	uli	uriuri		uri	ʔuɡi	uliuli	uli		uri	ʔuliʔuli	uri	uli	uli	ʔuli
BLACK_2		ʔeɢeʔeɢe	ʔereʔere				ʔeleʔele			kerekere								kerekere	kerekere	kere				ʔereʔere			kere			
BLACK_3											maŋu																			
BLACK_4												paku																		
BLACK_5														hivahiva						ʔiva							hiva			
BLACK_6															riparara															
BLOOD_1	toto	toto	toto	toto	toto	toto	koko	dodo	koko	toto	toto	atoto	toto	toto	toto	toto	toto	toto	toto	toto	toto	toto		toto	toto	toto	toto	toto	toto	toto
BLOOD_2																							haeko							
BLOOD_3																												kelakela		
BLOW (OF WIND)_1	pui	pupuhi	puʔi				puhi			puʔi	pupuhi		puhi	puhi			puji	pupuhi	puhi	puʔi	pusi			puhi			puhi	puhi		
BLOW (OF WIND)_2			farara																	ʔarara				farara			harara			
BLOW (OF WIND)_3				taili					maili				havili		iri						taiɡi									havili
BLOW (OF WIND)_4				aɡi				aŋi		aɡi					ani	aŋiaŋi	aaŋi			aŋi		aŋi	ani		aŋi	aŋi	aŋi	aɡi		aɡi
BLOW (OF WIND)_5					rifia	ifia							ifi													ifi				ifi
BLOW (OF WIND)_6						ʰsau						suia										sau								
BLOW (OF WIND)_7							paa																				paa			
BLOW (OF WIND)_8											hua																			
BLOW (OF WIND)_9															oko															
BLOW (OF WIND)_10																													veŋia	
BLUNT_1	peŋu								puŋu								penu		puni										fuŋu	
BLUNT_2		papa																												
BLUNT_3			mania																	mania				mania						
BLUNT_4			tuumuuːmu				muumuuːmu									muu														
BLUNT_5				matatuka											matapuupuuːpu							matatupa	matapuu							
BLUNT_6								mariri																						
BLUNT_7										moimoi																				
BLUNT_8											puuhuki																			
BLUNT_9														puriki							paluɣa									
BLUNT_10														tumuʔe			tuma	tumaumou												
BLUNT_11																									paku	peku				
BLUNT_12																											tii			
BONE_1	ivi	iviivi	ivi	ivi			iwi	iwi	ivi	ivi	iwi	teiβi	ivi	ivi	ivi	ivi	ivi	ivi	ivi	ivi	ibi	ivi	ivi	ivi	ivi		ivi	ivi	ivi	
BONE_2	ui				sui	iui							hui													hui				hui
BRANCH_1	raakau			laʔakau		rakau		rakau													ɡaʔakau~ɡaʔa				rakau	vaʔakau	raakau		laalakau	ʔakau
BRANCH_2	rara					ra				rara			laa				laa						laa		raa				laa	
BRANCH_3		ʔaamamaɢaaːmamaɢaʔau																												
BRANCH_4			ʔaamaʔa								maŋa								maɡa					ʔaamaʔa						
BRANCH_5				laʔalaʔa			laalaaːla		laalaaːla				laalaaːla		mataaraaːra	raaraaːra		raaraaːra		raaraaːra		laalaaːla								
BRANCH_6														ʔaʔa																vaʔa
BRANCH_7																		tauru												
BRANCH_8																												kaulaa		
BREAST_1	uu			uu		u	uu	uu	uu		uu	susu	huhu	u	uu	uu	wuu	uu	ʔuu	uu	uu	susu	uu		uu	huhu		uu		huhu
BREAST_2		ʔouma	ʔoouma														uma	umauma									koouma			
BREAST_3			tiitiiːti																					tiitiiːti						
