# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
#
15	Anuta	ABOVE	r u ŋ a	5 7 4 7	AXBZ	RYNA	1	1.R.C 1.Y.V 1.N.C 1.A.V	2.0 1.5 1.75 0.8	ruŋa	0	2
239	Austral (Ra'ivavae)	ABOVE	ɢ u ʔ a	1 7 1 7	AXBZ	KYHA	2	2.K.C 2.Y.V 2.H.C 2.A.V	2.0 1.5 1.75 0.8	ɢuʔa	0	2
440	Austral (Rurutuan)	ABOVE	n u ʔ a	4 7 1 7	AXBZ	NYHA	3	3.N.C 3.Y.V 3.H.C 3.A.V	2.0 1.5 1.75 0.8	nuʔa	0	3
701	East Futuna	ABOVE	l u ɡ a	5 7 1 7	AXBZ	LYKA	4	4.L.C 4.Y.V 4.K.C 4.A.V	2.0 1.5 1.75 0.8	luɡa	0	2
1165	Futuna-Aniwa	ABOVE	w e i ʰl u ŋ a	6 7 7 5 7 4 7	AXYBYBZ	WEILYNA	6	6.W.C 6.E.V 6.I.V 6.L.C 6.Y.V 6.N.C 6.A.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	weiʰluŋa	0	2
1410	Hawaiian	ABOVE	i l u n a	7 5 7 4 7	XBYBZ	ILYNA	7	7.I.V 7.L.C 7.Y.V 7.N.C 7.A.V	1.5 1.75 1.3 1.75 0.8	iluna	0	2
1641	Kapingamarangi	ABOVE	n u a	4 7 7	AXZ	NYA	8	8.N.C 8.Y.V 8.A.V	2.0 1.5 0.8	nua	0	3
1855	Luangiua	ABOVE	l u ŋ a	5 7 4 7	AXBZ	LYNA	9	9.L.C 9.Y.V 9.N.C 9.A.V	2.0 1.5 1.75 0.8	luŋa	0	2
2074	Mangareva	ABOVE	r u ŋ a	5 7 4 7	AXBZ	RYNA	10	10.R.C 10.Y.V 10.N.C 10.A.V	2.0 1.5 1.75 0.8	ruŋa	0	2
2326	Maori	ABOVE	i r u ŋ a	7 5 7 4 7	XBYBZ	IRYNA	11	11.I.V 11.R.C 11.Y.V 11.N.C 11.A.V	1.5 1.75 1.3 1.75 0.8	iruŋa	0	2
2742	Niuean	ABOVE	l u ŋ a	5 7 4 7	AXBZ	LYNA	13	13.L.C 13.Y.V 13.N.C 13.A.V	2.0 1.5 1.75 0.8	luŋa	0	2
2980	North Marquesan	ABOVE	ʔ u n a	1 7 4 7	AXBZ	HYNA	14	14.H.C 14.Y.V 14.N.C 14.A.V	2.0 1.5 1.75 0.8	ʔuna	0	2
