Language_ID,Feature_ID,IPA,Value
Arem,TONGUE,lieh,1
Chứt_(Mày),TONGUE,la̤ɽ⁴,1
Chứt_(Rục),TONGUE,ləarl,1
Chứt_(Sách),TONGUE,ləalʰ²,1
Hung_(Liha),TONGUE,laːc,1
Hung_(Phong),TONGUE,laːt,1
Hung_(Toum),TONGUE,laːc,1
Maleng,TONGUE,lal³,1
Mương_(Hòa_Bình),TONGUE,laːj⁵¹,1
Mương_(Sơn_La),TONGUE,laːj⁴⁵,1
Thavưng,TONGUE,laʤʰ¹,1
Thổ,TONGUE,lɐːl⁵¹,1
Vietnamese,TONGUE,lɨːi̯²¹⁴,1
Arem,SEE,ʨɯŋ,2
Chứt_(Mày),SEE,cɯ̆ŋ¹,2
Chứt_(Rục),SEE,cɨŋ,2
Maleng,SEE,cɤ̆ŋ³⁴,2
Chứt_(Sách),SEE,ʒua̤m,3
Hung_(Liha),SEE,daːm,4
Hung_(Toum),SEE,daːm,4
Nguồn,SEE,tə̆j³,5
Vietnamese,SEE,tʰəi̯⁴⁵,5
Thavưng,SEE,nah⁴,6
Arem,DIE,ʨiːt,7
Chứt_(Mày),DIE,kɯcit³,7
Chứt_(Rục),DIE,kacit,7
Chứt_(Sách),DIE,ciːt⁵²,7
Hung_(Liha),DIE,ceːt,7
Hung_(Phong),DIE,ceːt,7
Hung_(Toum),DIE,ceːt,7
Maleng,DIE,kacɛt³⁴,7
Mương_(Hòa_Bình),DIE,ceːt⁵²,7
Mương_(Sơn_La),DIE,ceːt⁵²,7
Thavưng,DIE,cəːt¹,7
Thổ,DIE,ceːt⁵²,7
Vietnamese,DIE,cəːt⁴⁵,7
Arem,EYE,mʌat,8
Chứt_(Mày),EYE,mat⁴,8
Chứt_(Rục),EYE,mə̯ʌt,8
Chứt_(Sách),EYE,mə̆at⁵³,8
Hung_(Liha),EYE,mat,8
Hung_(Phong),EYE,mat,8
Hung_(Toum),EYE,mat,8
Maleng,EYE,măt³⁴,8
Mương_(Hòa_Bình),EYE,mat²,8
Mương_(Sơn_La),EYE,mat²,8
Nguồn,EYE,măt⁵²,8
Thavưng,EYE,mat¹,8
Thổ,EYE,mat⁵³,8
Vietnamese,EYE,măk⁴⁵,8
Arem,NIGHT,lɯmˀ,9
Chứt_(Mày),NIGHT,lɯ̆m⁴,9
Chứt_(Rục),NIGHT,lɨm,9
Chứt_(Sách),NIGHT,lum,9
Hung_(Liha),NIGHT,tɛːm,10
Hung_(Phong),NIGHT,teːm,10
Hung_(Toum),NIGHT,taem,10
Nguồn,NIGHT,tem¹,10
Thổ,NIGHT,teːm¹,10
Vietnamese,NIGHT,ɗeːm³³,10
Thavưng,NIGHT,ʔamah³,11
Arem,WHITE,tlaːk,12
Chứt_(Mày),WHITE,takal¹,13
Chứt_(Rục),WHITE,tə̆kal,13
Chứt_(Sách),WHITE,cakal,13
Maleng,WHITE,lɒk³⁴,13
Hung_(Liha),WHITE,plɔːk,14
