Gloss	Cahuilla	Central Tarahumara	Chemehuevi	Classical Nahuatl	Comanche	Cupeño	El Nayar Cora	Eudeve	Highland Puebla Nahuatl	Hopi	Huarijío	Huichol	Kawaiisu	Luiseño	Mayo	Mono	Northern Paiute	Northern Tepehuan	Panamint	Pima Bajo	Pipil	Pochutec	Serrano	Shoshoni	Southeastern Tepehuan	Southern Paiute	Teguima	Tetelcingo Nahuatl	Tohono O'odham	Tongva	Tubar	Tübatulabal	Ute	Yaqui
ALL_1	u̠mun																																	
ALL_2		omɑrwɑme									joma																							
ALL_3			mɑnːo										monojo													mano~manu							pɑʔɑmɑnuni~mɑnuni	
ALL_4				moʧ~moʧi					noʧi												muʧi	noʧo						noʧi						
ALL_5				iːxkiʧ																														
ALL_6					ojɯ~ojo														ojoːntɯ~ojoːntɯsɯ					ojoːn										
ALL_7						pətɑ̠ʔɑmɑ																												
ALL_8							hei̯̯ʦe																											
ALL_9								awona~haona																										
ALL_10										sosojɑm~sosoj																								
ALL_11												nai̯̯tɯ~junai̯̯tɯ~nai̯̯																						
ALL_12														ʧoʔon																				
ALL_13															ʦikti																			ʦikti
ALL_14																nasimi			sɯmɯsɯ															
ALL_15																	noːʔju															piniju		
ALL_16																		βɯʃi		βɯʃ					vɯʃ				wɯs~wɯs					
ALL_17																			wɯmː															
ALL_18																							puju											
ALL_19																											sə							
ALL_20																														owɑ̠ʔix				
ALL_21																															weʦɑ̠t~wesɑ̠t			
ALL_22																																	pɑʔɑmɑnuktis	
ARM_1	mal			maːi̯̯t͡ɬ						maʔa				mat							maji~mah		maː					mø		man		maʦon		
ARM_2		seka									seka							juca		huca														
ARM_3			aŋapɨ																															
ARM_4					pɨra								pɨravɨ			pɨtːa	pɨtːa		pɨta					pɨta		pɨta							pɨtapi	
ARM_5							mwahkaʔa																											
ARM_6								mamat				mama															mama							
ARM_7								nocat																					nowi					
ARM_8									ahkol												mahkul													
ARM_9															koomi																			
ARM_10																									nob									
ARM_11																											møtzaca					madzan		
ARM_12																															mavoːi̯̯r			
ARM_13																																		konkabam
ASH_1	nisxiʃ					wɨʂkiʃ																												
ASH_2		napiso						napsa			nahpiso				naposa												napot							naposa
ASH_3			kucapːɨ							qøcvi			kucapɨ				kutːusːipɨ~kusːi		kuʦːapːɨh					kuːsiːpːɨh		kuʦːæ							kucapːɨ	
ASH_4				neʃt͡ɬi					kʷonːeʃ												neʧ~nesʧta~neʃti	noʃt						t͡ɬakoneʃt͡ɬiː						
ASH_5					etuhsipːɨh																													
ASH_6							nasi					nari																			nasit			
ASH_7														teeliŋiʃ																				
ASH_8																esija																		
ASH_9																		matːe		matʰai̯̯					matai̯̯				matai̯̯					
ASH_10																							kukuht											
ASH_11																														koʃiʃ				
ASH_12																																tonɡul		
BARK_1	taʧal~taʃʔa													taaʧi																				
BARK_2		eɡoli																																
BARK_3		kuhe									kahe																							
BARK_4			asiaʔa										asiavi													asiaː							siʔaːpi	
BARK_5				eʔwaːt͡ɬ					eːwat																		bewat							
BARK_6					poʔa												puʔa		poʔa					poʔan										
BARK_7						ʧalal																												
BARK_8							kucapeʔe																											
BARK_9								beɡu̯at																										
BARK_10										ʦiipɨ																								
BARK_11															beewa																			bea
BARK_12																woʔaɡːapɨ																		
BARK_13																		hilidaɡa		ɨlidaɡ									ɨldaɡ					
BARK_14																					juwajo~ijewaju							jewajut͡ɬ						
BARK_15																							qoʦ											
BARK_16																									kom									
BARK_17																														axoːxoʦ				
BARK_18																															ulapet	opit		
BARK_19																																opun		
BELLY_1	teʔily													teeʔla																				
BELLY_2		ropa									tohpa				topːa																			
BELLY_3			sapːɨ		sapːɨh								sapɨi̯̯vɨ											sapːɨh		sapːɨ							sakoi̯pi	
BELLY_4				iʔtet͡ɬ																	ihti							hte						
BELLY_5						ʂaʔi											siː																	
BELLY_6							ʃai̯̯e																											
BELLY_7							huka					huka						voca		voːk					bok				woːk					
BELLY_8								siɡu̯at																			siɡu̯a							
BELLY_9								boa																										
BELLY_10								panza																										
BELLY_11									poʃ																							ʃapuʃt		
BELLY_12										pono									punu											xoːnen~xoːnon				
BELLY_13												ijamuja																						
BELLY_14																ɡohi	kohi																	
BELLY_15																							toːʔ											toʔona
BELLY_16																															njolir			
BIG_1	amnaʔa																																	
BIG_2		waʔlu													bweʔuru																			bweʔu~buːʔu
BIG_3			hokːo										woko																					
BIG_4				weːi̯̯~weʔ			veʔe		weːji												wei̯̯										wee			
BIG_5					pia														pia					pia		pia								
BIG_6						ai̯̯ʔaniʃ																												
BIG_7								huei̯̯																			ɡue							
BIG_8										wɨːjoqa																								
BIG_9											weruma																							
BIG_10												epɨpa																						
BIG_11												epɨnena																						
BIG_12														jot																				
BIG_13															bweere													bi̯ejiː						
BIG_14																papa	papa																apatːɨ	
BIG_15																		ɡu~aɡu																
BIG_16																				ɡɨʔɨd					ɡəʔ				ɡɨʔɨ					
BIG_17																						wjom												
BIG_18																							atiɨ̯̯ʔaʦ											
BIG_19																														jooi̯ʧ				
BIG_20																																eɡeːwan		
BIRD_1	wikikmal					mukikmal																												
BIRD_2		ʧuluɡi									ʦuʔruki																							
BIRD_3			wiciʔici										wizikizi													wicɨ							wicici	
BIRD_4				toːtoːt͡ɬ					toːtoːciːn												totoʧ	tutut						tutut͡ɬ						
BIRD_5					kuʦːuː																			hui̯̯ʦːu										
BIRD_6							pinaʔa																											
BIRD_7								viqui̯̯tz																										
BIRD_8										ʦiro																	ʧi							
BIRD_9												wiki~wi			wiːkit								wicit											wiikit
BIRD_10														iheŋmal																				
BIRD_11																ʦiːpːaʔ	hucipa																	
BIRD_12																		uːɡːui̯̯~uruɡui̯̯																
BIRD_13																			kasakantin															
BIRD_14																				uʔuviɡ									uʔuw̥iɡ					
BIRD_15																									ui̯ʔ									
BIRD_16																														ʧiʔuː				
BIRD_17																															kolo			
BIRD_18																																ʧikiːt		
BITE_1	keʔ		kɨʔi			qɨʔɨ				kɨːki		ke~kei̯	kiʔi	koʔi	keʔeje	kɨhjɨ	kɨʔi~kɨi̯̯			kɨʔɨ			kɨːʔ			kɨʔi			kɨʔi		ke	kɨi̯̯ʔɨt~ɨːɡɨ	kɨʔi	keʔe
BITE_2		iʔki																																
BITE_3				kecuma~kehcuma					keːhcoma																			kecoma						
BITE_4					kɨccia																													
BITE_5							ʧeʔe											ʦuui̯̯~ʦujui̯̯																
BITE_6								nequen~queen																										
BITE_7											kiʔcu																							
BITE_8																		ʦujanta							kɨjaʔ									
BITE_9																			kɨcciʔa					kɨcciʔa										
BITE_10																					tankʷa													
BITE_11																											qui̯̯quja							
BLACK_1	tulnek			t͡ɬiltik					tiːltik																			t͡ɬiltiːk						
BLACK_2		ʧokame									ohconame																							
BLACK_3			tupːaka																															
BLACK_4					tuhupihtɨ														tuːppihtɨ					tuːppihtɨn										
BLACK_5						tula										tumːu	tu	tuco~tucu								tuy								
BLACK_6							ʃuʔumwa																											
BLACK_7								sovei̯̯																			sovai̯̯							
BLACK_8										qøymviwsaʔ																				jupiːxaʔ~jopiːxaʔ				
BLACK_9												juwi~pujuwi																						
BLACK_10													tuhukʷidɨ																				tuukːwatɨ	
BLACK_11														juvatai̯̯																				
BLACK_12															ʧukuli																tokur	tuːɡu~uːduːɡu		ʧukui̯̯~ʧukuli
BLACK_13																				stuk					ʧuk				sʧuk					
BLACK_14																					puʃawak													
BLACK_15																							tɨnaːraʔn											
BLOOD_1	eu̯̯ily													ou̯̯la																				
BLOOD_2		la																																
BLOOD_3			paɨ̯̯pːi										pɨːpi			paː	pɨːpːi									paɨ̯̯							paapːɨ	
BLOOD_4				est͡ɬi					esti												ehti	est						jest͡ɬiː						
BLOOD_5					pɨːppin														pau̯̯ppin					pɨːppin										
BLOOD_6						ɨw																												
BLOOD_7							ʃuureʔe					zurija																						
BLOOD_8								erat										iːrai̯̯									herat				arat			
BLOOD_9										ɨŋwa																								
BLOOD_10											ela																				ava			
BLOOD_11															ohbo																			
BLOOD_12																		vure																
BLOOD_13																				ɨːʔɨr					ɨɨr				ɨːʔɨɖ					
BLOOD_14																							ɨːʈ͡ʂʈ͡ʂ											
BLOOD_15																														xai̯̯n				
BLOOD_16																																ɨkʷa		
BLOOD_17																																		ohbo
BONE_1	teʔily					tiʔil																												
BONE_2		oʔʧi																																
BONE_3			ohopi								oʔa		ohovɨ			oho	oho	oo		oːʔo						oho			oːʔo				oopɨ	
BONE_4				omit͡ɬ					oːmit												umit							miːmiːtet͡ɬ						
BONE_5					ʦuhni														ʦuhmi					ʦuhni										
BONE_6							kari																											
BONE_7								hoɡu̯a		øːqa																	oɡu̯a							
BONE_8												ume																						
BONE_9														kulaawut																				
BONE_10															otːa																			ota
BONE_11																						ot	oːʦ											
BONE_12																									aoː									
BONE_13																											ramohudura~ramoɡui̯̯tzura							
BONE_14																														ʔeːʔin				
BONE_15																															hotarak			
BONE_16																															ola~o			
BONE_17																																on		
