Gloss	Anuta	Austral A	Austral B	East Futuna	Emae	Futuna-Aniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	Mele-Fila	Niuean	North Marquesan	Nukuria	Penrhyn	Proto-Polynesian	Pukapuka	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	Vaeakau-Taumako	Wallisian
ABOVE_1	ruŋa	ɢuʔa	nuʔa	luɡa		weiʰluŋa	iluna		luŋa	ruŋa	iruŋa		luŋa	ʔuna	iaruna	ruŋa	iluŋa	luŋa	ruŋa	ruɡa	ruŋa	ɡuŋa	iluŋa		niʔa	luɡaruɡa	ʔiʔoluŋa	ruŋa	luɡa	luŋa	luɡa
ABOVE_2								nua																							
ALL_1	katoa	ʔatoʔa	paaʔaaːʔatoʔa	kaatoa				ɡodoo	aakoa		katoa		ɡotoa		katoo	katoa	katoa	katoa	kaatoatoa		katoa	kaatoa	ʔaatoa	katoa	atoʔa	katoa	kotoa	katoŋa	katoa	katoa	katoa
ALL_2				fuli																		huɡi									fulifuli
ALL_3					pini																										
ALL_4																				tahi											
ALL_5										kouroa																					
ALL_6														tiatohu																	
ALL_7																		wui													
ALL_8							apau											pau	pauroa												
ALL_9						oʃi						eutʃi																			
AND_1																				piri											
AND_2	maa				mare,ma	ma	ame	maaŋi	maa		me		ma	maa	ma	ma		ma		ma	maa	ma	ma	ma		ma				ma	
AND_3																														ia	
AND_4																				pe							pea				
AND_5											hoki																				
AND_6		e	ʔee							e									e	e					ʔee						
AND_7	mo			mo								ŋo	mo		noo											mo	mo			o	mo
AND_8															roo															ioko	
ASH_1				muɡaalafu						ŋaraʔu																					
ASH_2																		malamala													
ASH_3						namuʰlaŋa																									
ASH_4	repu	ɢehuauahi	reʔu	lafu	refu	maɡarafu	lehu	lehu	lehu	ʔeʔu	puŋarehu	arefu	efu	ʔehu	rehu	rehu	refu	lewulewu	rehu	ʔeoʔeo	reʔu	ɡehu	lefulefu	lehu	rehu	refu	efuefu	rehu	pefu	lehu	lefu
AT_1	i	i	i	i		i	i	i	i	ki	i		i	i	i	i		i	i	i	i	i	i	i	i	i		i	i	i	ʔi
AT_2				ki																							ʔi				
AT_3				teʔi							hei										tei							tei			tei
AT_4							ma																								
BACK_1																					mokotua										
BACK_2		tua	tautua	tuʔa	simatua	bua	kua	dua	aŋa	tua	tuaraa		tuʔa	tua	kantua		tuʔa	tua	tua	tuʔaivi		tuʔa	tua	tua	tua	tua	tuʔa	papatua	tua	tua	tuʔa
BACK_3	muri																	muli	muri												
BACK_4												pua																			
BACK_5																sope															
BAD OR EVIL_1					sati	saa			ʔiŋo			sa					saʔa														
BAD OR EVIL_10																						soŋo									
BAD OR EVIL_11																													maahei		
BAD OR EVIL_12		ʔino	ʔino	kino			ʔino			kino	kino			ʔino		kino		kino	kino	kino	kino		ʔinoʔino	hakakinokino	ʔino			kiro			
BAD OR EVIL_13								huaaitu																							
BAD OR EVIL_2	kovi																										kovi				kovi
BAD OR EVIL_3																										pariki					
BAD OR EVIL_4														hauhau																	
BAD OR EVIL_5																						maaseʔi									
BAD OR EVIL_6			manuenu																												
BAD OR EVIL_7																														tʰapeo	
BAD OR EVIL_8															takahara																
BAD OR EVIL_9																							leaŋa								
BE ALIVE_1	mauri			maʔuli	mauri	mouri						mouri									mauri	maʔuɡi	maui				moʔui			mauli	maʔuli
BE ALIVE_2																			maalohilohi												
BE ALIVE_3														pohuʔe																	
BE ALIVE_4	ora		ora				ola	ora	ola	ora	ora		ola		ora	ora		oola	ora	ora	ora		ola	ola	ora	ora		ora			ola
BE ALIVE_5		haʔaea																													
BE DEAD OR DIE_1	mate	mate	mate	mate	mate	mate	make	made	make	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate		mate	mate	mate	mate	mate	mate
BE DEAD OR DIE_2																			hiti												
BE DEAD OR DIE_3																					poʔe				pohe			pohe			
BE DEAD OR DIE_4														keʔo																	
BELLY_1																												tia			
BELLY_10											puku																				
BELLY_2						alo																									ʔalo
BELLY_3					nakau																										
BELLY_4				tinaʔe		ʃinae						sinae																	tinae		
BELLY_5		ʔoopuoːpu	ʔoopuoːpu				ʔoopuoːpu			koopuoːpu				ʔopu		koopuoːpu			koopuoːpu	kopu	koopuoːpu				ʔoopuoːpu			koopuoːpu			
BELLY_6																														ŋapula	
BELLY_7																											kete				
BELLY_8				kona				kona		kona						kona					kona					kona		kona			kona
BELLY_9	manava			manava		manava			maŋava	manava			manava		manava	manava	manawa	manava	manavanui	manava	manava	manaba	manava	manava		manava		manava		manava	manava
BELOW OR UNDER_1	raro	ɢaɢo	raro	lalo		raro	lalo	rara	lalo	raro	iraro		lalo	ʔaʔo	iraro		lalo	lalo	raro	raro	raro	ɡaɡo	ilalo	lalo	raro	raro	ʔilalo	raro	lalo	lalo	lalo
BIG_1								tamana																							
BIG_10																					katakata										
BIG_11																							tele								
BIG_12																														tʰuabe	
BIG_13						sore																									
BIG_14																		wowolo													
BIG_2							nui			nui	nui			nui		nue			nui	nui			nui	niu				nui			
BIG_3	rai	ɢahi	raʔi	lasi	lasi				lahi				lahi			rahi	lasi		rahi	rahi			lasi		rahi	lasi	lahi		lahi		lahi
BIG_4						efa																ɡauʔeha					fuʔu				
BIG_5										ruʔaruʔa																					
BIG_6																			koorereka												
BIG_7														maaka	hamataku						maʔatamaʔata										
BIG_8																		toŋi													
