Gloss	Central Pomo	Central Yana	Chimariko	Cocopa	Eastern Pomo	Highland Chontal	Ipai	Karok	Kashaya	Mohave	Northeastern Pomo	Northern Pomo	Northern Yana	Seri	Shasta	Southeastern Pomo	Southern Pomo	Tipay	Yahi	Yavapai
ALL_Chimariko_1			kʰˈumitʼʲin																	
ALL_Karuk_1								koːβúɾa												
ALL_Pomo_1									tʼiː											
ALL_Pomo_2																	naːpˈijo			
ALL_Pomo_3	jaːwˈal																			
ALL_Pomo_4												dilˈej								
ALL_Pomo_5					kuːmˈu															
ALL_Pomo_6																ʔˈuχqat̪				
ALL_Seri_1														koːχ						
ALL_Shastan_1															ʔwiːwaːwahúʔ~ʔwiːwawáw					
ALL_Tequistlatecan_1						bulˈafʼkaʔ														
ALL_Yana_1		panauma											panauma						panauma	
ALL_Yuman_1										paj										pˈaja
ALL_Yuman_2				saːm														ʧamʎ̥~ɲaʧˈamʎ̥		
ALL_Yuman_3							nʲaːmat̪													
ASH_Chimariko_1			mˈaʦʼχipa																	
ASH_Karuk_1								ámtaːp												
ASH_Pomo_1	no				no				ʔinoqoʧ			nohˈo				χˈojonoχˌo	hiːno			
ASH_Pomo_2											malˈaʔ									
ASH_Seri_1														ʔantˈimak						
ASH_Shastan_1															máhawa					
ASH_Tequistlatecan_1						ɬˈabi														
ASH_Yana_1													tʼapʔlaːwiʔauna							
ASH_Yuman_1				xmʔuɬ						hamʔuːʎ										ʔmhˈúˑl~ʔmhˈûˑl
ASH_Yuman_2							ʔəmpiɬ													
BARK_Chimariko_1			hˈipχaʧʼi~hˈipːχaʧi																	
BARK_Karuk_1								máːn												
BARK_Pomo_1	kʰwaː				xaːwˈal				qahwaː		kʰˈawaː					χwal	kʰˈawːa			
BARK_Pomo_2												ʃewˈa								
BARK_Seri_1														inˈaːiɬ						
BARK_Tequistlatecan_1						lˈiʃmikʼek														
BARK_Yana_1													patʔjauna							
BARK_Yuman_1										ʧaθkʷil										
BARK_Yuman_2				ʂxujˈal			xaːsəjaɬ													
BARK_Yuman_3																				θpˈîla
BELLY_Chimariko_1			hˈutʲunew																	
BELLY_Karuk_1								βiʃβaːn												
BELLY_Pomo_1	mkʰa								ʔuhqʰa			kʰaʃˈeʔ					ʔˈukʰːa			
BELLY_Pomo_2					kʼo															
BELLY_Pomo_3											koi					qo				
BELLY_Seri_1														jaχ						
BELLY_Shastan_1															ʔíʧnit					
BELLY_Tequistlatecan_1						laɡˈuʔu														
BELLY_Yana_1													willa						willa	
BELLY_Yuman_1				ʔiʧˈu			ət̪uː			iːto								t̪u		
BELLY_Yuman_2																				mnˈûˑna
BIG_Chimariko_1			ʧˈewːu																	
BIG_Karuk_1								kêːʧ												
BIG_Pomo_1	baːtʰˈe				baːtʰˈin				bahtʰe							bitˈenikʼ	bˈahtʰe			
BIG_Pomo_2												matˈo								
BIG_Pomo_3											tʰˈijin									
BIG_Seri_1														kˈaːkox						
BIG_Shastan_1															kʼimpíʔ					
BIG_Tequistlatecan_1						ʔaɡwˈeɡaʔ														
BIG_Yana_1		paʦal											paʦal						paʦal	
BIG_Yuman_1				pt̪aj						vaʎtajm~vatajm								t̪aj		βtˈe
BIG_Yuman_2							ʔiːkuː													
BIRD_Chimariko_1			tˈiʔira																	
BIRD_Karuk_1								aʧβiːβ												
BIRD_Pomo_1	t̪a				ʦʼiːjˈa				ʦʼiht̪a		ʧʼijit̪kaː	ʦʼitʼ				ʦʼit̪ˈa	ʦʼˈiht̪a			
BIRD_Seri_1														ʃiːk						
BIRD_Shastan_1															ʧʼíːʧʼaːx					
BIRD_Tequistlatecan_1						ɬˈaɡa														
BIRD_Yana_1													ʦutʔawi							
BIRD_Yuman_1										ʔiʧajer~ʔiʧijer										
BIRD_Yuman_2				ʃa			ʔaːʂaː											aʔʃˈa~aːʃˈa		ʔʧsˈa
BITE_Chimariko_1			utpa																	
BITE_Karuk_1								paɾ												
BITE_Pomo_1	kaːnˈe				qaːnˈeː				qane			kanˈe				qne	kˈaːni			
BITE_Seri_1														kkˈatχɬa						
BITE_Shastan_1															táʔuxáwiːk					
BITE_Tequistlatecan_1						diɡˈaʔma														
BITE_Yana_1		ʦa											ʦa						ʦa	
BITE_Yuman_1							ʧuːkuw			ʧakʲoːk								ʧuːkˈaw		ʧkʲˈo
BITE_Yuman_2				ʂaː																
BLACK_Chimariko_1			ʧʰˈeleʔi																	
BLACK_Karuk_1								ikxáɾamkuniʃ												
BLACK_Pomo_1	kʼli								kʼili											
BLACK_Pomo_2					muːʃˈaqʼ												ʃakʼːa			
BLACK_Pomo_3												kʰaʦʼˈe								
BLACK_Pomo_4																luqʼˈolqʼo				
BLACK_Pomo_5											ʧʼihkˈil									
BLACK_Seri_1														kˈoːpoɬ						
BLACK_Shastan_1															ʔeːpxútáraxiʔ					
BLACK_Tequistlatecan_1						ʔˈumi														
BLACK_Yana_1		tapʰalsa											tapʰalsa						tahpʰalsa	
BLACK_Yuman_1				ɲiːʎ̥			nʲiɬʲ			ɲaːʔiːʎ								ɲiʎ̥		ʔɲˈáː
BLOOD_Chimariko_1			sˈiʦqʼi																	
BLOOD_Karuk_1								áːx												
BLOOD_Pomo_1	baːlˈaj				baːlˈaj				balaj			balˈaj				blaj	bˈaːlaj			
BLOOD_Pomo_2											ʧes									
BLOOD_Seri_1														ʔˈaːit						
BLOOD_Shastan_1															ʔáxta					
BLOOD_Tequistlatecan_1						laʍˈaʦʼ														
BLOOD_Yana_1		watʔtuwi											watʔtuwi							
BLOOD_Yuman_1				ɲxʷat			ʔəxʷat			ɲahʷat								xʷat		ʔhʷˈata
BONE_Chimariko_1			ʦʰʲˈatʰχun																	
BONE_Karuk_1								ípih												
BONE_Pomo_1	jaː				j̥a				ʔihjaː		hˈija	jaː				jaqʼo	ʔˈiːha			
BONE_Seri_1														ˈitak						
BONE_Shastan_1															ʔaːkʼ					
BONE_Tequistlatecan_1						lˈeɡaɬ														
BONE_Yana_1		ʔixtalʔ											ʔixtalʔ						ʔaxtatʔ	
BONE_Yuman_1				ɲjaːk			aq			ɲasak								ak		ʧjˈaˑka
BREAST_Chimariko_1			huʔsˈiʔ																	
BREAST_Karuk_1								iθβaːj												
BREAST_Pomo_1					jeːʔˈel						jˈeʔeː~t̪ʰˈeʔeː	jeʔˈeː				wʔel				
BREAST_Seri_1														ˈiːsaχiːʃk						
BREAST_Shastan_1															ʔíʧwat					
BREAST_Tequistlatecan_1						ɬonʃˈahmaʔ														
BREAST_Yana_1													ʦuxpinna							
BREAST_Yuman_1										iːwa										
BREAST_Yuman_2				xʧkaɾ~ʧxkaɾ														t̪əxkˈar		
BREAST_Yuman_3																				ɲmˈaja
BREAST_Yuman_4							iːʧix													
BURN (SOMETHING)_Karuk_1								áːhka												
BURN (SOMETHING)_Pomo_1									muhkʰujʔ											
BURN (SOMETHING)_Pomo_2					ʃaːtʼˈoː															
BURN (SOMETHING)_Seri_1														kaʔˈitax						
BURN (SOMETHING)_Tequistlatecan_1						dibiʔˈeʔma														
BURN (SOMETHING)_Yana_1		haʔwiː											haʔwiː						haʔwiː	
BURN (SOMETHING)_Yuman_1										tapoːmm										
BURN (SOMETHING)_Yuman_2				ʎ̥maɾ														aʎ̥mˈar		
BURN (SOMETHING)_Yuman_3																				tˈu
BURN (SOMETHING)_Yuman_4							aːɹaːw													
CIRCULAR (ROUND IN TWO DIMENSIONS)_Seri_1														kpˈɛːtix						
CIRCULAR (ROUND IN TWO DIMENSIONS)_Yuman_1				ɾjaɾ			jaɹəjaɹ											jərjˈar		
CLAW OR NAIL_Chimariko_1			pˈolaχot																	
CLAW OR NAIL_Karuk_1								axpih												
CLAW OR NAIL_Pomo_1	ʔeːʧʼ								heːʧʼ		hˈeːʧʼa	heʧʼ					heːʧʼ			
CLAW OR NAIL_Pomo_2					rikʰ															
CLAW OR NAIL_Pomo_3																ʔaʃˈab				
CLAW OR NAIL_Seri_1														inˈoːsx						
CLAW OR NAIL_Shastan_1															ʔéːraxa					
CLAW OR NAIL_Tequistlatecan_1						ɬaʔnˈaɬuk														
CLAW OR NAIL_Yana_1													sukʼuʔliptalla						sukʼuʔnimtanna	
CLAW OR NAIL_Yuman_1				ɬkaxʷˈaw~ʎ̥kaxʷˈaw			salʲəxʷuːw			iːsaʎkuʎoho										slhβˈoˑ
CLAW OR NAIL_Yuman_2																		ʃaʎ̥nəpˈuːl		
CLOUD_Chimariko_1			hawˈetaʔm																	
CLOUD_Karuk_1								pikxáɾampa												
CLOUD_Pomo_1	kʰbaː				xaːbˈo				qʰabaː		kʰˈaʔbot̪on					xubˈu	kʰˈabʔa			
CLOUD_Pomo_2												pʰut̪ʼ								
CLOUD_Seri_1														ʔˈoːkaɬa						
CLOUD_Shastan_1															ʔíːpaːkúʔ					
CLOUD_Tequistlatecan_1						lummˈawaj														
CLOUD_Yuman_1				kʷiː			ʔəkʷiːj			ʔiːkʷe								kʷiː		ʔkʷˈi
COLD_Chimariko_1			ˈeso																	
COLD_Karuk_1								áθiːk												
COLD_Pomo_1									ʔihjuːm											
COLD_Pomo_2												mˈadoː					moʔdotʼ			
COLD_Pomo_3	kʼiw																			
COLD_Pomo_4					qaːʦʰˈil											qsˈilit̪				
COLD_Pomo_5											ʃˈoʔt̪ʼon									
COLD_Seri_1														kaːpɬ						
