Language,Gloss,Orthography,StressAnnotation,CorrectWord,Transcription,BG_Verb
Belarusian,FIRE,агонь,аго́нь,,,
Belarusian,CLOTHES,адзенне,адзе́нне,,,
Belarusian,ONE,адзін,адзі́н,,,
Belarusian,FIGHT,барацьба,барацьба́,,,
Belarusian,FATHER,бацька,ба́цька,,,
Belarusian,SEE,бачыць,ба́чыць,,,
Belarusian,FEAR (BE AFRAID),баяцца,бая́цца,,,
Belarusian,WHITE,белы,бе́лы,,,
Belarusian,NEAR,блізкі,блі́зкі,,,
Belarusian,DIRTY,брудны,бру́дны,,,
Belarusian,WATER,вада,вада́,,,
Belarusian,HAIR,валасы,валасы́,,,
Belarusian,WIND,вецер,ве́цер,,,
Belarusian,CLOUD,воблака,во́блака,,,
Belarusian,LAKE,возера,во́зера,,,
Belarusian,EYE,вока,во́ка,,,
Belarusian,HAIR,волас,во́лас,,,
Belarusian,EIGHT,восем,во́сем,,,
Belarusian,SHARP,востры,во́стры,,,
Belarusian,LOUSE,вош,вош,,,
Belarusian,NARROW,вузкі,ву́зкі,,,
Belarusian,ROAD,вуліца,ву́ліца,даро́га,,
Belarusian,EAR,вуха,ву́ха,,,
Belarusian,YOU,вы,вы,,,
Belarusian,TIE,вязаць,вяза́ць,,,
Belarusian,BIG,вялікі,вялі́кі,,,
Belarusian,SPEAK,гаварыць,гавары́ць,,,
Belarusian,HEAD,галава,галава́,,,
Belarusian,MOUNTAIN,гара,гара́,,,
Belarusian,HOT,гарачы,гара́чы,,,
Belarusian,BURNING,гарэць,гарэ́ць,,,
Belarusian,SMOOTH,гладкі,гла́дкі,,,
Belarusian,YEAR,год,год,,,
Belarusian,BREAST,грудзі,гру́дзі,,,
Belarusian,PLAY,гуляць,гуля́ць,ігра́ць,,
Belarusian,THIS,гэта,гэ́та,,,
Belarusian,FAR,далёкі,далёкі,,,
Belarusian,GIVE,даць,даць,,,
Belarusian,TWO,два,два,,,
Belarusian,TWENTY,дваццаць,два́ццаць,,,
Belarusian,WHERE,дзе,дзе,,,
Belarusian,NINE,дзевяць,дзе́вяць,,,
Belarusian,DAY (NOT NIGHT),дзень,дзень,,,
Belarusian,TEN,дзесяць,дзе́сяць,,,
Belarusian,BLOW (OF WIND),дзьмуць,дзьмуць,,,
Belarusian,GOOD,добры,до́бры,,,
Belarusian,RAIN (PRECIPITATION),дождж,дождж,,,
Belarusian,LONG,доўгі,до́ўгі,,,
Belarusian,OTHER,другі,другі́,,,
Belarusian,TREE,дрэва,дрэ́ва,,,
Belarusian,STUPID,дурны,дурны́,,,
Belarusian,AND,ды,ды,,,
Belarusian,SMOKE (EXHAUST),дым,дым,,,
Belarusian,BREATHE,дыхаць,ды́хаць,,,
Belarusian,EAT,есці,е́сці,,,
Belarusian,WOMAN,жанчына,жанчы́на,,,
Belarusian,WIFE,жонка,жо́нка,,,
Belarusian,YELLOW,жоўты,жо́ўты,,,
Belarusian,ANIMAL,жывёла,жывёла,,,
Belarusian,BELLY,жывот,жыво́т,,,
Belarusian,BE ALIVE,жыць,жыць,,,
Belarusian,KILL,забіць,забі́ць,,,
Belarusian,FREEZE,замерзнуць,заме́рзнуць,,,
Belarusian,COOK (SOMETHING),зварыць,звары́ць,,,
Belarusian,COOK (SOMETHING),згатаваць,згатаваць,,,
Belarusian,WIPE,выцерці,згатава́ць,,,
Belarusian,SNAKE,змяя,змяя́,,,
Belarusian,KNOW (SOMETHING),знаць,знаць,,,
Belarusian,STAR,зорка,зо́рка,,,
Belarusian,TOOTH,зуб,зуб,,,
Belarusian,GREEN,зялёны,зялёны,,,
Belarusian,EARTH (SOIL),зямля,зямля́,,,
Belarusian,AND,і,і,,,
Belarusian,NAME,імя,імя́,,,
Belarusian,OTHER,іншы,і́ншы,,,
Belarusian,KNEE,калена,кале́на,,,
Belarusian,ROCK,камень,ка́мень,,,
Belarusian,DIG,капаць,капа́ць,,,
Belarusian,BARK,кара,кара́,,,
Belarusian,SHORT,кароткі,каро́ткі,,,
Belarusian,FLOWER,кветка,кве́тка,,,
Belarusian,BAD,кепскі,ке́пскі,,,
Belarusian,THROW,кідаць,кі́даць,,,
Belarusian,CLAW,кіпцюр,кіпцю́р,,,
Belarusian,HAND,кісць,кісць,рука́,,
Belarusian,ROOT,корань,ко́рань,,,
Belarusian,BONE,косць,косць,,,
Belarusian,BLOOD,кроў,кроў,,,
Belarusian,ROUND,круглы,кру́глы,,,
Belarusian,WING,крыло,крыло́,,,
Belarusian,BITE,кусаць,куса́ць,,,
Belarusian,ICE,лёд,лёд,,,
