	Azerbaijani	Bashkir	Chulym	Chuvash	Crimean Tatar	Cuman	Dolgan	Gagauz	Kara-Kalpak	Karachay-Balkar	Karaim	Kazakh	Khakas	Khalaj	Kumyk	Kyrgyz	Nogai	Northern Altai	Old Turkic	Salar	Shor	Siberian Tatar	Southern Altai	Tatar	Tofa	Turkish	Turkmen	Tuvan	Uyghur	Uzbek	West Yugur	Yakut
ARM OR HAND_1										bilek	bilek~bilɛk																					
ARM OR HAND_2	ɡol~æl	qul	qol	χul~ɑlɤ̆ʷ	qol~el	el	iliː	kol~el	qol	qol	kol	qol	χol	qol~ɛl	qol	qol	qol	qol	qol~eliɡ	qol~el~il	qol	qol	qol	qul	qol	koɫ~elʲ	ɡol~el	χol	qol	qol	qol~elɯɣ~eliɡ	iliː
ASH_1	cyl	køl	kulʲ	kɘ̆ʷl	kyl		kyl	kyl	kyl	kyl	kyl	kyl	kyl	kil	kyl	kyl	kyl	kyl	kyl	kul~kyl	kyl		kyl	køl	hyl	cylʲ	kyl	χyl	kyl	kul	kul	kyl
BARK_1																									ʧøˤprɛː			ʧøvyreː				
BARK_2			qɑqβɑʧ										χɑχpɑs	qɑːɑs				qɑɣɑʃ			qɑqpɑʃ											
BARK_3	ɡɑbɯɡ	qɑbɯq		χubɤ̆ʷ	qɑbuq	kɑbuk	kɑtɯrɯk	kɑbuk	qɑbɯq	qɑbuq	kɑbuk	qɑbɯq			qɑbuq	qɑbɯq	qɑbɯq		qɑdɯz			qɑbɯq		qɑbɯq		kɑbuk~kɑbuːu	ɡɑbɯq				qɑzdɯq	χɑtɯrɯk
BARK_4																													qovzɑq			
BARK_5																				koχ												
BELLY_1		es					is		iʃ			ɘs	ɘstɘ			iʧ	iʃ	iʧ~iʃ				ëʧ	iʧ		iˤʃtɘ		iʧ	iʒin	iʧ		iʧiɡe~iʧike~iʧiki~iʧikɯ	is
BELLY_2		qorhɑq			qursɑq				qursɑq		kursɑχ				qursɑq	qursɑq	qursɑq			χusɑχ	qursɑq			qorsɑq					qosɑq			
BELLY_3	ɡɑrɯn		qɑːrən	χɯrɤ̆ʷm	qɑrɯn	kɑren~kɑrin		kɑrnɯ	qɑrɯn	qɑrɯn	kɑrɯn	qɑrɯn	χɑrɯn	qɑrɯn				qɑrɯn	qɑrɯn		qɑrnɯ			qɑrɯn		kɑrɯn	ɡɑrɯn	χɯrɯn	qerin	qɔrin	qɑrɯn	
BIG_1	bøjyc			pɯzɤ̆ʷk	byjyk			byyk			bijik~byjyk			bydyk~bidik					bedyk							byjyc					pezik	
BIG_2									ylken			ylken					yjken															
BIG_3			uluɣ			ulu	ulɑkɑn			ullu	ullu		uluɣ		ullu				uluɣ	ullɯ	uluɣ	ulɯ~olu			uluɣ		ulɯ	uluɣ				ulɑχɑn
BIRD_1										qɑnɑtlɯ						qɑnɑttuː																
BIRD_2							køtør																									køtør
BIRD_3	ɡuʃ	qoʃ	qus~quʧɑq		quʃ	kus		kuʃ	qus		kuʃ~kus	qʊs	χus		quʃ	quʃ	qus	quʃ	quʃ	quʃ	quʃ	quʃ	quʃ	qoʃ		kuʃ	ɡuʃ	quʃ	quʃ	quʃ	qus~qos	
BIRD_4																									quˤʃqɑʃ							
BIRD_5				kɑjɤ̆ʷk																												
BITE_1	ɡɑp		qɑp							qɑp		qɑp			χɑp		qɑp															
BITE_2								dɑlɑ																								
BITE_3	diʃlæ	teʃlɛ			tiʃle	tislɑ			tisle		tiʃle~ʧiʃle	tɘste				tiʃtø	tisle	tiʃte	tiʃle	ʧɯːʃle			tiʃte	teʃlɛ			diʃle		ʧiʃlɛ	tiʃlɑ	teste~tiste~tɯste	
BITE_4							ɯtɯr						ɯzɯr								ɯzɯr				ɯˤsɯr	ɯsɯr		ɯzɯr				ɯtɯr
BITE_5				ɕɯrt																												
BLACK_1	ɡɑrɑ	qɑrɑ	qɑrɑ	χurɑ	qɑrɑ	kɑrɑ	kɑrɑ	kɑrɑ	qɑrɑ	qɑrɑ	kɑrɑ~qɑrɑ	qɑrɑ	χɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	kɑrɑ	ɡɑrɑ	qɑrɑ	qɑrɑ	qɔrɑ	qɑrɑ	χɑrɑ
BLOOD_1	ɡɑn	qɑn	qɑn	jun	qɑn	kɑn	kɑɑn	kɑn	qɑn	qɑn	kɑn~qɑn	qɑn	χɑn	qɑːn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	kɑn	ɡɑːn	χɑn	qɑn	qɔn	qɑn	χɑːn
BONE_1							oŋuok																									uŋuoχ
BONE_2	symyc	højɛk	søøk			souɑt			syjek	syjek	sivek~syjek	syjek	søøk		syjek	søøk	syjek	søøk~søk	syŋyk		søːk	syøk	søøk	søjɛk	søøk		θyŋk	søøk	søŋɛk~syŋɛk~syjɛk	sujɑk		
BONE_3					kemik			kemik																		cemic						
BONE_4				ʃømø																seniχ											sɯmɯq	
BREAST_1									ɡewde			kewde																				
BREAST_2		kykrɛk							køkyrek	køkyrek	køkrɛk~kekrek~køkrek	køkrek			køkyrek	køkyrøk	køkirek			kyprɛχ		køkrɛk~kykrɛk		kykrɛk			kykrek		køkrɛk	kokrɑk		
BREAST_3				køɡør																												
BREAST_4	døʃ	tyʃ	tøs			tos	tyøs		tøs	tøʃ	tøʃ~tes	tøs			tøʃ			tøʃ	tøʃ		tøʃ	tyʃ	tøʃ	tyʃ	tøʃ		døʃ				ɡøs~tos~tus~tys	tyøs
BREAST_5	cøcs				kokys	køksuɡ~køɡis		ɡyːs			køkis~køχis		køɡɘs~køksɘ	kiːes~køjs				køɡys	køɡyz				køɡys			ɟøːys			køksɛ			
BURN_1	jɑn	jɑn		ɕun	jɑn			jɑn	ʒɑn		jɑn	ʒɑn			jɑn	ʤɑn	jɑn					jɑn		jɑn		jɑn	jɑn		jɑn	jɔn		
BURN_2																									qɯˤp			qɯp				
BURN_3			koj			kyj				kyj	kyv~kiv~tiv		køj	kien		kyj		kyj	kyn~kyj	køj	køj		kyj						køj		kyj	
BURN_4							ɡydeːrij																									
BURN_5																																umɑj
CLAW_1		tɯrnɑq	tərɣɑq	ʧɘrne	tɯrnɑq	termɑk	tɑrbɑk	tɯrnɑk	tɯrnɑq	tɯrnɑq	tɯrnɑχ	tɯrnɑq	tɯrɣɑχ		tɯrnɑq	tɯrmɑq	tɯrnɑq	tɯrvɑq~tɯrbɑq			tɯrɣɑq		tɯrmɑχ	tɯrnɑq	dɯrbɑq	tɯrnɑk	dɯrnɑq	dɯrbɑq	tirmɑq	tirnɔq		tɯŋɯrɑχ
CLAW_2	ʤɑjnɑɡ																															
CLOUD_1	bulut	bolot	pulut	pɘ̆ʷlɘ̆ʷt	bulut	bulut	bɯlɯt	bulut	bult	bulut	bulut	bʊlt	pulut	bulɯt	bulut	bulut	bulɯt	pulut	bulɯt	pulut~polut	pulut	polot~pulut	bulut	bolɯt	bulut	buɫut	bulut	bulut	bulut	bulut	pulut~pɯlɯt	bɯlɯt
COLD_1	sojuɡ	hɯwɯq	sooq		suvuq	sɑoɡh		suːk	suwɯq	suwuq	suvuk~suvuχ	suɯq	sooχ	sovuq	suwuq	suuq	suwɯq	sooq	soɣɯq	soχ	soːq		sooq	suɯq	sooq	soːuk	θowuq	sooq	soɣuq	sɔvuq		
COLD_2				sivɘ																												
COLD_3							tɯmnɯː																									tɯmnɯː
COLD_4																															tot	
COLD_5														buːz																		
COME_1	ɟæl	kil	kæl	kil	kel	kel	kel	ɡel	kel	kel	kel	kel	kil	kɛl	ɡel	kel	kel	kel	kel	ɡel	kel	kël	kel	kil	kel	ɟelʲ	ɡel	kel	kɛl	kel	kel	kel
DIE_1	øl	yl	øl	vil	øl	ol	øl	øl	øl	øl	øl	øl	øl		øl	øl	øl	øl	øl	ul	øl	øl	øl	yl	øl	ølʲ	øl	øl	øl	ol	jul	øl
DOG_1					køpek			køpek																		cøpec						
DOG_2	it	et				it	ɯt		ijt	it	it	it		it	it	it	ijt	ijt~it	ɯt	iʃt		it	it	et			it	ɯt	iʃt	it	ɯʃt~eʃt	ɯt
DOG_3			ɑdɑj	jɯdɤ̆ʷ									ɑdɑj								ɑdɑj											
DOG_4																									ʧɯdɯɣ							
DRINK_1	iʧ	es	iʧ	ɘɕ	iʧ	yʃ~iʃ~yʧ~iʧ	is	iʧ	iʃ	iʧ	iʧ~iʦ	ɘʃ	ɘs	iʧ	iʧ	iʧ	iʃ	iʧ	iʧ	iʧ	iʃ	ëʧ	iʧ	eʧ	iʃ	iʧmec	iʧ	iʃ	iʧ	iʧ	iʧ~iʃ~eʧ	is
DRY_1			keːbɘɣ																													
