	Central Pomo	Eastern Pomo	Kashaya	Northeastern Pomo	Northern Pomo	Southeastern Pomo	Southern Pomo
ALL_1		kuːmˈu					
ALL_2						ʔˈuχqat̪	
ALL_3			tʼiː				
ALL_4							naːpˈijo
ALL_5	jaːwˈal						
ALL_6					dilˈej		
ASH_1	no	no			nohˈo		hiːno
ASH_2			ʔinoqoʧ				
ASH_3						χˈojonoχˌo	
ASH_4				malˈaʔ			
BARK_1	kʰwaː	xaːwˈal	qahwaː	kʰˈawaː	ʃewˈa	χwal	kʰˈawːa
BELLY_1		kʼo		koi		qo	
BELLY_2	mkʰa		ʔuhqʰa				ʔˈukʰːa
BELLY_3					kʰaʃˈeʔ		
BIG_1	baːtʰˈe	baːtʰˈin	bahtʰe		matˈo		bˈahtʰe
BIG_2						bitˈenikʼ	
BIG_3				tʰˈijin			
BIRD_1	t̪a	ʦʼiːjˈa	ʦʼiht̪a		ʦʼitʼ	ʦʼit̪ˈa	ʦʼˈiht̪a
BIRD_2				ʧʼijit̪kaː			
BITE_1	kaːnˈe	qaːnˈeː	qane		kanˈe	qne	kˈaːni
BLACK_1					kʰaʦʼˈe		ʃakʼːa
BLACK_2		muːʃˈaqʼ					
BLACK_3	kʼli		kʼili				
BLACK_4				ʧʼihkˈil			
BLACK_5						luqʼˈolqʼo	
BLOOD_1	baːlˈaj	baːlˈaj	balaj		balˈaj	blaj	bˈaːlaj
BLOOD_2				ʧes			
BONE_1	jaː	j̥a	ʔihjaː	hˈija	jaː		ʔˈiːha
BONE_2						jaqʼo	
BREAST_1		jeːʔˈel		jˈeʔeː~t̪ʰˈeʔeː	jeʔˈeː	wʔel	
BURN (SOMETHING)_1		ʃaːtʼˈoː					
BURN (SOMETHING)_2			muhkʰujʔ				
CLAW OR NAIL_1	ʔeːʧʼ	rikʰ	heːʧʼ	hˈeːʧʼa	heʧʼ		heːʧʼ
CLAW OR NAIL_2						ʔaʃˈab	
CLOUD_1	kʰbaː	xaːbˈo	qʰabaː				kʰˈabʔa
CLOUD_2				kʰˈaʔbot̪on			
CLOUD_3					pʰut̪ʼ		
CLOUD_4						xubˈu	
COLD_1		qaːʦʰˈil				qsˈilit̪	
COLD_2				ʃˈoʔt̪ʼon	mˈadoː		moʔdotʼ
COLD_3	kʼiw						
COLD_4			ʔihjuːm				
COME_1	waːd		waːd		waːdˈe		hwˈaːd
COME_2				kˈoːn			
COME_3						χolo	
COME_4		qˈoːjuhu					
DIE_1			hʧʰojiːʧʼ				
DIE_2							ʔahʧʰˈoʧi
DIE_3	kʼla				kʼˈalaː	qʼalˈal	
DIE_4		muːdˈal					
DIE_5				muʔkʼˈaːwan			
DOG_1	hˈaju	hˈaju	haju		hajˈu	hˈaju	hˈajːu
DOG_2				boʔlˈaukaː			
DRINK_1	kʼoʧ	qʼˈoː	ʔqʼo	kʼˈot̪on	kʼoʧˈi		hˈoʔkʼoj
DRINK_2						biʦʼˈak	
DRY_1	ʧʼaːlˈol	kʼaːlˈol			tʼabˈoʔ		
DRY_2						qʼobo	
DRY_3			ʦʼuwaʧ				mˈukʰːatʼ
DRY_4				muʔkʼilin			
EAR_1	ʃma	ʃiːmˈaː	ʃima	ʃˈima	ʃimˈa		
EAR_2						xmˈanʦa	
EAR_3							ʃiːmˈomo
EARTH (SOIL)_1	maː	kaːj	ʔamaː	ˈamaː	maː		ʔˈamːa
EARTH (SOIL)_2						χqo	
EAT_1		kuːhˈuː					ʧˈuhːu
EAT_2			maʔa	mˈaʔaːn	maʔˈa		
EAT_3	kaːwˈa					qwal	
EGG_1	ʧʼoː	kʼˈo	hiʧʼoː	ʧʼˈo	ʧʼoː	qʼo	hˈiʧʼːo
EYE_1	ʔuj	ʔuj	huʔuj		ʔuj	ʔuj	
EYE_2				ui			
EYE_3							huʔːˈukʰbe
FAR_1		lˈila					
FAR_2					ʧadil		
FAT (FROM ANIMALS)_1			ʔihpʰuj				ʔihpʰuj
FAT (FROM ANIMALS)_2	pʰuj	pʰuj		fˈijin	pʰuj	fuj	
FEATHER_1	ʔi	jiːʔˈi	hiʔi			ʔi	hiʔːi
FEATHER_2				tʰˈa	tʰe		
FIRE_1	ho	xo	ʔoho	ˈoho	ho	χo	ʔˈohːo
FISH_1	ʃa	ʃa	ʔahʃa	ʃˈakaː	ʃa	xa	ʔˈahʃa
FLY (MOVE THROUGH AIR)_1	pʰde	pʰuːdˈiːl			pʰidˈe		
FLY (MOVE THROUGH AIR)_2			ʧa			ʦal	haʧːa
FLY (MOVE THROUGH AIR)_3				hˈeːwit̪in			
FOOT_1	kʰma	xaːmˈaː	qʰama	kʰˈama	kʰamˈa	χman	kʰˈaːma
FULL_1					haʧʼa	χˈat̪emat̪	
FULL_2		pʼˈit̪ʼ	ʧutʼaːq				
FULL_3	ʃtʼutʼ						
FULL_4							ʔˈahjakʼ
GIVE_1	daːkˈa	diːqˈaː	dihqa		dikˈa	ʔaqa	dˈihka
GIVE_2				hˈoːn			
GOOD_1	kʼdi	qʼoːdˈij	qʼoʔdi	kʼˈudi	kʼidˈi		kʼˈoʔdi
GOOD_2						ʦʼimˈa	
GREEN_1		ʦʼaːbˈaʦʼaːbˌakʰ					
GREEN_2						ʦʼijaʦʼija	
GREEN_3	ʦʼaːkʰˈil		ʦʼaqʰaːla		ʦʼakʰˈatʼ		ʦʼˈahkʰil
GREEN_4				ʧamˈoron			
HAIR_1	ʔeː		heʔe	hˈele	ʔe	ʔej	hˈeʔːe
HAIR_2		muːsˈu					
HAND_1			ʧohʃo	t̪ˈohʃo			
HAND_2	t̪ʰna	biːj̥ˈa			t̪ʰanˈa	at̪ˈan	t̪ʰˈaːna
HEAD_1	ʃnaː	kʰaːjˈa		t̪ˈinaː	ʃˈinaː	xijˈa	ʃinːa
HEAD_2			hoʔt̪ʼo				
HEAR_1	ʃoːʧ	ʃoːkʰ	ʃoːʧ		ʃoːʧi	xkʼo	ʃoːʧi
HEAR_2				ʃˈimit̪			
HEART_1			ʦʼuhkul			ʦʼukut̪	ʦʼˈuhkun
HEART_2	kʰam	saːmˈaːj			kʰam		
HEART_3				kʰamʃeme			
HEAVY_1		xaːlˈikʰ					
HEAVY_2						ʔtʼˈeʔkit̪	
HORN (ANATOMY)_1	ʔa	ʔa	haʔa	ʔa	ʔa	ʔa	hˈaʔːa
I_1	ʔaː	haː	ʔa	ʔaː	ʔaː	ʔa	ʔˈaːʔa
I_2	t̪oː	wi	t̪o	ʔˈaht̪o	t̪oː	wit̪	ʔat̪ːo
KILL_1						mudˈoqa	
KILL_2							mihjˈana
KILL_3	haːkʼˈuːm		pʰakʼuːm				
KILL_4		ʃaːkʼ		kʼˈamanan	ʧaban		
KNEE_1	snoː	qʼuːt̪ˈul					
KNEE_2				ʃˈiʔkʼˈono			
KNEE_3							sinːˈot̪ːa
KNEE_4					jaːsˈis		
KNEE_5						qʼadˈa	
