	Erzya	Estonian	Finnish	Hungarian	Ingrian	Karelian	Khanty	Kildin Saami	Komi-Permyak	Komi-Zyrian	Livonian	Mansi	Meadow Mari	Nganasan	North Saami	Selkup	Skolt Saami	South Saami	Tundra Nenets	Udmurt	Veps	Votic	Võro
BELLY_2															ʧɔ̯ɑvji			ʧoæjːiɛ					
BELLY_3		kɤht	mɑɦɑ	hɒʃ			kŏɳ		kɯnɤm											kɤt	kɔxt		kˑɤtː
BELLY_4													myʃkə̠r									mɑko	
BELLY_5	peke																						
BELLY_6												sim					ʧɔuʝːɘ		tʲiw				
BELLY_7												soːriɣ											
BELLY_8																perkə							
BELLY_9		vɑtːs	ʋɑʦɑ		vɑʦɑ						vɑtsɑː										vɑʦ	vɑtːs	
BELLY_10							poɣlɯ			ruʃku													
BELLY_11							ont																
BELLY_12				ɟomor																			
BIG_1																uə̠rqə			ŋɑrkɑ				
BIG_2															stʊ̯ɔris			stuʌrɛ					
BIG_3								ʃuːrː									ʃurːɐ						
BIG_4		suːr	suːri	nɒɟ	suːr	suːri					suːr										sʊrʲ	suːr	sˑuːrʲ
BIG_5	pokʃ												kuɣu										
BIG_6			iso				eɳə		ɯʤɯt	ɯʤɯd		jɑniɣ		ɑniʔə									
BIG_7							lŏɣɑt																
BIG_8																				bɑʥːɯm			
BIRD_1																tilʧətisuːrəm							
BIRD_2																			tʲirtʲɑsɑrmʲik				
BIRD_3										lebɑʨ													
BIRD_4																				tɯloburdo			
BIRD_5							wɑjəɣ									suːrəm							
BIRD_6									kɑj	kiʦɑ			kɑjə̠k										ʦirkˑ
BIRD_7														təibəː									
BIRD_8		lint	lintu		lind̥u	lintʊ		lɒːnʲːt			lind				lɔdti		lɔdʲːɘ	lɛtːiɛ			lind	lintu	
BIRD_9				mɒdaːr																			
BIRD_10	nɑrmuɲ																						
BIRD_11												towəluːj											
BITE_1									kurʨːɑvnɯ	kurtʲʨɯnɯ										kurtʨɯnɯ			
BITE_2								kaːʦʲːke							kaːskih		kaʦʲc͡çːɛd						
BITE_3	suskoms													sɑkələsɑ									
BITE_4			purːɑ		purːɑ	pʊrːɑ	pŏr					puri	purɑm								pʊrdɑ	purɤmɑ	pˑurɤmɑ
BITE_5	rumʃtɑms															sɑːʧə							
BITE_6		hɑmːustɑtɑ									jɑmstə												
BITE_7																						ɑmːɤsːɤmɑ	
BLACK_1		must	mustɑ		mustɑ	mʊstɑ					mustɑː										mʊst	mus	musˑtˑ
BLACK_2							pəɣtə	ʧɒːhpe					ʃeme		ʧaːhpːes	sæːqə	ʧɒpːɐd	ʧeːhpɛs					
BLACK_3									ɕɤd	ɕɤd										ɕɤd			
BLACK_4	rɑuʒo																						
BLACK_5												seːməl											
BLACK_6														tusɑjkɑʔɑ									
BLACK_7																			pərʲidʲeːɲɑ				
BLOOD_1														kɑm		kɤm							
BLOOD_2	verʲ	veri	ʋeri	veːr	veri	vɛri	wər	veːrː	vir	vir	vɛr	wiɣər	βyr		vɑrːɑ		vərːɐ	βɨrːɛ	weːjɑ	vir	vɛri	veri	veri
BLOOD_3												keːlp											
BONE_1		luː	luː	ʧont	luː	luː	lŏχ		lɯ	lɯ	luː	luw	lu	lɑtəː		lɯː			lɨ	lɯ	lʊ	luː	luː
BONE_2	lovɑʒɑ																						
BONE_3								taːxʲːt							taːkti		taxʲtʲːɘ						
BONE_4	pɑkɑrʲ								koskɑ														
BONE_5		kont																					
BONE_6																		moɒruʌ					
BREAST_1									moros	morɤs													
BREAST_2	meʃtʲe~potʲe																			ɡɑdʲ			
BREAST_3		rint	rintɑ		rind̥ɑ	rintɑ		ranʲːt~ninːʧ			riːndɑ			ɕinɕə								rint	rint
BREAST_4				mɛl			møɣəl					mɑːɣl				kɯːlə							
BREAST_5													ʧə̠ze										
BREAST_6													oŋ										
BURN_1				eːɡ			li					teːɣ				ɑm							
BURN_2									soʨːɯnɯ	sotʲʨɯnɯ													
BURN_3	pɑloms	pɤletɑ	pɑlɑː		pɑlˑɑː	pɑlʊɑ		puːlʲːe		lomɑvnɯ	pɑlːə				pʊ̯ɔlːih			pʉɛlɛdh		ʤuɑnɯ	pɑlːɑdɑ	pɤlɤmɑ	pˑɑlɑmɑ
BURN_4													jylem										
BURN_5																			pərɑdɑsʲ				
BURN_6																	pualʲdʲːɛd						
CLOUD_1					tuːtˑsɑ																	tuːʧ	
CLOUD_2												tul											
CLOUD_3	kovol								kɯmɤr	kɯmɤr													
CLOUD_4														ʧiəðu		tiːtːə			tʲir				
CLOUD_5	peʎ	pilv	pilʋi	fɛlɦøː	pilvi	pilvi	pələŋ	peːvːl			piːlɑ		pə̠l		pɑlɑvɑ		pəlvːɐ	palβɛ			pilʲv	pilvi	pˑilvʲ
CLOUD_6																				piʎem			
COLD_1							jøɣli														vilʊ		
COLD_2													jyʃtø										
COLD_3	keʎme	kylm	kylmæ		kylmæ	kylmæ		kelmas			kiːlmɑ				kɑlmːɑs		kəːlmɐs	kalmɛ				ʧyl	kˑylm
COLD_4					kuːmɑ				kɤʥɯt	kɤʥɯd										keʑɯt			
COLD_5																						kɑhu	
COLD_6				hidɛɡ			ətʲəɣ												tʲeːʦʲdɑ				
COLD_7												ɑɕərmɑ				tɑɕːu							
COLD_8														ʧəɕiɕi									
COME_1								puedʲːe							pɔ̯ɑhtih		puɛtʲːɛd	poætɛdh					
COME_2		tulːɑ	tulːɑ		tulːɑ	tʊlːɑ					tuːldɑ		tolɑm	tujɕɑ		tyː			toːsʲ		tʊldɑ	tulɤmɑ	tˑulɤmɑ
COME_3									loknɯ	loknɯ										lɯktɯnɯ			
COME_4				jøn			jø̆~jŏχət			vonɯ		jiw								vuɯnɯ			
COME_5	sɑms																						
COUNT_1													ʧotlem										
COUNT_2														tuəbtusɑ									
COUNT_3			lɑskeɑ		lɑskiɑ	lɑskiɛ																	
COUNT_4	lovoms	luketɑ					lŏŋət	loːɡːe	lɯdʲːɯnɯ	lɯdʲːɯnɯ	luˀɡːə	lowiɲti	luðɑm		lɔhkɑh					lɯʥːɯnɯ	lʊɡɛdɑ	lukɤmɑ	lukɤmɑ
COUNT_5																toːr							
COUNT_6				saːmol																			
COUNT_7																		ryœknɛhtidh					
COUNT_8																	lɒsʲc͡çːeːd						
DIE_1	kuloms		kuolːɑ		koːlːɑ	kʊɔlːɑ	kɑ̆lɑ		kuvnɯ	kuvnɯ	kuːolə	χoːli	kolem	kuədʲɑ		quː			xɑsʲ	kulɯnɯ	kɔldɑ	koːlɤmɑ	kˑuːlmɑ
DIE_2								jɒːmʲːe							jaːpmih		ʝaːmʲːɛd	jæːmɛdh					
DIE_3		surːɑ					sur															surɤmɑ	
DIE_4				mɛkhɒl																			
DIE_5														dʲɑŋɡumsɑ									
DIRTY_1	rudɑzov																						
DIRTY_2																						roːjɤtːu	
DIRTY_3			likɑinen			likɑni																	
DIRTY_4	kɑrɡoʨ																						
DIRTY_5													lɑβə̠rɑn										
DIRTY_6		must			mustɑ																		musˑtˑ
DIRTY_7					reuɡ̊ɑz																rɛdʊkɑz		
DIRTY_8									ɲɑtʲɤɕ	ɲɑtʲ						ʧɑm							
DIRTY_9				sɛɲːɛʃ						ɕɤd										ɕɤd			
DIRTY_10				kosoʃ~piskoʃ							ræpːi												
DIRTY_11								saːkʲːs												kɯrɕ			
DIRTY_12							pəɣtə																
DIRTY_13																			wərʦɑwæj				
DIRTY_14							kulɯŋ																
DIRTY_15												pɑːŋkən											
DIRTY_16														ɲeɡɯku									
DIRTY_17															tʊ̯ɔlvːɑs								
DIRTY_18																	saxsːɒi						
DOG_1	piɲe							pienːe	pon	pon	piɲ		pij		pe̯ænɑ		piɐnːɒi	pɨɛɲɛ		punɯ			pˑini
DOG_2		koer	kojrɑ	kucɒ	koirɑ	kɔirɑ															kɔir	koir	
DOG_3	kiskɑ						æmp					ɑːmp											
DOG_4														bɑŋ									
DOG_5																kɤnɑŋ							
DOG_6																			wæɲeːkoː				
DRINK_1		juːɑ	juo̯dɑ		joːvːɑ	juːvːɑ		juɡːe	junɯ	junɯ	juːodə	ɑji	jyɑm		jʊhkɑh		ʝuːkːɐd	juβkɛdh		juɯnɯ	jɔdɑ	juːmɑ	juːmɑ
DRINK_2	ɕimems																						
DRINK_3																ytə							
DRINK_4							li																
DRINK_5							jæɲtʲ																
DRINK_6														bɯtɯdʲi									
DRY_1				saːrɒz			sɑrəm~sosəm					toːsɑm											
DRY_2								kɒːʃʲkesʲ									kɔːʃc͡çɛs						
DRY_3	koɕke	kuiv	kuiʋɑ		kuivɑ	kʊivɑ			kɤs	kos	kuːjɑ		kukʃo		kɔjkːis			kɛjhkiɛ	xɑsuj	kɤs	kʊiv	kuiv	kˑuiv
DRY_4																ʧɤkə							
DRY_5														koɕyə									
EAR_1	piʎe			fyl			pəl	pieʎː	peʎ	peʎ		pɑʎ	pə̠lə̠ʃ		pe̯æʎːi		pɛʎːɘ	piɛljiɛ		peʎ			
EAR_2														kou		qoː			xɑ				
EAR_3		kɤrv	korʋɑ		korvɑ	kɔrvɑ					kuːorɑ										kɔrv	kɤrv	kˑɤrv
EARTH_1															e̯ænɑ								
EARTH_2																	ʝɐnːɒm						
EARTH_3				føld				lavʲːn															
EARTH_4																ʧuə̠ʧːə							
EARTH_5	modɑ												mlɑnde										
EARTH_6		mɑː	mɑː		mɑː	mʊɑ	məɣ		mu	mu	mɔː	mɑː		mou					jɑ	mu	mɑ	mɑː	mɑː
EARTH_7																		joɒrta					
EAT_1	jɑrsɑms												koʧkɑm										
EAT_2		syːɑ	syødæ	ɛsik	søːvˑæ	syːvːæ			ɕojnɯ	ɕojnɯ	siːɛdə									ɕiɯnɯ	sœdɑ	syːmæ	sˑyːmæ
EAT_3														ŋəmsɑ					ŋəmzʲ				
EAT_4							li					teːɣ				ɑm							
EAT_5	sevems							poːrːe							pɔrːɑh		poːrːɐd						
EGG_1									koʎtʲ	koʎk													
EGG_2		munɑ	munɑ		munɑ	mʊnɑ		manʲː			munɑːd	muːŋi	muno	mənu	mɔnːi		mɐːnʲːɘ	mʉnːiɛ			mʊnɑ	munɑ	munɑ
EGG_3							məɣ																
EGG_4	ɑl															eŋ							
EGG_5																				puz			
EGG_6																			sɑrʔɲu				
EYE_1																sɑji			sæw				
EYE_2	ɕeʎme	silm	silmæ	sɛm	silmæ	silmæ	sem	ʧalʲːm	ɕin	ɕin	siːlmɑ	sɑm			ʧɑlɛbmi		ʧɐlʲmʲːɘ	ʧɛlmiɛ		ɕin	silʲm	silmʲ	sˑilm
EYE_3														ɕejmɯ									
EYE_4													ʃiɲʧɑ										
FALL_1								keːhʧe							kɑhʧːɑh		kəʧːɐd	kahʧɛdh					
FALL_2			pudotɑ																				
FALL_3							kørəɣ																
FALL_4		kukːutɑ			tokːuɑ																		
FALL_5																							kˑukˑɤrtumɑ
FALL_6						lɑŋkɛtɑ					lɑŋɡə										lɑŋːɛtɑ	lɑŋkɤːmɑ	
FALL_7				ɛʃik					uɕnɯ	uɕnɯ		rɑɣi	βozɑm	sohədʲɑ						uɕɯnɯ			
FALL_8																ɑːlʨə							
FALL_9	prɑms																						
FALL_10														ʧəlhdʲi									
FAR_1														kuntəɡunu		kuntok							
FAR_2						ɛtæhælːini															ɛdɑhɑinɛ		
FAR_3				mɛsːɛ	etːæːl				ɯlɯn	ɯlɯn		eːlɑʎ											
FAR_4								kuhkʲenʲ									kuc͡çɛs	kahkɛsɛ					
FAR_5		kɑukel	kɑwkɑnɑ																	kɯdʲokɯn		kɑukɑlː	kˑɑvːɤn
FAR_6											kouɡi												
FAR_7	vɑsolo			taːvol																			
FAR_8													torɑʃte										
FAR_9													myndə̠rnø										
FEATHER_1			høyɦen		høyhen																		
FEATHER_2									bordtɯv				pə̠stə̠l										
FEATHER_3							tŏɣəl					towəl											
FEATHER_4	tolɡɑ	sulk	sulkɑ	tolː	sulɡ̊ɑ	sʊlkɑ								totə		tuː~tɑr			tərʔ	tɯlɯ		sulk	sˑulkʲ
FEATHER_5									ɡɤn	ɡɤn													
FEATHER_6							pun	poːnːʦ				pun	pun					paʦːɛ					
FINGERNAIL_1							kø̆ɳʧ				kiːɲtʃ												
FINGERNAIL_2	kenʒe	kyːs	kynsi		kynz	kynsi		keːnːʦ	ɡɯʒ	ɡɯʒ		kos	kyʧ	kətu	kɑʣːɑ	qɑtə	kəʣːɐ	kaʦːɛ	xədɑ	ɡiʒɯ	kʏnzʲ	ʧyːni	kˑyːʦʲˑ
FINGERNAIL_3				kɒrom																			
FINGERNAIL_4																		kʉɛhpɛrɛ					
FIRE_1												nɑːj									læmɔi		
FIRE_2	tol	tuli	tuli	tyːz	tuli	tʊli		toːlː	bi	bi	tuˀʎ	uʎɑ	tul	tuj	tɔlːɑ	tyː	tolːɐ	tɔlːɛ	tu	tɯl		tuli	tˑuli
FIRE_3							tø̆ɣət																
FISH_1									ʨeri	ʨeri										ʨorɯɡ			
FISH_2	kɑl	kɑlɑ	kɑlɑ		kɑlɑ	kɑlɑ	kul	kuːlʲː			kɑlɑː	χuːl	kol	kolɯ	kʊ̯ɔlːi	quə̠lə	kuɛlʲːɘ	kʉɛliɛ	xɑʎɑ		kɑlɑ	kɑlɑ	kˑɑlɑ
FIVE_1	vetʲe	viːs	ʋiːsi	øt	viːz	viːsi	wet	vɨdː	vit	vit	viːʒ	ɑt	βiʧ		vihtːɑ		vitːɐ	βɨjhtɛ		vitʲ	viʒ	viːs	viːsʲˑ
FIVE_2																sompəlæŋqə			səmʎɑŋɡ				
FIVE_3														səŋhəʎɑŋkə									
FLOWER_1								raːsʲː							raːsːi								
FLOWER_2									ʥoriʥ	ʥoriʥ													
FLOWER_3			kukːɑ		kukːɑ	kʊkːɑ						ɕoːri										kukː	
FLOWER_4				viraːɡ																			
FLOWER_5																sɯrkə							
FLOWER_6	ʦvetkɑ																			ɕɑɕkɑ			
FLOWER_7	ʨeʨɑ	lilː																			ænik		lillʲ
FLOWER_8							lɯjwə							lukuðiɑj									
FLOWER_9													peleðə̠ʃ										
FLOWER_10											pusk												
FLOWER_11																		rɨɛsɛɡɛ					
FLOWER_12											pucːkɨz												
FLOWER_13																			ŋɑmdædʔŋæwɑ				
FLOWER_14																	xɛarʲvʲːrʲaːsʲːɘ						
FLY_1														təirɕi					tʲirʦʲ				
FLY_2								kɨrʲːte							kirtih		c͡çɛrʲdʲːɛd						
FLY_3													ʧoŋeʃtem										
FLY_4				rɛpyl																			
FLY_5																		hæːliɛhtidh					
FLY_6									lebɑvnɯ	lebɑvnɯ													
FLY_7							ləɣəl					tiɣli				tiː							
FLY_8	ʎivtʲɑms	lenːɑtːɑ	lentæː		lentæː	lɛntyæ					lində									lobɯnɯ	lɛtɑ	lentæmæ	lintɑmɑ
FOOT_1									kokpɯdɤs														
FOOT_2																				pɯd			
FOOT_3		jɑlk	jɑlkɑ		jɑlɡ̊ɑ	jɑlkɑ		juːlʲːk			jɑːlɡɑ		jol		jʊ̯ɔlɛki	topə	ʝuɛlʲɟ͡ʝːɘ	jʉɛlkiɛ			jɑʊɡ	jɑlk	jɑlk
FOOT_4							kø̆r			kok				ŋoj					ŋæ	kuk			
FOOT_5	piʎɡe																						
FOOT_6												lɑːɣəl											
FOUR_1														ʧətə		teːtːə			tʲeːt				
FOUR_2	ɲiʎe	neli	neljæ	neːɟ	neljæ	nɛlːæ	ɲələ	ɲieʎː	ɲoʎ	ɲoʎ	nɛːʎɑ	ɲilɑ	nə̠l		ɲe̯æʎːe		nɛʎːɐ	ɲiɛljiɛ		ɲɯʎ	nɛlʲː	neʎːe	neli
FULL_1	peʃkɕe																		pɑntɑ				
FULL_2														dʲulsɯə									
FULL_3															tiɛvːɑ			tɨɛβɛ					
FULL_4		tæis	tæysi	tɛlɛ	tæyz	tæysi	tel		tɯr	tɯr	tæuʒ		tiʧ~temʃe							tɯr	tæʊzʲ	tæynø	tˑæysʲˑ
FULL_5																tiːrəʎ							
FULL_6								tievːt															
FULL_7												tɑːɣəl											
FULL_8																	tiːudɒs						
FULL_9														myntyɕɑ									
GIVE_1									ɕetnɯ	ɕetnɯ			puem							ɕotɯnɯ			
GIVE_2							mə					miɣ		miɕi		mi							
GIVE_3		ɑntɑ	ɑntɑː		ɑntɑː	ɑntʊɑ		anʲːte			ɑndə				ɑdtih						ɑntːɑ	ɑntɤmɑ	ɑntmɑ
GIVE_4	mɑksoms																						
GIVE_5																		βɛtːɛdh					
GOOD_1	pɑro							puːrʲː	bur	bur			poro		pʊ̯ɔrːe		puɛrʲːɘ	pʉɛriɛ					
GOOD_2		heɑ	hyʋæ	joː	hyvæ	hyvæ		ʃiɡ			jɨvɑː									ʥeʨ	hʏvæ	yvæ~heːkː	hæː
GOOD_3												jomɑs					ʃiəɣːɐ						
GOOD_4							jəm			ʃɑɲ						somɑ			səwɑ				
GOOD_5													sɑj										
GOOD_6																				umoj			
GOOD_7														ɲɑɡəː									
GRASS_1								raːsʲː							raːsːi		raːsʲːɘ	kʰræːsiɛ					
GRASS_2		rohi	ruoɦo		roho																	roho	ruːh
GRASS_3																							moro
GRASS_4				fyː			pɑm					pum											hɑin
GRASS_5													ʃuðo										
GRASS_6									turun	turun										turɯn			
GRASS_7	tʲikʃe													ɲotə		ɲuːʧə							
GRASS_8																			ŋɑmdæʔ				
GREEN_1							kullø̆j																
GREEN_2									zeʎonɤj														
GREEN_3											mɨltsi												
GREEN_4														ŋindiɑʔsɯə									
GREEN_5																noræʎ							
GREEN_6				zøld																			
GREEN_7						vihɑntɑ																	
GREEN_8											oːʎɑz												
GREEN_9		roheline			rohˑoin																	rohoin	rohilinɤ
GREEN_10								ruenː									ruɐnːɐ						
GREEN_11															rʊ̯ɔnaː			kʰrɵana					
GREEN_12			ʋiçreæ																			viher	
GREEN_13													uʒɑr										
GREEN_14												ɲɑːr		ɲotərəku									
GREEN_15										veʒ										voʒ			
GREEN_16	piʒe																						
HAIR_1		kɑrv	kɑrʋɑ		kɑrvɑ																		kˑɑrv
HAIR_2								vuːpːt							vʊ̯ɔktɑ		vuəptɐ	βuʌptɛ					
HAIR_3							ɑwət							ŋɑbtə		oːptə			ŋæbt				
HAIR_4									ɡɤn	ɡɤn										ɡon			
HAIR_5	ʧerʲ															tɑr							
HAIR_6		juːs										ɑːt											
HAIR_7				søːr						ɕi			yp							ɕi			
HAIR_8									jurɕi														
HAIR_9			hius		hiuz	hivʊs		sefs													hibʊz	ivuz	hiusˑ
HAIR_10	ponɑ						pun					pun	pun										
HAIR_11				hɒj																			
HAIR_12											ibuːkst												
HAND_1														dʲyty		utə							
HAND_2	kedʲ	kæsi	kæsi	keːz	kæzi	kæsi	køt	kiːdː	ki	ki	kɛˀʒ	kɑːt	kit		kiɛhtɑ		c͡çiətːɐ	kɨɛtɛ	ŋudɑ	ki		ʧæsi	kˑæsˑi
HAND_3																					kæzitɛrɑ		
HEAD_1														ŋojbu				oæjːiɛ	ŋæwɑ				
HEAD_2												puŋk	βuj										
HEAD_3	prʲɑ	peɑ	pæː		pæː	piæ					pæː										pæ	pæː	pˑæː
HEAD_4							oɣ		jur	jur						olə				jɯr			
HEAD_5				fɛj				vuejːv							ɔ̯ɑivi		vuɛivʲːɘ						
HEAR_1	mɑrʲɑms																						
HEAR_2																			nɑmdəsʲ				
HEAR_3	kuʎems	kuːltɑ	kuːlːɑ	hɒlː	kuːlːɑ	kuːlːɑ	kɔl	kulːe	kɯvnɯ	kɯvnɯ	kuːloː	χuːli	kolɑm		kʊlːɑh		kuːlːɐd	kuβlɛdh		kɯlɯnɯ	kʊldɑ	kuːlɤmɑ	kˑuːltmɑ
HEAR_4														dʲinsiɕi		yntə							
HEART_1															vaːjbmʊ			βɑːjmuʌ					
HEART_2									ɕɤlɤm	ɕɤlɤm										ɕulem			
HEART_3				siːv			səm	kuːtʲːk				sim				siːʨə	ʧɐːðʲɘ		sʲeːj				
HEART_4		sydɑ	sydæn		syæn						sidɑːm		ʃym								sʏdæin	syæ	sˑyæ
HEART_5	ɕedʲej																						
HEART_6														səː									
HEART_7								saːrʲːt															
HEAVY_1														səŋkutuo					səŋɡoːwoːtɑ				
HEAVY_2			pɑinɑʋɑ																			pɑinukɤz	
HEAVY_3						jykiɛ															jʏɡɛd		
HEAVY_4								loːsʲːesʲ							lɔsːɑh		losːɐd						
HEAVY_5				ʃuːjoʃ																			
HEAVY_6									ɕɤkɯt	ɕɤkɯd										ɕekɯt			
HEAVY_7											læːlɑm		lele			sɤʧːəm		leːβlɛs					kˑɑːlsˑɑ
HEAVY_8							læɣərt																
HEAVY_9												tɑːrwitəŋ											
HEAVY_10	stɑkɑ	rɑske	rɑskɑs		rɑskɑz~rɑŋkːɑ																	rɑskɑˑ	rɑsːɤ
HEAVY_11				nɛɦeːz																			
HOLD_1	kirʲdʲems																						
HOLD_2				tɒrt																			
HOLD_3																		steːrɛdh					
HOLD_4																			ɲɑʔəmbəsʲ				
HOLD_5							kætl	ɒːnʲːe		kutnɯ			kuʧem	kəmiɑsɑ									
HOLD_6			pitæː	foɡ	pitˑæː	pityæ					piˀdːə										pidɑdɑ	pitæmæ	
HOLD_7		hoitɑ							viʥnɯ	viʥnɯ		tɑkti								voʑɯnɯ			hoitˑmɑ
HOLD_8																		ʉtniɛdidh					
HOLD_9															tɔ̯ɑlːɑh								
HOLD_10																	tuɛrʲʝːeːd						
HOLD_11																orɑlpi							
HORN_1												ɑːɲt		ŋɑmtə		ɑːmtə			ɲɑmd				
HORN_2							ɑ̆ŋət																
HORN_3								ʧuerʲːv							ʧɔ̯ɑrɛvi		ʧuarʲvʲːɘ	ʧoærβiɛ					
HORN_4	ɕuro	sɑrv	sɑrʋi		sɑrvi	sɑrvi			ɕur	ɕur	sɔːrɑ		ʃur							ɕur	sɑrʲv	sɑrvi	sˑɑrvʲ
HORN_5													tykø										
I_1	mon	mɑ	minæ		miæ	miɛ	mæ	munː	me	me	minɑː	ɑm	mə̠j	mənə	mʊn	mɑn	monɐ	manːɛ	mɑɲ	mon	minæ	miæ	mɑʔ
I_2				eːn																			
KILL_1					surmɑd̥ɑ																	surmɑmɑ	
KILL_2	ʧɑvoms	tɑpːɑ	tɑpːɑː			tɑpːʊɑ					tɑpːə			kotudʲɑ				pʉβːɛdh	xɑdɑsʲ			tɑpːɤmɑ	tˑɑpˑmɑ
KILL_3				øl			wel		vijnɯ	vijnɯ		ɑli								viɯnɯ	riktɑ		
KILL_4								kɒːnʲːte							kɔdtih		kɔdʲːɛd						
KILL_5	mɑʃtoms																						
KILL_6										kulɤdnɯ													
KILL_7																quə̠t							
KILL_8													puʃtɑm										
KNEE_1															ʧibpi								
KNEE_2																			pulɨ				
KNEE_3									piʥɤs	piʥɤs										pɯdʲes			
KNEE_4														həɑɡɑj									
KNEE_5		pɤlv	polʋi		polvi	pɔlvi		puːvːl			puːolɑ						puəlvːɐ	puʌlβɛ			pɔlʲv	pɤlvi	pˑɤlvʲ
KNEE_6																puːlə							
KNEE_7													pulβuj										
KNEE_8							ʧæɳʧ					sɑːns											
KNEE_9				teːrd																			
KNEE_10	kumɑʒɑ																						
KNOW_1													pɑlem	ʧənɯdʲi					tʲeːɲeːwɑsʲ				
KNOW_2	sodɑms						onəl															tuntɤmɑ	
KNOW_3										kuʒnɯ		χɑːsi											
KNOW_4								tiːdːe							tiɛhtih		tiɛtʲːɛd	tiɛtɛdh					
KNOW_5		teɑtɑ	tie̯tæː	tud	tiːtæː	tiɛtyæ	tŏŋəmt	tomːte	tɤdnɯ	tɤdnɯ	tiːɛdə					tynəmə				tosɯnɯ	tɛtɑ	tæːtemæ	tˑiːtmæ
KNOW_6												wɑːɣ											
KNOW_7													ʃiɲʧem										
LAUGH_1	pejdʲems																						
LAUGH_2															ʧɑjbmɑh								
LAUGH_3									serɑvnɯ	ɕerɑvnɯ													
LAUGH_4																				ɕerekjɑnɯ			
LAUGH_5																		føːrhkɛdidh					
LAUGH_6															pɔ̯ɑkʊstih								
LAUGH_7																	pɔɣstɛd						
LAUGH_8	rɑkɑms													hidʲiɕi		pisəj							
LAUGH_9																			pʲisʲənzʲ				
LAUGH_10							ɭɯsəɣ						βoʃtə̠lɑm										
LAUGH_11		nɑertɑ	nɑwrɑː		nɑɡrɑː	nɑkrʊɑ					nɑˀɡrə										nɑɡrdɑ	nɑɡrɤmɑ	nɑːrtmɑ
LAUGH_12				nɛvɛt				siːjːne				muwɑli											
LEAF_1									kor	kor										kuɑr			
LEAF_2				lɛveːl																			
LEAF_3	lopɑ											luːptɑ	lə̠ʃtɑʃ										
LEAF_4		leht	leçti		lehti	lɛxti		leːsːt			lɛːɟ				lɑstɑ		ləstːɐ				lɛxtɛz	lehto	lehtʲˑ
LEAF_5							ɭɯwət									ʨɑːpə			weːbɑ				
LEAF_6										ʎis													
LEAF_7														horɑðiɑj									
LEG_1		jɑlk	jɑlkɑ		jɑlɡ̊ɑ	jɑlkɑ		juːlʲːk			jɑːlɡɑ		jol		jʊ̯ɔlɛki	topə	ʝuɛlʲɟ͡ʝːɘ	jʉɛlkiɛ			jɑʊɡ	jɑlk	jɑlk
LEG_2														ŋoj					ŋæ				
LEG_3							kø̆r		kok	kok										kuk		koip	
LEG_4	piʎɡe																						
LEG_5																				pɯd			
LEG_6												lɑːɣəl											
LIE_1		lɑmɑtɑ	mɑːtɑ													ipːi	liɐʃːɐd			kɯʎːɯnɯ		lɑmɑmɑ~leʒimæ	lɑmːɤmɑ
LIE_2								luvːe	kujlɯnɯ	kujlɯnɯ		χoji	kijem										
LIE_3							ɑ̆lɑ																
