	Erzya	Estonian	Finnish	Hungarian	Ingrian	Karelian	Khanty	Kildin Saami	Komi-Permyak	Komi-Zyrian	Livonian	Mansi	Meadow Mari	Nganasan	North Saami	Selkup	Skolt Saami	South Saami	Tundra Nenets	Udmurt	Veps	Votic	Võro
ALL_1									bɯdɤs	bɯd													
ALL_2				øsːɛʃ																			
ALL_3	veɕe									stɑv			ʧə̠lɑ	bənsə									
ALL_4		kɤik	kɑikːi		kɑi	kɑikːi															kɑik	kɤik	kˑɤikʲˑ
ALL_5								puɡː				soːχ			pʊ̯ɔh		pukɐ						
ALL_6																		kɑːjhkɛ					
ALL_7				mind												muntə			mɑlʔ				
ALL_8																				vɑɲmɯz			
ALL_9							əjsɑ̆ɣɯt																
ASH_1													lomə̠ʒ	tuːdʲoəʔ									
ASH_2		tuhk	tuxkɑ			tʊxkɑ															tʊxk	tuhk	tˑuhkˑ
ASH_3											tuːˀɡɨd												
ASH_4									pɤjim	pɤjim													
ASH_5					poro		pær													peɲ			
ASH_6	kulov																						
ASH_7				hɒmu																			
ASH_8							kɑjəm					χuːʎəm											
ASH_9								kunː							kʊtnɑ		kunːɐ	kuβnɛ					
ASH_10																ɕiːmə							
ASH_11																			tunzʲibʲɑ				
BACK_1		selk	selkæ		selɡ̊æ	sɛlkæ					sæːlɡɑ										sɛlʲɡ	selʧ	sˑælk
BACK_2								sielʲːk							se̯ælɛki		sɛalʲɟ͡ʝːɘ						
BACK_3	koporʲ												tup					rʉʧːɛ		tɯbɯr			
BACK_4														məku		moqə			mɑxɑ				
BACK_5									mɯʃk	mɯʃ		sis											
BACK_6	kutʲmerʲe																						
BACK_7							ʧø̆ɳʧ																
BARK_1								paːr̥ːk							paːrɑhkʊ			pɑːrhkuʌ					
BARK_2								peːsʲː					ʃym							sul			
BARK_3	sud																						
BARK_4																			sʲɑbt				
BARK_5	kerʲ		kɑːrnɑ	keːrɛɡ	koːri	kʊɔri	kær	keːrː	kɑʨ	kɯrɕ	kuːorʲ	keːr	kyr	kɑsu		qɑːsə	kərːɐ			kur	kɔrʲ	koːri	kˑuːrʲ~kˑosˑkʲˑ
BARK_6		korp																					
BARK_7		puːkoːr																					
BARK_8												jiwsuːl											
BELLY_1								ʧuejːv						ʧɑjbə									
