	Erzya	Estonian	Finnish	Hungarian	Ingrian	Karelian	Khanty	Kildin Saami	Komi-Permyak	Komi-Zyrian	Livonian	Mansi	Meadow Mari	Nganasan	North Saami	Selkup	Skolt Saami	South Saami	Tundra Nenets	Udmurt	Veps	Votic	Võro
ASH_1													lomə̠ʒ	tuːdʲoəʔ									
ASH_2		tuhk	tuxkɑ			tʊxkɑ															tʊxk	tuhk	tˑuhkˑ
ASH_3											tuːˀɡɨd												
ASH_4									pɤjim	pɤjim													
ASH_5					poro		pær													peɲ			
ASH_6	kulov																						
ASH_7				hɒmu																			
ASH_8							kɑjəm					χuːʎəm											
ASH_9								kunː							kʊtnɑ		kunːɐ	kuβnɛ					
ASH_10																ɕiːmə							
ASH_11																			tunzʲibʲɑ				
BARK_1								paːr̥ːk							paːrɑhkʊ			pɑːrhkuʌ					
BARK_2								peːsʲː					ʃym							sul			
BARK_3	sud																						
BARK_4																			sʲɑbt				
BARK_5	kerʲ			keːrɛɡ	koːri	kʊɔri	kær	keːrː	kɑʨ	kɯrɕ	kuːorʲ	keːr	kyr	kɑsu		qɑːsə	kərːɐ			kur	kɔrʲ	koːri	kˑuːrʲ~kˑosˑkʲˑ
BARK_6			kɑːrnɑ																				
BARK_7		korp																					
BARK_8		puːkoːr																					
BARK_9												jiwsuːl											
BELLY_1								ʧuejːv						ʧɑjbə									
BELLY_2															ʧɔ̯ɑvji			ʧoæjːiɛ					
BELLY_3			mɑɦɑ	hɒʃ																			
BELLY_4		kɤht					kŏɳ		kɯnɤm											kɤt	kɔxt		kˑɤtː
BELLY_5													myʃkə̠r									mɑko	
BELLY_6	peke																						
BELLY_7												sim					ʧɔuʝːɘ		tʲiw				
BELLY_8												soːriɣ											
BELLY_9																perkə							
BELLY_10		vɑtːs	ʋɑʦɑ		vɑʦɑ						vɑtsɑː										vɑʦ	vɑtːs	
BELLY_11							poɣlɯ																
BELLY_12										ruʃku													
BELLY_13							ont																
BELLY_14				ɟomor																			
BIG_1																uə̠rqə			ŋɑrkɑ				
BIG_2															stʊ̯ɔris			stuʌrɛ					
BIG_3								ʃuːrː									ʃurːɐ						
BIG_4		suːr	suːri	nɒɟ	suːr	suːri					suːr										sʊrʲ	suːr	sˑuːrʲ
BIG_5	pokʃ												kuɣu										
BIG_6									ɯʤɯt	ɯʤɯd				ɑniʔə									
BIG_7			iso				eɳə					jɑniɣ											
BIG_8							lŏɣɑt																
BIG_9																				bɑʥːɯm			
BIRD_1																tilʧətisuːrəm							
BIRD_2																			tʲirtʲɑsɑrmʲik				
BIRD_3										lebɑʨ													
BIRD_4																				tɯloburdo			
BIRD_5							wɑjəɣ									suːrəm							
BIRD_6									kɑj	kiʦɑ			kɑjə̠k										
BIRD_7																							ʦirkˑ
BIRD_8														təibəː									
BIRD_9		lint	lintu		lind̥u	lintʊ		lɒːnʲːt			lind				lɔdti		lɔdʲːɘ	lɛtːiɛ			lind	lintu	
BIRD_10				mɒdaːr																			
BIRD_11	nɑrmuɲ																						
BIRD_12												towəluːj											
BITE_1									kurʨːɑvnɯ	kurtʲʨɯnɯ										kurtʨɯnɯ			
BITE_2								kaːʦʲːke							kaːskih		kaʦʲc͡çːɛd						
BITE_3	suskoms																						
BITE_4														sɑkələsɑ									
BITE_5			purːɑ		purːɑ	pʊrːɑ	pŏr					puri	purɑm								pʊrdɑ	purɤmɑ	pˑurɤmɑ
BITE_6	rumʃtɑms															sɑːʧə							
BITE_7		hɑmːustɑtɑ									jɑmstə												
BITE_8																						ɑmːɤsːɤmɑ	
BLACK_1		must	mustɑ		mustɑ	mʊstɑ					mustɑː										mʊst	mus	musˑtˑ
BLACK_2							pəɣtə						ʃeme										
BLACK_3								ʧɒːhpe							ʧaːhpːes	sæːqə	ʧɒpːɐd	ʧeːhpɛs					
BLACK_4									ɕɤd	ɕɤd										ɕɤd			
BLACK_5	rɑuʒo																						
BLACK_6												seːməl											
BLACK_7														tusɑjkɑʔɑ									
BLACK_8																			pərʲidʲeːɲɑ				
BLOOD_1														kɑm		kɤm							
