	Anuta	Austral (Ra'ivavae)	Austral (Rurutuan)	East Futuna	Emae	Futuna-Aniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	Mele-Fila	Niuean	North Marquesan	Nukuria	Penrhyn	Pukapuka	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	Vaeakau-Taumako	Wallisian
ALL_1							apau			kouroa							pau	pauroa												
ALL_2	katoa	ʔatoʔa	paaʔaaːʔatoʔa	kaatoa				ɡodoo	aakoa		katoa		ɡotoa		katoo	katoa	katoa	kaatoatoa		katoa	kaatoa	ʔaatoa	katoa	atoʔa	katoa	kotoa	katoŋa	katoa	katoa	katoa
ALL_3														tiatohu																
ALL_4				fuli													wui				huɡi									
ALL_5																														fulifuli
ALL_6						oʃi																								
ALL_7												eutʃi																		
ALL_8																			tahi											
ALL_9					pini																									
ASH_1						namuʰlaŋa																								
ASH_2																	malamala													
ASH_3	repu	ɢehuauahi	reʔu	lafu~muɡaalafu	refu	maɡarafu	lehu	lehu	lehu	ŋaraʔu~ʔeʔu	puŋarehu	arefu	efu	ʔehu	rehu	rehu	lewulewu	rehu		reʔu	ɡehu	lefulefu	lehu	rehu	refu	efuefu	rehu	pefu	lehu	lefu
ASH_4																			ʔeoʔeo											
BACK_1	muri																muli	muri												
BACK_2									aŋa						kantua															
BACK_3		tua	tautua	tuʔa	simatua	bua	kua	dua		tua	tuaraa	pua	tuʔa	tua			tua	tua	tuʔaivi		tuʔa	tua	tua	tua	tua	tuʔa	papatua	tua	tua	tuʔa
BACK_4																				mokotua										
BACK_5																sope														
BE DEAD OR DIE_1	mate	mate	mate	mate	mate	mate	make	made	make	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate		mate	mate	mate	mate	mate	mate
BE DEAD OR DIE_2														keʔo																
BE DEAD OR DIE_3																				poʔe				pohe			pohe			
BE DEAD OR DIE_4																		hiti												
BELLY_1	manava			manava	nakau	manava			maŋava	manava			manava		manava	manava	manava	manavanui	manava	manava	manaba	manava	manava		manava		manava		manava	manava
BELLY_2				kona				kona		kona						kona				kona					kona		kona			kona
BELLY_3				tinaʔe		ʃinae						sinae															tia	tinae		
BELLY_4																										kete				
BELLY_5						alo																								ʔalo
BELLY_6																													ŋapula	
BELLY_7		ʔoopuoːpu	ʔoopuoːpu				ʔoopuoːpu			koopuoːpu				ʔopu		koopuoːpu		koopuoːpu	kopu	koopuoːpu				ʔoopuoːpu			koopuoːpu			
BELLY_8											puku																			
BIG_1															hamataku					ʔakamatuu										
BIG_2								tamana						maaka						maʔatamaʔata~katakata										
BIG_3												motua																		
BIG_4																						tele							tʰuabe	
BIG_5						sore																								
BIG_6																		koorereka												
BIG_7							nui			nui	nui			nui		nue		nui	nui			nui	niu				nui			
BIG_8																	toŋi													
BIG_9	rai	ɢahi	raʔi	lasi	lasi				lahi				lahi			rahi		rahi	rahi			lasi		rahi	lasi	lahi		lahi		lahi
BIG_10						efa				ruʔaruʔa											ɡauʔeha									
BIG_11																	wowolo													
BIG_12																										fuʔu				
BIRD_1	manu	manu	manu	manu	manu	manu	manu	manu	manu	manu	manu	manu	manulele	manu	manu	manu	manu	manu~maimua	manu	manurere	manu	manulele		manu	manu	manu	manu	manulele		manulele
BIRD_2																													manumanu	
BIRD_3																							kivi							
BITE_1			ʔooʔiniʔini																											
BITE_2																								hohoni						
BITE_3				ʔuu					uu												uʔu	u	nunu			uʔu				uʔu
BITE_4							nahu				ŋau			nahu					ɡau						ŋau				ŋalia	
BITE_5	kati		paʔati		utia			kati	eki	eti		ketʃia	eti			kati	kati	kakati		eti		utia~ʔati			uuti~kati		kati		usia~esia	
BITE_6						maŋuʃia																								
BITE_7															takiluu															
BLACK_1		ʔeɢeʔeɢe	ʔereʔere				ʔeleʔele			kerekere								kerekere	kerekere	kere				ʔereʔere			kere			
BLACK_2														hivahiva						ʔiva							hiva			
BLACK_3											maŋu																			
BLACK_4												paku																		
BLACK_5	uri			ʔuli	uri	uri		uli	ʔuli	uri			uli			uri	uli	uriuri		uri	ʔuɡi	uliuli	uli		uri	ʔuliʔuli	uri	uli	uli	ʔuli
BLACK_6															riparara															
BLOOD_1	toto	toto	toto	toto	toto	toto	koko	dodo	koko	toto	toto	atoto	toto	toto	toto	toto	toto	toto	toto	toto	toto	toto		toto	toto	toto	toto	toto	toto	toto
BLOOD_2																							haeko							
BLOOD_3																												kelakela		
BONE_1	ui				sui								hui													hui				hui
BONE_2	ivi	iviivi	ivi	ivi		iui	iwi	iwi	ivi	ivi	iwi	teiβi	ivi	ivi	ivi	ivi	ivi	ivi	ivi	ivi	ibi	ivi	ivi	ivi	ivi		ivi	ivi	ivi	
BREAST_1			tiitiiːti																					tiitiiːti						
BREAST_2														kiʔinene																
BREAST_3		ʔouma	ʔoouma														uma	umauma									koouma			
BREAST_4	uu			uu	mumu	u	uu	uu	uu		uu	susu	huhu	u	uu	uu	wuu	uu	ʔuu	uu	uu	susu	uu		uu	huhu		uu		huhu
BREAST_5										kuperu																				
BREAST_6															hatahata														hatahata	
BREAST_7																	aloalo	alo												
BURN_1				susunu																		susunu								
BURN_2	tapu									taʔu	tahu		tafu			tahu				taʔu		tafu			tafu		tahu	tafu		
BURN_3	tutu~tuŋia	tutuʔi			tuŋia	tuŋia	kuni	dudu~tuŋi	kuŋi	tutu		tuŋia	tuŋi	tutu	ttuni		tutu	tutu	tutu	tutuŋi	tutu~tuuŋia		tutu~tuunia	tutuʔi	tutu	tutu	tuŋi	tuɡia		tutu
BURN_4							ʔaa			kaʔa								kaa											khaa	
BURN_5			ʔaʔaʔama											hakauʔa															ula	
BURN_6																						mu								
CLOUD_1									puulehu														lehuna							
CLOUD_2	ao	ata	ata	ʔao	ᵐboroa	boa	ao			ao				ao		oo		ao		tiao	ʔao	ao		ata	ao	ʔao	ao			ʔao
CLOUD_3																													meluao	
CLOUD_4															kaniva			kaikaiŋa												
CLOUD_5											kapua						kaapuao	kapua										kaumana		
CLOUD_6																			kohu											
CLOUD_7												taeteraŋi	laɡi						raɡi	tumuraŋi										
CLOUD_8								kororaŋi																						
CLOUD_9																											titi			
COLD_1							anu			anu				anu		anu	ano			anu							anu			
COLD_2				momoko																						momoko				
COLD_3			toʔetoʔe															toketoke	takeo	anutoketoke				toʔetoʔe			toketoke			
COLD_4		haumaaɢuaːɢu																				maluuluuːlu								
COLD_5	makariri			makalili	makariri	makaliɡi		makariri	maalili	makariri	makariri	makariri	makalili	kamariri~makarere	makariri	makariri	makalili	makalili			makaɡiɡi	maʔalili	makalili		makariri		makariri	makalili	maliki	makalili
COLD_6																												maaluaːluluaːluːlu		
COME_1	au			ʔau						aʔu			aua				jau				aʔu	sau			au	haʔu		hau	au	aʔu
COME_2																		aro												
COME_3																			tuʔu											
