	Badga	Betta Kurumba	Brahui	Gondi	Kannada	Kodava	Kolami	Kota	Koya	Kurukh	Kuwi	Malayalam	Malto	Ollari Gadba	Parji	Tamil	Telugu	Toda	Tulu	Yeruva
ALL_1									antaː		haɾa						anta~anni			
ALL_2	ella				ella	ella		ellaːm				ella				ellaːm				
ALL_3			kull																	
ALL_4									mottam								mottamu			
ALL_5							maːk												maːta	
ALL_6										majin										
ALL_7				bottiɡ									ɡoːʈahiː							
ALL_8													ɡiːʈeniː							
ALL_9		oːʈəja																		
ALL_10																				nanɡaːɭə
ALL_11																		oʋʋoɖimo		
ASH_1												ʧaːmbal				saːmbal				
ASH_2										ʧind				niɖ	nĩd				ʧuːnja~ʧoːnja	
ASH_3			his	niːɾ								ʧaːɾam								
ASH_4									buːɖida								buːɖida			
ASH_5		piːdi			buːdi	buːdi												puːdi		buːdi
ASH_6							buɡɡi													
ASH_7								poːdu atukə												
ASH_8	kolabuːdi																			
BARK_1	paʈʈe					aʈʈe						paʈʈa				paʈʈe	paʈʈa			
BARK_2						ʧekke														
BARK_3																		puʈkoɾi		
BARK_4																			ketta	
BARK_5		meɾtoːlə																		
BARK_6												maɾattoli								
BARK_7			bund																	
BARK_8					naːɾu															
BARK_9								kolluʧo												
BARK_10				toːl																toːlu
BARK_11									beɾaɖu	oːɖak							beɾaɖu			
BARK_12					toɡaʈi				danʈi											
BARK_13							ɖanɖi maɖɖa													
BELLY_1	oʈʈe	poʈʈi			hoʈʈe~hoʈʈa	poʈʈe									poʈʈa		poʈʈa			
BELLY_2																toppai				
BELLY_3																tonti				
BELLY_4							ʈeʈʈe													
BELLY_5									ɖokka	kuːl										
BELLY_6													puɖaː							
BELLY_7																	kaɖupu			
BELLY_8														puduɡ						baːɾə
BELLY_9											banɖi								banʤi	
BELLY_10			peɖʰ	piːɾ								ʋajaɾə						piɾ		baiɾu
BELLY_11																vayiru				
BELLY_12								naɖpeːʈɡu												
BIG_1	doɖɖadə				doɖɖadu															
BIG_2																		ittuːɖə		
BIG_3								toɖut							beɾto					
BIG_4											beːɾ			muɾe						
BIG_5						baljadə						ʋaludə								baleji
BIG_6										koha									malla	
BIG_7													beːɖo							
BIG_8		dappu	ballun																	
BIG_9				pedda					beɾɾa							peɾija~peɾəsə	pedda			
BIRD_1													puʤudu							
BIRD_2														titə						
