	Cahuilla	Central Tarahumara	Chemehuevi	Classical Nahuatl	Comanche	Cupeño	El Nayar Cora	Eudeve	Highland Puebla Nahuatl	Hopi	Huarijío	Huichol	Kawaiisu	Luiseño	Mayo	Mono	Northern Paiute	Northern Tepehuan	Panamint	Pima Bajo	Pipil	Pochutec	Serrano	Shoshoni	Southeastern Tepehuan	Southern Paiute	Teguima	Tetelcingo Nahuatl	Tohono O'odham	Tongva	Tubar	Tübatulabal	Ute	Yaqui
ALL_1																																	pɑʔɑmɑnuni~pɑʔɑmɑnuktis	
ALL_2																							puju									piniju		
ALL_3				iːxkiʧ												nasimi																		
ALL_4												nai̯̯tɯ~junai̯̯tɯ			ʦikti																			ʦikti
ALL_5								awona~haona			joma																							
ALL_6				moʧ~moʧi	ojɯ~ojo				noʧi			nai̯̯									muʧi	noʧo		ojoːn		mano~manu	sə	noʧi	wɯs~wɯs					
ALL_7	u̠mun		mɑnːo														noːʔju	βɯʃi	wɯmː	βɯʃ					vɯʃ						weʦɑ̠t~wesɑ̠t			
ALL_8							hei̯̯ʦe																											
ALL_9										sosojɑm~sosoj																								
ALL_10														ʧoʔon																				
ALL_11													monojo																					
ALL_12																																	mɑnuni	
ALL_13																			sɯmɯsɯ															
ALL_14																														owɑ̠̄ʔix				
ALL_15																			ojoːntɯ~ojoːntɯsɯ															
ALL_16						pətɑ̠ʔɑmɑ																												
ALL_17		omɑrwɑme																																
ARM_1															koomi																			
ARM_2																																		konkabam
ARM_3									ahkol												mahkul													
ARM_4																															mavoːi̯̯r			
ARM_5		seka			pɨra						seka		pɨravɨ			pɨtːa	pɨtːa	juca	pɨta	huca				pɨta		pɨta							pɨtapi	
ARM_6			aŋapɨ					nocat																	nob				nowi					
ARM_7																																maʦon~madzan		
ARM_8	mal			maːi̯̯t͡ɬ				mamat		maʔa		mama		mat							maji~mah		maː				mama	mø		man				
ARM_9																											møtzaca							
ARM_10							mwahkaʔa																											
ASH_1						wɨʂkiʃ																												
ASH_2														teeliŋiʃ																				
ASH_3																	kutːusːipɨ																	
ASH_4																							kukuht											
ASH_5			kucapːɨ										kucapɨ						kuʦːapːɨh														kucapːɨ	
ASH_6																										kuʦːæ				koʃiʃ				
ASH_7									kʷonːeʃ																									
ASH_8																								kuːsiːpːɨh										
ASH_9	nisxiʃ																																	
ASH_10																esija																		
ASH_11																		matːe		matʰai̯̯					matai̯̯				matai̯̯					
ASH_12		napiso						napsa			nahpiso				naposa												napot							naposa
ASH_13				neʃt͡ɬi			nasi					nari					kusːi				neʧ~nesʧta~neʃti	noʃt									nasit			
ASH_14																												t͡ɬakoneʃt͡ɬiː						
ASH_15																																tonɡul		
ASH_16										qøcvi																								
ASH_17					etuhsipːɨh																													
BARK_1							kucapeʔe									woʔaɡːapɨ																		
BARK_2													asiavi													asiaː								
BARK_3																							qoʦ										siʔaːpi	
BARK_4										ʦiipɨ																								
BARK_5																																opit		
BARK_6																																opun		
BARK_7																															ulapet			
BARK_8		eɡoli																							kom									
BARK_9					poʔa												puʔa		poʔa					poʔan										
BARK_10		kuhe									kahe																							
BARK_11	taʃʔa													taaʧi																				
BARK_12	taʧal		asiaʔa			ʧalal																												
BARK_13																					juwajo~ijewaju							jewajut͡ɬ						
BARK_14								beɡu̯at							beewa												bewat							bea
BARK_15				eʔwaːt͡ɬ					eːwat											ɨlidaɡ									ɨldaɡ					
BARK_16																														axoːxoʦ				
BARK_17																		hilidaɡa																
BELLY_1								siɡu̯at																			siɡu̯a							
BELLY_2													sapɨi̯̯vɨ																				sakoi̯pi	
BELLY_3			sapːɨ		sapːɨh	ʂaʔi		panza																sapːɨh		sapːɨ								
BELLY_4																																ʃapuʃt		
BELLY_5							ʃai̯̯e																											
BELLY_6				iʔtet͡ɬ																	ihti							hte						
BELLY_7										pono							siː		punu											xoːnen~xoːnon				
BELLY_8									poʃ							ɡohi	kohi																	
BELLY_9		ropa					huka	boa			tohpa	huka			topːa			voca		voːk			toːʔ		bok				woːk					
BELLY_10												ijamuja																						
BELLY_11														teeʔla																				
BELLY_12	teʔily																																	
BELLY_13																																		toʔona
BELLY_14																															njolir			
BIG_1										wɨːjoqa																								
BIG_2											weruma																							
BIG_3												epɨpa~epɨnena																						
BIG_4						ai̯̯ʔaniʃ																												
BIG_5	amnaʔa																															eɡeːwan		
BIG_6					pia											papa	papa		pia					pia		pia							apatːɨ	
BIG_7			hokːo										woko																					
BIG_8								huei̯̯																			ɡue							
BIG_9							veʔe													ɡɨʔɨd									ɡɨʔɨ					
BIG_10		waʔlu													bweʔuru																			bweʔu~buːʔu
BIG_11				weːi̯̯~weʔ										jot				ɡu~aɡu			wei̯̯				ɡəʔ						wee			
BIG_12									weːji						bweere							wjom						bi̯ejiː						
BIG_13																														jooi̯ʧ				
BIG_14																							atiɨ̯̯ʔaʦ											
BIRD_1								viqui̯̯tz																										
BIRD_2																			kasakantin															
BIRD_3	wikikmal					mukikmal								iheŋmal																				
BIRD_4		ʧuluɡi									ʦuʔruki																							
BIRD_5																	hucipa							hui̯̯ʦːu										
BIRD_6									toːtoːciːn											uʔuviɡ									uʔuw̥iɡ					
BIRD_7				toːtoːt͡ɬ	kuʦːuː																totoʧ	tutut			ui̯ʔ			tutut͡ɬ			kolo			
BIRD_8																ʦiːpːaʔ																		
BIRD_9												wi						uruɡui̯̯																
BIRD_10							pinaʔa																				ʧi							
BIRD_11			wiciʔici										wizikizi																				wicici	
BIRD_12										ʦiro								uːɡːui̯̯								wicɨ				ʧiʔuː				
BIRD_13												wiki			wiːkit								wicit									ʧikiːt		wiikit
BITE_1																					tankʷa													
BITE_2																											qui̯̯quja							
BITE_3					kɨccia														kɨcciʔa					kɨcciʔa										
BITE_4				kecuma~kehcuma					keːhcoma																			kecoma						
BITE_5																		ʦujanta							kɨjaʔ									
BITE_6		iʔki									kiʔcu																							
BITE_7																kɨhjɨ																kɨi̯̯ʔɨt		
BITE_8							ʧeʔe	queen										ʦuui̯̯~ʦujui̯̯																
BITE_9	keʔ		kɨʔi			qɨʔɨ				kɨːki		ke~kei̯	kiʔi	koʔi	keʔeje		kɨʔi~kɨi̯̯			kɨʔɨ			kɨːʔ			kɨʔi			kɨʔi		ke	ɨːɡɨ	kɨʔi	keʔe
BITE_10								nequen																										
BLACK_1		ʧokame									ohconame																							
BLACK_2							ʃuʔumwa																											
BLACK_3					tuhupihtɨ														tuːppihtɨ					tuːppihtɨn										
BLACK_4													tuhukʷidɨ																					
BLACK_5																																	tuukːwatɨ	
BLACK_6								sovei̯̯																			sovai̯̯							
BLACK_7												juwi~pujuwi																						
BLACK_8																														jupiːxaʔ~jopiːxaʔ				
BLACK_9			tupːaka											juvatai̯̯																				
BLACK_10																					puʃawak													
BLACK_11				t͡ɬiltik					tiːltik																			t͡ɬiltiːk						
BLACK_12															ʧukuli																tokur			ʧukui̯̯~ʧukuli
BLACK_13						tula										tumːu	tu	tuco~tucu		stuk					ʧuk	tuy			sʧuk			tuːɡu~uːduːɡu		
BLACK_14	tulnek																																	
BLACK_15																							tɨnaːraʔn											
BLACK_16										qøymviwsaʔ																								
BLOOD_1															ohbo																			ohbo
BLOOD_2			paɨ̯̯pːi		pɨːppin								pɨːpi	ou̯̯la		paː	pɨːpːi		pau̯̯ppin					pɨːppin		paɨ̯̯								
BLOOD_3																														xai̯̯n				
