	Ancient Attic Greek	Ancient Ionic Greek	Modern Demotic Greek	Pharasa Greek	Southern Tsakonian	Western Cappadocian Greek
ASH_1			stˈaxti	stˈaxti		stˈaxʧi
ASH_2	tépʰraː					
ASH_3					spoˈia	
ASH_4		spodós				
BARK_1	pʰlojós	pʰlojós	fliˈos	flˈiði	frˈua	
BARK_2						ɣabˈɨx
BELLY_1	ɡastéːr	ɡastéːr				
BELLY_2			ciʎˈa	ʤilˈia	fˈukʰa	
BELLY_3						karjˈa
BIG_1	méɡas	méɡas	meɣˈalo	mˈeɣo		mˈeɣa
BIG_2					aʧˈe	
BIRD_1	órnis	órnis				
BIRD_2			pulˈi	pulˈi	puʎˈi	pulˈi
BITE_1	dáknoː	dáknoː	ðaɡˈono	ðˈakno	kaʦˈinu	ðˈakno
BLACK_1			mˈavros	mˈavro		mˈavro
BLACK_2	mélan	mélan				
BLACK_3					kuvˈane	
BLOOD_1	hâjma	âjma	ˈema	ˈaima	ˈema	ˈoima
BONE_1			kˈokalo		kˈokale	
BONE_2	ostéon	ostéon		sto		
BONE_3						sʧas
BREAST_1	stêːtʰos	stéːtʰea	stˈiθos			
BREAST_2					stˈiθi	
BREAST_3						kˈorfos~kˈolfos
BREAST_4				kardˈia		
BURN (SOMETHING)_1				kˈafto		kˈafto
BURN (SOMETHING)_2	káoː	kájoː	cˈeo			
BURN (SOMETHING)_3					ðˈesu	
CLOUD_1	népʰos	népʰos	sˈinefo	sˈinefa	sˈiɣnefo~sˈinefo	ʃˈinefo
COLD (OF WEATHER)_1	psyːkʰrós	psyːkʰró			psuxrˈe	
COLD (OF WEATHER)_2			krˈio			
COME_1		érkʰomaj	ˈerxome	ˈerxume		ˈerxume
COME_2	ʌltʰ	eltʰ				
COME_3			ˈirθa	ˈirta		ˈirta
COME_4					ekˈan	
COME_5	héːkoː					
COME_6					par̝ˈiu	
DIE_1	apotʰnéːjskoː	apotʰnéːjskoː				
DIE_2			peθˈeno		penˈakʰu	
DIE_3						peranˈiʃko
DIE_4				xˈan		
DOG_1			scˈilos	sʧilˈi		ʃcilˈi
DOG_2	kýːoːn	kýːoːn				
DOG_3					kˈue	
DRINK_1	píːnoː	píːnoː	pˈino	pˈino	cˈinu	
DRINK_2						pjinˈiʃko
DRY_1	kseːró			kserˈo	ʦerˈe	kserˈo
DRY_2		âwo				
DRY_3			steɣnˈo			
EAR_1					avotˈana~avutˈana	
EAR_2	oːt	oːt	aftˈi	ti		afʧˈi~fʧˈi
EARTH (SOIL)_1	ɡêː	ɡêː				
EARTH (SOIL)_2			xˈoma	xˈoma	xˈoma~xˈuma	xˈoma
EAT_1			trˈoo	trˈoɣo		trˈoɣo
EAT_2	estʰíoː				ʧu	
EAT_3	pʰaɡ		ˈefaɣa	ˈefaɣa	efaˈika	ˈefaɣa
EAT_4		sitéomaj				
EGG_1	oːjón	oːjón				
EGG_2			avɣˈo	vo	avuɣˈo	ovɣˈo
EYE_1	ómma		mˈati			maʃ
EYE_2	opʰtʰalmós	opʰtʰalmós				
EYE_3				ftˈalmi		
EYE_4					psilˈe	
FAR_1			makriˈa	makrˈa		makrˈa
FAR_2	pórroː	prósoː				
FAR_3					alˈarɣa	
FAT (ORGANIC SUBSTANCE)_1	piːmeléː	piːmeléː				
FAT (ORGANIC SUBSTANCE)_2				ˈalima		ˈalima
FAT (ORGANIC SUBSTANCE)_3			lˈipos			
FAT (ORGANIC SUBSTANCE)_4					ksˈinʒi	
FEATHER_1	pterón	pterón	fterˈo	fterˈu	fterˈe	fterˈo
FINGERNAIL_1	ónykʰ	ónykʰ	nˈiçi	nˈiʃi	ɲˈiçi	niç
FIRE_1	pŷːr	pŷːr			kʰˈara	
FIRE_2				nistˈia		niʃʧˈa
FIRE_3			fotçˈa			
FISH_1	ikʰtʰýːs	ikʰtʰýːs				
FISH_2			psˈari	psˈari	psˈar̝i	psar
FLESH OR MEAT_1	kréas	kréas	krˈeas	kræs	krˈie	cirjˈas
FLY (MOVE THROUGH AIR)_1	pétomaj	pétomaj	petˈo	pettˈao	petˈu	petˈano
FOOT_1	pod	pod	pˈoði	porˈaði	pˈua	
FOOT_2						prej
FULL_1	pléːreː					
FULL_2		pléo				
FULL_3	mestó		ʝemˈato		ʝomˈate	
FULL_4				emˈo		
FULL_5						ɣomomˈeno
GIVE_1	dídoːmi	dídoːmi				
GIVE_2			ðˈino	ðˈito	ðˈiu	dˈino
GOOD_1			kalˈo	kaˈo	kalˈe	kalˈo
GOOD_2	aɡatʰó					
GOOD_3		kʰreːstós				
GREEN_1			prˈasino		prˈasine	prˈaʃino
GREEN_2	ɡlawkó					
HAIR_1			maʎˈa	malˈia		maljˈa
HAIR_2	tríkʰes	tríkʰes			ʧˈiçe	
HAND_1	kʰéjr	kʰéjr	çˈeri	ʃˈeri	çˈera	çer
HEAD_1	kepʰaléː	kepʰaléː	cefˈali	ʧufˈali	ʨufˈa	cifˈal
HEAR_1	akúːoː	akúːoː	akˈuo	ku		akˈuo
HEAR_2					ɲˈiu	
HEART_1	kardíaː	kardíeː	karðʝˈa	kardˈia	karðˈia	karjˈa
