	Bemba	Bulu	Fang	Ganda	Gogo	Haya	Kalanga	Kamba	Kikuyu	Kimbundu	Koongo	Lingala	Lozi	Luba-Katanga	Luba-Lulua	Makhuwa	Meru	Ndonga	Ndzwani Comorian	Ngazidja Comorian	North Ndebele	Nyanja	Nyankole	Rundi	Shona	Songe	Sukuma	Swahili	Tonga	Tsonga	Tswa	Tswana	Umbundu	Venda	Xhosa	Yaka	Zulu
ASH_1																												sizi					éti̍kó				
ASH_2						eijwi											ifu		vú	vú			eiju				ibu										
ASH_3				vvu	máfu																																
ASH_4																													itwe								
ASH_5		asup	asup																																	sùvé	
ASH_6	imìto													butò	bútu											butǒ											
ASH_7								mou	mohû																												
ASH_8																		omutoko																			
ASH_9												mputulú																									
ASH_10																ittuúra						pʰulusa															
ASH_11																														nkuma	kʰuma						
ASH_12							lota						mulola								lotʰa			umuɲota	dòtà									mulora	umlotʰa		umlota
ASH_13																																mõlõrã					
ASH_14										ditókua																											
ASH_15											bombi																										
BARK_1													likwati																	rihantí	hatí	kwàtí		ɡwatí			
BARK_2	bós											póso							ɡózi	ɡozi																	
BARK_3								ekɔndɛ	ikɔni																												
BARK_4																									kòkó										iǁolo	kókó	íliǁôlo
BARK_5											kibula					nikúla		ejula									iɡula										
BARK_6			ebap		ibada												ikanda																				
BARK_7																													cikwa								
BARK_8																						kʰunɡwa															
BARK_9		ebapele																						iɡiʃiʃwa													
BARK_10																					kʰonkotʰa																
BARK_11																																	óʧípétà				
BARK_12						ekiʃuʃu				kiʃiʃi					ʧízúbú								ekiʃuʃu			kifùsù											
BARK_13														kibàle																							
BELLY_1							tumbu																		dùmbù		ŋ̤umbi	tumbo			rúmbú			tʰumbu			
BELLY_2	ì̀fumo	abum	abum							divumu	kivumu	libumu																									
BELLY_3																																	ímò				
BELLY_4								eβu						fu	dífu						isisu					efù									isisu		ìsísù
BELLY_5																														kʰwírí							
BELLY_6																	ndeu																				
BELLY_7																																				ɛ̀ì	
BELLY_8																ntʰúkwa		epunda																			
BELLY_9													mba						mímba	mmba		mímba										ḿpá					
BELLY_10					nda				nda														enda	inda					ida								
BELLY_11						eibundaenda																															
BIG_1																wunnuwela																					
BIG_2																															hombé						
BIG_3						hanɡo																	hanɡo														
BIG_4																												kubwa						hulwane			
BIG_5																			libwávu																		
BIG_6																													pati							làí	
BIG_7					βaha									kàtà												mukàtà											
BIG_8																											ale										
BIG_9	kalàmbà																																				
