	Central Yana	Northern Yana	Yahi
ALL_1	panauma	panauma	panauma
BELLY_1		willa	willa
BIG_1	paʦal	paʦal	paʦal
BITE_1	ʦa	ʦa	ʦa
BLACK_1	tapʰalsa	tapʰalsa	tahpʰalsa
BLOOD_1	watʔtuwi	watʔtuwi	
BONE_1	ʔixtalʔ	ʔixtalʔ	ʔaxtatʔ
BURN (SOMETHING)_1	haʔwiː	haʔwiː	haʔwiː
CLAW OR NAIL_1		sukʼuʔliptalla	sukʼuʔnimtanna
COME_1	ni	ni	ni
COME_2	ha	ha	ha
DIE_1	tilau	tilau	
DOG_1	suːsu	suːsu	suːsu
DRINK_1		siː	ʦiː
DRY_1	kʰulsi	kʰulsi	kʰulsi
EAR_1	malku	malʔku	manʔku
EARTH (SOIL)_1	piːwi	piːwi	piːwi
EAT_1	ma	ma	ma
EYE_1	ʦʰuna	ʦʰuna	ʦʰuna
FAR_1	pʰau	pʰau	
FAT (FROM ANIMALS)_1	xaujau	xaujau	xaujau
FEATHER_1		puːni	puːni
FIRE_1	ʔauna	ʔauna	ʔauna
FISH_1	kalaː	kalaː	kalaːxi
FLY (MOVE THROUGH AIR)_1	pa	pa	pa
FOOT_1	lalla	lalla	lalla
FULL_1	panʔiː	paʔniː	paʔniː
GIVE_1	halʦawau	halʦawau	
GOOD_1	ʦʼupʔ	ʦʼupʔ	ʦʼupʔ
GREEN_1		taʦʼkaisa	taʦʼkaisa
HAIR_1	kʼujulla	kʼujul	kʼuʔjulla
HAND_1	talla	talla	talla
HEAD_1	tʼalʔaina	tʼalʔaina	
HEAR_1	kaː	kaː	kaː
HEART_1	ʦukuʦʼi	ʦukʼutʦʼi	
HEAVY_1		miʦa	ʦʼaʔwiʦa
HORN (ANATOMY)_1	weːju	weːju	weːju
I_1	aiʔniʦa	aiʔniʦa	aiʔniʦi
KILL_1	ʔamʔʦi	ʔapʔʦi	ʔapʔʦi
KNEE_1		hiːwakinna	
KNEE_2			pʰuːtikʼi
LIE (REST)_1	murul	murul	murul
LIVER_1	ima	ima	ima
LONG_1	ʦul	ʦul	ʦul
MAN_1	hisi	hisi	hihsi
MANY_1	tatʔ	tatʔ	tatʔ
MEAT_1		pasi	pahsi
MOON_1		wakʼaːra	wakʼaːra
MOUNTAIN_1	ʦiːkalla	ʦiːkalla	ʦiːkalxi
MOUTH_1	palla		palla
NAME_1	ʦeːjauna	ʦeːjauna	ʦeːjauna
NEAR_1	kʼaʔnai	kʼaʔnai	kʼaʔnai
NECK_1		tulla	tulla
NIGHT_1	pasiːjauna	pasiːjauna	
NIGHT_2			pahsi
NOSE_1		liːlimauna	niːnimauna
NOT_1	kʰuː	kʰuː	kʰuː
ONE_1	paiku	paiku	paiku
PERSON_1	jaːna	jaːna	jaːxi
RAIN (PRECIPITATION)_1	pareːkʼu	parikʼu	parikʼu
RED_1	pawatʔku	tawatʔsa	tawatʔsa
ROAD_1	hiːja	hiːja	hiːja
SAY_1	tʰiː	tʰiː	tʰiː
SEE_1	tiwai	tiwai	tawai
SHORT_1	pakanku	pakatku	pahkanku
SIT_1	wa	wa	wa
SLEEP_1	samsi	sapsi	ʦamsi
SMALL_1	tʼiniːku	tʼiniːku	tʼihniːku
SMOKE (EXHAUST)_1	ʦʰeːkʼauna	ʦʰeːkʼauna	
STAND_1	waːkʼi	waːkʼi	waːkʼi
STAR_1		iʔlala	hiltaka
STONE_1	kʼaina	kʼaina	kʼaina
SUN_1		tʼuina	tʼuixi
SWIM_1	pʰuː	pʰuː	pʰuː
THAT_1	aiʦeʔe	aiʦeʔe	aiʦi
THIS_1	aiʦʰ	aiʦʰ	
THOU_1	aiʔnuma	aiʔnuma	aiʔnuma
TONGUE_1		pawaʔla	pawaʔna
TOOTH_1	kʰiʦʼauna		kʰiʦʼauna
TREE_1	ʔina	ʔina	ʔiwi
TWO_1	ux	ux	ux
WALK_1	ni	ni	ni
WALK_2	ha	ha	ha
WARM_1	jaripʼa	jaripʼa	
WARM_2			aʔnaina
WATER_1	xana	xana	xana
WE_1	aikʰiʔniki	aikʰiʔniki	aikʰiʔniki
WHAT_1	aʦʰiːma	aʦʰiːma	
WHAT_2			ʔahʦa
WHITE_1	talapʔsa	tʼalapʔ	tʼalapʔ
WHO_1	ʔampima	ʔappima	ʔampima
WIND_1	ʦukʼalla	ʦukʼalla	ʦuʔkʼalla
WOMAN_1	mariʔmi	mariʔmi	mariʔmi
YELLOW_1	tamuxtuisa	muxtui	tamustuisa
