	Cocopa	Ipai	Mohave	Tipai	Yavapai
TONGUE_1	mpaʎ̥	ən̪əpaɬ	iːpaʎ	xənpˈaɬ	himpˈál~himpˈâl
TOOTH_1	ʔijˈa	əjaːw	iːðoː		jˈoˑ
TREE_1		ʔilʲ		ʔiː	ʔʔˈiˑ
TREE_2	ʔajˈaː				
TWO_1	xwak	xəwak	havikk	xəwˈak	hwˈâki
WALK_1			ijemk		jˈaˑmi~jˈami
WALK_2	ʔaː	waː		aː	
WARM_1	ʎ̥ap			ʎ̥ap	
WARM_2			ipiʎk~ipiːʎk		
WARM_3		wəɹaːw			
WARM_4					ʔrˈuji
WATER_1	xa	ʔəxaː	ʔaha	xa	ʔhˈá
WE_1			ʔiɲeːʧvʧ		ʔɲˈaʧβ
WE_2		ʔənʲaːwapʧ		ɲaʔwˈaʧ	
WE_3	ɲaːʧ				
WHAT_1		ʔuːʧ	kuːʧ		
WHAT_2	luːɲ				
WHAT_3				maːjˈiːʧ	
WHAT_4					kˈaβ
WHITE_1		n̪əməʂap	ɲamasav	ɲəmʃˈap	ɲmsˈaβi
WHITE_2	xmaːʎ̥				
WHO_1		maːp		məʔˈap	
WHO_2			makaʧ		βkˈa
WHO_3	luːɲ				
WIND_1	ʧxa		mataha~matha	mat̪xˈa	mˌathˈaja~mˌathˈâːja~mˌathˈája
WIND_2		jaːjp			
WOMAN_1					βqˈí~pqˈí
WOMAN_2	sʔak		θiɲaʔaːk~θiɲaʔaːk	ɲəʧʔˈak	
WOMAN_3		sinʲ			
YEAR_1	mˌatkˈaːm			matwˈam	
YEAR_2			hoðe~huːðe		ʔʧʰˈura
YEAR_3		ʔaːnʲ			
YELLOW_1	qʷaʂ	ʔəkʷas	ʔaqʷaθm~ʔaqʷaːθm	kʷas	ʔqʷˈaθi
