	Aichi	Akita	Aomori	Chiba	Ehime	Fukui	Fukuoka	Fukushima	Gifu	Gunma	Hachijō	Hateruma	Hirara	Hiroshima	Hokkaidō	Hyōgo	Ibaraki	Ikema	Irafu	Ishigaki	Ishikawa	Iwate	Kagawa	Kagoshima	Kanagawa	Kumamoto	Kyōto	Kōchi	Mie	Miyagi	Miyazaki	Nagano	Nagasaki	Nara	Naze	Niigata	Okayama	Okinawa	Old Japanese	Saga	Saitama	Shiga	Shimane	Shizuoka	Taketomi	Tarama	Tochigi	Tokushima	Tottori	Toyama	Tōkyō	Wakayama	Yamagata	Yamaguchi	Yamanashi	Yonaguni	Ōita	Ōsaka
ALL_1	miɴna	miɴna	miɴna	miɴa	miɴna	miɴna		miɴna	miɴna	miɴna	meɴna		mːna	miɴna	miɴna	miɴna	miɴna	mːna	mːna		ɴna	miɴna	miɴna	miɴna	miɴna	mina	miɴna	miɴnaː	mina	miɴna	miɴna	miɴna	miɴna	miɴna		ɴna	miɴna		mɨna		miɴa	mina	meɴna	miɴna		mːna	mina	mina	miɴna	ɴna	miɴa	miɴna	miɴna	miɴna	miɴna		miɴna	mina
ALL_2																																								ʃiʔkja																		
ALL_3							soːjo					muːruɴ								muːru																		muru							muːru											muru		
ALL_4																																			ɡoʔto																							
ASH_1		aɡu	aɡu					aɡu							aku							aɡu								aɡu						aku																	aɡu					
ASH_2																																																								çiɡuɴ		
ASH_3													karapaɨ					karapai	karapaɨ																											karapaɨ												
ASH_4	βɛː			hɛː	hai	hai	hai		çɛː	hai	heː	peː		hai		hai	hae			hai	hai		hai	heː	heː	çaː	hai	hai	hai		fe	heː	hai	hai	hə		hai	heː	haçi	çaː	hai	hae	hae	heː	pai		hai	hai	hai	hai	hai	hai		hɛː	heː		heː	hai
BACK_1	senaka	henaɡa	henaɡa	senaka		ʃenaɡa	ʃenaka	ʃenaɡa	senaka	senaka	hedaka	iʃinaɡa		sena	senaka	senaka	ʃenaɡa				senaka	senaɡa	senaka	senaka	senaka		senaka	senaka	senaka	ʃenaɡa	ʃenaka	senaka	ʃenaka	senaka		senaka	ʃena			ʃena	senaka	senaka	ʃena	senaka	kuʃinaka		senaka	ʃenaka	senaka	senaka	senaka	senaka	henaɡa	sena	senaka		ʃenaka	senaka
BACK_2																																							se																			
BACK_3					seɴɡo																																																					
BACK_4																																						naɡaːni																				
BACK_5													kusɨ							kusu															kusɨ																							
BACK_6																		kuːɴmi	kuːɴni																																							
BACK_7																																														kusɨbuni										kuʧʔibuni		
BACK_8																										ɡotjaː																																
BE DEAD OR DIE_1											marubu	maːrasuɴ								maːrasuɴ																		maːsuɴ							maːrasuɴ											maisuɴ		
BE DEAD OR DIE_2	ʃinu	ʃinu	sunu	ʃinu	ʃinuru	ʃinu	ʃinu	ʃinu	ʃinu	ʃinu			sɨɴ	ʃinuru	ʃinu	ʃinu	ʃinu	sɨɴ	sɨɴ		ʃiɴ	sunu	ʃinu	keʃiɴ	ʃinu	ʃinuru	ʃinu	ʃinuru	ʃinu		keʃinuru	ʃimu	ʃinu	ʃinu	sɨɲuɴ	ʃiɡu	ʃinuru		ʃinu	ʃiɴ	ʃinu	ʃinu	ʃinoː	ʃinu		sɨɴ	ʃinu	ʃinu	ʃinuru	ʃinu	ʃinu	ʃinu	ʃinu	ʃinuru	ʃinu		ʃinuru	ʃinu
BELLY_1															onaka																																							onaka				
BELLY_2	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	bata	bata	hara		hara	hara	bata	bata	bada	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	hara	wata	hara	hara	wataː	wata	hara	hara	hara	hara	hara	bata	bata	hara	hara	hara	hara	hara	hara	hara		hara	bata	hara	hara
BIG_1																				maiʃaːɴ															daibaɴ			maːɡiʃeɴ							maijaɴ											maisa		
BIG_2																								βute		βutoka		βutoi			βuti									βutoka																	βutiː	
BIG_3												busahaɴ																																														
BIG_4								ʣuɴnɛ																																																		
BIG_5													upukaiː						ukukal																											upʃaːl												
BIG_6	oːkiː	oʔki	oʔki	oʔkiː	oːkiː	ikɛ	oːʔka		ikɛ		boːkja			oːkeː	oːkiː	oːkeː						oʔki	oːkiː		dʔkɛ		oːkiː		oʔkiː	oʔkiː		dʔkɛ	oːkina	oːkiː			oːkeː				dʔkɛ	ikɛː	oːkina				oːkiː	oːkiː	oːkiː		oːkiː	okiː	oʔki	oːkina	oːkiː			oːkiː
BIG_7										deʔkai							ekae	βuikai			dekai															deʔkae								ikai						deʔkai								
BIG_8																																							øβø																			
BIRD_1	tori	tori	tori	tori	tori	tori	tori	tori	tori	tori	torime	turɨ	tuɨ	tori	tori	tori	tori	tui	tul	turɨ	tori	tori	tori	toi	tori	tori	tori	tori	tori	tori	tori	tori	tori	tori	turi	tori	tori	tui	tøri	toi	tori	tori	toː	tori	tul	tul	tori	tori	tori	tori	tori	tori	tori	tori	tori		tori	tori
BIRD_2																																																								hatu		
BITE_1													βuː					βuː	βuː																			kuːjuɴ																				
BITE_2																																																								puiʦuɴ		
BITE_3																				kamuɴ	kamu																		kamu											kamu								
BITE_4		kamiʤiɡu	kuʔʦuɡu		kamiʦuku	kuwaʦuku		kuiʦuku				kamisɨkuɴ		kuiʦuku	kamiʦuku									kaɴʦuʔ			kamiʦuku							kuiʦuku										kuʔʦuku							kamiʦuku							
BITE_5																																														βaɴksɨ												
BITE_6																						kuʔʧaɡaru																																				
BLACK_1	kurøː	kure	kure	kureː	kuroi	kuroi	kuroka	maʔkureː	kurøː	kuroi	kurokja			kuroi	kuroi	kuroi	kuroe				kuroi	kure	kuroi	kure	kureː	kuroka	kuroi	kuroi	kuroi	kuroe	maʔkuri	kureː	kuroka	kuroi	kʔuruʃaɴ	kuːre	kureː	kuruʃeɴ	kuroʃi	kuroka	kuroi	kurøe	kuroe	kuroi			kuroi	kuroi	kuroi	kuroi	kuroi	kuroi	kuroe	kurøː	kuroi	βuru	kureː	kuroi
BLACK_2													ʔfukaɨ					ʔfukai	ʔfukam																										ʔfoːɴ	ʔβuʃaːru												
