Language_ID,Feature_ID,IPA,Value
Aromanian,DOG,kˈɨne,1
Catalan_(Minorcan),DOG,ka,1
Dalmatian,DOG,kwoŋ,1
Emiliano_(Carpigiano),DOG,kaŋ,1
Emiliano_(Ferrarese),DOG,kan,1
Emiliano_(Reggiano),DOG,kaːn,1
Franco-Provençal,DOG,θɛ̃,1
French,DOG,ʃjɛ̃,1
Friulian,DOG,caŋ,1
Galician,DOG,kaŋ,1
Italian,DOG,kˈane,1
Ladin_(Fassano),DOG,ɕaŋ,1
Ladin_(Gardenese),DOG,ɕaŋ,1
Latin_(Archaic),DOG,kˈanɪs,1
Latin_(Late_Classical),DOG,kˈanɪs,1
Ligurian_(Genoa),DOG,kaŋ,1
Ligurian_(Rapallo),DOG,kaŋ,1
Ligurian_(Stella),DOG,kaŋ,1
Lombard_(Bergamo),DOG,ka,1
Lombard_(Plesio),DOG,kaŋ,1
Megleno-Romanian,DOG,kˈɔjni,1
Neapolitan,DOG,kˈanə,1
Occitan,DOG,ʧiŋ,1
Old_French,DOG,ʧjẽn,1
Old_Italian,DOG,kˈane,1
Picard,DOG,kjɛ̃,1
Piedmontese_(Barbania),DOG,kaŋ,1
Piedmontese_(Carmagnola),DOG,kaŋ,1
Piedmontese_(Lanzo_Torinese),DOG,kaŋ,1
Piedmontese_(Turinese),DOG,kaŋ,1
Piedmontese_(Vercellese),DOG,kaŋ,1
Portuguese,DOG,kɐ̃w̃,1
Romagnol,DOG,kãn,1
Romanian,DOG,kˈɨjne,1
Romansh_(Grischun),DOG,ɕawn,1
Romansh_(Surmiran),DOG,caŋ,1
Romansh_(Sursilvan),DOG,ɕawn,1
Romansh_(Vallader),DOG,ɕan,1
Sardinian_(Campidanese),DOG,kˈai,1
Sardinian_(Logudorese),DOG,kˈane,1
Sicilian_(Catanian),DOG,kˈani,1
Sicilian_(Messinese),DOG,kˈanɨ,1
Sicilian_(Palermitan),DOG,kˈani,1
Sicilian_(Southeastern),DOG,kˈani,1
Tuscan,DOG,kˈane,1
Umbrian,DOG,kˈane,1
Venetian_(Bellunese),DOG,kaŋ,1
Venetian_(Primiero),DOG,kaŋ,1
Venetian_(Venice),DOG,kaŋ,1
Walloon,DOG,ʧɛ̃,1
Asturian,DOG,pˈero,2
Spanish,DOG,pˈero,2
Catalan_(Castelló_de_la_Plana),DOG,ɡos,3
Catalan_(Central),DOG,ɡos,3
Catalan_(Manises),DOG,ɡos,3
Catalan_(Northwestern),DOG,ɡos,3
Catalan_(Valencia),DOG,ɡos,3
Istro-Romanian,DOG,brek,4
Aromanian,KNOW (SOMETHING),ʃtiw,5
Istro-Romanian,KNOW (SOMETHING),ʃti,5
Latin_(Archaic),KNOW (SOMETHING),skˈiːrɛ,5
Latin_(Late_Classical),KNOW (SOMETHING),skˈiːrɛ,5
Megleno-Romanian,KNOW (SOMETHING),ʃtiw,5
Romanian,KNOW (SOMETHING),aʃtˈi,5
Sardinian_(Campidanese),KNOW (SOMETHING),ʃˈiri,5
Sardinian_(Logudorese),KNOW (SOMETHING),iskˈire,5
Asturian,KNOW (SOMETHING),sabˈeɾ,6
