Sample	prior	likelihood	posterior
0	-18.92556014619114	-8959.804744691726	-8978.730304837918
200	-10.62856626922433	-7570.025894863822	-7580.654461133046
400	13.397032364155262	-7160.058416195888	-7146.661383831733
600	45.18880825950379	-6679.200570808943	-6634.011762549439
800	43.631262961601706	-6202.992022918843	-6159.3607599572415
1000	38.300605719836504	-6027.232470914916	-5988.93186519508
1200	17.053830853745463	-5817.980511993214	-5800.926681139469
1400	8.408006265392233	-5610.797369071043	-5602.389362805651
1600	-0.5241751177069767	-5513.5184404536985	-5514.042615571406
1800	7.874193854613468	-5453.997628359624	-5446.123434505011
2000	6.33505924345795	-5370.284411972969	-5363.949352729511
2200	10.814115293084773	-5291.006095351153	-5280.191980058068
2400	14.746047235516405	-5264.763854215289	-5250.017806979773
2600	15.738337925666707	-5250.056669424158	-5234.318331498491
2800	15.99076629501436	-5230.395872811511	-5214.405106516497
3000	14.15437333851105	-5217.090411526093	-5202.936038187581
3200	13.760291581163798	-5180.086903142319	-5166.326611561155
3400	12.558892385735247	-5130.333740915717	-5117.774848529982
3600	10.856541854999879	-5041.8986327604625	-5031.042090905463
3800	19.96934217009525	-5015.746078460891	-4995.776736290796
4000	18.347733050131485	-5005.756710593084	-4987.408977542952
4200	20.39789873151054	-4946.75049581308	-4926.35259708157
4400	31.29363095312924	-4942.544026842046	-4911.2503958889165
4600	27.781248690226175	-4916.893901858111	-4889.112653167886
4800	34.81157952987904	-4904.576197588503	-4869.764618058624
5000	40.181575339076204	-4886.62867997103	-4846.447104631953
5200	37.467519569134765	-4860.620231008671	-4823.152711439536
5400	35.15594520096744	-4859.365772693477	-4824.209827492509
5600	37.53765379997789	-4826.675672364455	-4789.138018564477
5800	38.014264820185275	-4772.872047658671	-4734.857782838486
6000	38.17747661496244	-4763.302380172341	-4725.124903557378
6200	39.42768731542353	-4723.574587599392	-4684.1469002839685
6400	42.09797254142432	-4697.593781431388	-4655.495808889964
6600	45.26586668208383	-4656.483428639054	-4611.217561956971
6800	50.37259638810937	-4644.357676284175	-4593.985079896065
7000	50.85760003875938	-4637.098875689966	-4586.241275651207
7200	47.53043552193868	-4616.362038777089	-4568.83160325515
7400	40.518478974435276	-4599.740698641262	-4559.222219666826
7600	43.345162037999636	-4559.604483172633	-4516.259321134634
7800	43.37242312216897	-4557.192149029546	-4513.819725907378
8000	39.19885748320087	-4555.969147899983	-4516.770290416782
8200	38.44999981653389	-4552.628294352117	-4514.1782945355835
8400	33.904600347145646	-4513.758157783026	-4479.85355743588
8600	33.35080749941989	-4513.755340108943	-4480.404532609523
8800	33.753440284314756	-4505.100367752696	-4471.346927468381
9000	39.8571161270648	-4505.523777850764	-4465.6666617237
9200	39.76122446140744	-4498.979477703431	-4459.218253242024
9400	40.43461004577192	-4493.595701593007	-4453.161091547236
9600	40.69442486879323	-4489.997406426155	-4449.302981557362
9800	40.86040998993688	-4492.040661281837	-4451.1802512919
10000	43.9108278399308	-4475.718699527558	-4431.807871687627
10200	45.52553195135299	-4473.751235920989	-4428.225703969636
10400	42.63618514066455	-4472.853792244827	-4430.217607104162
10600	44.08459198608793	-4440.1509887027005	-4396.066396716613
10800	33.84611894390599	-4431.422053558036	-4397.57593461413
11000	31.0115730394523	-4417.307989923639	-4386.296416884186
11200	27.571134382874565	-4407.59439628399	-4380.023261901116
11400	35.26358403903984	-4350.025985854598	-4314.762401815558
11600	33.32450584902159	-4328.664699134291	-4295.340193285269
11800	33.11900360718453	-4323.133555638841	-4290.014552031656
12000	34.08444299528459	-4315.303338431221	-4281.218895435936
12200	35.74727817293109	-4318.239061841949	-4282.491783669017
12400	41.50475396262408	-4307.390599943865	-4265.885845981241
12600	41.064418368394755	-4305.629779256291	-4264.5653608878965
12800	39.79229182912719	-4292.727804666876	-4252.935512837749
13000	42.45787703274786	-4287.242563173349	-4244.784686140601
13200	41.51288552090994	-4275.686325239843	-4234.173439718934
13400	43.37522367861028	-4256.087023169731	-4212.7117994911205
13600	42.50586610643552	-4250.966172540022	-4208.460306433586
13800	40.96095120832215	-4249.114985657412	-4208.1540344490895
14000	41.937823230970295	-4242.550667430316	-4200.612844199346
14200	45.888343596288536	-4246.13830209135	-4200.249958495061
14400	49.59316577171024	-4244.083447959749	-4194.490282188039
14600	47.08674101242033	-4248.34870029654	-4201.26195928412
