# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
#
123	Belarusian	ALL	u vʲ e sʲ	7 3 7 3	XBYN	YBES	1	1.Y.V 1.B.C 1.E.V 1.S.c	1.5 1.75 1.3 0.8	uvʲesʲ	0	1
316	Bulgarian	ALL	f s i ʧ kʲ i	3 3 7 2 1 7	ACYMBZ	BSICKI	2	2.B.C 2.S.C 2.I.V 2.C.c 2.K.C 2.I.V	2.0 1.5 1.3 1.1 1.75 0.8	fsiʧkʲi	0	2
388	Burgenland Čakavian	ALL	v a s	3 7 3	AXN	BAS	3	3.B.C 3.A.V 3.S.c	2.0 1.5 0.8	vas	0	1
637	Czech	ALL	f ʃ ɛ x ɛ n	3 3 7 3 7 4	ACYBYN	BSEGEN	4	4.B.C 4.S.C 4.E.V 4.G.C 4.E.V 4.N.c	2.0 1.5 1.3 1.75 1.3 0.8	fʃɛxɛn	0	4
704	Kajkavian	ALL	v j e s	3 6 7 3	ACXN	BJES	5	5.B.C 5.J.C 5.E.V 5.S.c	2.0 1.5 1.5 0.8	vjes	0	1
841	Latvian	ALL	v i s s	3 7 3 3	AXLN	BISS	6	6.B.C 6.I.V 6.S.c 6.S.c	2.0 1.5 1.1 0.8	viss	0	1
959	Lithuanian	ALL	vʲ ɪ s ɐ s	3 7 3 7 3	AXBYN	BISES	7	7.B.C 7.I.V 7.S.C 7.E.V 7.S.c	2.0 1.5 1.75 1.3 0.8	vʲɪsɐs	0	1
1072	Macedonian	ALL	s i d e f	3 7 1 7 3	AXBYN	SITEB	8	8.S.C 8.I.V 8.T.C 8.E.V 8.B.c	2.0 1.5 1.75 1.3 0.8	sidef	0	8
1324	Polish	ALL	f ʂ ɨ s t ɛ k	3 3 7 3 1 7 1	ACYMBYN	BSISTEK	9	9.B.C 9.S.C 9.I.V 9.S.c 9.T.C 9.E.V 9.K.c	2.0 1.5 1.3 1.1 1.75 1.3 0.8	fʂɨstɛk	0	9
1517	Russian	ALL	vʲ e sʲ	3 7 3	AXN	BES	10	10.B.C 10.E.V 10.S.c	2.0 1.5 0.8	vʲesʲ	0	1
1713	Slovak	ALL	f ʃ ɛ t ɔ k	3 3 7 1 7 1	ACYBYN	BSETUK	11	11.B.C 11.S.C 11.E.V 11.T.C 11.U.V 11.K.c	2.0 1.5 1.3 1.75 1.3 0.8	fʃɛtɔk	0	11
1915	Slovenian	ALL	ʋ ə s	6 7 3	AXN	WES	12	12.W.C 12.E.V 12.S.c	2.0 1.5 0.8	ʋəs	0	1
2109	Ukrainian	ALL	ʋ ɛ sʲ	6 7 3	AXN	WES	13	13.W.C 13.E.V 13.S.c	2.0 1.5 0.8	ʋɛsʲ	0	1
2180	Čakavian (Cres)	ALL	v ɛ s	3 7 3	AXN	BES	14	14.B.C 14.E.V 14.S.c	2.0 1.5 0.8	vɛs	0	1
2311	Čakavian (Istria)	ALL	s v a	3 3 7	ACZ	SBA	15	15.S.C 15.B.C 15.A.V	2.0 1.5 0.8	sva	0	8
