Gloss	Belarusian	Bulgarian	Burgenland Čakavian	Czech	Kajkavian	Latvian	Lithuanian	Macedonian	Polish	Russian	Slovak	Slovenian	Ukrainian	Čakavian (Cres)	Čakavian (Istria)	Štokavian
ALL_1	uvʲesʲ		vas		vjes	viss	vʲɪsɐs			vʲesʲ		ʋəs	ʋɛsʲ	vɛs		
ALL_2		fsiʧkʲi														
ALL_3				fʃɛxɛn												
ALL_4								sidef							sva~sa	saʋ
ALL_5									fʂɨstɛk							
ALL_6											fʃɛtɔk					
AND_1	i	i							i	i	i		i			i
AND_2				a												
AND_3												in				
ANIMAL_1	ʐɨvʲɵɫa	ʒivɔtno								ʐɨvotnəjə		ʒiʋaːu̯				ʒiʋotiɲa
ANIMAL_2				zviːr̝ɛ					zvʲjɛʐɛ		zʋɪ̯ɛra					
ANIMAL_3													tʋɐrɪnɐ			
ASH_1	popʲeɫ	pɛpɛɫ	pjepɛl	popɛl	pæpæl			pepel	pɔpʲjuw	pʲepʲɪɫ	pɔpɔɫ	pɛpɛːu̯	pɔpʲiɫ	pɔːpɛl	pɔpɛl	pepeo
ASH_2						pælni	pʲɛlʲɛnɐj									
ASH_3										zɐɫa			zɔɫɑ			
BACK_1	sʲpʲina									spʲɪna			spɪnɐ			
BACK_2		ɡrɤp														
BACK_3				zaːda												
BACK_4				ɦr̝bɛt							xrbaːt	xrbɛt				xrbat
BACK_5									plɛʦɨ							leːʥa
BACK_6									ɡʐbʲjɛt							
BAD_1	kʲepʲsʲkʲi												kɛpsʲkɪi̯			
BAD_2		ɫɔʃ														loʃ
BAD_3				ʃpatniː									pɔɦɑnɪi̯			
BAD_4									zwɨ		zɫiː					
BAD_5										pɫɐxoɪ̯						
BAD_6												malɔpriːdɛn				
BAD_7																rʥaʋ
BARK_1	kara	kora	ku̯ɔra	kuːra	ku̯orɒ			kora	kɔɾa	kɐra	kʊ̯ɔra	skɔːra	kɔrɑ	kɔːra	kɔra	kora
BARK_2						miza										
BARK_3							ʒʲjɛvʲeː									
BARK_4												luːbjɛ				
BELLY_1	ʐɨvot									ʐɨvot			ʒɪʋʲit			
BELLY_2		tɐrbux	trbuːɦ		tɛrbuh							trɛːbux		tɛrbux	trbux	trbux
BELLY_3				br̝ɪxo							bruxɔ					
BELLY_4					drowb											
BELLY_5						væːdærs										
BELLY_6							pʲiɫvɐs									
BELLY_7								mef								
BELLY_8									bʐux							
BERRY_1	jæʁada								jaɡɔda	jaɡədə		jaːɡɔda	jɑɦɔdɐ			
BERRY_2		zrɤnʦɛ														
BERRY_3				bobulɛ							bɔbuʎa					boːba~bobiʦa
BIG_1	vʲælʲikʲi		vɛliːk~vjelik	vɛlkiː	væli~vælːi~vælik				vʲjɛlkʲi		ʋɛʎkiː	ʋeːlik	ʋɛɫɪkɪi̯	veːli	veːli	ʋelik
BIG_2		ɛdɐr														
BIG_3		ɡolʲam						ɡoʎem								
BIG_4						ljɛls										
BIG_5							dʲɪdʲɛlʲɪs									
BIG_6									duʐɨ							
BIG_7										bɐlʲʂoɪ̯						
BIRD_1	ptax			ptaːk					ptak		ftaːk					
BIRD_2	ptuʂka					putns										
BIRD_3		ptiʦɐ	ptiʦa~tiʦa		tiʦːa					ptʲiʦə		ptiʧ~ptiːʦa		ftiʦa	tic	ptiʦa
BIRD_4							pɐwkʃʲtʲɪs									
BIRD_5								piʎe								
BIRD_6													ptɑx			
BITE_1	kusaʦʲ			kou̯sat				kəsa	kɔw̃saʨ	kʊsatʲ	kuːsac		kʊsɑtɪ			
BITE_2		xapʲɐ~uxapʲɐ														
BITE_3			ɡriːst		ɡris							ɡriːsti		ɡriːst	ɡris	ɡristi
BITE_4						kuɔ̯st	kɑːsʲtʲɪ									
BLACK_1	ʧornɨ	ʧɛrɛn	ʧjeran~ʧjeraːn	ʧɛrniː	ʧɛrn			ʦrn	ʈ͡ʂaɾnɨ	ʨɵrnɨɪ̯	ʧɪ̯ɛrni	ʧərn	ʧɔrnɪi̯	ʧeːrni~ʧɛrni	ʧrn	ʦrːn
BLACK_2						mælns										
BLACK_3							juədɐs									
BLOOD_1	krow			krɛf						krofʲ			krɔu̯			
BLOOD_2		krɤf	krv		kɛrv		krɐwjɐs	krf			krʋ				krf	krːʋ
BLOOD_3						asins										
BLOOD_4									kɾɛf							
BLOOD_5												kriː		kriːj		
