Gloss	Azerbaijani	Bashkir	Chulym	Chuvash	Crimean Tatar	Cuman	Dolgan	Gagauz	Kara-Kalpak	Karachay-Balkar	Karaim	Kazakh	Khakas	Khalaj	Kumyk	Kyrgyz	Nogai	Northern Altai	Old Turkic	Salar	Shor	Siberian Tatar	Southern Altai	Tatar	Tofa	Turkish	Turkmen	Tuvan	Uyghur	Uzbek	West Yugur	Yakut
ABOVE_1	ystyndæ	østønɛn				ustun	yrdynen	ystyndɛ	ystinde			ystɘnen~ɘnde	ystynʤe~ynde		ystynde	ystyndø	ystinde				ystynde		ystyle~ystynde	østennɛn	yˤstynde	ystynde	yʃtynde		ystidɛ	ustidɑ		yrdynen
ABOVE_2	yzærindæ							yzerindɛ		bɑʃɯndɑ																yzerinde	bɑʃɯndɑ					
ABOVE_3				ɕijɘn																												
ABOVE_4					yst						yst							yst	yz~yst	iʃt		yst						yʃt				
ABOVE_5					yzer	øʃɛ																							yzrɛ		jyze	
ABOVE_6											ɑʃɯrɑ														ɑʤɯrɯ			qɯrɯ				
ABOVE_7																				bɑʃ												
ANT_1	ɡɑrɯʃɡɑ				qɑrɯnʤɑ			kɑrɯmʤɑ																		kɑrɯnʤɑ	ɡɑrɯnʤɑ					
ANT_2		qɯrmɯθqɑ	qumursqɑ		qɯmɯrsqɑ				qumɯrsqɑ	qumursχɑ	kumurskɑ	qʊmɯrsqɑ	χɯmɯsχɑ	ɡumurɣɑːʧ	χomursɣɑ	qumursqɑ	qumɯrsqɑ		qumursɣɑ	qumusqɑ	qɯmɯsqɑʃ			qɯrmɯsqɑ	hɯmɯsqɑ			qɯmɯsqɑjɑq				kɯmɯrdɑɣɑs
ANT_3																		ʧubɑlɑ	ʧymeli				ʧɯmɑlɯ						ʧømyli	ʧumɔli		
ARM OR HAND_1	ɡol~æl	qul	qol	χul	qol~el	el		kol~el	qol	qol	kol	qol	χol	qol~ɛl	qol	qol	qol	qol	qol	qol~el~il	qol	qol	qol	qul	qol	koɫ~elʲ	ɡol~el	χol	qol	qol	qol	
ARM OR HAND_2				ɑlɤʷ			iliː			bilek	bilek~bilɛk								eliɡ												elɯɣ~eliɡ	iliː
ASH_1	cyl	køl	kulʲ	kɘʷl	kyl		kyl	kyl	kyl	kyl	kyl	kyl	kyl	kil	kyl	kyl	kyl	kyl	kyl	kul~kyl	kyl		kyl	køl	hyl	cylʲ	kyl	χyl	kyl	kul	kul	kyl
ASK (REQUEST)_1	dilæ									tile					tile		tile		tile						tɘle			dile			tele	
ASK (REQUEST)_2	istæ				iste			iste																								
ASK (REQUEST)_3		horɑ	sur		sorɑ				sorɑ			sʊrɑ	sur			surɑ	sorɑ	surɑ			surɑ	sorɑ	surɑ	sorɑ		sor	θorɑ		sorɑ	sorɑ		
ASK (REQUEST)_4				ɯjt																												
ASK (REQUEST)_5						kol					kol								kol												qol~qul	
ASK (REQUEST)_6							kørdøː																									kørdøs
ASK (REQUEST)_7																		øtør														
AT_1	dɑ	dɑ~tɑ~ðɑ	tɑ~dɑ	dɑ~tɑ		dɑ		dɑ~tɑ		dɑ	dɑ~tɑ			ʧɑ	dɑ	dɑ~tɑ	dɑ~tɑ	tɑ~dɑ	tɑ	tɑ~dɑ	tɑ~dɑ	tɑ	dɑ~tɑ		dɑ~tɑ	tɑ~dɑ	dɑ	dɑ~tɑ	dɑ~tɑ		tɑ~dɑ	
AT_2		lɑ																														
AT_3				rɑ																												
AT_4							ihiɡer																									
AT_5																																ɣɑ
BACK_1	ɑrχɑ	ɑrqɑ			ɑrqɑ	ɑrkɑ		ɑrkɑ	ɑrqɑ		ɑrkɑ~ɑrqɑ	ɑrqɑ	ɑrɣɑ	ɑrqɑ	ɑrqɑ	ɑrqɑ	ɑrqɑ	ɑrqɑ~ɑrɣɑ	ɑrqɑ	ɑrɣɑ~ɑrχɑ		ɑrɣɑ		ɑrqɑ	oːrhɑ	ɑrkɑ	ɑrqɑ	oːrɣɑ	ɑrqɑ	ɔrqɑ	ɑrqɑ	
BACK_2			ʧɑːrən	ɕurɤʷm																												
BACK_3			pɛl									bel						bel					bel									
BACK_4							his																									
BACK_5										sɯrt								sɯrt						sɯrt		sɯrt						
BACK_6																					køksy											køɣys
BAD_1	jɑmɑn	ɑlɑmɑ			jɑrɑmɑj	iɑmɑn			ʒɑmɑn	ɑmɑn	jɑmɑn	ʒɑmɑn			jɑmɑn	ʤɑmɑn	jɑmɑn	ɟɑmɑn	jɑmɑn	jɑmɑn		jɑmɑn	ɟɑmɑn	jɑmɑn			jɑmɑn~jɑrɑmɑð		jɑmɑn	jɔmɔn		
BAD_2			ʧyβyr																													
BAD_3							kuhɑɡɑn																									kuhɑɣɑn
BAD_4																			jɑvlɑq													
BAD_5																					ʧɑbɑl											
BAD_6																									ʧorɑːndɑ							
BAD_7																									bɑˤq			bɑɣɑj				
BAD_8																										cøty						
BAD_9																															jus	
BARK_1	ɡɑbɯɡ	qɑbɯq		χubɤʷ	qɑbuq	kɑbuk		kɑbuk	qɑbɯq	qɑbuq	kɑbuk	qɑbɯq			qɑbuq	qɑbɯq	qɑbɯq			koχ		qɑbɯq		qɑbɯq		kɑbuk~kɑbuːu	ɡɑbɯq					
BARK_2			qɑqβɑʧ										χɑχpɑs	qɑːɑs				qɑɣɑʃ			qɑqpɑʃ											
BARK_3							kɑtɯrɯk												qɑdɯz												qɑzdɯq	χɑtɯrɯk
BARK_4																									ʧøˤprɛː			ʧøvyreː				
BARK_5																													qovzɑq			
BE ALIVE_1	jɑʃɑ	jɛʃɛ			jɑʃɑ			jɑʃɑ	ʒɑsɑ	ʤɑʃɑ					jɑʃɑ	ʤɑʃɑ	jɑʃɑ		jɑʃɑ	jɑʃɑ				jɛʃɛ		jɑʃɑ	jɑʃɑ		jɑʃɑ	jɑʃɑ	jɑsɑ	
BE ALIVE_2			ʧurtɑ										ʧurtɑ					curtɑ										ʧurttɑ				
BE ALIVE_3				purɤʷn																												
BE ALIVE_4						tiril					tiril																					
BE ALIVE_5							olor																									olor
BE ALIVE_6																		cɑt			ʧɑt		ɟɑt									
BE ALIVE_7																						yeʃɛ										
BE ALIVE_8																									ʧerlɛ							
BEAT_1	vur				ur	ur			ur	ur	ur	ʊr		vur	ur	ur				vur				bɛr		vur	ur		ur	ur	per	
BEAT_2		huɣ					hɯs																									
BEAT_3		tuqmɑ																	toqɯ													
BEAT_4			soq									soq				soq	soq	soq				soq	soq	suq				soq				
BEAT_5			sɑp	ɕɑp							ʧɑp		sɑp							ʧɑp	ʃɑp											
BEAT_6							oɡus																									oɣus
BEAT_7							kɯrbɑː																									kɯrbɑː
BEAT_8								dyː												tøj												
BEAT_9											jɑnʧ																					
BEAT_10																									qɑˤq			qɑq				
BELLY_1	ɡɑrɯn		qɑːrən	χɯrɤʷm	qɑrɯn	kɑren~kɑrin		kɑrnɯ	qɑrɯn	qɑrɯn	kɑrɯn	qɑrɯn	χɑrɯn	qɑrɯn				qɑrɯn	qɑrɯn		qɑrnɯ			qɑrɯn		kɑrɯn	ɡɑrɯn	χɯrɯn	qerin	qɔrin	qɑrɯn	
BELLY_2		es					is		iʃ			ɘs	ɘstɘ			iʧ	iʃ	iʧ~iʃ				ëʧ	iʧ		iˤʃtɘ		iʧ		iʧ			is
BELLY_3		qorhɑq			qursɑq				qursɑq		kursɑχ				qursɑq	qursɑq	qursɑq			χusɑχ	qursɑq			qorsɑq					qosɑq			
BELLY_4																												iʒin			iʧiɡe~iʧike~iʧiki~iʧikɯ	
BIG_1	bøjyc			pɯzɤʷk	byjyk			byyk			bijik~byjyk			bydyk~bidik					bedyk							byjyc					pezik	
BIG_2			uluɣ			ulu				ullu	ullu		uluɣ		ullu				uluɣ	ullɯ	uluɣ	ulɯ~olu			uluɣ		ulɯ	uluɣ				
BIG_3							ulɑkɑn		ylken			ylken					yjken															ulɑχɑn
BIRD_1	ɡuʃ	qoʃ	qus~quʧɑq		quʃ	kus		kuʃ	qus		kuʃ~kus	qʊs	χus		quʃ	quʃ	qus	quʃ	quʃ	quʃ	quʃ	quʃ	quʃ	qoʃ	quˤʃqɑʃ	kuʃ	ɡuʃ	quʃ	quʃ	quʃ	qus~qos	
BIRD_2				kɑjɤʷk																												
BIRD_3							køtør																									køtør
BIRD_4										qɑnɑtlɯ						qɑnɑttuː																
BITE_1	diʃlæ	teʃlɛ			tiʃle	tislɑ			tisle		tiʃle~ʧiʃle	tɘste				tiʃtø	tisle	tiʃte	tiʃle	ʧɯːʃle			tiʃte	teʃlɛ			diʃle		ʧiʃlɛ	tiʃlɑ	teste~tiste~tɯste	
BITE_2	ɡɑp		qɑp							qɑp		qɑp			χɑp		qɑp															
BITE_3				ɕɯrt			ɯtɯr						ɯzɯr								ɯzɯr				ɯˤsɯr	ɯsɯr		ɯzɯr				ɯtɯr
BITE_4								dɑlɑ																								
BITTER_1	ɑʧɯ	ɑsɯ	ɑʧəɣ		ɑʤʤɯ	ɑʧi	ɑhɯː	ɑʤɯ	ɑʃʃɯ	ɑʧɯ	ɑʧʧɯ~ɑʦɯ~ɑʤɯ	ɑʃʃɯ	ɑʧɯɣ	hɑːɑʧuɣ	ɑʧʧɯ	ɑʧuu	ɑʃʃɯ	ɑʤɯɣ	ɑʧɯɣ	ɑːʤɯ	ɑʧɯɣ		ɑʧu	ɑʧɯ	ɑʤɯɣ	ɑʤɯ	ɑʤɯ	ɑʒɯɣ	ɑʧʧiq	ɑʧʧiq	ɑʧɯɣ~ɑʧiɡ	ɑhɯː
BITTER_2		ɛse																														
BITTER_3				jyʑɘ																												
BLACK_1	ɡɑrɑ	qɑrɑ	qɑrɑ	χurɑ	qɑrɑ	kɑrɑ	kɑrɑ	kɑrɑ	qɑrɑ	qɑrɑ	kɑrɑ~qɑrɑ	qɑrɑ	χɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	kɑrɑ	ɡɑrɑ	qɑrɑ	qɑrɑ	qɔrɑ	qɑrɑ	χɑrɑ
BLOOD_1	ɡɑn	qɑn	qɑn	jun	qɑn	kɑn	kɑɑn	kɑn	qɑn	qɑn	kɑn~qɑn	qɑn	χɑn	qɑːn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	kɑn	ɡɑːn	χɑn	qɑn	qɔn	qɑn	χɑːn
BLOW (OF WIND)_1	æs	iθ			es			es	es					hɛs	eʃ		es					ës		is		es	øθ		ɛs	es		
BLOW (OF WIND)_2	yfyr	ør	yr	vɘʷr	yfyr		yr		yrle	yr	ir~yr	yrle	yr~ybyr		yfyr		yr	kir	yr	fur~fyr	ybyr		yr	ør	yr			yr				yr
BLOW (OF WIND)_3						soq						soq				soq							soq									
BLOW (OF WIND)_4								yfle	yple					puflɑ												yflʲe				puflɑ		
BLOW (OF WIND)_5																yjlø																
BLOW (OF WIND)_6																			jeltir			jëlbɛn~jëlbë										
BLOW (OF WIND)_7																											øwyθ					
BLOW (OF WIND)_8																											yfle		pydɛ~pylɛ		pute	
BLOW (OF WIND)_9																												χɑdɯ				
BLOW (OF WIND)_10																															enet	
BONE_1	symyc			ʃømø	kemik			kemik																		cemic					sɯmɯq	
BONE_2		højɛk	søøk						syjek	syjek	sivek~syjek	syjek	søøk		syjek	søøk	syjek	søøk~søk	syŋyk	seniχ	søːk	syøk	søøk	søjɛk	søøk			søøk	søŋɛk~syŋɛk~syjɛk	sujɑk		
BONE_3						souɑt																										
BONE_4							oŋuok																									uŋuoχ
BONE_5																											θyŋk					
BOTTOM_1	dib	tøp	typ	tɘʷp	typ	tub			typ	tyb	typ	typ	typ		typ	typ	typ	typ			tybyn	typ	typ	tøp	dyp	dip	dyjp	dyp	typ		tɯp~top~typ	
BOTTOM_2							tyɡek							tɛː															tɛɡ	tɑɡ		tyɡeχ
BOTTOM_3								dip																								
BOTTOM_4											kip																					
BOTTOM_5																				ɑʃɑːɣɯ												
BRAIN_1	bejin							bejin																		bejin						mejiː
BRAIN_2		meje	miis	mime	mij	meŋ			mij	mɯjɯ	mij	mɯj	mii	mein	mij	mee	mɯj	mees	meji	meŋes	miːs	mijɛ	mee	mi	meː			mee	mejɛ~miŋɛ	mijɑ		
BRAIN_3																		nee														
BRAIN_4																											bejni					
BRANCH_1	budɑɡ	botɑq			pɯtɑq	butɑk		budɑk	putɑq	butɑq	butɑk	bʊtɑq			butɑq	butɑq	butɑq	pudɑq	butɯq	putɑχ		botɑq~potɑq	budɑq	botɑq	buˤtuq	budɑk		buduq	putɑq			
BRANCH_2				turɑt																												
BRANCH_3							tɑlɑk	dɑl																		dɑɫ						
BRANCH_4																															ʧuqqo	
BREAK (CLEAVE)_1	sɯndɯr	hɯndɯr	səndər		sɯndɯr	sindur			sɯndɯr	sɯndɯr	sɯndɯr	sɯndɯr	sɯndɯr		sɯndɯr	sɯndɯr	sɯndɯr	sɯndɯr		sundur	sɯndɯr	sɯndɯr	sɯndɯr	sɯndɯr					sundur	sindir		
BREAK (CLEAVE)_2	ɡɯr							kɯr																		kɯr						
BREAK (CLEAVE)_3		vɑt																														
BREAK (CLEAVE)_4				ɕɘʷmɘʷr										siː					sɯ						sɯˤq			sɯq~sɯj			sɯ	
BREAK (CLEAVE)_5						uv																										
BREAK (CLEAVE)_6										uwɑt																	døw					
BREAK (CLEAVE)_7													oot																			tohut
BREAK (CLEAVE)_8																								vɑt								
BREAK (CLEAVE)_9																													jemir			
BREAST_1	cøcs			køɡør	kokys	køksuɡ~køɡis		ɡyːs			køkis~køχis		køɡɘs~køksɘ	kiːes~køjs				køɡys	køɡyz				køɡys			ɟøːys			køksɛ		ɡøs	
BREAST_2	døʃ	tyʃ	tøs			tos	tyøs		tøs	tøʃ	tøʃ~tes	tøs			tøʃ			tøʃ	tøʃ		tøʃ	tyʃ	tøʃ	tyʃ	tøʃ		døʃ				tos~tus~tys	tyøs
BREAST_3		kykrɛk							køkyrek	køkyrek	køkrɛk~kekrek~køkrek	køkrek			køkyrek	køkyrøk	køkirek			kyprɛχ		køkrɛk~kykrɛk		kykrɛk			kykrek		køkrɛk	kokrɑk		
BREAST_4									ɡewde			kewde																				
BREATHE_1	næfæsɑl				nefesɑl						nefesɑl															nefesɑɫ				nɑfɑsɔl		
BREATHE_2		tɯnɑl	tənŋɑ						demɑl			demɑl			tɯnɯsɑl	demɑl	tɯnɯsɑl		tɯnɑl			ɑl		tɯnɑl			demɑl					
BREATHE_3		hulɑ						solu		solu												sulɑ		sulɯʃɑl		soɫukɑɫ~soɫun						
BREATHE_4				sɯvlɑ																												
BREATHE_5						tin	tɯːn				tɯn		tɯn								tɯn	tɯn	tɯn		tɯn			tɯn	tin~tintɑrt			tɯːn
BURN_1	jɑn	jɑn		ɕun	jɑn			jɑn	ʒɑn		jɑn	ʒɑn			jɑn	ʤɑn	jɑn					jɑn		jɑn		jɑn	jɑn		jɑn	jɔn		
BURN_2			koj			kyj	ɡydeːrij			kyj			køj	kien		kyj		kyj	kyn~kyj	køj	køj		kyj						køj		kyj	
BURN_3											kyv~kiv~tiv														qɯˤp			qɯp				
BURN_4																																umɑj
CARRY_1	ɑpɑr																	ɑpɑr			ɑpɑr		ɑpɑr					ɑpʧoru				
CARRY_2		ɑlɯp~ɑlɯp			ɑlɯp				ɑlɯpbɑr~ɑlɯpbɑr	ɑlɯp	ɑlɯp	ɑlɯpʒyr			ɑlɯpbɑr	ɑlɯp	ɑlɯpbɑr					ɑlɯppɑr							elip	ɔlib		
CARRY_3			ɑ										ɑ																		ɑl	
CARRY_4				ilze																												
CARRY_5				jɤʷt																kot					it							
CARRY_6							ilt			elt	elt								elt													ilt
CARRY_7								tɑʃɯ												tɑːʃɯ						tɑʃɯ				tɑʃi		
CARRY_8																køtøryp			køtyr					kytɛrep			ɡøter				køtyr~kytyr	
CARRY_9																								jørt								
CHEEK_1	jɑnɑɡ	jɑŋɑq			jɑnɑq		hɯŋɑːk	jɑnɑk		ʤɑjɑq	jɑjɑk~jɑnɑχ		nɑɑχ		jɑjɑq			jɑːq~cɑɑq		jɑnɑχ	nɑːq	jɑŋɑq	ɟɑq	jɑnɑq		jɑnɑk	jɑnɑq	ʧɑɑq			jɑŋɑq~jɯŋɑq	
CHEEK_2			ʧɑːɣəm																				χ									
CHEEK_3				ɕømɑrdi																												
CHEEK_4												bet				bet	bet					bit~pit										
CHEEK_5																													mɛŋzɑ			
CHEEK_6																														juz		
CHEEK_7																																iedes
CHEW_1	ʧejnæ	sɛjnɛ	tɑjnɑ		ʧɑjnɑ			ʧijne	ʃɑjnɑ	ʧɑjnɑ	ʧɑjnɑ	ʃɑjnɑ	tɑjnɑ	ʧɛjnɛ~ʧɛjlɛ	ʧɑjnɑ	ʧɑjnɑ	ʃɑjnɑ	ʃɑjnɑ		ʧɛjnɛ	tɑjnɑ		ʧɑjnɑ	ʧɛjnɛ	tɑjnɑ	ʧiːne	ʧejne	dɑjnɑ	ʧɑjnɑ	ʧɑjnɑ		
CHEW_2				ʧømlɑ																												
CHEW_3						kunɡ																										
CHEW_4							ɯʃtɑː																									ɯstɑː
CHILD (DESCENDANT)_1	uʃɑɡ							uʃɑk																								
CHILD (DESCENDANT)_2		bɑlɑ			bɑlɑ				bɑlɑ	bɑlɑ	bɑlɑ	bɑlɑ	pɑlɑ	bɑlɑ	bɑlɑ	bɑlɑ	bɑlɑ	bɑlɑ~pɑlɑ		pɑlɑ~bɑlɑ	pɑlɑ	pɑlɑ	bɑlɑ	bɑlɑ					bɑlɑ	bɔlɑ	mlɑ	
CHILD (DESCENDANT)_3			kæʧ																													
CHILD (DESCENDANT)_4				ɑʧɑ																												
CHILD (DESCENDANT)_5						oɡul																				ʧoʤuk						
CHILD (DESCENDANT)_6											ulɑn								oɡlɑn													
CHILD (DESCENDANT)_7															jɑʃ																	
CHILD (DESCENDANT)_8																									uruɣ			ʧɑʃuruɣ				
CHILD (DESCENDANT)_9																											ʧɑɣɑ					
CHIN_1	ʧænæ							ʧenɛ											eŋek	eniχ		inɛk				ʧene	eŋek		eŋɛk~iŋɛk			
CHIN_2		ejɛk							ijek			ɘjek	eek			eek	ijek	eek			eːk		eek	ijɛk						ijɑk		
CHIN_3			eːɡɘ																									seɡel				
CHIN_4						inɡɑk																										
CHIN_5							hɛŋijɛ																									seŋije
CHIN_6																									erin							
CLAW_1	ʤɑjnɑɡ																															
