# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
#
191	Azerbaijani	ABOVE	y s t y n d æ	7 3 1 7 4 1 7	XMBYMBZ	YSTYNTE	1	1.Y.V 1.S.c 1.T.C 1.Y.V 1.N.c 1.T.C 1.E.V	1.5 1.1 1.75 1.3 1.1 1.75 0.8	ystyndæ	0	1
192	Azerbaijani	ABOVE	y z æ r i n d æ	7 3 7 5 7 4 1 7	XBYBYMBZ	YSERINTE	1	1.Y.V 1.S.C 1.E.V 1.R.C 1.I.V 1.N.c 1.T.C 1.E.V	1.5 1.75 1.3 1.75 1.3 1.1 1.75 0.8	yzærindæ	0	9
477	Bashkir	ABOVE	ø s t ø n ɛ n	7 3 1 7 4 7 4	XMBYBYN	USTUNEN	2	2.U.V 2.S.c 2.T.C 2.U.V 2.N.C 2.E.V 2.N.c	1.5 1.1 1.75 1.3 1.75 1.3 0.8	østønɛn	0	1
992	Chuvash	ABOVE	ɕ i j ɘ n	3 7 6 7 4	AXBYN	SIJEN	4	4.S.C 4.I.V 4.J.C 4.E.V 4.N.c	2.0 1.5 1.75 1.3 0.8	ɕijɘn	0	3
1258	Crimean Tatar	ABOVE	y s t	7 3 1	XLN	YST	5	5.Y.V 5.S.c 5.T.c	1.5 1.1 0.8	yst	0	4
1259	Crimean Tatar	ABOVE	y z e r	7 3 7 5	XBYN	YSER	5	5.Y.V 5.S.C 5.E.V 5.R.c	1.5 1.75 1.3 0.8	yzer	0	5
1530	Cuman	ABOVE	ø ʃ ɛ	7 3 7	XBZ	USE	6	6.U.V 6.S.C 6.E.V	1.5 1.75 0.8	øʃɛ	0	5
1531	Cuman	ABOVE	u s t u n	7 3 1 7 4	XMBYN	YSTYN	6	6.Y.V 6.S.c 6.T.C 6.Y.V 6.N.c	1.5 1.1 1.75 1.3 0.8	ustun	0	1
1781	Dolgan	ABOVE	y r d y n e n	7 5 1 7 4 7 4	XMBYBYN	YRTYNEN	7	7.Y.V 7.R.c 7.T.C 7.Y.V 7.N.C 7.E.V 7.N.c	1.5 1.1 1.75 1.3 1.75 1.3 0.8	yrdynen	0	1
2031	Gagauz	ABOVE	y s t y n d ɛ	7 3 1 7 4 1 7	XMBYMBZ	YSTYNTE	8	8.Y.V 8.S.c 8.T.C 8.Y.V 8.N.c 8.T.C 8.E.V	1.5 1.1 1.75 1.3 1.1 1.75 0.8	ystyndɛ	0	1
2032	Gagauz	ABOVE	y z e r i n d ɛ	7 3 7 5 7 4 1 7	XBYBYMBZ	YSERINTE	8	8.Y.V 8.S.C 8.E.V 8.R.C 8.I.V 8.N.c 8.T.C 8.E.V	1.5 1.75 1.3 1.75 1.3 1.1 1.75 0.8	yzerindɛ	0	9
