Dataset	Family	Name	Source Name	Glottolog Name	Glottocode	ISO 639-3	ISO 639-3 Name	Reference	Notes
Arabic	Afro-Asiatic, Semitic, Arabian	Modern Standard Arabic	Arabic (MSA)	Standard Arabic	stan1318	arb	Standard Arabic	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabian, Arabian Peninsula Arabic	Dhofari Arabic	Dhofari (Oman)	Dhofari Arabic	dhof1235	adf	Dhofari Arabic	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabian, Arabian Peninsula Arabic	Gulf Arabic	Gulf (Emirati)	Gulf Arabic	gulf1241	afb	Gulf Arabic	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabian, Arabian Peninsula Arabic	Najdi Arabic	Najdi (Riyadh)	Najdi Arabic	najd1235	ars	Najdi Arabic	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabian, Arabian Peninsula Arabic	Sanaani Arabic	Sanaani (Sana'a)	Sanaani Arabic	sana1295	ayn	Sanaani Arabic	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabian, Eastern Arabic	Iraqi Arabic	Iraqi (Southern Iraq/Baghdad)	Gilit Mesopotamian Arabic	meso1252	acm	Mesopotamian Arabic	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabian, Eastern Arabic, Qeltu	North Mesopotamian Arabic	Moslawi (Northern Iraq)	Mosul Arabic	mosu1235	ayp	North Mesopotamian Arabic	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabian, Egyptic Arabic	Egyptian Arabic	Egyptian (Lower Egyptian)	Egyptian Arabic	egyp1253	arz	Egyptian Arabic	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabian, Egyptic Arabic, Sudanese-Chadian Arabic	Chadian Arabic	Chadian (Western Sudanic)	Chadian Arabic	chad1249	shu	Chadian Arabic	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabian, Egyptic Arabic, Sudanese-Chadian Arabic	Sudanese Arabic	Sudanese (Khartoum)	Sudanese Arabic	suda1236	apd	Sudanese Arabic	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabian, Levantine Arabic	Cypriot Arabic	Cypriot (Kormakitis)	Cypriot Arabic	cypr1248	acy	Cypriot Arabic	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabian, Levantine Arabic	Levantine Arabic	Levantine (Central/Syro-Lebanese)	North Levantine Arabic	nort3139	apc	North Levantine Arabic	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabian, North African Arabic	Hassaniya Arabic	Hassaniya (Mauritanian)	Hassaniyya	hass1238	mey	Hassaniyya	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabian, North African Arabic	Maltese	Maltese	Maltese	malt1254	mlt	Maltese	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabian, North African Arabic	Moroccan Arabic	Moroccan (Casablanca)	Moroccan Arabic	moro1292	ary	Moroccan Arabic	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Arabic	Afro-Asiatic, Semitic, Arabian, North African Arabic	Tunisian Arabic	Tunisian (Tunis)	Tunisian Arabic	tuni1259	aeb	Tunisian Arabic	https://en.wiktionary.org/w/index.php?title=Appendix:Varieties_of_Arabic_Swadesh_lists&oldid=62250595	
Hokan	Chimariko	Chimariko	Chimariko	Chimariko	chim1301	cid	Chimariko	Zhivlov (2011)	
Hokan	Cochimi-Yuman, Yuman, Delta-Californian Yuman	Cocopa	Cocopa	Cocopa	coco1261	coc	Cocopa	Zhivlov (2015)	
Hokan	Cochimi-Yuman, Yuman, Delta-Californian Yuman, Diegueño	Ipai	Mesa Grande 'Iipay	Ipai	ipai1240	dih	Kumiai	Zhivlov (2015)	
Hokan	Cochimi-Yuman, Yuman, Delta-Californian Yuman, Diegueño	Tipay	Jamul Tiipay	Tipay	kumi1248	dih	Kumiai	Zhivlov (2015)	
Hokan	Cochimi-Yuman, Yuman, Pai	Yavapai	Yavapai	Yavapai	yava1252	yuf	Havasupai-Walapai-Yavapai	Zhivlov (2015)	
Hokan	Cochimi-Yuman, Yuman, River Yuman	Mohave	Mojave	Mohave	moha1256	mov	Mohave	Zhivlov (2015)	
Hokan	Karok	Karok	Karuk	Karok	karo1304	kyh	Karok	Zhivlov (2011)	
Hokan	Pomoan	Southeastern Pomo	Southeastern Pomo	Southeastern Pomo	sout2982	pom	Southeastern Pomo	Zhivlov (2013)	
Hokan	Pomoan, Russian River and Eastern	Eastern Pomo	Eastern Pomo	Eastern Pomo	east2545	peb	Eastern Pomo	Zhivlov (2013)	
Hokan	Pomoan, Russian River and Eastern, Russian River	Northeastern Pomo	Northeastern Pomo	Northeastern Russian River Pomo	nort2967	pef	Northeastern Pomo	Zhivlov (2013)	
Hokan	Pomoan, Russian River and Eastern, Russian River, Northern-Central Pomoan	Central Pomo	Central Pomo	Central Pomo	cent2138	poo	Central Pomo	Zhivlov (2013)	
Hokan	Pomoan, Russian River and Eastern, Russian River, Northern-Central Pomoan	Northern Pomo	Northern Pomo	Northern Pomo	nort2966	pej	Northern Pomo	Zhivlov (2013)	
Hokan	Pomoan, Russian River and Eastern, Russian River, Southern Pomoan-Kashaya	Kashaya	Kashaya	Kashaya	kash1280	kju	Kashaya	Zhivlov (2013)	
