Dataset	Family	Name	Source Name	Glottolog Name	Glottocode	ISO 639-3	ISO 639-3 Name	Source	Notes
Arabic	Afro-Asiatic, Semitic, Arabian	Classical Arabic	CA	Arabic	arab1395				
Arabic	Afro-Asiatic, Semitic, Arabian, Arabian Peninsula Arabic	Gulf Arabic	Glf	Gulf Arabic	gulf1241	afb	Gulf Arabic		Emirati dialect (educated)
Arabic	Afro-Asiatic, Semitic, Arabian, Arabian Peninsula Arabic	Yemeni Arabic	Ymn	Sanaani Arabic	sana1295	ayn	Sanaani Arabic		Dialect of Sana'a
Arabic	Afro-Asiatic, Semitic, Arabian, Eastern Arabic	Buxara Arabic	Bux	Buxara Arabic	buxa1234	auz	Uzbeki Arabic		Dialect group of Buxara province, Uzbekistan
Arabic	Afro-Asiatic, Semitic, Arabian, Eastern Arabic	Iraqi Arabic	Irq	Gilit Mesopotamian Arabic	meso1252	acm	Mesopotamian Arabic		Baghdadi dialect
Arabic	Afro-Asiatic, Semitic, Arabian, Eastern Arabic	Soukhne Arabic	Skh	Gilit Mesopotamian Arabic	meso1252	acm	Mesopotamian Arabic		Rural Syrian dialect, geographically located between Damascus and Baghdad, and linguistically combining rural and Bedouin features
Arabic	Afro-Asiatic, Semitic, Arabian, Egyptic Arabic	Egyptian Arabic	Cai	Cairene Arabic	cair1238	arz	Egyptian Arabic		Cairo dialect
Arabic	Afro-Asiatic, Semitic, Arabian, Egyptic Arabic, Sudanese-Chadian Arabic	Chadian Arabic	Nig	Chadian Arabic	chad1249	shu	Chadian Arabic		Dialect of Chadian Arabic spoken in Maiduguri, Nigeria
Arabic	Afro-Asiatic, Semitic, Arabian, Egyptic Arabic, Sudanese-Chadian Arabic	Nubi	Nub	Nubi	nubi1253	kcn	Nubi		Arabic-based creole from Sudan, now spoken in Uganda
Arabic	Afro-Asiatic, Semitic, Arabian, Levantine Arabic	Aqra-Arbil Arabic	AqArb	North Levantine Arabic	nort3139	apc	North Levantine Arabic		Former Judaeo-Arabic dialects from Aqra and Arbil in Iraqi Kurdistan
Arabic	Afro-Asiatic, Semitic, Arabian, Levantine Arabic	Cypriot Arabic	Cyp	Cypriot Arabic	cypr1248	acy	Cypriot Arabic		Dialect spoken by Roman Catholic Maronite community in Cyprus, whose ancestors immigrated from the Levant
Arabic	Afro-Asiatic, Semitic, Arabian, Levantine Arabic	Syrian Arabic	Dms	North Levantine Arabic	nort3139	apc	North Levantine Arabic		Urban dialect of Damascus
