	Beijing	Changsha	Chengdu	Fuzhou	Guangzhou	Guilin	Ha'erbin	Jinan	Jixi	Loudi	Meixian	Nanchang	Nanjing	Rongcheng	Suzhou	Taiyuan	Wenzhou	Xi'an	Xiamen
BREAST_1	ʐu²¹⁴fɑŋ³⁵				y²³fɔŋ²¹	lai²³fɑŋ²²							lu¹¹fɑ̃¹³					vu⁵³fɑŋ²¹	
BREAST_2		y⁴¹fan¹³	lai⁴⁵lai⁵⁵																
BREAST_3											nen⁵³ku³³				nɑ¹³nɑ¹³				
BREAST_4				nɛiŋ⁵³															njæ⁵³jã⁵³
BREAST_5		lai⁴¹ʦɹ̩⁰					nai²¹³ʦɹ̩⁰	nɛ⁴⁵ʦɹ̩⁰	lɔ³⁵ʦɹ̩⁰					nai²¹⁴ʦɹ̩⁰					
BREAST_6							ʦa⁴⁴			la³⁵bu¹³		lai²¹³				nai⁵³	na²⁴		
BREAST_7								ma²¹³ma⁰											
BURN_1									ɕjo⁵⁵	ɕjɤ⁴⁴							ɕjɛ⁴⁴		sjo⁵⁵
BURN_2	ʂɑu⁵⁵						ʂau⁴⁴	ʂɔ²¹⁴						ʂau⁵²				ʂɑu²¹	
BURN_3		sau³³	sau⁴⁵	sjeu⁵⁵	sju⁵³	sɑu⁴²					sau³³	sɛu⁴²	sɔ³¹		sæ⁴⁴	sau²¹			
CLAW_1															ʨjɑʔ⁴ʦæ⁵²		ʨja⁴¹ʦwɔ²⁴²		
CLAW_2		ʦau⁴¹		kʰa⁵⁵ʦau³²~ʦau³²	ʦau³⁵						ʦau³¹								
CLAW_3	ʈ͡ʂwa²¹³	ʦau⁴¹ʦɹ̩⁰	ʦwa⁵³ʦwa²¹			ʦɑu²³ʦe²³	ʈ͡ʂwa²¹³ʦɹ̩⁰	ʈ͡ʂwa⁴⁵ʦɹ̩⁰	ʦɤ²¹³ʦɹ̩⁰	ʦɤ⁴²ʦɹ̩⁰		ʦwa²¹³ʦɹ̩⁰	ʦwɑ¹¹ʦɹ̩⁰	ʈ͡ʂwa²¹⁴ʦɹ̩⁰		ʦwa⁵³		p͡fɑ⁵³ʦɹ̩⁰	
CLAW_4																			ɡɔ²²njãu⁵³liŋ²⁴
CLOUD_1								ɥẽ⁵³	ɥɑ̃⁴⁴								ɥoŋ³⁴¹	ɥẽ²⁴	
CLOUD_2	yn³⁵	yn¹³	yn²¹			yŋ²²						yn²⁴	in¹³	yn⁵²		yŋ²¹			
CLOUD_3							yn²⁴ʦʰai⁰												
CLOUD_4				huŋ⁵³						un¹³	jun¹¹				ɦɥən¹³				hun²⁴
CLOUD_5					wɐn²¹														
COLD_1									nẽ²¹³	njɔ̃⁴²									
COLD_2																			kwã²⁴
COLD_3				tɔyŋ²¹²~ʦʰiŋ²¹²															ʦʰin²¹
COLD_4	ləŋ²¹⁴	lən⁴¹	nən⁵³	kaŋ⁵³	laŋ²³		ləŋ²¹³	ləŋ⁴⁵			laŋ³³	laŋ²¹³	lən¹¹	ləŋ²¹⁴	la²³¹	ləŋ⁵³		ləŋ⁵³	liŋ⁵³
COLD_5						lei²³											ljɛ²⁴²		
COME_1									na⁴⁴				nɛ¹³						
COME_2	lɛ³⁵	lai¹³	lai²¹	li³²	lɔi²¹	lai²²	lai²⁴	lɛ⁵³		le¹³	loi¹¹	lai⁴⁵		lai³⁵	le̞¹³	lai²¹		lɛ²⁴	lai²⁴
COME_3																	ʦau²⁴²lo⁰		
DIE_1	sɹ̩²¹³	sɹ̩⁴¹	sɹ̩⁵³	si³²	sei³⁵	sɹ̩²³	sɹ̩²¹³	sɹ̩⁴⁵	sɹ̩²¹³	sɹ̩⁴²	sɹ̩³¹	sɹ̩²¹³	sɹ̩¹¹	sɹ̩²¹⁴	si⁵²	sɹ̩⁵³	sɹ̩²⁴²	sɹ̩⁵³	si⁵³
DIE_2		tan¹³sɹ̩⁵⁵lan¹³																	
DIE_3		kwa³³																	
DOG_1				kʰɛiŋ³²~kʰɛiŋ³²ŋjaŋ³²															
DOG_2	kou²¹⁴	kəu⁴¹	kəu⁵³		kɐu³⁵	kai²³	kou²¹³	kou⁴⁵	ki²¹³		keu³¹	kjɛu²¹³	kəɯ¹¹	kou²¹³	kʏ⁵²	kəu⁵³	kau²⁴²	kou⁵³	kau⁵³
DOG_3										tjɤ⁴²									
DRINK_1				sjøʔ⁵															
DRINK_2											sət⁵								
DRINK_3	xɤ⁵⁵	xo²⁴	xo⁴⁵			xwo⁵⁵	xɤ⁴⁴	xɤ²¹⁴	xɤ⁵⁵				xoʔ⁵	xa²¹⁴		xəʔ²		xwo²¹	
DRINK_4					jɐm³⁵										haʔ⁴		ha⁴¹		
DRINK_5		ʨʰja²⁴								ʨʰjɔ¹³					ʨʰjəʔ⁴				
DRINK_6				ʦʰwoʔ²⁴								hot²							
DRINK_7																			lim⁵⁵
DRY_1				ta⁵⁵															ta⁵⁵
DRY_2	kan⁵⁵	kan³³	kan⁴⁵	kaŋ⁵⁵	kɔn⁵³	kã²³	kan⁴⁴	kæ̃²¹⁴	kɔ⁵⁵	kã⁴⁴	kon³³	kon⁴²	kɑ̃³¹	kɐn³³⁴	kø⁴⁴	kæ̃²¹	ky⁴⁴	kæ̃²¹	
DRY_3																	sə⁵¹		
EAR_1						y²³tu²³									ɲ²³¹təu⁵²				
EAR_2											ŋi³¹kuŋ³³								
EAR_3		ə⁴¹to⁰	ə⁵³to⁵⁵				ə²¹³two⁰	ə⁴⁵twɤ⁰		ɤ⁴²tɤ⁰		ɵ²¹³tɔ⁰	ə¹¹to⁴⁴	ə²¹⁴tə⁰		ə⁵³twɤ⁰	ŋ̍²⁴to²⁴²	ə⁵³two⁰	
EAR_4	ə²¹⁴	ə⁴¹	ə⁵³													ə⁵³		ə⁵³	
EAR_5									ẽ²¹³tɵ²¹³										
EAR_6				ŋɛi²⁴²															
EAR_7					i²³ʦɐi³⁵														
EAR_8																			hi²²ja⁵³
EARTH (SOIL)_1									ʦʰɹ̩³¹~tʰu²¹³ʦʰɹ̩³¹										
EARTH (SOIL)_2	tʰu²¹³ti⁵¹	tʰəu⁴¹ti¹¹	tʰu⁵³ti²¹³~ti²¹³	tʰu⁵³lɛi²⁴²	tʰou³⁵tei²²	tʰu²³ti²¹	tʰu²¹³ti⁵³	tʰu⁴⁵ti³¹		tʰɤu⁴²di¹¹~di¹¹	tʰu³¹tʰi⁵³	tʰu²¹³tʰi⁴²	ti⁴⁴~tʰu¹¹ti⁴⁴	tʰu²¹³ti³³⁴	tʰəu⁵²di²³¹	tʰu⁵³ti⁴⁵~ti⁴⁵	tʰøy²⁴²dei²²	tʰou⁵³ti⁴⁴~ti⁴⁴	tʰɔ⁵³twe²²
EARTH (SOIL)_3															di²³¹bi¹³				
EAT_1				sjeʔ⁵	sek²														
EAT_2											sət⁵								
EAT_3	ʈ͡ʂʰɻ̩⁵⁵		ʦʰɹ̩²¹				ʈ͡ʂʰɻ̩⁴⁴	ʈ͡ʂʰɻ̩²¹⁴					ʈ͡ʂʰɻ̩ʔ⁵				ʦʰɹ̩⁴¹	ʈ͡ʂʰɻ̩²¹	
EAT_4		ʨʰja²⁴				ʨʰi⁵⁵			ʨʰjeʔ³²	ʨʰjɔ¹³		ʨʰjaʔ⁵			ʨʰjəʔ⁴	ʦʰəʔ²			ʦjaʔ⁵
EAT_5														tai²¹⁴					
EGG_1	ʨi⁵⁵tan⁵¹	ʨi³³tan¹¹	ʨi⁴⁵tan²¹³		kɐi⁵³tan²²	ʨi⁴²tã²¹	ʨi⁴⁴tan⁵³	ʨi²¹⁴tæ̃⁴¹		ʨi⁴⁴dã¹¹		ʨʰi⁴²tʰan²¹	ʨi³¹tɑ̃⁴⁴	ci⁵²tɐn²¹⁴	ʨi⁴⁴de̞²³¹	ʨi²¹tæ̃⁴⁵		ʨi²¹tæ̃⁰	
EGG_2									ʦɹ̩⁵⁵ʦɹ̩²¹³								ʦɹ̩⁴⁴laŋ²⁴		
EGG_3				kje⁵⁵lɔuŋ²⁴²							ke³³lon³¹								kwe⁵⁵nŋ̍²²
EYE_1															ŋe̞²³¹u⁴⁴ʦɻ̩ʷ⁴⁴		ŋa²⁴leŋ³⁴¹ʦɹ̩⁴⁴		
EYE_2									ŋo²¹³ʨjɑ̃⁵⁵										
EYE_3							jan²¹³				ŋjan³¹ʦu³³								
EYE_4	jɛn²¹³ʨiŋ⁵⁵	ŋan⁴¹ʨin⁰	jɛn⁵³ʨin⁵⁵		ŋan²³ʦɛŋ⁵⁵	ŋã²³ʦei⁴²	jan²¹³ʨiŋ⁰	jæ̃⁴⁵ʨiŋ⁰		ŋã⁴²ʨy⁴⁴		ŋan²¹³ʨjaŋ⁰	jen¹¹ʨin⁰	jɐn²¹⁴ʦiŋ⁵²		je⁵³ʨiŋ⁰			
EYE_5				mɛiʔ⁵ʦjeu⁵⁵															bak⁵ʦju⁵⁵
EYE_6																je⁵³			
EYE_7																		njæ̃⁵³wo⁰	
FAR_1					yn²³					wĩ⁴²									
FAR_2															ɦjø²³¹	ɥe⁵³	ju²⁴		
FAR_3	ɥɛn²¹³	ɥẽ⁴¹	ɥan⁵³			ɥã²³	ɥan²¹³	ɥæ̃⁴⁵	ɥẽ²¹³		jan³¹	ɥon²¹³	ɥen¹¹	ɥɐn²¹⁴				ɥæ̃⁵³	wan⁵³
FAR_4				hwoŋ²⁴²															
FAT (ORGANIC SUBSTANCE)_1						pã²³jou²²									ʦɑ̃⁴¹²ɲjoʔ²³				
FAT (ORGANIC SUBSTANCE)_2			jəu²¹		kou⁵³				jɵ⁴⁴		ju¹¹	ju⁴⁵	jəɯ¹³			jəu²¹		jou²⁴	
FAT (ORGANIC SUBSTANCE)_3				jeu⁵³ʒje⁵⁵															
FAT (ORGANIC SUBSTANCE)_4	ʈ͡ʂɻ̩²¹³fɑŋ³⁵	ʦɹ̩³³fan¹³					ʈ͡ʂɻ̩²¹³faŋ²⁴	ʈ͡ʂɻ̩²¹⁴fɑŋ⁴⁵	ʦɹ̩²¹³xõ⁴⁴			ʦɹ̩²¹³faŋ²¹	ʈ͡ʂɻ̩¹¹fɑ̃¹³	ʈ͡ʂɻ̩²¹⁴faŋ³⁵		ʦɹ̩⁵³fɒ̃⁰		ʦɹ̩²¹fɑŋ²⁴	
FAT (ORGANIC SUBSTANCE)_5																	ʦɹ̩⁴⁴hwɔ⁴⁴		
FAT (ORGANIC SUBSTANCE)_6										ɣwi¹³nio³⁵ʦɹ̩⁰									
FEATHER_1															mæ¹³		vu²⁴mə³⁴¹~mə³⁴¹		
FEATHER_2	y²¹³mɑu³⁵	y⁴¹mau¹³	y⁵³mau²¹	y³²mau⁵³~mau⁵³mau⁵³	y²³mou²¹	mɑu²²	y²¹³mau²⁴	y⁴⁵mɔ⁵³~mɔ⁵³	y²¹³mɤ⁴⁴~mɤ⁴⁴	y⁴²mɤ¹³	i³³mau³³	y²¹³mau⁴⁵	i¹¹mɔ¹³	y²¹³mɔ⁵²	y⁴⁴mæ¹³	y⁵³mau²¹		mɑu²⁴	
FEATHER_3																			sit⁵mŋ̍²⁴
FIRE_1															həu⁵²				he⁵³
FIRE_2					fɔ³⁵						fo³¹	fo²¹³					fu²⁴²		
FIRE_3	xwo²¹⁴	xo⁴¹	xo⁵³	hwoi³²		xwo²³	xwo²¹³	xwɤ⁴⁵	xɵ²¹³	xo⁴²			xo¹¹	xwɔ²¹⁴		xwɤ⁵³		xwo⁵³	
FISH_1	y³⁵	y¹³	y²¹	ŋy⁵³	y²¹		y²⁴	y⁵³	ɲy⁴⁴	y¹³			ɥi¹³	y⁵²		y²¹	ŋøy³⁴¹	y²⁴	hi²⁴
FISH_2						ŋ̍t²³sɹ̩⁰te³³													
FISH_3												ɲje⁴⁵							
FISH_4															ŋ̍¹³				
FISH_5											nn̩¹¹								
FLESH_1	ʐou⁵¹	ʐəu²⁴	zəu²¹³			jou⁵⁵	ʐou⁵³	ʐou³¹					ʐəɯ⁴⁴	jou³³⁴		zəu⁴⁵		ʐou⁴⁴	
FLESH_2									ɲɥoʔ³²		ŋjuk¹	ɲjuʔ⁵			ɲjoʔ²³		ɲjeu²¹		
FLESH_3				nyʔ⁵	ik²					nio³⁵									
FLESH_4																			baʔ³²
FLY (MOVE THROUGH AIR)_1	fei⁵⁵	fei³³	fei⁴⁵		fei⁵³	fei⁴²	fei⁴⁴	fei²¹⁴	fi⁵⁵		fi³³	fɨi⁴²	fei³¹	fe⁵²	fi⁴⁴	fei²¹	fei⁴⁴	fei²¹	
FLY (MOVE THROUGH AIR)_2				pwoi⁵⁵						xwi⁴⁴									
FLY (MOVE THROUGH AIR)_3																			pe⁵⁵
FOOT_1				kʰa⁵⁵															kʰa⁵⁵
FOOT_2					kœk³						kjok¹								
FOOT_3	ʨjɑu²¹⁴	ʨjo²⁴	ʨɥo²¹pə⁵³				ʨjau²¹³	ʨɥɤ²¹⁴	ʨɥoʔ³²	djo¹³		ʨjoʔ⁵	ʨjoʔ⁵	cɥɔ²¹⁴	ʨjɑʔ⁴	ʨjau⁵³	ʨja⁴¹	ʨɥo²¹	
FOOT_4							ʨjau²¹³ja⁴⁴ʦɹ̩⁰												
FOOT_5						ɕy⁵⁵te²²													
FULL_1	man²¹⁴	mõ⁴¹	man⁵³	mwaŋ³²	mun²³	mã²³	man²¹³	mæ̃⁴⁵	mɑ̃²¹³	mẽ⁴²	man³³	mon²¹³	mɑ̃¹¹	mɐn²¹⁴	mø²³¹	mæ̃⁵³	mø²⁴²	mæ̃⁵³	mwã⁵³
FULL_2			pau²¹³																
FULL_3				ko²¹²louŋ⁵³															
GIVE_1									xɑ̃³⁵										ho²²
GIVE_2										nɔ⁴⁴sɹ̩³⁵									
GIVE_3								ʨi⁵³					ʨi¹¹						
GIVE_4	kei²¹⁴		ke⁴⁵	kʰøyʔ²⁴~kɔyŋ⁵⁵			kei²¹³				kip¹	kei²¹³		kei²¹⁴		kei⁵³		kei⁵³	
GIVE_5		pa⁴¹			kʰɐp⁵	tja⁵⁵						pa²¹³					ha⁵¹		
GIVE_6															pəʔ⁴				
GOOD_1															hæ⁵²		hə²⁴		
GOOD_2							pu⁵³lai⁵³							pu²¹⁴ʦʰau³³⁴					
GOOD_3	xɑu²¹⁴	xau⁴¹	xau⁵³	ho³²	hou³⁵	xɑu²³	xau²¹³	xɔ⁴⁵	xɤ²¹³	xɤ³⁵	hau³¹	hau²¹³	xɔ¹¹			xau⁵³		xɑu⁵³	ho⁵³
GOOD_4							tai⁵³ʨiŋ⁵³												
GREEN_1	ly⁵¹						ly⁵³	ly³¹						ly²¹⁴		ly⁴⁵			lik⁵
GREEN_2		ləu²⁴		lwoʔ⁵	lok²	ljou⁵⁵			nɤʔ²³	lɤu³⁵	ljuk⁵	ljuʔ⁵	luʔ⁵		loʔ²³		lo²¹	ljou²¹	
GREEN_3			nu²¹																
HAIR (HEAD)_1										djɤ¹³xɔ⁰							dɤu³⁴¹ho⁴¹		
HAIR (HEAD)_2						tai²²mau²²			tʰi⁴⁴mɤ⁴⁴										
HAIR (HEAD)_3	tʰou³⁵fa⁵¹	təu¹³fa²⁴	tʰəu²¹fa²¹	tʰau⁵³woʔ²⁴	tʰɐu²¹fat³		tʰou²⁴fa⁰	tʰou⁵³fa⁰	tʰi⁴⁴faʔ³²		tʰeu¹¹na¹¹mau³³	tʰɛu²⁴fat⁰	tʰəɯ¹³fɑʔ⁵	tou³⁵fa⁰	dʏ¹³faʔ⁴	tʰəu²¹faʔ²		tʰou²⁴fɑ⁰	tʰau²⁴mŋ̍²⁴
HAND_1									si²¹³	ɕio⁴²					sʏ⁵²				
HAND_2				ʦʰjeu³²															ʦʰju⁵³
HAND_3	ʂou²¹³	səu⁴¹~səu⁴¹pa⁵⁵ʦɹ̩⁰	səu⁵³		sɐu³⁵	sou²³	ʂou²¹³	ʂou⁴⁵			su³¹	ɕju²¹³	səɯ¹¹	ʂou²¹⁴		səu⁵³	ɕjeu²⁴	ʂou⁵³	
HEAD_1		lau⁴¹kʰo⁰																	tʰau²⁴kʰak³²
HEAD_2	tʰou³⁵	təu¹³	tʰəu²¹	tʰau⁵³	tʰɐu²¹	tai²²	tʰou²⁴	tʰou⁵³	tʰi⁴⁴		tʰeu¹¹na¹¹	tʰɛu²⁴	tʰəɯ¹³	tou³⁵		tʰəu²¹~təʔ²lau⁵³	dɤu³⁴¹	tʰou²⁴	
HEAD_3										djɤ¹³					dʏ¹³				
HEAD_4																		sɑ²⁴	
HEAR_1	tʰiŋ⁵⁵ʨjɛn⁵¹	tʰin³³ʨjẽ⁵⁵	tʰin⁴⁵tau⁵³	tʰjaŋ⁵⁵ŋjeŋ²¹²	tʰɛŋ⁵³kin³³	tʰei⁴²ʨjã²⁵	tʰiŋ⁴⁴ʨjan⁵³	tʰiŋ²¹³ʨjæ̃⁰	tʰjɑ̃³⁵ʨjẽ³⁵	tʰjɔ̃⁴⁴ʨjæ³⁵	tʰaŋ³³	tʰjaŋ⁴²ʨjɛn⁴⁵	tʰin⁴⁴ʨjen⁴⁴	tʰiŋ⁵²cjɐn³³⁴	tʰin⁴⁴ʨjɪ⁴¹²	tʰiŋ²¹ʨje⁴⁵	tʰeŋʥja²¹	tʰiŋ²¹ʨjæ̃⁰	tʰjã⁵⁵tjo⁰
HEART_1					sɐm⁵⁵												saŋ⁴⁴~saŋ⁴⁴zwɔ²²		
HEART_2								ɕjẽ²¹⁴~ɕjẽ²¹³ʦɑŋ²¹	ɕjɑ̃⁵⁵~ɕjɑ̃⁵⁵ʦʰɔ³¹									ɕjẽ²¹~ɕjẽ²¹ʦɑŋ⁴⁴	
HEART_3	ɕin⁵⁵ʦɑŋ⁵¹	ɕin³³ʦan¹¹		siŋ⁵⁵ŋouŋ²⁴²	sɐm⁵³ʦɔŋ²²	ɕiŋ⁴²ʦɑŋ²¹	ɕin⁴⁴ʦaŋ⁵³				sim³³ʦʰoŋ⁵³	ɕin⁴²ʦɔŋ⁴²	ɕin³¹ʦɑ̃⁴⁴	sin⁵²ʦaŋ³³⁴	sin⁴⁴zɑ̃⁴⁴	ɕin²¹ʦɒ̃⁴⁵			sim⁵⁵ʦɔŋ²²
HEART_4	ɕin⁵⁵	ɕin³³	ɕin⁴⁵	siŋ⁵⁵		ɕiŋ⁴²	ɕin⁴⁴			ɕin⁴⁴~ɣwẽ¹³ɕin⁴⁴	sim³³	ɕin⁴²	ɕin³¹	sin⁵²	sin⁴⁴	ɕin²¹			sim⁵⁵
HEAVY_1		ʦən¹¹								dɤn¹¹									
HEAVY_2	ʈ͡ʂuŋ⁵¹		ʦoŋ²¹³	tɔyŋ²⁴²	ʦoŋ²²	ʦwɤŋ²³	ʦuŋ⁵³	ʈ͡ʂuŋ³¹	ʦʰɑ̃²¹³		ʦʰuŋ⁵³	ʦʰuŋ²¹	ʦoŋ⁴⁴	ʈ͡ʂoŋ³³⁴	zoŋ²³¹	ʦuŋ⁴⁵			taŋ²²
HEAVY_3																		p͡fəŋ⁴⁴	
HEAVY_4																	ʥɥɔ²⁴		
HORN (ANATOMY)_1	ʨjɑu²¹⁴	ʨjo²⁴	ʨɥo²¹ʨɥo²¹				ʨjau²¹³	ʨɥɤ²¹⁴	ʨɥoʔ³²nn̩⁰					cɥɔ²¹⁴		ʨɥəʔ²		ʨɥo²¹	
HORN (ANATOMY)_2					kɔk³	kɑu⁵⁵			koʔ³²	ko¹³	kok¹ve⁰	kɔʔ⁵	koʔ⁵		koʔ⁴		ko⁴¹		kak³²
HORN (ANATOMY)_3				køyʔ²⁴koyʔ²⁴															
HOT_1	ʐɤ⁵¹						ʐy⁵³	ʐy³¹									ɲi²¹	ʐɤ²¹	
HOT_2												lɛt⁵							ljat⁵
HOT_3					it²														
HOT_4									ɲjaʔ³²					jɛ²¹⁴	ɲjɛʔ²³				
HOT_5		ɥe²⁴	ze²¹	jeʔ⁵		lje⁵⁵				je¹³			ʐeʔ⁵						
HOT_6																zəʔ²			
HOT_7											sau³³								
I_1	wo²¹³	ŋo⁴¹	ŋo⁵³		ŋɔ²³	wo²³	wo²¹³	vɔ⁴⁵	ɔ²¹³	ŋ̍⁴²		ŋo²¹³	o¹¹	wɔ²¹⁴		ɣɤ⁵³	ŋ̍²⁴	ŋɤ⁵³	
I_2				ŋwai³²							ŋai¹¹								ŋwa⁵³
I_3															ŋəu²³¹				
KILL_1			ʦai⁵³	tʰai⁵³															tʰai²⁴
KILL_2	ʂa⁵⁵	sa²⁴	sa²¹		sat³	sa⁵⁵	ʂa⁴⁴	ʂa²¹⁴	saʔ³²	sa¹³	sat¹	sat⁵	sɑʔ⁵	ʂa²¹⁴	saʔ⁴	saʔ²	sa⁴¹	sɑ²¹	
KNEE_1							pɤ²¹³ləŋ⁰ka⁵³						po³¹lo¹³kə⁴⁴	pɔ⁵²lə⁰kai³³⁴					
KNEE_2									ʨɥoʔ³²ɕjeʔ⁵⁵tʰi⁴⁴						ʨjɑʔ⁴mø¹³dʏ¹³		ʨja³¹kʰø⁴¹dɤu³⁴¹		
KNEE_3		ɕi²⁴təu¹³ku⁰											ɕiʔ⁵kɛ⁴⁴kuʔ⁵						
KNEE_4		ɕi²⁴~ɕi²⁴kai⁵⁵				ɕy⁵⁵tai²²	ɕi²¹³kai⁵³									ɕjəʔ²~ɕjəʔ²kai⁴⁵			
KNEE_5	ʨʰi⁵⁵							ʨʰi²¹⁴ka²¹		ʨʰi¹³djɤ¹³ku⁰		ʨʰit⁵kai⁴²						ʨʰi²¹	
KNEE_6					sɐt⁵tʰɐu²¹						ʦʰit¹tʰeu¹¹								
KNEE_7			kʰe²¹ɕi²¹tʰə²¹	kʰa⁵⁵βuʔ²⁴tʰau⁵³									kʰu⁴⁴ʨʰi⁰tʰɯ¹³					kʰɯ²¹ʨʰi²¹kɛ⁴⁴	kʰa²²tʰau²⁴hu⁵⁵
KNEE_8		kə²⁴ɕi²⁴ku⁰																	
KNOW (SOMETHING)_1		ɕjau⁴¹tə⁰	ɕjau⁵³te²¹			ɕjɑu²³tja⁵⁵			ɕje²¹³tje⁴⁴	ɕjɤ²¹te¹³		ɕjɛu²¹³tɛt⁰			ɕjæ⁵²təʔ⁰		ɕja²⁴²te⁰		
KNOW (SOMETHING)_2				pɛiʔ²⁴twoŋ⁵³															
KNOW (SOMETHING)_3				ɛ²⁴²paiʔ²⁴															
KNOW (SOMETHING)_4				ɛ²⁴²hjeu³²															
KNOW (SOMETHING)_5	ʈ͡ʂɻ̩⁵⁵tɑu⁵¹	ʦɹ̩³³tau⁵⁵			ʦi³³tou²²		ʈ͡ʂɻ̩⁴⁴tau⁵³	ʈ͡ʂɻ̩²¹⁴tɔ³¹			ti³³tet¹		ʈ͡ʂɻ̩³¹tɔ⁴⁴	ʧi⁵²tau³³⁴		ʦɹ̩²¹tau⁴⁵		ʈ͡ʂɻ̩²¹tɑu⁰	
KNOW (SOMETHING)_6																			ʦai⁵⁵jã⁵³
KNOW (SOMETHING)_7			toŋ⁵³no²¹																
LEAF_1				loʔ⁵~loʔ⁵loʔ⁵					jaʔ³²										hjoʔ⁵
