	Beijing	Changsha	Chengdu	Fuzhou	Guangzhou	Guilin	Ha'erbin	Jinan	Jixi	Loudi	Meixian	Nanchang	Nanjing	Rongcheng	Suzhou	Taiyuan	Wenzhou	Xi'an	Xiamen
ASH_1		fei³³			fwi⁵³	fei⁴²			fa⁵⁵		foi³³	fɨi⁴²					fai⁴⁴		
ASH_2	xwei⁵⁵		xwei⁴⁵	hwoi⁵⁵hwoi⁵⁵~hwoi⁵⁵			xwei⁴⁴	xwei²¹³		xwe⁴⁴			xwei³¹	xwei⁵²	hwe̞⁴⁴	xwei²¹		xwei²¹	he⁵⁵
BARK_1										ʑy¹¹bi¹³					zɻ̩ʷ²³¹bi¹³		zɹ̩²²bei³⁴¹		
BARK_2	ʂu⁵¹pʰjə³⁵	ɕy¹¹pi¹³	su²¹³pʰi²¹	ʦʰjeu²¹²pʰwoi⁵³	sy²²pʰei²¹	ɕy²¹pi²²	ʂu⁵³pʰi²⁴	ʂu³¹pʰi⁵³	ɕy³¹pʰɹ̩⁴⁴		su⁵³pʰi¹¹	su²¹pʰi²⁴	su⁴⁴pʰi¹³	ʃy³³⁴pʰi³⁵		su⁴⁵pʰi²¹		fu⁴⁴pʰi²⁴	ʦʰju²²pʰe²⁴
BELLY_1				puʔ²⁴lo³²															pak³²tɔ⁵³
BELLY_2															dəu²³¹bi¹³		døy²⁴		
BELLY_3	tu⁵¹ʦʰɹ̩⁰	təu⁵⁵ʦɹ̩⁰	tu²¹³ʦɹ̩⁵³~tu²¹³pʰi²¹		tʰou²³	tu²³ʦe²³	tu⁵³ʦwɹ̩⁰	tu³¹ʦɹ̩⁰	tʰu²¹³ʦɹ̩⁰	tɤu⁴²ʦɹ̩⁰	tu³¹	tu²¹³ʦɹ̩⁰	tu⁴⁴ʦɹ̩⁰	tu³³⁴ʦɹ̩⁰		tu⁴⁵ʦəʔ⁰		tou⁴⁴ʦɹ̩⁰	
BIG_1															dəu²³¹		dɤu²²		
BIG_2	tɑ⁵¹	tai¹¹	ta²¹³	twai²⁴²	tai²²	tai²¹	ta⁵³	ta³¹	tʰɵ³¹	da¹¹	tʰai⁵³	tʰai²¹	tɑ⁴⁴	ta³³⁴		ta⁴⁵		tɑ⁴⁴	twa²²
BIRD_1			ʨʰɥo²¹ə⁵⁵~ʨʰo²¹ʨʰo²¹				ʨʰjau²¹³						ʨʰjoʔ⁵ʦɹ̩⁰	ʦʰɥɔ³⁵				ʨʰjɑu⁵³	
BIRD_2	njɑu²¹³	ɲjau⁴¹			nju²³	tjɑu²³	njau²¹³	ɲjɔ⁴⁵	ɲje²¹³	tjɤ⁴²ʨi³⁵	tjau³³ve⁰	ɲjɛu²¹³	ljɔ¹¹		tjæ⁵²	njau⁵³	tjɛ²⁴²ŋ̍⁰		ʦjau⁵³
BIRD_3				ʦɛu³²															
BITE_1		ŋa⁴¹	ŋau⁵³	ka²⁴²	ŋau²³		jau²¹³			ŋa³⁵	ŋat¹	ŋau²¹³		jau²¹⁴		jau⁵³			ka²²
BITE_2	jɑu²¹³							jɔ⁴⁵					jɔ¹¹					ɲjɑu⁵³	
BITE_3						ŋɑu²³			ŋɤ²¹³						ŋæ²³¹		ŋwɔ²⁴²		
BLACK_1					hɐk³						het¹	hɛt⁵					he⁴¹		
BLACK_2		xə²⁴													həʔ⁴	xəʔ²			
BLACK_3	xei⁵⁵		xe²¹			xei⁵⁵	xei⁴⁴	xei²¹⁴	xɤʔ³²	xe¹³			xeʔ⁵	xɛ²¹⁴				xei²¹	
BLACK_4																			ɔ⁵⁵
BLACK_5				u⁵⁵															
BLOOD_1				haiʔ²⁴	hyt³														hwiʔ³²
BLOOD_2																	ɕy⁴¹		
BLOOD_3	ɕɥɛ²¹³	ɕje²⁴	ɕɥe²¹			ɕɥe⁵⁵	ɕɥɛ²¹³	ɕjə²¹⁴	ɕɥaʔ³²		çjat¹	ɕɥet⁵	ɕɥeʔ⁵	sjɛ²¹⁴	ɕɥəʔ⁴	ɕɥəʔ²		ɕjɛ²¹	
BLOOD_4										swe¹³									
BONE_1					kwɐt⁵				kwɤʔ³²						kwəʔ⁴dʏ¹³	kwəʔ²təu⁰			
BONE_2	ku²¹⁴			kɔuʔ²¹													ky⁴²dɤu³⁴¹~ky⁴¹		
BONE_3		ku²⁴təu⁰	ku²¹tʰəu²¹	kɔuʔ²⁴kɔuʔ²⁴		ku⁵⁵tai²²	ku²¹³tʰou⁰	ku²¹⁴tʰou⁰		ku¹³djɤ¹³	kut¹tʰeu¹¹	kuʔ⁵tʰəu⁰	kuʔ⁵tʰəɯ¹³	ku²¹⁴tʰə⁰				ku²¹tʰou⁰~ku²¹tou⁰	kut³²tʰau²⁴
