	Chadian Arabic	Cypriot Arabic	Dhofari Arabic	Egyptian Arabic	Gulf Arabic	Hassaniya Arabic	Iraqi Arabic	Levantine Arabic	Maltese	Modern Standard Arabic	Moroccan Arabic	Najdi Arabic	North Mesopotamian Arabic	Sanaani Arabic	Sudanese Arabic	Tunisian Arabic
ASH_1	rumaːd	rmat	riːd	rɑmɑːd	rmɑːd	rmɑːd	rmˤɑːd	rimɛːd	rmɪːt	rɑmaːd	rmɑdˤ	rɛmɑːd	ɣɑmɑːd	rɑmaːd	rˤɑmɑːdˤ	rmaːd
BARK_1	ɡirf									qilf					ɢirf	
BARK_2			qiʃara			ɡuʃra		ʔɛʃri	ʔɔʃrɐ		qəʃrˤa		qiʃiɣ	ɢiʃrih	ɢiʃrɑ	qiʃra
BARK_3					ħɛtˤɑb							ħatˤɑb				
BARK_4				ɡɛdʕ̞	jɛdɛʕ		ɡɛʃɛr					ʤɛdɛʕ				
BELLY_1				mɛʕ̞da				mɛʕdɛ		miʕda	mɛʕda					
BELLY_2	bɛtɛn	pɑtn	bɑtˤɑn	bɑtˤn	bɑtˤɛn		bɑtˤɛnˤ	bɑtˤn		bɑtˤɑn	btˤɛn	bɑtˤn	bɑtˤin	bɑtˤn	bɑtˤn	
BELLY_3			qɑrʃ		karʃ	kirʃ					kərʃ		kiriʃ	karʃ	karʃ	kirʃ
BELLY_4									zɐʔ							
BIG_1	kabiːr	kpiːr	kibiːr	kɛbiːr	ʧbiːr~kbiːr	əkbiːr	ʧɛbɪe̯rˤ	kbiːr	ɡbiːr	kabiːr	kbir	ʦəbiːr~kəbiːr	kbiːɣ	kabiːr	kabiːr	kbiːr
BIRD_1	tɑjrɑːj			tˤɛːr	tˤɛːr	tˤʌjr	tˤɛːrˤ	tˤɑjr		tˤɑːʔir		tˤɛːrˤ	tˤɑjɣ	tˤɑːjir	tˤɛːr	
BIRD_2				ʕ̞ɑsfuːrɑ			ʢasˤfuːr	ʔɑsˤfuːr	ɐsfʊːr	ʕasˤfuːrɑ		ʕasˤfuːr			ʕasfuːr	ʕasˤfuːr
BIRD_3			ðʕaːr													
BIRD_4											bərˤtˤɑl					
BITE_1									ɡɪdɛm		ɡdəm					ɡdim
