	Arem	Chứt (Mày)	Chứt (Rục)	Chứt (Sách)	Hung (Liha)	Hung (Phong)	Hung (Toum)	Maleng	Mương (Hòa Bình)	Mương (Sơn La)	Mương (Thanh Hóa)	Nguồn (Cổ Liêm)	Nguồn (Yên Thọ)	Thavưng	Thổ (Cuối Chăm)	Thổ (Làng Lỡ)	Vietnamese
ARM OR HAND_1		ɕi¹	si	siː¹	səi	siː	sei	sɪ³						siː	siː¹	siː¹	
ARM OR HAND_2	tʰiː								tʰaj¹	saj¹	saj¹	tăj¹	tăj¹				tai̯³³
ASH_1					buːɲ	buːn	buːɲ	buɳ³	puːɲ¹	buːɲ¹	vuːɲ¹	vun¹		buːɲ³			
ASH_2		tapɛh¹	tăpɛh														
ASH_3	ʈɤː														plɒː¹	ʈɔː¹	ʈɔː³³
BARK_1									pɔː⁵	pɔː⁵	bɔː⁴⁵	pɔ⁵¹	bɔ⁵¹		pɒː⁵	voa⁵⁵	vɔː²¹⁴
BARK_2		kupɔk³	kăduhkəʌj			kdoːk		kʰalɒk³⁴						kʰabɔh¹			
BARK_3	aɗaˀsʰelːʔ																
BIG_1		mɤ̤̆m²	mə̯am														
BIG_2												nə̆j⁴					ləːŋ⁴⁵
BIG_3					neː	neː		kḛ³⁴³									
BIG_4							niː							ʔih			
BIG_5	katɛ̆h																
BIRD_1	iʨiːm	ʔacim¹	ĭcim	ciːm¹	ciːm	ciːm	ciːm		ciːm¹	ciːm¹	ciːm¹	sɨm¹	cɨm¹	ciːm¹	ciːm¹	ciːm¹	cim³³
BIRD_2								ʔɔ̰³⁴³									
BITE_1	kămˀ	kɤ̤̆m⁴	kəʌm	kɐm⁴	kaːt	kaːt	kaːt	kĭɳ³⁴³	kaɲ³	kaɲ³		kăn³	kăɲ³		kam⁴	kam⁴	kăŋ⁴⁵
BITE_2														tuh³			
BLACK_1								ɳɯ̆m³⁴	jəm¹	jəm¹	jəm¹			ɲum²			
BLACK_2		tɛn¹	tɛntɛn	tɛn								tɛn¹	ʔɛn¹				
BLACK_3																	ɗɛːŋ³³
BLACK_4	tʰiːu̯																
BLOOD_1									maw³	maw³	maw³	maw³					mau̯⁴⁵
BLOOD_2	atʰɛa̯mˀ	ʔaɕam³	asam	asaːm³		saːm	saːm							tamuː¹			
BONE_1	ɕie̯ŋ	ɕaŋ²	saŋ	saːŋ²				sɤŋ³	sɨaŋ¹	sɨaŋ¹	sɨaŋ¹	sɨəŋ¹	sɨəŋ¹		sɨəŋ¹	sɨaŋ¹	sɨːŋ³³
BONE_2														tkoːk²			
BREAST_1	nɒːi̯	nɔi̯⁴	nɔj	nɔːj³	now		now										
BREAST_2						nuː		panṵ³⁴³	puː³	puː³		ʔu³		panuː	ʔuː³	ʔuː³	vu⁴⁵
BURNING_1	ʨaːlˀ													cal¹			cai̯⁴⁵
BURNING_2					plaot	ploːk	plaot					pɔŋ²	bɔŋ⁵¹				
BURNING_3								kĭɳ³									
CLAW OR NAIL_1					sam	ksam	sam	kasăm³⁴³						ksam¹	sam¹		
CLAW OR NAIL_2	n̩tɒŋ	kutoŋ¹	kə̆ntoŋ	katoːŋ¹								mɔŋ³					mɔŋ͡m⁴⁵
CLOUD_1		mɤ̆l¹	mə̆l	məl¹	mun	kmil	mʌl	mek³	maə¹	məl¹	mən¹	mə̆n¹		meːk	mʌl¹	mʌn¹	məi̯³³
CLOUD_2	ʑɯːl																
DIE_1	ʨiːt	kɯcit³	kacit	ciːt⁵²	ceːt	ceːt	ceːt	kacɛt³⁴	ceːt⁵²	ceːt⁵²	ceːt⁵²			cəːt¹	ceːt⁵²	ceːt⁵²	cəːt⁴⁵
DOG_1		ʔacɔ³	acɔ	acɔː³	cɔː	cɔː	cɔː	cɔ̰³⁴³	cɔː³	cɔː³	cɔː³			cɔː¹	cɒː³	cɔː³	cɔː⁴⁵
DOG_2	aʨɒʔ																
DOG_3												xwjen⁵					
DRINK_1	ɲəu̯ʔ	ɲo⁴	ɲu	ɲuː⁴	ɲoː⁴⁵	ɲoː⁴⁵	ɲuː⁴⁵							ɲuː²	ɲoː⁴	ɲɔː³	
DRINK_2									ʔɔːŋ³	ʔɔːŋ³	ʔɔːŋ³	ʔɔːŋ³					ʔuːŋ⁴⁵
DRINK_3								ɳõ³⁴³									
DRY_1	kʰoː		kʰo	kʰo	kʰaw										kʰɔː¹	kʰoː¹	
DRY_2		ɽɔh¹						ɬɔh³				xo¹					xoː³³
EAR_1	tʰaːi̯	ɕai̯¹	saj	saːj¹	saːj	patsaːj	batsaːj	saj³	tʰaːj¹	saːj¹	saːj¹	taj¹	taj¹	saːj¹	saːj¹	saːj¹	taːi̯³³
EARTH (SOIL)_1		ɓɤn³	bən	bɤnʔ													
EARTH (SOIL)_2					tɔt	tit	tʌt		tʌt⁵²	tʌt⁵²	dʌt⁵²	tə̆t⁵²	ʔə̆t⁵²		tʌt⁵²	tʌt⁵²	
EARTH (SOIL)_3	atăk							atăk⁴						ʔataːk³			
EARTH (SOIL)_4																	ɗək⁴⁵
EAT_1	ʔăn	ʔăn¹	ʔăn	ʔan	ʔan	ʔan	ʔan	ʔan³				ăn¹	ăn¹	ʔan¹			ʔăŋ³³
EGG_1	uluːlˀ	talul³	təlul	tuluːl³				talṵl³⁴³						tulun³			
EGG_2															lɨən¹	lɨən¹	
EGG_3					klaəŋ	kləːŋ	klaəŋ		kləŋ³	kləŋ³	kləŋ³	ʈəŋ³	ʔləŋ³				ʈɨŋ⁴⁵
EYE_1	mʌat	mat⁴	mə̯ʌt	mə̆at⁵³	mat	mat	mat	măt³⁴	mat²	mat²	mat²	măt⁵²	măt⁵²	mat¹	mat⁵³	mat⁵³	măk⁴⁵
FAR_1	ŋaːi̯	ɕiŋai̯³	cə̆ŋaj	təŋaːj³	ŋaːj	ŋaːj	ŋaːj	saŋa̤j³⁴³				sa¹		sŋaːj²	ŋaːj³	ŋaːj³	saː³³
FAT (ORGANIC SUBSTANCE)_1									məː⁵¹	məː⁴⁵	mːəː⁴⁵	mə⁵			məː⁵¹	məː⁵⁵	məː²¹⁴
FAT (ORGANIC SUBSTANCE)_2	tluŋ	klŭŋ¹	kluŋ	tluŋ²													
FAT (ORGANIC SUBSTANCE)_3						puːj											
FAT (ORGANIC SUBSTANCE)_4														atuː¹			
FISH_1	akɛa̯ʔ	ʔaka³	ka	akaː³	kaː	kaː	kaː	aka̰³⁴³	kaː³	kaː³	kaː³	ka³	ka³	kaː¹	kaː³	kaː³	kaː⁴⁵
FLESH OR MEAT_1	tʰit	ɕit⁴	sit	sit⁵³	siːt			sit⁴				tit⁵³			siːt⁵³	siːt⁵³	tʰɨt²¹²
FLESH OR MEAT_2									ɲuk⁵²	ɲuk⁵²							
FLESH OR MEAT_3														mɛːŋ²			
FLY (MOVE THROUGH AIR)_1											ban¹						ɓai̯³³
FLY (MOVE THROUGH AIR)_2	păl	pɤ̆l¹	pəl	pəl¹	pɔn	pil	pʌl	pɤ̆l⁴	paə¹	pal¹					pʌl¹	pʌn¹	
FLY (MOVE THROUGH AIR)_3														hul¹			
FOOT_1									cən¹	cən¹	cən¹	cɔ²	cɔt				cəŋ³³
FOOT_2	ʨiŋ	ciŋ²	ciŋ	ciːŋ²				siŋ³						ciːŋ¹	kaŋ⁵		
FULL_1		ɓlăm¹	blăm	blam	blam	blam	blam					lăm¹					
FULL_2	paɲ							pĭc³⁴							pleː³		
FULL_3																ʈeː³	
FULL_4																	ɗəi̯²¹
GIVE_1	ʨɒː	cɤ¹	cʌə	cɤ	caə		caə	cɤ³				cɔ¹	tɔ¹				cɔː³³
GOOD_1				tʰot								toːt⁵²	tot⁵²				tok⁴⁵
GOOD_2		hăi¹	haj														
GOOD_3								di³						diː			
GOOD_4	ʔie̯m																
HAIR (HEAD)_1	utʰŭk		usuk	suk⁵²	sok	suk	sok		tʰak⁵²	sak⁵²	sak⁵²	tăk⁵²	tăk⁵²	sɔk¹			tɔk͡p⁴⁵
HAIR (HEAD)_2		ʔuɕŭk³															
HAIR (HEAD)_3								kɤ̰j³⁴³									
HEAD_1	ulŏk	kulo̤k⁴	kŭluok	kulok⁵³	kloːk	kloːk	kloːk	kalṵk³⁴	kloːk⁵²	kloːk⁵²	ʈoːk⁵²	ʈoːk⁵²	loːk⁵²	ʔɔːk¹	kloːk⁵³	ʐwok⁵³	
HEAD_2																	ɗəu̯²¹
HEAD LOUSE_1		ci³	ci	ciː³	cəi	ciː	cei	cḭ⁴³	ciː³	ciː³	ciː³	si³	ci³		ciː³	ciː³	cəi̯⁴⁵
HEAD LOUSE_2	ʨiʔ																
HEAD LOUSE_3														kəː²			
HEART_1					sɛːm	seːm						tim¹	ʔim¹	ɲiːm¹	tiːm¹		tim³³
HEART_2		toŋ¹	toŋ	toːŋ¹				tɒ̆ŋ³²⁴									
HEART_3	laŋo																
HEAVY_1		năŋ³	naŋ	naŋ³	naŋ	naŋ	naŋ		naŋ⁴	naŋ⁴⁵	naŋ⁴⁵	năŋ⁴			naŋ³	naŋ⁴	naŋ²¹²
HORN (ANATOMY)_1	takaːi̯													tkɔːj¹			
HORN (ANATOMY)_2		ʂɯ̆ŋ²	krɨŋ	ʈəŋ²	kʰlɔŋ	kʰrɨŋ	kʰlʌŋ		kʰɨŋ²	kʰəŋ²	kʰɨŋ²				kʰrɨŋ²	ʂɨŋ²	sɨŋ²¹
HORN (ANATOMY)_3												ʃɨŋ²djaj¹					
I_1	kɯʔ												ʔuj¹				
I_2								ʔeŋ									
I_3		ʔaho¹	ho	ho								tɔ¹					
I_4					saw		saw							kan³			taːu̯³³
KILL_1					ʄjɛth	pceːt						jɨet⁵²	zjet⁵²		jjɛt⁵²	jjɛt⁵²	
KILL_2	kaʨit	cit³	kacit	kəciːt⁵²													
KILL_3																	jiːk⁴⁵
KILL_4														pɔh¹			
KNEE_1	lukulˀ	kulo̤k⁴takul³	kŭluoktŭkul	təkuːl³	kunkuːn		kulkuːl	kalŭk³⁴kul³⁴						ʔɔːkʔakuːl			
KNEE_2											koːn³	ʈok⁵²kon³	lok⁵²kun³				
