	Beijing	Changsha	Chengdu	Fuzhou	Guangzhou	Guilin	Ha'erbin	Jinan	Jixi	Loudi	Meixian	Nanchang	Nanjing	Rongcheng	Suzhou	Taiyuan	Wenzhou	Xi'an	Xiamen
ALL_1	ʨʰɥɛn³⁵pu⁵¹	ʨʰɥẽ¹³pu¹¹	ʨʰɥan²¹pu²¹³		ʦʰyn²¹pou²²	ʨɥã²²pu²¹	ʨʰɥan²⁴pu⁵³	ʨʰɥæ̃⁵³pu³¹	ʨʰɥẽ⁴⁴pʰu³¹	ʣwĩ¹³bu¹¹	ʨʰjen¹¹pʰu⁵³	ʨʰɥon²⁴pu⁰	ʨʰɥen¹³pu⁴⁴	ʦʰjɐn³⁵pu³³⁴	zjɪ¹³bu²³¹	ʨʰɥe²¹pu⁴⁵	jy³⁴¹bu²⁴	ʦʰwæ̃²⁴pu⁴⁴	ʦwan²⁴pɔ²²
ALL_2				ko²¹²louŋ⁵³ŋa²⁴²															
ASH_1		fei³³			fwi⁵³	fei⁴²			fa⁵⁵		foi³³	fɨi⁴²					fai⁴⁴		
ASH_2	xwei⁵⁵		xwei⁴⁵	hwoi⁵⁵hwoi⁵⁵~hwoi⁵⁵			xwei⁴⁴	xwei²¹³		xwe⁴⁴			xwei³¹	xwei⁵²	hwe̞⁴⁴	xwei²¹		xwei²¹	he⁵⁵
BACK_1	pei⁵¹	pei⁵⁵	pei²¹³		pwi³³	pei²⁵	pei⁵³	pei³¹	pa³⁵	pe³⁵	poi⁵³		pei⁴⁴	pei⁵²	pe̞⁴¹²	pei⁴⁵		ʨi²¹pei²⁴~pei²⁴	
BACK_2				pʰjaŋ⁵⁵								pei⁴⁵ʨjaʔ⁰					pai⁴²ʥi²⁴saŋ⁴⁴		ka⁵⁵ʦjaʔ³²
BARK_1										ʑy¹¹bi¹³					zɻ̩ʷ²³¹bi¹³		zɹ̩²²bei³⁴¹		
BARK_2	ʂu⁵¹pʰjə³⁵	ɕy¹¹pi¹³	su²¹³pʰi²¹	ʦʰjeu²¹²pʰwoi⁵³	sy²²pʰei²¹	ɕy²¹pi²²	ʂu⁵³pʰi²⁴	ʂu³¹pʰi⁵³	ɕy³¹pʰɹ̩⁴⁴		su⁵³pʰi¹¹	su²¹pʰi²⁴	su⁴⁴pʰi¹³	ʃy³³⁴pʰi³⁵		su⁴⁵pʰi²¹		fu⁴⁴pʰi²⁴	ʦʰju²²pʰe²⁴
BELLY_1				puʔ²⁴lo³²															pak³²tɔ⁵³
BELLY_2															dəu²³¹bi¹³		døy²⁴		
BELLY_3	tu⁵¹ʦʰɹ̩⁰	təu⁵⁵ʦɹ̩⁰	tu²¹³ʦɹ̩⁵³~tu²¹³pʰi²¹		tʰou²³	tu²³ʦe²³	tu⁵³ʦwɹ̩⁰	tu³¹ʦɹ̩⁰	tʰu²¹³ʦɹ̩⁰	tɤu⁴²ʦɹ̩⁰	tu³¹	tu²¹³ʦɹ̩⁰	tu⁴⁴ʦɹ̩⁰	tu³³⁴ʦɹ̩⁰		tu⁴⁵ʦəʔ⁰		tou⁴⁴ʦɹ̩⁰	
BIG_1															dəu²³¹		dɤu²²		
