	Central Pomo	Eastern Pomo	Kashaya	Northeastern Pomo	Northern Pomo	Southeastern Pomo	Southern Pomo
ASH_1	no	no	ʔinoqoʧ		nohˈo		hiːno
ASH_2						χˈojonoχˌo	
ASH_3				malˈaʔ			
BARK_1		xaːwˈal				χwal	
BARK_2	kʰwaː		qahwaː	kʰˈawaː	ʃewˈa		kʰˈawːa
BELLY_1		kʼo		koi		qo	
BELLY_2	mkʰa		ʔuhqʰa				ʔˈukʰːa
BELLY_3					kʰaʃˈeʔ		
BIG_1	baːtʰˈe	baːtʰˈin	bahtʰe		matˈo		bˈahtʰe
BIG_2						bitˈenikʼ	
BIG_3				tʰˈijin			
BIRD_1		ʦʼiːjˈa	ʦʼiht̪a	ʧʼijit̪kaː	ʦʼitʼ	ʦʼit̪ˈa	ʦʼˈiht̪a
BIRD_2	t̪a						
BITE_1	kaːnˈe	qaːnˈeː	qane		kanˈe	qne	kˈaːni
BLACK_1	kʼli		kʼili	ʧʼihkˈil			
BLACK_2		muːʃˈaqʼ				luqʼˈolqʼo	
BLACK_3					kʰaʦʼˈe		ʃakʼːa
BLOOD_1	baːlˈaj	baːlˈaj	balaj		balˈaj	blaj	bˈaːlaj
BLOOD_2				ʧes			
BONE_1			ʔihjaː	hˈija			ʔˈiːha
BONE_2	jaː	j̥a			jaː	jaqʼo	
BREAST_1		jeːʔˈel		jˈeʔeː~t̪ʰˈeʔeː	jeʔˈeː	wʔel	
BURN (SOMETHING)_1		ʃaːtʼˈoː					
BURN (SOMETHING)_2			muhkʰujʔ				
CLAW OR NAIL_1	ʔeːʧʼ		heːʧʼ	hˈeːʧʼa	heʧʼ		heːʧʼ
CLAW OR NAIL_2						ʔaʃˈab	
CLAW OR NAIL_3		rikʰ					
CLOUD_1		xaːbˈo				xubˈu	
CLOUD_2	kʰbaː		qʰabaː	kʰˈaʔbot̪on			kʰˈabʔa
CLOUD_3					pʰut̪ʼ		
COLD_1					mˈadoː		moʔdotʼ
COLD_2				ʃˈoʔt̪ʼon			
COLD_3		qaːʦʰˈil				qsˈilit̪	
COLD_4	kʼiw						
COLD_5			ʔihjuːm				
COME_1	waːd		waːd		waːdˈe		hwˈaːd
COME_2				kˈoːn			
COME_3						χolo	
COME_4		qˈoːjuhu					
DIE_1			hʧʰojiːʧʼ				ʔahʧʰˈoʧi
DIE_2	kʼla			muʔkʼˈaːwan	kʼˈalaː	qʼalˈal	
DIE_3		muːdˈal					
DOG_1	hˈaju	hˈaju	haju		hajˈu	hˈaju	hˈajːu
DOG_2				boʔlˈaukaː			
DRINK_1	kʼoʧ			kʼˈot̪on	kʼoʧˈi		
DRINK_2		qʼˈoː	ʔqʼo				hˈoʔkʼoj
DRINK_3						biʦʼˈak	
DRY_1				muʔkʼilin			mˈukʰːatʼ
DRY_2	ʧʼaːlˈol	kʼaːlˈol			tʼabˈoʔ	qʼobo	
DRY_3			ʦʼuwaʧ				
EAR_1	ʃma	ʃiːmˈaː	ʃima	ʃˈima	ʃimˈa		ʃiːmˈomo
EAR_2						xmˈanʦa	
EARTH (SOIL)_1	maː		ʔamaː	ˈamaː	maː		ʔˈamːa
EARTH (SOIL)_2		kaːj					
EARTH (SOIL)_3						χqo	
EAT_1		kuːhˈuː					ʧˈuhːu
EAT_2	kaːwˈa		maʔa	mˈaʔaːn	maʔˈa		
EAT_3						qwal	
EGG_1	ʧʼoː	kʼˈo	hiʧʼoː	ʧʼˈo	ʧʼoː	qʼo	hˈiʧʼːo
EYE_1	ʔuj	ʔuj	huʔuj		ʔuj	ʔuj	
EYE_2				ui			
EYE_3							huʔːˈukʰbe
FAR_1		lˈila					
FAR_2					ʧadil		
FAT (FROM ANIMALS)_1	pʰuj	pʰuj	ʔihpʰuj		pʰuj	fuj	ʔihpʰuj
FAT (FROM ANIMALS)_2				fˈijin			
FEATHER_1				tʰˈa	tʰe		
FEATHER_2	ʔi	jiːʔˈi	hiʔi			ʔi	hiʔːi
FIRE_1	ho	xo	ʔoho	ˈoho	ho	χo	ʔˈohːo
FISH_1	ʃa	ʃa	ʔahʃa	ʃˈakaː	ʃa	xa	ʔˈahʃa
FLY (MOVE THROUGH AIR)_1			ʧa				haʧːa
FLY (MOVE THROUGH AIR)_2						ʦal	
FLY (MOVE THROUGH AIR)_3	pʰde	pʰuːdˈiːl			pʰidˈe		
FLY (MOVE THROUGH AIR)_4				hˈeːwit̪in			
FOOT_1	kʰma	xaːmˈaː	qʰama	kʰˈama	kʰamˈa		kʰˈaːma
FOOT_2						χman	
FULL_1	ʃtʼutʼ	pʼˈit̪ʼ					
FULL_2			ʧutʼaːq		haʧʼa		
FULL_3						χˈat̪emat̪	
FULL_4							ʔˈahjakʼ
GIVE_1	daːkˈa	diːqˈaː	dihqa		dikˈa	ʔaqa	dˈihka
GIVE_2				hˈoːn			
GOOD_1	kʼdi	qʼoːdˈij	qʼoʔdi	kʼˈudi	kʼidˈi		kʼˈoʔdi
GOOD_2						ʦʼimˈa	
GREEN_1	ʦʼaːkʰˈil	ʦʼaːbˈaʦʼaːbˌakʰ	ʦʼaqʰaːla		ʦʼakʰˈatʼ	ʦʼijaʦʼija	ʦʼˈahkʰil
GREEN_2				ʧamˈoron			
HAIR_1	ʔeː		heʔe	hˈele	ʔe	ʔej	hˈeʔːe
HAIR_2		muːsˈu					
HAND_1			ʧohʃo	t̪ˈohʃo			
HAND_2	t̪ʰna				t̪ʰanˈa	at̪ˈan	t̪ʰˈaːna
HAND_3		biːj̥ˈa					
HEAD_1	ʃnaː			t̪ˈinaː	ʃˈinaː	xijˈa	ʃinːa
HEAD_2		kʰaːjˈa					
HEAD_3			hoʔt̪ʼo				
HEAR_1	ʃoːʧ	ʃoːkʰ	ʃoːʧ		ʃoːʧi		ʃoːʧi
HEAR_2				ʃˈimit̪			
HEAR_3						xkʼo	
HEART_1			ʦʼuhkul			ʦʼukut̪	ʦʼˈuhkun
HEART_2	kʰam			kʰamʃeme	kʰam		
HEART_3		saːmˈaːj					
HEAVY_1		xaːlˈikʰ					
HEAVY_2						ʔtʼˈeʔkit̪	
HORN (ANATOMY)_1	ʔa	ʔa	haʔa	ʔa	ʔa	ʔa	hˈaʔːa
I_1		wi				wit̪	
I_2	ʔaː	haː	ʔa	ʔaː	ʔaː	ʔa	ʔˈaːʔa
I_3	t̪oː		t̪o	ʔˈaht̪o	t̪oː		ʔat̪ːo
KILL_1	haːkʼˈuːm	ʃaːkʼ	pʰakʼuːm				
KILL_2				kʼˈamanan	ʧaban		mihjˈana
KILL_3						mudˈoqa	
KNEE_1		qʼuːt̪ˈul				qʼadˈa	
KNEE_2	snoː						sinːˈot̪ːa
KNEE_3				ʃˈiʔkʼˈono			
KNEE_4			moqʰoː				
KNEE_5					jaːsˈis		
KNOW (SOMETHING)_1	jaqʼ						
KNOW (SOMETHING)_2					ʃaː		
KNOW (SOMETHING)_3			ʔduːʧiʧʼ				hiʔduʧːˈed
KNOW (SOMETHING)_4						fdˈiqa	
KNOW (SOMETHING)_5		meːʔˈel					
LEAF_1	stʼal	siːtʼˈal		t̪ˈuʔt̪ʼa			
LEAF_2			ʃihpʰa		ʃapʰˈa	kˈiqt̪a	ʃiːma
LIE (REST)_1		mer		mˈeːre			
LIE (REST)_2	mti		miti		mitˈi	mat	miːti
LIVER_1	ʃaːlˈaː	kʰaːl̥ˈal	ʧahlaː	ʧʰˈalaː	ʃˈalaː	ʃlal~ʃlala	ʧˈalha
