	Central Pomo	Eastern Pomo	Kashaya	Northeastern Pomo	Northern Pomo	Southeastern Pomo	Southern Pomo
LONG_1		baːkˈil				biʦˈil	
LONG_2			ʔahqol				ʔˈahkon
LONG_3	kol			kˈolon	kol		
LOUSE_1			ʔahʧi				ʔˈahʧi
LOUSE_2	ʧi	kiː			ʧi	ʦin	
LOUSE_3				t̪ˈikaː			
MAN_1	bˈaja		hiʔbaja		baː		
MAN_2							ʔˈaʧːaj
MAN_3		kaːkʰ					
MAN_4				bˈiki			
MAN_5						ʦˈawi	
MEAT_1	pʼʃe	biːʃˈe	bihʃe	bˈehʃe	biʃˈe	bxe	behʃe
MOON_1	lˈaːʃa		qʼalaːʃa				ʔalːˈaːʃa
MOON_2		duːwˈelˌaː		dˈuwedakaː		ʔeweda	
MOON_3					da		
MOUNTAIN_1	daːnˈo	daːnˈo	dono		danˈo	kno	dˈoːno
MOUNTAIN_2				wˈiʃaː			
MOUTH_1	ha		ʔaha		ha		ʔˈahːa
MOUTH_2				hˈamo		χˈast̪o	
MOUTH_3		xˈaʦʼiːda					
NAME_1				ahʃˈin			ʔahʃiːjaw
NAME_2	ʃi	ʃi			ʃi	xi	
NAME_3			ʃihʧimaːʧʼ				
NECK_1		qʼoj				qʼoj	
NECK_2	mja		mihja				mˈihja
NECK_3				hˈuʔkʼa			
NECK_4					kʰu		
NEW_1	ʃwej	ʃiːwˈej	ʃiwej	ʃˈewej	ʃiwˈej		ʃˈeːwej
NEW_2						qe	
NIGHT_1	ʔaːwˈe	duːwˈe	duwe	dˈuwe	diwˈe	ʔewˈe	dˈuːwe
NOSE_1		lˈaboːbo		lˈimo			
NOSE_2	la		ʔila		la	la	
NOSE_3							hiːlˈamʔda
NOT_1	ʧʰow		t̪ʰin	ʧʰˈoːt̪on			t̪ʰot̪ʰ
NOT_2		kʰuj					
NOT_3					kʼo		
NOT_4						da	
ONE_1	tʼaːtʼˈo	kʼˈali		ʧʼˈaːki	ʧʼaː		ʧʼˈaːʔa
ONE_2						dan	
ONE_3			hku				
PERSON_1		kaːwkʰ		t̪ˈaːt̪kaː			
PERSON_2	ʧaːʧʼ		ʔaʧaːʧ		ʧaʔ		ʔahʧˈahʧej
PERSON_3						ʔˈumt̪iwi	
RAIN (PRECIPITATION)_1	ʧʰe	kʰiːkˈeː	ʔihʧʰe				ʧˈehʧʰe
RAIN (PRECIPITATION)_2				ʃˈiʔt̪ʼoːn			
RAIN (PRECIPITATION)_3						sʦʼen	
RAIN (PRECIPITATION)_4					biʃˈemaː		
RED_1	tʼas		kʼiːs		t̪ʼaʦʼ		
RED_2				ʧʼabˈaran		t̪ʼˈant̪ʼan	hˈatʼːa
RED_3		qʼedˈaqʼedˌakʰ					
ROAD_1	da	dˈadaj	hiʔda	da	da	dˈawa	hˈiʔda
ROOT_1	saːmˈa					sumˈa	
ROOT_2							sˈuːlen
ROOT_3					jem		
ROOT_4		ʦʰiʦʰ					
ROOT_5			ʔihqʰot				
SALT_1			taʔqʼo				taʔkʼo
SALT_2		kʰeːʔˈeː		ʧʰˈeʔeː	ʃeʔˈeː		
SAND_1	mʦatʼ		mitaʧ		miʧˈatʼ	mat̪ˈak	mˈiːtaj
SAND_2		tʰaːʔˈaː					
SAND_3				hˈino			
SAY_1	mi	n̥iː					
SAY_2			nihʧe				
SAY_3				wˈeːn	heʔ		
SAY_4							ʧˈahnu
SAY_5						muwˈat̪a	
SEE_1			ʧad		ʧadi		ʧˈaːd
SEE_2		kaːr		t̪aːn			
SEE_3	pʰwi						
SEE_4						mqo	
SIT_1		kˈaː	ʧa				
SIT_2	ʔaːʧʰˈa						
SIT_3						sʦʼa	
SIT_4					ʧimˈa		ʧˈiːjo
SIT_5				t̪ˈuman			
SKIN_1	ʦʼda	ʦʼiːdˈa	ʦʼiʔda				ʦʼˈiʔda
SKIN_2						qʼˈot̪al	
SKIN_3					sijˈan		
SKIN_4				ʃˈuːru			
SLEEP_1	sma	siːmˈaːmˈer	simaːq	ʃimˈaːkan	simˈa		sˈiːma
SLEEP_2						qnaq	
SMALL_1	kaːwˈi		qawi				
SMALL_2							kiʦʼːˈidu
SMALL_3				t̪ʼˈuːjaʔan		kʼˈuʧʼin	
SMALL_4		buːhˈuʃ			biʧʼˈuʔ		
SMOKE (EXHAUST)_1	hosˈaha	saːxˈa	hosa	ʃˈaha	sahˈa		ʔohːˈosa
SMOKE (EXHAUST)_2						ʦχa	
SNAKE_1		qaːlˈutʼuːdˌukʰ					
SNAKE_2					misakʰala		
STAND_1	ʧaːtˈom			t̪ˈoːn			ʧˈoht̪on
STAND_2					t̪omˈa	qt̪ˈomat̪	
STAND_3			t̪ʼeːt̪				
STAND_4		kˈokʰ					
STAR_1	kʰʔˈaːmul		qʰaːmoʦʼ				kʰˈamhun
STAR_2					tʰotʰˈol		
STAR_3				kˈoʔtaikaː			
STAR_4		ʔˈujaxo					
STAR_5						ʦʼeχajqʼujqʼuj	
STONE_1	kʰbe	xaːbˈe	qʰaʔbe	kʰˈaʔbe	kʰabˈe	χabˈe	kʰˈaʔbe
SUN_1					mˈit̪ʼaː	mʦˈilda	
SUN_2	da	laː	haʔda	dˈakaː			hˈaʔda
SWIM_1	kʰˈaʧde						
SWIM_2			ʧiw				
SWIM_3		xaːqaː				χajqam	
SWIM_4					kʼot̪ˈama		
SWIM_5							ʔohkˈomaj
TAIL_1	baː	jiːbˈaː	hibaː	ʃˈiʔbaː	kˈimaː	ba	
TAIL_2							hibʔˈakʰle
THAT_1		ʔo					
THAT_2						ʔˈiji	
THAT_3	mul				mul		
THAT_4			haʔu	hˈamuː			hˈamːu
THIS_1		me					
THIS_2						mˈiji	
THIS_3			maʔu				mˈaːmu
THIS_4	bal				ʔal		
THOU_1	ma	ma	ma	ˈama	ma	ma	ʔˈaːma
TONGUE_1		bal				bal	
TONGUE_2	hˈawba		haːba	hˈuʔbaː	hˈabaː		hˈibʔa
TOOTH_1	ʔo	jaːʔˈo	hoʔo	ʔo	ʔo	ʔo	hˈoʔːo
TREE_1	kʰle	xaːlˈeː	qʰale	kʰˈali	kʰalˈe	χalˈe	kʰˈaːle
TWO_1	kʰoː		qʰoː	kʰoʔˈoːkai	kʰoː		ʔˈakʰːo
TWO_2		xoʧʰ					
TWO_3						χos	
WALK_1		wˈaduːkˌiː				wal	
WALK_2			w				
WALK_3					hu		
WARM_1	ho	xo	ʔoho		ho		ʔˈohːo
WARM_2				moʔʦʼˈolon			
WARM_3						mit̪ʼe	
WATER_1		xa				χa	
WATER_2	kʰa		ʔahqʰa	kʰa	kʰa		ʔˈahkʰa
WE_1	ja	waː	ja	ˈajaː	ja		ʔˈaːja
WE_2						wij	
WHAT_1			baqʼoː				bˈaːkʼo
WHAT_2	kʼˈowa				kʼo		
WHAT_3		ʧʰi					
WHAT_4						ʔˈawi	
WHAT_5				pʰaːʃka			
WHITE_1	kaːlˈe		qahle		kalˈe		kˈahle
WHITE_2		pʰiːt̪ʼˈaw					
WHITE_3				tʰˈajan			
WHITE_4						t̪ʼˈot̪ʼo	
WHO_1		kiːjˈaː	ʧibaː		ʧˈibaː		
WHO_2	bˈaːwa			t̪ʰˈaʔa		ʦˈaʔe	ʧˈaʔːa
WIND_1	ja	j̥ˈa	ʔihja	hˈija	ja	ja	ʔihja
WOMAN_1		da		dˈaki			
WOMAN_2	mˈaːt̪a		ʔimaːt̪a		mˈaːt̪a		bˈaʔaj
WOMAN_3						bitˈed	
YEAR_1			mal		jemal		
YEAR_2		xuːʦʼˈaj					
YEAR_3						mutin	
YELLOW_1						kiʔˈilt̪ʼo	biʔdˈubotʼ
YELLOW_2	ʧˈot̪ʼəʃəba	quːʃˈiliʃiːbˌa			ʧiʃˈilʃiba		
YELLOW_3				kʰaʃˈiʔba			
YELLOW_4			qʰalaːʧ				
