	Cahuilla	Central Tarahumara	Chemehuevi	Classical Nahuatl	Comanche	Cupeño	El Nayar Cora	Eudeve	Highland Puebla Nahuatl	Hopi	Huarijío	Huichol	Kawaiisu	Luiseño	Mayo	Mono	Northern Paiute	Northern Tepehuan	Panamint	Pima Bajo	Pipil	Pochutec	Serrano	Shoshoni	Southeastern Tepehuan	Southern Paiute	Teguima	Tetelcingo Nahuatl	Tohono O'odham	Tongva	Tubar	Tübatulabal	Ute	Yaqui
ALL_1																															weʦɑ̠t~wesɑ̠t			
ALL_2							hei̯̯ʦe																											
ALL_3	u̠mun																		sɯmɯsɯ															
ALL_4																			wɯmː										wɯs~wɯs					
ALL_5																		βɯʃi		βɯʃ					vɯʃ									
ALL_6								awona~haona			joma																							
ALL_7										sosojɑm~sosoj			monojo																					
ALL_8						pətɑ̠ʔɑmɑ								ʧoʔon																				
ALL_9		omɑrwɑme																																
ALL_10					ojɯ~ojo												noːʔju		ojoːntɯ~ojoːntɯsɯ					ojoːn										
ALL_11																														owɑ̠̄ʔix				
ALL_12				moʧ~moʧi					noʧi												muʧi	noʧo						noʧi						
ALL_13			mɑnːo																							mano~manu								
ALL_14																																	pɑʔɑmɑnuni~pɑʔɑmɑnuktis~mɑnuni	
ALL_15															ʦikti																			ʦikti
ALL_16				iːxkiʧ																														
ALL_17																							puju									piniju		
ALL_18												nai̯̯tɯ~junai̯̯tɯ~nai̯̯				nasimi																		
ALL_19																											sə							
ARM_1																									nob				nowi					
ARM_2															koomi																			
ARM_3		seka									seka																							
ARM_4																																		konkabam
ARM_5					pɨra								pɨravɨ			pɨtːa	pɨtːa		pɨta					pɨta		pɨta							pɨtapi	
ARM_6								nocat										juca		huca														
ARM_7							mwahkaʔa		ahkol												mahkul													
ARM_8	mal			maːi̯̯t͡ɬ				mamat		maʔa		mama		mat							maji~mah		maː				mama			man	mavoːi̯̯r	maʦon~madzan		
ARM_9																											møtzaca							
ARM_10																												mø						
ARM_11			aŋapɨ																															
ASH_1																		matːe		matʰai̯̯					matai̯̯				matai̯̯					
ASH_2	nisxiʃ	napiso					nasi	napsa			nahpiso	nari			naposa												napot				nasit			naposa
ASH_3				neʃt͡ɬi																	neʧ~nesʧta~neʃti	noʃt						t͡ɬakoneʃt͡ɬiː						
ASH_4						wɨʂkiʃ																								koʃiʃ				
ASH_5									kʷonːeʃ																									
ASH_6										qøcvi																								
ASH_7														teeliŋiʃ																				
ASH_8			kucapːɨ		etuhsipːɨh								kucapɨ				kutːusːipɨ~kusːi		kuʦːapːɨh					kuːsiːpːɨh		kuʦːæ							kucapːɨ	
ASH_9																							kukuht											
ASH_10																esija																		
ASH_11																																tonɡul		
BARK_1																							qoʦ											
BARK_2																									kom									
BARK_3																														axoːxoʦ				
BARK_4		eɡoli																																
BARK_5																																opit~opun		
BARK_6										ʦiipɨ																								
BARK_7		kuhe									kahe																							
