	Cocopa	Ipai	Mohave	Tipai	Yavapai
THAT_3					ɲθˈa
THIS_1	piː~ʔupˈiː				
THIS_2		pəjaː		pəjˈa	βjˈa
THIS_3			viðaʧ		
THOU_1	mapˈuʧ	maː	maɲʧ	maːʧ	mˈaːʧ
TONGUE_1	mpaʎ̥	ən̪əpaɬ	iːpaʎ	xənpˈaɬ	himpˈál~himpˈâl
TOOTH_1			iːðoː		jˈoˑ
TOOTH_2	ʔijˈa				
TOOTH_3		əjaːw			
TREE_1		ʔilʲ		ʔiː	ʔʔˈiˑ
TREE_2	ʔajˈaː				
TWO_1	xwak	xəwak		xəwˈak	hwˈâki
TWO_2			havikk		
WALK_1	ʔaː	waː		aː	
WALK_2			ijemk		jˈaˑmi~jˈami
WARM_1			ipiʎk~ipiːʎk		
WARM_2	ʎ̥ap			ʎ̥ap	
WARM_3		wəɹaːw			
WARM_4					ʔrˈuji
WATER_1	xa	ʔəxaː	ʔaha	xa	ʔhˈá
WE_1	ɲaːʧ			ɲaʔwˈaʧ	ʔɲˈaʧβ
WE_2			ʔiɲeːʧvʧ		
WE_3		ʔənʲaːwapʧ			
WHAT_1	luːɲ	ʔuːʧ	kuːʧ		
WHAT_2				maːjˈiːʧ	
WHAT_3					kˈaβ
WHITE_1			ɲamasav		ɲmsˈaβi
WHITE_2		n̪əməʂap		ɲəmʃˈap	
WHITE_3	xmaːʎ̥				
WHO_1		maːp	makaʧ	məʔˈap	
WHO_2					βkˈa
WHO_3	luːɲ				
WIND_1			mataha~matha	mat̪xˈa	mˌathˈaja~mˌathˈâːja~mˌathˈája
WIND_2		jaːjp			
WIND_3	ʧxa				
WOMAN_1					βqˈí~pqˈí
WOMAN_2	sʔak		θiɲaʔaːk~θiɲaʔaːk	ɲəʧʔˈak	
WOMAN_3		sinʲ			
YEAR_1			hoðe~huːðe		
YEAR_2					ʔʧʰˈura
YEAR_3	mˌatkˈaːm			matwˈam	
YEAR_4		ʔaːnʲ			
YELLOW_1	qʷaʂ	ʔəkʷas	ʔaqʷaθm~ʔaqʷaːθm	kʷas	ʔqʷˈaθi
