	Cocopa	Ipai	Mohave	Tipai	Yavapai
ASH_1	xmʔuɬ	ʔəmpiɬ	hamʔuːʎ		ʔmhˈúˑl~ʔmhˈûˑl
BARK_1	ʂxujˈal				
BARK_2		xaːsəjaɬ			
BARK_3			ʧaθkʷil		
BARK_4					θpˈîla
BELLY_1		ət̪uː	iːto	t̪u	
BELLY_2	ʔiʧˈu				
BELLY_3					mnˈûˑna
BIG_1	pt̪aj		vaʎtajm~vatajm	t̪aj	
BIG_2					βtˈe
BIG_3		ʔiːkuː			
BIRD_1			ʔiʧajer~ʔiʧijer		
BIRD_2	ʃa	ʔaːʂaː		aʔʃˈa~aːʃˈa	ʔʧsˈa
BITE_1		ʧuːkuw	ʧakʲoːk	ʧuːkˈaw	ʧkʲˈo
BITE_2	ʂaː				
BLACK_1	ɲiːʎ̥	nʲiɬʲ	ɲaːʔiːʎ	ɲiʎ̥	
BLACK_2					ʔɲˈáː
BLOOD_1	ɲxʷat	ʔəxʷat	ɲahʷat	xʷat	ʔhʷˈata
BONE_1	ɲjaːk	aq	ɲasak	ak	ʧjˈaˑka
BREAST_1	xʧkaɾ~ʧxkaɾ			t̪əxkˈar	
BREAST_2		iːʧix			
BREAST_3			iːwa		
BREAST_4					ɲmˈaja
BURN (SOMETHING)_1	ʎ̥maɾ	aːɹaːw		aʎ̥mˈar	
BURN (SOMETHING)_2			tapoːmm		
BURN (SOMETHING)_3					tˈu
CLAW OR NAIL_1	ɬkaxʷˈaw~ʎ̥kaxʷˈaw	salʲəxʷuːw			
CLAW OR NAIL_2			iːsaʎkuʎoho		
CLAW OR NAIL_3				ʃaʎ̥nəpˈuːl	
CLAW OR NAIL_4					slhβˈoˑ
CLOUD_1	kʷiː	ʔəkʷiːj	ʔiːkʷe	kʷiː	ʔkʷˈi
COLD_1	xsuːɾ	xəʧuːɹ	haʧuːrk		
COLD_2				ʃuːkˈat	
COLD_3					mˈúni
COME_1	jiː	wəjiw		jiw	jˈûwi
COME_2			iðiːk		
DIE_1	mʂpa	məlaj		məspˈa	
DIE_2			ipujk		
DIE_3					pˈi
DOG_1	xat	ʔəxat		xat	
DOG_2					kθˈar
DOG_3			hatʧoq		
DRINK_1	ʂi	wəsiː		si	θˈiˑ
DRINK_2			iθiːm		
DRY_1	ʂʔaɾ	saːj		sʔaːj	
DRY_2			iroːvk		
DRY_3					rˈuβi
EAR_1	ʃmaːl	xəmaɬ	ismaʎk	ʃəmˈaʎ̥	smˈalka
EARTH (SOIL)_1	mat	ʔəmat̪	ʔamat	mat	mˈât
EAT_1		wəsaːw		saːw	
EAT_2	ma				mˈáˑ
EAT_3			ʔiʧamam~ʔiʧamaːm		
EGG_1	xmˌaʂuʔˈap				
EGG_2			iθʔaw		
EGG_3				ʃəjˈaʧ	
EGG_4					sqˈáwa
EGG_5		ʔuɹ			
EYE_1		əjiːw		jiːw	
EYE_2	ʔijˈu				jˈuˑ
EYE_3			iːðo		
FAR_1	kuɾ	ʔəkuɹ		kur	
FAR_2					twˈaji~twˈaˑji
FAR_3			ʔamiːʧk		
FAT (FROM ANIMALS)_1	ʃaj				sˈaja
FAT (FROM ANIMALS)_2			ʔamusaj		
FEATHER_1	ʃawˈal				wˈala
FEATHER_2			siviːʎ		
FIRE_1	ʔaʔˈaː	ʔaːw	ʔaʔaw		ʔʔˈó
FISH_1			ʔaʧiː		ʔʧˈiˑ
FISH_2	siʔˈiʎ̥				
FLY (MOVE THROUGH AIR)_1	man	wəman̪~uman̪			
FLY (MOVE THROUGH AIR)_2			ijerk		βjˈaˑri
FOOT_1	ʔimˈiː		iːme	miː	mˈi
FOOT_2		əmilʲ			
FULL_1	ʧpuɾ	t̪əmuɹ		t̪əmʔˈur	
FULL_2			tapeːsm		tmpˈiri
GIVE_1			ajm~aajm		
GIVE_2	iː			iɲ	
GIVE_3		winʲ			
GIVE_4					ʔˈéˑ
GOOD_1			ʔahotk~ʔahoːtk		
GOOD_2		ʔəxan̪		ʔiːxˈan~xan	ʔhˈáni
GOOD_3	pxʷaj				
GREEN_1	xpsiw	xəpəʂiw		xəpʃˈiw	
GREEN_2			havasuːk		hˌaβsˈuˑwi
HAIR_1			iʔe~ɲiʔe		
HAIR_2		xəɬʲt̪aː		ʎ̥t̪a	
HAIR_3	mxʷaɬ				
HAIR_4					qwˈawa
HAND_1	ʔiʃˈaːʎ̥	əsaɬʲ	iːsaʎ	ʃaʎ̥	sˈal
HEAD_1				ʎ̥mu	hˈúː
HEAD_2	mkuɾ				
HEAD_3			ʧuksa~ʧuska		
HEAD_4		xəɬʲt̪aː			
HEAR_1	ʔiːʔˈiːp	jip		ʔip	
HEAR_2					ʔˈêˑβi
HEAR_3			aʔavk		
HEART_1	ʔijˈaːj	iːʧix	iːwa	iːʧˈaʃ	iˑwˈáˑja
HEAVY_1		wən̪ix~wən̪ax			
HEAVY_2	ɲix			nix	
HEAVY_3			ineːh~ineːθ		
HEAVY_4					nˈoˑ
HORN (ANATOMY)_1	kʷa	əkʷaː	iːkʷe		kʷˈá
I_1	ɲaːʧ	ʔənʲaːʧ	ʔiɲeʧ	ɲaːʧ	ʔɲˈaʧi
KILL_1		aːmuːʧ	tapujm	aːmˈuːʧ	
KILL_2	nak				
KILL_3					nˈéhi
KNEE_1		məxət̪un̪~xəmət̪un̪			
KNEE_2			iːmemipuk	miːnəpˈuk	mipˈúk
KNEE_3	ʔimˈiːtaːkˈaːɲ				
KNOW (SOMETHING)_1	ʔuːjˈaː		suːpawm	uːjˈaːw	
KNOW (SOMETHING)_2		n̪uɹ			
KNOW (SOMETHING)_3					spˈo
LEAF_1		ʔəjaɬ	hamaʎ		
LEAF_2	wal				
LEAF_3					θˈéqa
LIE (REST)_1	jak	jaq		jak	jˈâki
LIE (REST)_2			iðikk		
LIVER_1		ʧəpəsiː		t̪əpsˈi	
LIVER_2			ʧavuθiː		ʧβθˈiˑ
LIVER_3	ʧpuʂˈu				
LONG_1	kuʎ̥	ʔəquɬ	ʔakʲuːʎm		
LONG_2					kʲˈuˑli
LOUSE_1	ʔiʔˈiʎ̥		ɲiʔiːʎ		
LOUSE_2		əmiɬʲ			
LOUSE_3					hʔˈel
MAN_1	ʔapˈa		ʔiːpa	ʔiːpˈa	
MAN_2					pˌaˑhmˈija
MAN_3		ʔiːkʷiʧ			
MEAT_1		kukʷaːjp	kʷiːkʷaj~kiːkʷaj	kʷak	
MEAT_2	ʔimˈaːʧ				
MEAT_3					kʷˌeˑθˈoβa
MOON_1	xʎ̥ʔa	xəɬʲaː	haʎʔa		
MOON_2					hlˈa
MOUNTAIN_1		mat̪ət̪aj		matkʷat̪ˈaj	
MOUNTAIN_2	wiː		ʔaviː		ʔwˈíˑ
MOUTH_1	ʔijˈa	aː	iːja	aː	jˈa
NAME_1	muʎ̥		imuːʎ		mˈul~mˈol
NAME_2		ʧəxiʧ			
NECK_1	mpuk	iːpuk~əjəpuk		iːpˈuk	
NECK_2			maʎaqe		mlqˈí
NEW_1	xaɲ	wəxaj			
NEW_2			mapiːθ		
NEW_3					iβmˈû
NIGHT_1	ʧɲam		tiːɲam	t̪iːɲˈam	
NIGHT_2					hiˑpˈaˑ
NIGHT_3		kuxun			
NOSE_1	ʔixˈu	əxuː	iːhu	xu	hˈúː
NOT_1	lum				ʔˈúmi
NOT_2		umaːw		xəmˈaːw	
NOT_3			mot		
ONE_1	ʃit			ʃin	
ONE_2		ʔəxin̪k	ʔasentk		ʔsˈiti~ʔsˈiˑti
PERSON_1	ʧapˈaj	ʔiːpaj	piʔpa~piʔipa~piːpa	t̪iːpˈaj	ʔpˈáˑ~ʔpˈâˑ
RAIN (PRECIPITATION)_1		ʔəkʷij		kʷiː	
RAIN (PRECIPITATION)_2					kˌiβˈâwa~kˌiβˈâwa
RAIN (PRECIPITATION)_3	pʔaj		kuvʔaw~kuvʔaw		
RED_1	xʷat	ʔəxʷat	ʔahʷatm~ʔahʷaːtm	xʷat	ʔhʷˈati
ROAD_1	waɲˈa		ʔavʔuɲe	waʔɲˈa	ʔɲˈa
ROAD_2		ʔuːnʲaː			
ROOT_1	ʃma		sama~ʔiʧsama		ʔʔˌiˑmsmˈáˑ
ROOT_2		pəxəmaː		waxənˈu	
SALT_1		ʔəsilʲ		saːl	
SALT_2			ʔaθʔiː		ʔθˈiˑ
SALT_3	ʂʔiɾ				
SAND_1	mˌatʎ̥ʃʔˈaː	məsxaɹaːj	ʔamatsaʎʔaj~saʎʔaj		
SAND_2					ʔhˌaʧwˈá
SAY_1	ʔi	wiː		ʔi~i	ʔˈiˑ
SAY_2			im		
SEE_1	wiː	əwuːw		wiːw	
SEE_2			ijuːk		
SEE_3					ʔˈuˑ
SIT_1	wa	wən̪ak	ivak	wa	wˈa
SKIN_1	ɲkʷʔaɬ	əkʷaɬʲ			
SKIN_2			ʧaθkʷil		
SKIN_3					θpˈîla
SLEEP_1	ʃma	xəmaː	ismam	ʃəmˈa	smˈaː~smˈaˑ
SMALL_1		ʔəst̪ik		ʎəpˈiʃ	
SMALL_2	ʔiʎʧˈaʃ				
SMALL_3			iʧʔawk		
SMALL_4					kˈeʧ
SMOKE (EXHAUST)_1			ʔahʷaː		ʔˌohʷˈaja
SMOKE (EXHAUST)_2		ʔuːxuj			
SMOKE (EXHAUST)_3	xjaj				
SNAKE_1	ʔawˈi			aʔwˈi	ʔlwˈí~ʔlwˈî
SNAKE_2			ʔave		
STAND_1		pəxəkʷiː~pəxkʷiː			βskʷˈiˑ
STAND_2	pʔaː		ivʔawm	pʔaw	
STAR_1			hamuse		hˌammsˈíˑ
STAR_2	kʷʎ̥ap	kʷən̪məsaːp			
STONE_1		ʔəwilʲ	ʔaviː	wiː	ʔwˈíˑ
STONE_2	xuːɾ				
SUN_1	ɲa		ʔaɲa	ɲa~ɲaː	ʔɲˈáː
SUN_2		ʔənʲaː			
SWIM_1	xaʎ̥nup			xanˈup	
SWIM_2		aːpuɬ			ʔhˌaθpˈuˑji
SWIM_3			ʔahaʎaʔoːpk		
TAIL_1	ʃjuʎ̥	xəjuɬ		ʃəjˈuɬ	
TAIL_2			iːʔar		
TAIL_3					βhˈé
THAT_1	ʂuː~ʔuʂˈuː	puː		puː	
THAT_2			hovaʧ		
