	Anuta	Austral (Ra'ivavae)	Austral (Rurutuan)	East Futuna	Emae	Futuna-Aniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	Mele-Fila	Niuean	North Marquesan	Nukuria	Penrhyn	Pukapuka	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	Vaeakau-Taumako	Wallisian
ALL_1				fuli													wui				huɡi									
ALL_2						oʃi						eutʃi																		
ALL_3																														fulifuli
ALL_4					pini																									
ALL_5							apau										pau													
ALL_6														tiatohu					tahi											
ALL_7	katoa	ʔatoʔa	paaʔaaːʔatoʔa	kaatoa					aakoa	kouroa	katoa		ɡotoa		katoo	katoa	katoa	kaatoatoa~pauroa		katoa	kaatoa	ʔaatoa	katoa	atoʔa	katoa	kotoa	katoŋa	katoa	katoa	katoa
ALL_8								ɡodoo																						
ASH_1				muɡaalafu		maɡarafu											malamala													
ASH_2						namuʰlaŋa																								
ASH_3																	lewulewu					lefulefu				efuefu				
ASH_4										ŋaraʔu	puŋarehu																			
ASH_5	repu		reʔu	lafu	refu		lehu	lehu	lehu	ʔeʔu		arefu	efu	ʔehu	rehu	rehu		rehu		reʔu	ɡehu		lehu	rehu	refu		rehu	pefu	lehu	lefu
ASH_6		ɢehuauahi																												
ASH_7																			ʔeoʔeo											
BACK_1	muri																muli	muri												
BACK_2		tua	tautua	tuʔa	simatua	bua	kua	dua		tua	tuaraa	pua	tuʔa	tua	kantua		tua	tua	tuʔaivi	mokotua	tuʔa	tua	tua	tua	tua	tuʔa	papatua	tua	tua	tuʔa
BACK_3									aŋa																					
BACK_4																sope														
BE DEAD OR DIE_1	mate	mate	mate	mate	mate	mate	make	made	make	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate		mate	mate	mate	mate	mate	mate
BE DEAD OR DIE_2																				poʔe				pohe			pohe			
BE DEAD OR DIE_3																		hiti												
BE DEAD OR DIE_4														keʔo																
BELLY_1	manava			manava		manava			maŋava	manava			manava		manava	manava	manava	manavanui	manava	manava	manaba	manava	manava		manava		manava		manava	manava
BELLY_2				tinaʔe~kona		ʃinae		kona		kona		sinae				kona				kona					kona		tia~kona	tinae		kona
BELLY_3						alo																								ʔalo
BELLY_4																													ŋapula	
BELLY_5		ʔoopuoːpu	ʔoopuoːpu				ʔoopuoːpu			koopuoːpu				ʔopu		koopuoːpu		koopuoːpu	kopu	koopuoːpu				ʔoopuoːpu			koopuoːpu			
BELLY_6					nakau						puku																			
BELLY_7																										kete				
BIG_1							nui			nui	nui			nui		nue		nui	nui			nui					nui			
BIG_2																							niu							
BIG_3	rai	ɢahi	raʔi	lasi	lasi				lahi				lahi			rahi		rahi	rahi			lasi		rahi	lasi	lahi		lahi		lahi
BIG_4																	toŋi													
BIG_5						sore																								
BIG_6																		koorereka												
BIG_7																						tele								
BIG_8																													tʰuabe	
BIG_9										ruʔaruʔa																fuʔu				
BIG_10						efa																								
BIG_11																					ɡauʔeha									
BIG_12								tamana						maaka	hamataku					maʔatamaʔata~katakata~ʔakamatuu										
BIG_13												motua																		
BIG_14																	wowolo													
