	Central Pomo	Central Yana	Chimariko	Cocopa	Eastern Pomo	Highland Chontal	Ipai	Karok	Kashaya	Mohave	Northeastern Pomo	Northern Pomo	Northern Yana	Seri	Shasta	Southeastern Pomo	Southern Pomo	Tipai	Yahi	Yavapai
ASH_1	no				no				ʔinoqoʧ			nohˈo					hiːno			
ASH_2																χˈojonoχˌo				
ASH_3				xmʔuɬ			ʔəmpiɬ			hamʔuːʎ										ʔmhˈúˑl~ʔmhˈûˑl
ASH_4								ámtaːp						ʔantˈimak						
ASH_5			mˈaʦʼχipa								malˈaʔ				máhawa					
ASH_6													tʼapʔlaːwiʔauna							
ASH_7						ɬˈabi														
BARK_1							xaːsəjaɬ						patʔjauna							
BARK_2	kʰwaː								qahwaː		kʰˈawaː	ʃewˈa					kʰˈawːa			
BARK_3				ʂxujˈal	xaːwˈal											χwal				
BARK_4										ʧaθkʷil										
BARK_5																				θpˈîla
BARK_6			hˈipχaʧʼi~hˈipːχaʧi																	
BARK_7														inˈaːiɬ						
BARK_8						lˈiʃmikʼek														
BARK_9								máːn												
BELLY_1						laɡˈuʔu														
BELLY_2												kʰaʃˈeʔ								
BELLY_3														jaχ						
BELLY_4					kʼo						koi					qo				
BELLY_5							ət̪uː			iːto								t̪u		
BELLY_6			hˈutʲunew																	
BELLY_7	mkʰa								ʔuhqʰa								ʔˈukʰːa			
BELLY_8																				mnˈûˑna
BELLY_9				ʔiʧˈu											ʔíʧnit					
BELLY_10								βiʃβaːn					willa						willa	
BIG_1												matˈo		kˈaːkox						
BIG_2	baːtʰˈe				baːtʰˈin				bahtʰe								bˈahtʰe			βtˈe
BIG_3																bitˈenikʼ				
BIG_4		paʦal											paʦal						paʦal	
BIG_5				pt̪aj						vaʎtajm~vatajm								t̪aj		
BIG_6						ʔaɡwˈeɡaʔ														
BIG_7											tʰˈijin									
BIG_8															kʼimpíʔ					
BIG_9			ʧˈewːu																	
BIG_10							ʔiːkuː													
BIG_11								kêːʧ												
BIRD_1					ʦʼiːjˈa				ʦʼiht̪a		ʧʼijit̪kaː	ʦʼitʼ			ʧʼíːʧʼaːx	ʦʼit̪ˈa	ʦʼˈiht̪a			
BIRD_2	t̪a		tˈiʔira																	
BIRD_3				ʃa		ɬˈaɡa	ʔaːʂaː											aʔʃˈa~aːʃˈa		
BIRD_4																				ʔʧsˈa
BIRD_5													ʦutʔawi							
BIRD_6										ʔiʧajer~ʔiʧijer										
BIRD_7								aʧβiːβ												
BIRD_8														ʃiːk						
BITE_1							ʧuːkuw			ʧakʲoːk								ʧuːkˈaw		ʧkʲˈo
BITE_2															táʔuxáwiːk					
BITE_3	kaːnˈe				qaːnˈeː				qane			kanˈe				qne	kˈaːni			
BITE_4		ʦa		ʂaː				paɾ					ʦa						ʦa	
BITE_5			utpa																	
BITE_6														kkˈatχɬa						
BITE_7						diɡˈaʔma														
BLACK_1				ɲiːʎ̥			nʲiɬʲ			ɲaːʔiːʎ								ɲiʎ̥		
BLACK_2														kˈoːpoɬ						
BLACK_3						ʔˈumi														
BLACK_4															ʔeːpxútáraxiʔ					
BLACK_5																				ʔɲˈáː
BLACK_6	kʼli								kʼili		ʧʼihkˈil									
BLACK_7			ʧʰˈeleʔi																	
BLACK_8								ikxáɾamkuniʃ												
BLACK_9					muːʃˈaqʼ											luqʼˈolqʼo				
BLACK_10		tapʰalsa											tapʰalsa						tahpʰalsa	
BLACK_11												kʰaʦʼˈe					ʃakʼːa			
BLOOD_1		watʔtuwi											watʔtuwi							
BLOOD_2	baːlˈaj				baːlˈaj				balaj			balˈaj				blaj	bˈaːlaj			
BLOOD_3						laʍˈaʦʼ														
BLOOD_4				ɲxʷat			ʔəxʷat			ɲahʷat								xʷat		ʔhʷˈata
BLOOD_5								áːx						ʔˈaːit	ʔáxta					
BLOOD_6			sˈiʦqʼi																	
BLOOD_7											ʧes									
BONE_1		ʔixtalʔ							ʔihjaː		hˈija		ʔixtalʔ				ʔˈiːha		ʔaxtatʔ	
BONE_2	jaː				j̥a							jaː				jaqʼo				
BONE_3				ɲjaːk			aq			ɲasak				ˈitak	ʔaːkʼ			ak		ʧjˈaˑka
BONE_4			ʦʰʲˈatʰχun																	
BONE_5						lˈeɡaɬ														
BONE_6								ípih												
BREAST_1					jeːʔˈel						jˈeʔeː~t̪ʰˈeʔeː	jeʔˈeː				wʔel				
BREAST_2			huʔsˈiʔ																	
BREAST_3													ʦuxpinna							
BREAST_4						ɬonʃˈahmaʔ														
BREAST_5																				ɲmˈaja
BREAST_6				xʧkaɾ~ʧxkaɾ														t̪əxkˈar		
BREAST_7								iθβaːj		iːwa					ʔíʧwat					
BREAST_8							iːʧix													
BREAST_9														ˈiːsaχiːʃk						
BURN (SOMETHING)_1				ʎ̥maɾ			aːɹaːw											aʎ̥mˈar		
BURN (SOMETHING)_2										tapoːmm										
BURN (SOMETHING)_3																				tˈu
BURN (SOMETHING)_4								áːhka												
BURN (SOMETHING)_5									muhkʰujʔ											
BURN (SOMETHING)_6		haʔwiː											haʔwiː						haʔwiː	
BURN (SOMETHING)_7					ʃaːtʼˈoː															
BURN (SOMETHING)_8														kaʔˈitax						
BURN (SOMETHING)_9						dibiʔˈeʔma														
CLAW OR NAIL_1	ʔeːʧʼ								heːʧʼ		hˈeːʧʼa	heʧʼ					heːʧʼ			
CLAW OR NAIL_2			pˈolaχot																	
CLAW OR NAIL_3																				slhβˈoˑ
CLAW OR NAIL_4						ɬaʔnˈaɬuk												ʃaʎ̥nəpˈuːl		
CLAW OR NAIL_5				ɬkaxʷˈaw~ʎ̥kaxʷˈaw			salʲəxʷuːw													
CLAW OR NAIL_6								axpih												
CLAW OR NAIL_7													sukʼuʔliptalla						sukʼuʔnimtanna	
CLAW OR NAIL_8															ʔéːraxa	ʔaʃˈab				
CLAW OR NAIL_9					rikʰ															
CLAW OR NAIL_10										iːsaʎkuʎoho										
CLAW OR NAIL_11														inˈoːsx						
CLOUD_1				kʷiː			ʔəkʷiːj			ʔiːkʷe								kʷiː		ʔkʷˈi
CLOUD_2								pikxáɾampa												
CLOUD_3														ʔˈoːkaɬa						
CLOUD_4															ʔíːpaːkúʔ					
CLOUD_5						lummˈawaj														
CLOUD_6					xaːbˈo											xubˈu				
CLOUD_7	kʰbaː								qʰabaː		kʰˈaʔbot̪on						kʰˈabʔa			
CLOUD_8												pʰut̪ʼ								
CLOUD_9			hawˈetaʔm																	
COLD_1																		ʃuːkˈat		
COLD_2																				mˈúni
COLD_3												mˈadoː					moʔdotʼ			
COLD_4											ʃˈoʔt̪ʼon									
COLD_5			ˈeso																	
COLD_6				xsuːɾ			xəʧuːɹ			haʧuːrk										
COLD_7						ʔaʃˈida									ʔisːíkʼ					
COLD_8									ʔihjuːm											
COLD_9	kʼiw																			
COLD_10														kaːpɬ						
COLD_11					qaːʦʰˈil			áθiːk												
COLD_12																qsˈilit̪				
COME_1											kˈoːn									
COME_2														mˈoka						
COME_3																χolo				
COME_4	waːd	ha	ˈuwakʰ					naː	waːd			waːdˈe	ha				hwˈaːd		ha	
COME_5						diɡwˈajwo														
COME_6					qˈoːjuhu															
COME_7															kʼúːhujikːa					
COME_8		ni		jiː			wəjiw						ni					jiw	ni	jˈûwi
COME_9										iðiːk										
DIE_1		tilau											tilau							
DIE_2						dimˈaʔma														
DIE_3	kʼla										muʔkʼˈaːwan	kʼˈalaː				qʼalˈal				
DIE_4				mʂpa	muːdˈal		məlaj											məspˈa		
DIE_5			qʼˈe																	
