	Bemba	Bulu	Fang	Ganda	Gogo	Haya	Kalanga	Kamba	Kikuyu	Kimbundu	Koongo	Lingala	Lozi	Luba-Katanga	Luba-Lulua	Makhuwa	Meru	Ndonga	Ndzwani Comorian	Ngazidja Comorian	North Ndebele	Nyanja	Nyankole	Rundi	Shona	Songe	Sukuma	Swahili	Tonga	Tsonga	Tswa	Tswana	Umbundu	Venda	Xhosa	Yaka	Zulu
ARM_1		wo																																		bɔ́	
ARM_2	ukùboko			mukono	múwoko	mkono	boko	kẅɔ́kɔ̏	ɣuɔkɔ		koko	lobɔ́kɔ	lizoho		kuboko	mɔ̌nɔ	uko	okwako	mhóno	mhóno		kóno	omukono	ukuboko	ruoko	mbòko	nkono	mkono	kuboko	vókó	wókó	bɔ́χɔ́	ókwo̍kwó		umkʰono		
ARM_3										lukuaku				diːkàsa																							
ARM_4			enam																		inɡalo																ínɡàló
ARM_5																																		ʧanda			
ASH_1	imìto																	omutoko															éti̍kó				
ASH_2												mputulú		butò	bútu											butǒ											
ASH_3							lota						mulola								lotʰa			umuɲota	dòtà							mõlõrã		mulora	umlotʰa		umlota
ASH_4																						pʰulusa								nkuma	kʰuma						
ASH_5						eijwi											ifu						eiju				ibu	sizi									
ASH_6										ditókua						ittuúra													itwe								
ASH_7				vvu	máfu			mou	mohû										vú	vú																	
ASH_8		asup	asup																																		
ASH_9																																				sùvé	
ASH_10											bombi																										
BARK_1		ebapele	ebap																																		
BARK_2						ekiʃuʃu				kiʃiʃi					ʧízúbú								ekiʃuʃu	iɡiʃiʃwa		kifùsù											
BARK_3											kibula			kibàle		nikúla		ejula									iɡula								iǁolo		íliǁôlo
BARK_4																													cikwa				óʧípétà				
BARK_5																						kʰunɡwa															
BARK_6	bós											póso									kʰonkotʰa				kòkó											kókó	
BARK_7					ibada			ekɔndɛ	ikɔni								ikanda																				
BARK_8																			ɡózi	ɡozi																	
BARK_9													likwati																	rihantí	hatí	kwàtí		ɡwatí			
BELLY_1																														kʰwírí							
BELLY_2																																				ɛ̀ì	
BELLY_3					nda	eibundaenda			nda								ndeu	epunda					enda	inda					ida								
BELLY_4																ntʰúkwa																					
BELLY_5							tumbu						mba						mímba	mmba		mímba			dùmbù		ŋ̤umbi	tumbo			rúmbú	ḿpá		tʰumbu			
BELLY_6	ì̀fumo	abum	abum							divumu	kivumu	libumu																					ímò				
BELLY_7																					isisu														isisu		ìsísù
BELLY_8								eβu						fu	dífu											efù											
BIG_1	kalàmbà				βaha									kàtà												mukàtà			pati							làí	
BIG_2							kulukulu													kúu	kʰulu	kulu			ɡuru					kúlú					kʰulu		kʰúlù
BIG_3																			libwávu									kubwa						hulwane			
BIG_4													tuna			wunnuwela																					
BIG_5						hanɡo																	hanɡo														
BIG_6		anen	nən	nene				nɛ́nɛ̏	nɛ́nɛ	nene	nene	monene			nené		nini	omunene						nini									ne̍nè				
BIG_7																											ale										
BIG_8																																ɡóló					
BIG_9																															hombé						
BIRD_1		ônon	onwan																																		
BIRD_2	ìʧoːni			enɲoɲi		ekiɲoɲi	ɲuni	esone	ɲɔni		nuni		ɲuɲuni	koni	ɲúúɲí	mwaánùni			ɲúɲi	nùni	injoni		eɲoɲi	iɲoni		kôni	noni		imujuni	ɲaɲana	ʧiɲaɲani	nɔ̀ɲánɪ́		ʧinoni		ɲɔ̀dí	íɲònì
BIRD_3																									ʃìrì												
BIRD_4					ndêje							ndeke					ndeje											ndeɡe									
BIRD_5										njila								okaʤila															ónji̍lá				
BIRD_6																																			intaka		
BIRD_7																						mbálame															
BITE_1																	imara		remamáɲo	kazamáɲo																	
BITE_2	suma			luma	luma	ruma	luma	ómȁ~óma	róma	lumata			luma	sùma	sumá	lúma		lumata			luma	womola	ruma	ruma	rúma	sùma	luma	uma	luma	lúma	luma	lʊ́má	lu̍mánà	luma	luma		lúmà
BITE_3											ta	swá																									
BITE_4		lóp	lop																																		
BITE_5																																				bònz	
BLOOD_1																		ombinzi							ròmbè								ósóndè				
BLOOD_2	ùmulopa						lopa																						bulowa					maloɸa			
BLOOD_3										maɲinɡa	menɡa																mininɡa									àndá	
BLOOD_4														ʃi																		dí					
BLOOD_5				musaaji													usao																				
BLOOD_6																					iɡazi	ɡazi								nɡátí					iɡazi		íɡàzí
BLOOD_7		metʧi	məki									makilá	mali		máʃí									amaraso		masè											
BLOOD_8					sakámi			nðakamɛ	θàkàmɛ̀							nikʰami			dámu	damu			eʃaɡama					damu									
BLOOD_9						obwamba																									kʰata						
BONE_1													lisapo								itʰambo									rʱámbó	rámbú	rápɔ́		lirapʰo	itʰambo		îtʰâmbò
BONE_2	ifùpa			ɡɡumba	ífupa	eiɡufa	fupa			fuba		mokua		mukùpa	múfubá	nikʰúva	ifuwa		múbwa	ʃíba		p͡fúpa	eiɡufa	iɡufa	fúfá	mufùfwa	iɡuha	mfupa	ícífuwa							kúà	
BONE_3								eβende	ihéndé																												
BONE_4		eves	eves															esipa															éke̍pá				
BONE_5											visi																										
BREAST_1		abé	abɛɲ																																		
BREAST_2	ibe̍ːlè			bbeele		omabele				diele		libéle	lizwele	bele	díbeelé	ipéle	mawele		béle	béle	ibele	jére	eibeere	ibere		ebèːle	mbele			vélé	vélé	bɛ́lɛ́	éve̍lé		ibele	bɛlɛ́	ibele
BREAST_3								nɔndɔ	ɲɔ̀ndɔ̀		beno																										
BREAST_4					itóombo																								nkolo								
BREAST_5																		eɡundji																			
BREAST_6							ʒamu																		zámú									d̪ámú			
BREAST_7																												ziwa									
BURN (SOMETHING)_1												etumba	tumbuka	teːma																			támà				
BURN (SOMETHING)_2		dik			aka	aka				uika	joka						aka						aka				baka	waka									
BURN (SOMETHING)_3								βeːβja	heːhia																												
BURN (SOMETHING)_4	pja			ɡɡja			ʦʰwa									vja		pja	vùʣa	βa	ʧa	psa		hiʃa	ʦʋá	fjà			pja	p͡furʱa				huʂa	ʧa		ʃa
BURN (SOMETHING)_5															kóóʃákúóʃá																						
BURN (SOMETHING)_6																																ʂwã					
BURN (SOMETHING)_7			ʣiʔi																																		
BURN (SOMETHING)_8																																				sél	
CLOUD_1												lipáta																		papa							
CLOUD_2								eðwɛɔ																													
CLOUD_3																		oʃikoɡo																			
CLOUD_4					mavunde																						ilunde						éléndè				
CLOUD_5				kile			ɡole																		ɡòré									ɡole			
CLOUD_6	ìkumbi													diːkumbi			irumbe					tambo							ikkumbi								
CLOUD_7		nkut	ŋ̍kut							dituta	tuti				dívúbá	nihútte																				kùtú	
CLOUD_8						ekiʧwi																	ekiʧu														
CLOUD_9									ìtù				lilu						vìŋɡu	biŋɡu	ilifu			iɡicu				winɡu							ifu		ífù
CLOUD_10																										elevu					refu	rù					
COME_1																									buda				boola								
COME_2	isa	zu	zu	jja	úza	ija	ʒa	oka	óka	iza	uisa	jà	taha	ija	vwá	wa		ja	ʒá	ʤa	za	ʣa	ija	za		fìkà	iza	ʄa		ta	ta	t͡ɬà	íjà	da	za		zà
COME_3																																				jè	
COME_4																	oriʃo																				
COUNT_1																			hasibu									hesabu									
COUNT_2	pend																					welenɡa			ʋerenɡa								tenda				
COUNT_3		lan̂	laŋ																																		
COUNT_4				bala	vala		bala	tala	tára		tanɡa	tánɡa			badika	alakela	tanla			waza	bala		bara	harura		badika	bala			ɬàja				βala	bala	tánɡ	bala
COUNT_5																																dúédísà					
DIE_1		wu	wu																																		
